"dcg_tutorial"
{
// TUTORIAL NODE 1

"DCG_Puzzle_TutorialNode1_Title"			"Node 1"
"DCG_Popup_Tutorial_TargetsDesc"			"Now the opponent's <font color=\"gold\">creep</font> is targeting your <font color=\"gold\">Bronze Legionnaire</font> <font color=\"gold\">creep</font> instead of your <font color=\"gold\">Defense Tower</font>. Let's engage <font color=\"gold\">combat</font> and see what happens."
"DCG_Popup_Tutorial_DeathPreviewDesc"		"You killed both <font color=\"gold\">creeps</font>, but now a powerful <font color=\"gold\">unit</font> is targetting <font color=\"gold\">Axe</font>. The <font color=\"gold\">combat preview</font> shows that <font color=\"gold\">Axe</font> will be killed and removed from the <font color=\"gold\">lane</font>. It would be better if <font color=\"gold\">Bronze Legionnaire</font> received this damage instead."
"DCG_Popup_Tutorial_EquipmentTitle"			"Equipped Items"
"DCG_Popup_Tutorial_EquipmentDesc"			"Another difference between <font color=\"gold\">heroes</font> and <font color=\"gold\">creeps</font> is that <font color=\"gold\">heroes</font> can wear <font color=\"gold\">items</font>. Let's equip <font color=\"gold\">Axe</font> with <font color=\"gold\">Phase Boots</font> so he gains the <font color=\"gold\">ability</font> to swap <font color=\"gold\">positions</font> within the <font color=\"gold\">lane</font>."
"DCG_Popup_Tutorial_AbilitiesTitle"			"Abilities"
"DCG_Popup_Tutorial_AbilitiesDesc"			"Now use <font color=\"gold\">Axe</font>'s <font color=\"gold\">Phase</font> <font color=\"gold\">ability</font> to swap <font color=\"gold\">positions</font> with the <font color=\"gold\">Bronze Legionnaire creep</font>."
"DCG_Popup_Tutorial_CooldownsDesc"			"Great! Now <font color=\"gold\">Axe</font> is facing an <font color=\"gold\">empty combat position</font> and will attack the <font color=\"gold\">Defense Tower</font>. Note that your <font color=\"gold\">Phase</font> <font color=\"gold\">ability</font> has a <font color=\"gold\">cooldown</font> timer and can't be used again for 2 <font color=\"gold\">rounds</font>."
"DCG_Popup_Tutorial_KillTheTowerDesc"		"Finish up this game by killing the <font color=\"gold\">Defense Tower</font> and <font color=\"gold\">Ancient Tower</font> while defending your own."
"DCG_Popup_Tutorial_TowerGuardsTitle"		"Pathing"
"DCG_Popup_Tutorial_TowerGuardDeckDesc"		"Let's freeze the action here for a moment! This is a <font color=\"gold\">pathing card</font> and it will have a path either leading forward or curving toward a <font color=\"gold\">neighboring combat position</font>. In a normal game these are dealt into every <font color=\"gold\">empty combat position</font> at the start of each <font color=\"gold\">round</font>. Click 'Next' to see what this card does to Axe."
"DCG_Popup_Tutorial_TowerGuardCardsDesc"	"Because the <font color=\"gold\">pathing card</font> curved to the right, it causes Axe to diagonally target the <font color=\"gold\">neighboring creep</font> instead of the <font color=\"gold\">tower</font>. This is indicated by both the targetting arrow in <font color=\"gold\">Axe</font>'s upper right corner and the <font color=\"gold\">damage indicator</font> on the <font color=\"gold\">creep</font>."
"DCG_Popup_Tutorial_TowerGuardsDesc"		"We'll look at where <font color=\"gold\">pathing cards</font> come from in more detail later, so for now just focus on how it's affecting the <font color=\"gold\">combat preview</font>."
"DCG_Popup_Tutorial_UnopposedPositionsDesc"	"Even though <font color=\"gold\">Axe</font> will damage the <font color=\"gold\">creep</font>, the <font color=\"gold\">creep</font> itself is still directly across from an <font color=\"gold\">empty combat position</font> and the <font color=\"gold\">combat preview</font> shows it will kill your <font color=\"gold\">tower</font>. Summon another <font color=\"gold\">creep</font> to block in the <font color=\"gold\">empty combat position</font>."
"DCG_Popup_Tutorial_UnitAbilitiesDesc"		"Some <font color=\"gold\">units</font> have special abilities. Read your <font color=\"gold\">Red Mist Pillager</font> <font color=\"gold\">creep</font> card and play it in this <font color=\"gold\">lane</font>."
"DCG_Popup_Tutorial_PassiveAbilitiesDesc"	"<font color=\"gold\">Abilities</font> are shown as icons near the center of <font color=\"gold\">unit</font> cards. Inspect the <font color=\"gold\">creep</font>'s <font color=\"gold\">reactive ability</font>. It's called a 'reactive ability' because it automatically <font color=\"gold\">activates</font> and summons another <font color=\"gold\">Red Mist Pillager</font> whenever it damages a <font color=\"gold\">tower</font>."
"DCG_Popup_Tutorial_ExposedAncientDesc"		"Great, you killed a <font color=\"gold\">Defense Tower</font> and exposed the <font color=\"gold\">Ancient Tower</font> with its own <font color=\"gold\">health</font>! Kill this 2nd <font color=\"gold\">tower</font> to win!"
"DCG_Popup_Tutorial_TrainingPart2Complete"	"Training: Part 2 Complete"

// TUTORIAL PART 3
"DCG_Popup_Tutorial_3LanesTitle"			"3 Lanes"
"DCG_Popup_Tutorial_3LanesDesc"				"Now that you have a grasp on the basics let's look at the bigger picture. Each game is played across 3 <font color=\"gold\">lanes</font>. Double click in the <font color=\"gold\">lane</font> to zoom out to the <font color=\"gold\">strategic view</font>."
"DCG_Popup_Tutorial_StrategicViewDesc"		"This <font color=\"gold\">strategic view</font> gives you an overview of all 3 <font color=\"gold\">lanes</font>. The golden <font color=\"gold\">Turn Token</font> is showing that the <font color=\"gold\">left lane</font> is the <font color=\"gold\">active lane</font> for the <font color=\"gold\">Action Phase</font> and <font color=\"gold\">combat</font>."
"DCG_Popup_Tutorial_ActiveLaneDesc"			"<font color=\"gold\">Heroes</font> in the <font color=\"gold\">left lane</font> can only play cards while it is the <font color=\"gold\">active lane</font> for the <font color=\"gold\">Action Phase</font>. After <font color=\"gold\">combat</font>, the <font color=\"gold\">next lane</font> will become the <font color=\"gold\">active lane</font> for the <font color=\"gold\">Action Phase</font>."
"DCG_Popup_Tutorial_ScoreboardTitle"		"Scoreboard"
"DCG_Popup_Tutorial_InitialDeploymentDesc"	"In each game you'll have a lineup of 5 <font color=\"gold\">heroes</font> and the first 3 start in a <font color=\"gold\">lane</font>. You can see their positions at a glance using the <font color=\"gold\">Scoreboard</font> in the far upper left corner of the screen."
"DCG_Popup_Tutorial_ScoreboardDesc"			"The <font color=\"gold\">Scoreboard</font> also displays the current health of the <font color=\"gold\">towers</font> in each <font color=\"gold\">lane</font>. The left side of the <font color=\"gold\">Scoreboard</font> shows that your 4th and 5th <font color=\"gold\">heroes</font> are waiting at the <font color=\"gold\">Fountain</font> and will be deployed in later <font color=\"gold\">rounds</font>. Double click the <font color=\"gold\">left lane</font> to return to the <font color=\"gold\">active lane</font>."
"DCG_Popup_Tutorial_ManaTitle"				"Mana"
"DCG_Popup_Tutorial_ManaDesc"				"Your <font color=\"gold\">tower</font> in each <font color=\"gold\">lane</font> has its own pool of <font color=\"gold\">mana</font> that's spent when playing cards from your hand. You have 3 <font color=\"gold\">mana</font> remaining on the <font color=\"gold\">tower</font> in this <font color=\"gold\">lane</font>."
"DCG_Popup_Tutorial_ManaCostDesc"			"The <font color=\"gold\">mana cost</font> in the upper left of each card in your hand shows how much of the <font color=\"gold\">active lane</font>'s <font color=\"gold\">mana</font> is spent when playing that card."
"DCG_Popup_Tutorial_TowerGuardChanceTitle"	"Pathing Cards"
"DCG_Popup_Tutorial_TowerGuardChanceDesc"	"The next <font color=\"gold\">creep</font> you summon will be placed in a new <font color=\"gold\">combat position</font> to the left or right side of your <font color=\"gold\">units</font>. Summoning <font color=\"gold\">creeps</font> on the edge of a <font color=\"gold\">lane</font> is another case where your opponent draws a <font color=\"gold\">pathing card</font>. If the card curves toward a <font color=\"gold\">neighboring unit</font> your <font color=\"gold\">creep</font> will attack that <font color=\"gold\">unit</font> instead of the <font color=\"gold\">tower</font>."
"DCG_Popup_Tutorial_TowerGuardChance2Desc"	"Play a <font color=\"gold\">Bronze Legionnaire</font> <font color=\"gold\">creep</font> in this <font color=\"gold\">lane</font> to see how <font color=\"gold\">pathing cards</font> are dealt."
"DCG_Popup_Tutorial_RoundsTitle"			"Rounds"
"DCG_Popup_Tutorial_ManaRefreshDesc"		"You spent 2 <font color=\"gold\">mana</font> to summon <font color=\"gold\">Bronze Legionnaire</font>. This leaves 1 <font color=\"gold\">mana</font> remaining on your <font color=\"gold\">tower</font> until it's automatically refilled next <font color=\"gold\">round</font>. Let's lock in the <font color=\"gold\">combat preview</font> and move on to the next <font color=\"gold\">lane</font>."
"DCG_Popup_Tutorial_RoundsDesc"				"In each <font color=\"gold\">round</font> you'll complete <font color=\"gold\">combat</font> in all 3 <font color=\"gold\">lanes</font>, one after the other. Each <font color=\"gold\">round</font> your <font color=\"gold\">mana</font> pools not only refill, they also increase by 1. So next <font color=\"gold\">round</font> you'll be able to play cards that cost up to 4 <font color=\"gold\">mana</font>!"
"DCG_Popup_Tutorial_ColorsTitle"			"Colors"
"DCG_Popup_Tutorial_ColorsDesc"				"Along with <font color=\"gold\">mana cost</font> you must also consider the <font color=\"gold\">color</font> of your cards. You can only play a card if you have a <font color=\"gold\">hero</font> matching its <font color=\"gold\">color</font> in the <font color=\"gold\">active lane</font>."
"DCG_Popup_Tutorial_PlayableCardsDesc"		"Don't worry too much about all the rules. Any playable cards will have a glowing border. If there's no glowing border around a card you either don't have enough <font color=\"gold\">mana</font> to cover its <font color=\"gold\">mana cost</font> or don't have a <font color=\"gold\">hero</font> matching its <font color=\"gold\">color</font> in the <font color=\"gold\">lane</font>."
"DCG_Popup_Tutorial_Freeform3Desc"			"Read your cards and play both playable cards in this <font color=\"gold\">lane</font> while keeping an eye on the card borders, remaining <font color=\"gold\">mana</font>, and <font color=\"gold\">hero colors</font>. Then activate <font color=\"gold\">combat</font>."
"DCG_Popup_Tutorial_DeploymentTitle"		"Deployment"
"DCG_Popup_Tutorial_DeploymentDesc"			"<font color=\"gold\">Heroes</font> from your lineup move into your hand at the start of each <font color=\"gold\">round</font> when they're ready to be <font color=\"gold\">deployed</font>."
"DCG_Popup_Tutorial_LaneCreepsDesc"			"Each <font color=\"gold\">round</font> new <font color=\"gold\">Melee Creeps</font> are also automatically <font color=\"gold\">deployed</font>. You can see where they're being <font color=\"gold\">deployed</font> above and below the <font color=\"gold\">lanes</font>."
"DCG_Popup_Tutorial_PositionShuffleDesc"	"Deploy <font color=\"gold\">Prellex</font> into one of the 3 <font color=\"gold\">lanes</font> while considering which <font color=\"gold\">lanes</font> the <font color=\"gold\">creeps</font> are entering. Also keep in mind that the exact <font color=\"gold\">position</font> they'll end up in the <font color=\"gold\">lane</font> is determined by a shuffle."
"DCG_Popup_Tutorial_TowerGuardShuffleTitle"	"Pathing Card Shuffle"
"DCG_Popup_Tutorial_TowerGuardShuffleDesc"	"Did you notice that several <font color=\"gold\">pathing cards</font> were shuffled in during <font color=\"gold\">deployment</font>? Remember that every <font color=\"gold\">round</font> of <font color=\"gold\">deployment</font> will include <font color=\"gold\">pathing cards</font> to fill <font color=\"gold\">empty combat positions</font> and sometimes cause <font color=\"gold\">units</font> to target <font color=\"gold\">neighboring enemies</font>."
"DCG_Popup_Tutorial_DrawingCardsTitle"		"Drawing Cards"
"DCG_Popup_Tutorial_DrawingCardsDesc"		"You automatically draw 2 cards at the start of each <font color=\"gold\">round</font>. There's no limit to the number of cards in your hand, and you can scroll your hand by dragging it left or right."
"DCG_Popup_Tutorial_VictoryConditionsTitle"	"Victory Condition"
"DCG_Popup_Tutorial_KillATowerDesc"			"Your next goal is to kill a <font color=\"gold\">tower</font> in any <font color=\"gold\">lane</font> without letting the opponent kill yours. Don't forget to read your cards and use them strategically during the <font color=\"gold\">Action Phase</font> to gain the upper hand."
"DCG_Popup_Tutorial_VictoryConditionsDesc"	"Great, that's one <font color=\"gold\">tower</font> killed! Now you can claim victory by killing another <font color=\"gold\">defense tower</font> or the <font color=\"gold\">ancient tower</font> in that <font color=\"gold\">lane</font>! But keep in mind that the <font color=\"gold\">Ancient Tower</font> has twice as much <font color=\"gold\">health</font> as <font color=\"gold\">Defense Towers</font>."
"DCG_Popup_Tutorial_TrainingPart3Complete"	"Training: Part 3 Complete"
"DCG_Popup_Tutorial_Victory3Desc"			"Great! You killed 2 <font color=\"gold\">towers</font> and claimed victory!"

// TUTORIAL PART 4
"DCG_Popup_Tutorial_TurnsTitle"				"Turns"
"DCG_Popup_Tutorial_FinalLessonDesc"		"You've almost learned all the fundamentals! In this final lesson your opponent will have their own <font color=\"gold\">heroes</font> and <font color=\"gold\">spells</font> to cast."
"DCG_Popup_Tutorial_TurnCoinDesc"			"Now let's chat about that golden <font color=\"gold\">Token</font> you keep turning. Every time you take an action your opponent is given another <font color=\"gold\">turn</font> to play a card, use an <font color=\"gold\">ability</font>, or pass their <font color=\"gold\">turn</font> by selecting their <font color=\"gold\">Turn Token</font>."
"DCG_Popup_Tutorial_CardHistoryDesc"		"Similarly, whenever your opponent takes an action you'll be given another <font color=\"gold\">turn</font> to play a card, use an <font color=\"gold\">ability</font>, or pass."
"DCG_Popup_Tutorial_PassingDesc"			"Players will continue taking <font color=\"gold\">turns</font> back and forth repeatedly until they've both passed for their <font color=\"gold\">turn</font> in succession. In other words, <font color=\"gold\">combat</font> begins when you pass on your <font color=\"gold\">turn</font> and the opponent also passes."
"DCG_Popup_Tutorial_TurnsDesc"				"Let's take a few <font color=\"gold\">turns</font> back and forth with your opponent to see how it extends the <font color=\"gold\">Action Phase</font> before <font color=\"gold\">combat</font>. Read your <font color=\"gold\">Stars Align</font> and <font color=\"gold\">Act of Defiance</font> cards and then play them for your <font color=\"gold\">turns</font>."
"DCG_Popup_Tutorial_LastCardTitle"			"Last Action"
"DCG_Popup_Tutorial_LastCardDesc"			"Inspect <font color=\"gold\">'Last Action'</font> in the upper right corner of the screen to review the card your opponent played."
"DCG_Popup_Tutorial_ArmorTitle"				"Armor"
"DCG_Popup_Tutorial_ArmorDesc"				"Now you've permanently <font color=\"gold\">modified</font> both of your <font color=\"gold\">Melee Creeps</font> with extra <font color=\"gold\">attack</font> and <font color=\"gold\">armor</font>. If you inspect an <font color=\"gold\">allied creep</font> you'll see a glossary of terms appear with an explanation for how <font color=\"gold\">armor</font> works."
"DCG_Popup_Tutorial_Armor2Desc"				"You don't have any more playable cards, so you'll have to pass."
"DCG_Popup_Tutorial_ImprovementsTitle"		"Improvements"
"DCG_Popup_Tutorial_ScrollingDesc"			"Most cards and <font color=\"gold\">abilities</font> only affect the <font color=\"gold\">active lane</font>. However, some cards can target any <font color=\"gold\">lane</font>. Select the arrow on the right side of the <font color=\"gold\">lane</font> to view the <font color=\"gold\">right lane</font>."
"DCG_Popup_Tutorial_ImprovementsDesc"		"<font color=\"gold\">Improvements</font> are a special type of card that can be played into any <font color=\"gold\">lane</font>. They modify the rules of the selected <font color=\"gold\">lane</font> and remain in that <font color=\"gold\">lane</font> for the rest of the game, even if the <font color=\"gold\">Defense Tower</font> dies. Read your <font color=\"gold\">Path of the Cunning</font> <font color=\"gold\">improvement</font> card and then play it in this <font color=\"gold\">lane</font>."
"DCG_Popup_Tutorial_Scrolling2Desc"			"The <font color=\"gold\">improvement</font> will remain active in this <font color=\"gold\">lane</font> for the rest of the game. Now let's go back to the <font color=\"gold\">active lane</font>"
"DCG_Popup_Tutorial_ActiveLaneManaDesc"		"Remember that although <font color=\"gold\">improvement</font> cards can target any <font color=\"gold\">lane</font>, playing them still uses <font color=\"gold\">mana</font> from the <font color=\"gold\">active lane</font>."
"DCG_Popup_Tutorial_HeroDeathTitle"			"Hero Death"
"DCG_Popup_Tutorial_HeroDeathDesc"			"The <font color=\"gold\">damage preview</font> shows that <font color=\"gold\">Bounty Hunter</font> will be killed in <font color=\"gold\">combat</font>. But don't worry, when a <font color=\"gold\">hero</font> dies it's returned to the <font color=\"gold\">Fountain</font> in the far upper left to heal for 1 <font color=\"gold\">round</font> and can then be <font color=\"gold\">redeployed</font>."
"DCG_Popup_Tutorial_HeroDeath2Desc"			"It can even be a good thing when <font color=\"gold\">heroes</font> die because it allows them to end up in a different <font color=\"gold\">lane</font> where they're more urgently needed."
"DCG_Popup_Tutorial_FightCoinDesc"			"The <font color=\"gold\">Turn Token</font> has a sword symbol because your opponent passed. This is just a reminder that <font color=\"gold\">combat</font> is guaranteed to begin if you also pass."
"DCG_Popup_Tutorial_BountyTitle"			"Bounty"
"DCG_Popup_Tutorial_BountyDesc"				"You earn <font color=\"gold\">gold</font> whenever enemy <font color=\"gold\">units</font> are killed. There's a 1 <font color=\"gold\">gold</font> <font color=\"gold\">'bounty'</font> on each creep and 5 <font color=\"gold\">gold</font> <font color=\"gold\">'bounty'</font> on each <font color=\"gold\">hero</font>. So by killing this <font color=\"gold\">hero</font> you'll earn 5 <font color=\"gold\">gold</font> to spend on <font color=\"gold\">items</font>."
"DCG_Popup_Tutorial_Bounty2Desc"			"Let's cast the <font color=\"gold\">Track</font> <font color=\"gold\">spell</font> on your opponent's <font color=\"gold\">hero</font> to increase their <font color=\"gold\">bounty</font> to 15 and rake in the <font color=\"gold\">gold</font>!"
"DCG_Popup_Tutorial_GlossaryTitle"			"Glossary"
"DCG_Popup_Tutorial_GlossaryDesc"			"Your <font color=\"gold\">hero</font> was also permanently <font color=\"gold\">modified</font> with +1 <font color=\"gold\">siege</font> because the <font color=\"gold\">improvement</font> on the <font color=\"gold\">tower</font> in this <font color=\"gold\">lane</font> activates each time you play a <font color=\"gold\">black</font> card. Inspect your <font color=\"gold\">hero</font> to bring up a glossary of terms and read how <font color=\"gold\">siege</font> damage works."
"DCG_Popup_Tutorial_Glossary2Desc"			"It's ok if you don't fully understand <font color=\"gold\">siege damage</font> yet, because glossary terms are your safety net. Inspecting any card will explain all of its special keywords such as <font color=\"gold\">armor</font>, <font color=\"gold\">siege</font>, <font color=\"gold\">improvements</font>, and much more. It would take too long to explain each individual rule, so the only thing you need to remember is to inspect cards and read their glossary of terms."
"DCG_Popup_Tutorial_PermanenceTitle"		"Permanence"
"DCG_Popup_Tutorial_PermanenceDesc"			"Any time you <font color=\"gold\">modify</font> a <font color=\"gold\">unit</font>'s stats it lasts for the entire game. <font color=\"gold\">Heroes</font> keep these permanent <font color=\"gold\">modifiers</font> even when killed. So if you play another <font color=\"gold\">black</font> card in this <font color=\"gold\">lane</font> the <font color=\"gold\">improvement</font> will <font color=\"gold\">modify</font> the <font color=\"gold\">hero</font> with another permanent +1 <font color=\"gold\">siege</font> for 2 <font color=\"gold\">siege</font> total!"
"DCG_Popup_Tutorial_ShoppingTitle"			"Shopping"
"DCG_Popup_Tutorial_ShoppingDesc"			"Each <font color=\"gold\">round</font> you'll have the opportunity to buy <font color=\"gold\">items</font> from 3 shuffled decks: <font color=\"gold\">Secret Shop</font>, your <font color=\"gold\">Item Deck</font>, and <font color=\"gold\">Consumables</font>."
"DCG_Popup_Tutorial_ItemDeckDesc"			"The middle <font color=\"gold\">item</font> is the top of your personalized <font color=\"gold\">Item Deck</font> while the other 2 are drawn from decks containing every possible item."
"DCG_Popup_Tutorial_ItemsTitle"				"Items"
"DCG_Popup_Tutorial_ItemsDesc"				"The <font color=\"gold\">gold price</font> of each <font color=\"gold\">item</font> is shown in its bottom right corner. All 3 decks are reshuffled each <font color=\"gold\">round</font>, so buy a few while they're available."
"DCG_Popup_Tutorial_PlayingItemsDesc"		"The great thing about <font color=\"gold\">items</font> is that they don't cost any <font color=\"gold\">mana</font> to play and aren't restricted by the <font color=\"gold\">color</font> of your <font color=\"gold\">heroes</font>! <font color=\"gold\">Heroes</font> also keep their <font color=\"gold\">items</font> when killed."
"DCG_Popup_Tutorial_ActiveAbilitiesTitle"	"Active Abilities"
"DCG_Popup_Tutorial_ActiveAbilitiesDesc"	"Inspect <font color=\"gold\">Chen</font> and you'll notice that he has an <font color=\"gold\">active ability</font> that's on <font color=\"gold\">cooldown</font> for 3 more <font color=\"gold\">rounds</font>. Keep an eye out for when your <font color=\"gold\">units</font> have <font color=\"gold\">abilities</font> with a glowing border that are ready for use."
"DCG_Popup_Tutorial_CrosslaneTitle"			"Crosslane Spells"
"DCG_Popup_Tutorial_CrosslaneDesc"			"Let's talk about using <font color=\"gold\">spells</font> in other <font color=\"gold\">lanes</font> one last time. By default, cards can only be played in the <font color=\"gold\">active lane</font> and anything written on a card ONLY affects to the <font color=\"gold\">active lane</font>. Remember that <font color=\"gold\">improvements</font> are the exception to this rule. <font color=\"gold\">Improvements</font> can be played into any <font color=\"gold\">lane</font>."
"DCG_Popup_Tutorial_Crosslane2Desc"			"The other exception is when a <font color=\"gold\">spell</font> explicitly states that it can be used in any <font color=\"gold\">lane</font>. These are called <font color=\"gold\">crosslane</font> <font color=\"gold\">spells</font> and have arrows next to their mana cost. Read your <font color=\"gold\">Grazing Shot</font> card and try playing it on an <font color=\"gold\">enemy unit</font> in a <font color=\"gold\">lane</font> other than the <font color=\"gold\">active lane</font>."
"DCG_Popup_Tutorial_LastRemindersDesc"		"Defeat your opponent by killing 2 <font color=\"gold\">towers</font> (<font color=\"gold\">Defense</font> or <font color=\"gold\">Ancient</font>)! Don't forget that you can only use <font color=\"gold\">non-item</font> cards if you have a <font color=\"gold\">hero</font> matching its <font color=\"gold\">color</font> in the <font color=\"gold\">lane</font> and enough <font color=\"gold\">mana</font> remaining. Always read your cards before playing them and if you don't understand a keyword, bring up its glossary of terms!"
"DCG_Popup_Tutorial_TrainingPart4Complete"	"Training: Part 4 Complete"
"DCG_Popup_Tutorial_Victory4Desc"			"Great! Now you're ready to try a full game against a Bot for practice. It won't be easy, so you might not win on your first attempt."
"DCG_Popup_Tutorial_FirstAIMatchDesc"		"You'll be given a choice of 4 preconstructed decks: <font color=\"gold\">Red</font>, <font color=\"gold\">Green</font>, <font color=\"gold\">Blue</font>, or <font color=\"gold\">Black</font>. Each deck has different strengths, weaknesses, and tactical styles."

// TUTORIAL PART 5

"DCG_Popup_Tutorial_IncludedCardsTitle"		"Includee Cards"
"DCG_Popup_Tutorial_RedAndBlackDesc"		"In this game you'll be using all the standard rules, so you and your opponent start with cards shuffled from your 40-card decks. But you already know some critical information about your opponent. First of all, their <font color=\"gold\">heroes</font> are <font color=\"gold\">Red</font> and <font color=\"gold\">Black</font> which suggests a mix of aggressive and sneaky tactics."
"DCG_Popup_Tutorial_IncludedCardsDesc"		"Second, by inspecting your opponent's <font color=\"gold\">heroes</font> in the upper left you can see some of the cards included in their deck. Each hero comes with 3 copies of a specific card, so 15 of the 40 cards shuffled in their deck originate from these <font color=\"gold\">'included'</font> cards."
"DCG_Popup_Tutorial_CoupDeGraceDesc"		"For example, inspecting <font color=\"gold\">Phantom Assassin</font> in the upper left shows that <font color=\"gold\">Coup de Grace</font> cards are <font color=\"gold\">included</font> in their deck. When the <font color=\"gold\">towers</font> reach 6 <font color=\"gold\">mana</font> they'll be likely to kill your <font color=\"gold\">heroes</font> with this <font color=\"gold\">spell</font>.<BR><BR><font color=\"gold\">KNOWN ISSUE:</font> Include Cards aren't showing right now. Sorry!"
"DCG_Popup_Tutorial_InitiativeTitle"		"Initiative"
"DCG_Popup_Tutorial_SuppressingDesc"		"If your opponent takes the first <font color=\"gold\">turn</font> in a <font color=\"gold\">lane</font> they'll have the opportunity to kill your <font color=\"gold\">hero</font>, suppressing your ability to play any cards."
"DCG_Popup_Tutorial_InitiativeDesc"			"Taking the first <font color=\"gold\">turn</font> in a <font color=\"gold\">lane</font> is called having <font color=\"gold\">'initiative'</font>. If you pass when the <font color=\"gold\">Turn Token</font> has the triangle symbol, that gives you <font color=\"gold\">initiative</font> in the next <font color=\"gold\">lane</font>."
"DCG_Popup_Tutorial_TakingInitiativeTitle"	"Taking Initiative"
"DCG_Popup_Tutorial_TakingInitiativeDesc"	"Manipulating <font color=\"gold\">initiative</font> to your advantage is an advanced tactic, so you don't need to understand it yet. But when you have the option to play a card or pass, consider if passing to take <font color=\"gold\">initiative</font> in the next <font color=\"gold\">lane</font> is a good choice. Acting first can allow you to suppress your opponent from playing cards and prevent them from suppressing you."
"DCG_Popup_Tutorial_FailureTitle"			"Defeated"
"DCG_Popup_Tutorial_FailureDesc"			"Try again by selecting another PRECONSTRUCTED deck."
"DCG_Popup_Tutorial_TrainingPart5Complete"	"Training: Part 5 Complete"
"DCG_Popup_Tutorial_TrainingPart5CompleteDesc"	"Your training is now complete! Practice against a bot, play online, go to your collection to build a deck."

// Puzzle Tutorial
"DCG_Puzzle_TutorialPart1_Title"				"Part 1: Basics"
"DCG_Puzzle_TutorialPart1_Desc"					"Spells, combat, and the Ancient Tower."
"DCG_Puzzle_TutorialPart2_Title"				"Part 2: Combat"
"DCG_Puzzle_TutorialPart2_Desc"					"Creeps, combat positions, and Defense Towers."
"DCG_Puzzle_TutorialPart3_Title"				"Part 3: Lanes"
"DCG_Puzzle_TutorialPart3_Desc"					"Lanes, mana, and deploying heroes."
"DCG_Puzzle_TutorialPart4_Title"				"Part 4: Opponents"
"DCG_Puzzle_TutorialPart4_Desc"					"Alternating turns, improvements, and shopping."
"DCG_Puzzle_TutorialPart5_Title"				"Part 5: Decks"
"DCG_Puzzle_TutorialPart5_Desc"					"Use a Red, Blue, Green, or Black deck to defeat the AI."
}
