"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"皮爾龐特與我時常意見相左，但是他很聰明，知道激怒虛空假面有多危險。我不是很喜歡克拉錫利姆條約，因為操縱時空很好玩啊，但你知道什麼更好玩嗎？就是不讓自己的時間線被抹去。"
"DCG_VO_dark_troll_chieften_permanent_attack_05"	"敵人必將倒下……"
"DCG_VO_dark_troll_chieften_permanent_health_01"	"我會從這場戰鬥生還……"
"DCG_VO_dark_troll_chieften_permanent_health_02"	"為了生存，我不擇手段……"
"DCG_VO_dark_troll_chieften_permanent_health_03"	"我重生了……"
"DCG_VO_dark_troll_chieften_permanent_health_04"	"我不怕你……"
"DCG_VO_dark_troll_chieften_permanent_health_05"	"死亡不會來敲我的門……"
"DCG_VO_dark_troll_chieften_cast_spell_01"	"黑暗巨魔守著許多秘密……"
"DCG_VO_dark_troll_chieften_cast_spell_02"	"我的力量無窮無盡……"
"DCG_VO_dark_troll_chieften_cast_spell_03"	"我的能耐你做夢都想不到……"
"DCG_VO_dark_troll_chieften_cast_spell_04"	"我可以隨意玩弄你……"
"DCG_VO_dark_troll_chieften_cast_spell_05"	"此等奧秘唯我一人所用……"
"DCG_VO_dark_troll_chieften_cast_spell_06"	"為了勝利，我願意付出任何代價……"
"DCG_VO_dark_troll_chieften_cast_spell_07"	"你根本不知道我的實力……"
"DCG_VO_dark_troll_chieften_cast_spell_08"	"在恐懼中顫抖吧。"
"DCG_VO_dark_troll_chieften_cast_spell_09"	"我是一族之首，是有原因的……"
"DCG_VO_dark_troll_chieften_cast_spell_10"	"我可以教你的可多著了……"
"DCG_VO_dark_troll_chieften_buff_ally_01"	"堅強一點。"
"DCG_VO_dark_troll_chieften_buff_ally_02"	"我會為你指引道路。"
"DCG_VO_dark_troll_chieften_buff_ally_03"	"追隨我，便能獲得回報……"
"DCG_VO_dark_troll_chieften_buff_ally_04"	"我可以讓你變得偉大……"
"DCG_VO_dark_troll_chieften_buff_ally_05"	"我具有能讓你變強的力量。"
"DCG_VO_dark_troll_chieften_buff_ally_06"	"相信我。"
"DCG_VO_dark_troll_chieften_buff_ally_07"	"我要求的回報只是忠誠……"
"DCG_VO_dark_troll_chieften_buff_ally_08"	"我們並肩勇敢作戰。"
"DCG_VO_dark_troll_chieften_buff_ally_09"	"我們必須合作……"
"DCG_VO_dark_troll_chieften_buff_ally_10"	"我會協助盟友……"
"DCG_VO_dark_troll_chieften_debuff_enemy_01"	"真可悲。"
"DCG_VO_dark_troll_chieften_debuff_enemy_02"	"真弱。"
"DCG_VO_dark_troll_chieften_debuff_enemy_03"	"你堅持不了多久了……"
"DCG_VO_dark_troll_chieften_debuff_enemy_04"	"你會受苦至死。"
"DCG_VO_dark_troll_chieften_debuff_enemy_05"	"如此驕傲，如此愚蠢。"
"DCG_VO_dark_troll_chieften_debuff_enemy_06"	"在我面前灰飛煙滅吧……"
"DCG_VO_dark_troll_chieften_debuff_enemy_07"	"看著你垂死掙扎，我很開心。"
"DCG_VO_dark_troll_chieften_debuff_enemy_08"	"你的死亡是必然的……"
"DCG_VO_dark_troll_chieften_debuff_enemy_09"	"你太弱了。"
"DCG_VO_dark_troll_chieften_debuff_enemy_10"	"弱者必將滅亡。"
"DCG_VO_dark_troll_chieften_single_target_damage_01"	"我會碾碎他們。"
"DCG_VO_dark_troll_chieften_single_target_damage_02"	"退下！"
"DCG_VO_dark_troll_chieften_single_target_damage_03"	"我來對付這個麻煩的傢伙。"
"DCG_VO_dark_troll_chieften_single_target_damage_04"	"我的魔法無人能比！"
"DCG_VO_dark_troll_chieften_single_target_damage_05"	"你萬萬不該跟我作對。"
"DCG_VO_dark_troll_chieften_single_target_damage_06"	"只是稍微展示一下實力。"
"DCG_VO_dark_troll_chieften_single_target_damage_07"	"向你的神靈祈禱吧……"
"DCG_VO_dark_troll_chieften_single_target_damage_08"	"也許應該讓你嚐嚐我的力量了……"
"DCG_VO_dark_troll_chieften_single_target_damage_09"	"在你面前的是一位酋長！"
"DCG_VO_dark_troll_chieften_single_target_damage_10"	"翻滾吧！"
"DCG_VO_dark_troll_chieften_multi_damage_small_01"	"你以為你會贏？"
"DCG_VO_dark_troll_chieften_multi_damage_small_02"	"這些蟲子就讓我來吧……"
"DCG_VO_dark_troll_chieften_multi_damage_small_03"	"別擋路！"
"DCG_VO_dark_troll_chieften_multi_damage_small_04"	"你贏不了的！"
"DCG_VO_dark_troll_chieften_multi_damage_small_05"	"讓我來削弱他們的力量。"
"DCG_VO_dark_troll_chieften_multi_damage_small_06"	"還有很多……"
"DCG_VO_dark_troll_chieften_multi_damage_small_07"	"我揮揮手就能粉碎你……"
"DCG_VO_dark_troll_chieften_multi_damage_small_08"	"我的款待只有死亡……"
"DCG_VO_dark_troll_chieften_multi_damage_small_09"	"這裡沒有仁慈……"
"DCG_VO_dark_troll_chieften_multi_damage_small_10"	"你一開始就不該來這裡。"
"DCG_VO_dark_troll_chieften_multi_damage_large_01"	"每個人都要死！"
"DCG_VO_dark_troll_chieften_multi_damage_large_02"	"你們所有人都會化為灰燼！"
"DCG_VO_dark_troll_chieften_multi_damage_large_03"	"該結束了！"
"DCG_VO_dark_troll_chieften_multi_damage_large_04"	"我會了結這一切！"
"DCG_VO_dark_troll_chieften_multi_damage_large_05"	"我一個人打你們所有人！"
"DCG_VO_dark_troll_chieften_multi_damage_large_06"	"我不在乎你們有多少人……"
"DCG_VO_dark_troll_chieften_multi_damage_large_07"	"酋長無所畏懼……包括死亡。"
"DCG_VO_dark_troll_chieften_multi_damage_large_08"	"你們全都要死……"
"DCG_VO_dark_troll_chieften_multi_damage_large_09"	"你們今天誰都走不了……"
"DCG_VO_dark_troll_chieften_multi_damage_large_10"	"你們的屍體遍佈沙場……"
"DCG_VO_dark_troll_chieften_pleased_01"	"很好。"
"DCG_VO_dark_troll_chieften_pleased_02"	"真是愉快。"
"DCG_VO_dark_troll_chieften_pleased_03"	"很棒。"
"DCG_VO_dark_troll_chieften_pleased_04"	"就該如此。"
"DCG_VO_dark_troll_chieften_pleased_05"	"正如預言的一樣……"
"DCG_VO_dark_troll_chieften_pleased_06"	"占卜不會說謊……"
"DCG_VO_dark_troll_chieften_pleased_07"	"我們得到了眷顧。"
"DCG_VO_dark_troll_chieften_pleased_08"	"先祖眷顧著我們。"
"DCG_VO_dark_troll_chieften_pleased_09"	"這會是致勝關鍵……"
"DCG_VO_dark_troll_chieften_pleased_10"	"幹得好！"
"DCG_VO_dark_troll_chieften_concerned_01"	"噢，我的天哪……"
"DCG_VO_dark_troll_chieften_concerned_02"	"這怎麼可能……"
"DCG_VO_dark_troll_chieften_concerned_03"	"占卜為什麼沒有警告我……"
"DCG_VO_dark_troll_chieften_concerned_04"	"我錯過了什麼預兆嗎？"
"DCG_VO_dark_troll_chieften_concerned_05"	"我為什麼沒有預見這個狀況？"
"DCG_VO_dark_troll_chieften_concerned_06"	"我讓我的族人失望了……"
"DCG_VO_dark_troll_chieften_concerned_07"	"不算太晚，還能挽回……"
"DCG_VO_dark_troll_chieften_concerned_08"	"一定還有辦法贏的……"
"DCG_VO_dark_troll_chieften_concerned_09"	"我不能就這樣放棄……"
"DCG_VO_dark_troll_chieften_concerned_10"	"如果我不能扭轉戰局，我們就都完了！"
"DCG_VO_dark_troll_chieften_angry_01"	"你敢？！"
"DCG_VO_dark_troll_chieften_angry_02"	"你懷疑我的力量？"
"DCG_VO_dark_troll_chieften_angry_03"	"你會感受到黑暗巨魔的憤怒！"
"DCG_VO_dark_troll_chieften_angry_04"	"我不容置疑！"
"DCG_VO_dark_troll_chieften_angry_05"	"別想愚弄我！"
"DCG_VO_dark_troll_chieften_angry_06"	"對抗我的人都別想活下來！"
"DCG_VO_dark_troll_chieften_angry_07"	"我什麼都做得出來！"
"DCG_VO_dark_troll_chieften_angry_08"	"你無法阻止我們！"
"DCG_VO_dark_troll_chieften_angry_09"	"這是你自找的……"
"DCG_VO_dark_troll_chieften_angry_10"	"你會得到自己應得的下場……"
"DCG_VO_dark_troll_chieften_arrogant_01"	"從一開始起，你的滅亡就已經註定……"
"DCG_VO_dark_troll_chieften_arrogant_02"	"與我作對，你沒有贏的機會。"
"DCG_VO_dark_troll_chieften_arrogant_03"	"我看到了未來……但未來裡沒有你。"
"DCG_VO_dark_troll_chieften_arrogant_04"	"膽子夠大的話就跟我打吧！"
"DCG_VO_dark_troll_chieften_arrogant_05"	"你瞭解我所掌握的力量嗎？"
"DCG_VO_dark_troll_chieften_arrogant_06"	"所有對抗我的人都要死……"
"DCG_VO_dark_troll_chieften_arrogant_07"	"乞求活命吧……"
"DCG_VO_dark_troll_chieften_arrogant_08"	"投降，饒你一命……"
"DCG_VO_dark_troll_chieften_arrogant_09"	"跟我們打是個愚蠢的決定……"
"DCG_VO_dark_troll_chieften_arrogant_10"	"以為自己會贏？純粹是幻覺。"
"DCG_VO_dark_troll_chieften_enigmatic_01"	"我會詢問占卜的結果。"
"DCG_VO_dark_troll_chieften_enigmatic_02"	"未來晦暗不明……"
"DCG_VO_dark_troll_chieften_enigmatic_03"	"我祈禱這是正確的選擇……"
"DCG_VO_dark_troll_chieften_enigmatic_04"	"這是個艱難的決定……"
"DCG_VO_dark_troll_chieften_enigmatic_05"	"該做的我會做……"
"DCG_VO_dark_troll_chieften_enigmatic_06"	"必須獻上祭品……"
"DCG_VO_dark_troll_chieften_enigmatic_07"	"我無法改變預言……"
"DCG_VO_dark_troll_chieften_enigmatic_08"	"命運不容質疑……"
"DCG_VO_dark_troll_chieften_enigmatic_09"	"我不撰寫未來，我只詮釋。"
"DCG_VO_dark_troll_chieften_enigmatic_10"	"我的力量沒有止盡。"
"DCG_VO_dark_troll_chieften_death_01"	"<i>尖叫</i>"
"DCG_VO_storm_spirit_intro"	"關於宙斯，能說的可不少。他的鬍子很可愛，他的體格就像是大理石雕琢而成，當論到變身成天鵝背著老婆出軌，沒人比他更行。但有一個誤會，那就是他不是「雷神」，因為我才是雷霆，我才是閃電，我才是狂風，我才是暴雨。是的，我才是暴風雨……而我不敬任何神。"
"DCG_VO_storm_spirit_rolling_storm"	"與宙斯會面最糟糕的部分是，在我們進入正題之前，得先忍受他裝模作樣。"
"DCG_VO_storm_spirit_thunderstorm"	"宙斯毀了一座建築，所以我毀了一支軍隊……我以為問題解決了，但他卻氣壞了，把一座城市變成了隕石坑。"
"DCG_VO_storm_spirit_ball_lightning"	"雖然那位所謂的「雷神」移動時靠的是雙腳，但真正的雷霆王者有更好的出行方式……"
"DCG_VO_storm_spirit_equip_generic_weapon_01"	"好一個粗糙卻又迷人的裝置！"
"DCG_VO_storm_spirit_equip_generic_weapon_02"	"啊，多麼愉悅！"
"DCG_VO_storm_spirit_equip_generic_weapon_03"	"我們的冒險會充滿怎樣的樂趣呢，小兇器。"
"DCG_VO_storm_spirit_equip_generic_weapon_04"	"啊～我想把死亡握在手中，已經想很久了。"
"DCG_VO_storm_spirit_equip_generic_weapon_05"	"該用哪一端刺人呢……"
"DCG_VO_storm_spirit_equip_generic_armor_01"	"它能襯托我眼睛的顏色……"
"DCG_VO_storm_spirit_equip_generic_armor_02"	"真舒服……"
"DCG_VO_storm_spirit_equip_generic_armor_03"	"我在此聲明我乃……時尚最尖端！"
"DCG_VO_storm_spirit_equip_generic_armor_04"	"真愉快！它甚至沒有遮擋我的光芒……"
"DCG_VO_storm_spirit_equip_generic_armor_05"	"非常適合像我這等才華洋溢的人……"
"DCG_VO_storm_spirit_equip_generic_accessory_01"	"哈哈！看它如何在我的光芒中閃耀！"
"DCG_VO_storm_spirit_equip_generic_accessory_02"	"喔？沒關係的，你太客氣了！"
"DCG_VO_storm_spirit_equip_generic_accessory_03"	"這真不錯。玩具我是玩不膩的！"
"DCG_VO_storm_spirit_equip_generic_accessory_04"	"我一直想要這個！你怎麼會知道？"
"DCG_VO_storm_spirit_equip_generic_accessory_05"	"你很懂我嘛，真的。"
"DCG_VO_storm_spirit_kill_rival_01"	"一個恰到好處有合理的結局……"
"DCG_VO_storm_spirit_kill_rival_02"	"啊，我玩得很開心。你呢？"
"DCG_VO_storm_spirit_kill_rival_03"	"所有人都會向雷電屈膝……"
"DCG_VO_storm_spirit_kill_rival_04"	"看別人觸電永遠都這麼好玩……"
"DCG_VO_storm_spirit_kill_rival_05"	"你是洶湧風暴的祭品……"
"DCG_VO_storm_spirit_kill_rival_06"	"別難過，朋友，這是必然的結果。"
"DCG_VO_storm_spirit_kill_rival_07"	"還有很多人會跟你一起上路……"
"DCG_VO_storm_spirit_kill_rival_08"	"祝你下次順利……"
"DCG_VO_storm_spirit_kill_rival_09"	"今天真是充滿樂趣……"
"DCG_VO_storm_spirit_kill_rival_10"	"在風暴本尊面前，你又有幾分渺茫的機會？"
"DCG_VO_storm_spirit_use_include_01"	"哈哈哈哈！"
"DCG_VO_storm_spirit_use_include_02"	"風暴降臨！"
"DCG_VO_storm_spirit_use_include_03"	"讓雷聲成為我到來的標誌！"
"DCG_VO_storm_spirit_unique_01"	"學著點，低等神……"
"DCG_VO_storm_spirit_unique_02"	"宙斯，是時候輪到我們大鬧天界了……"
"DCG_VO_storm_spirit_unique_03"	"很高興這次能站在同一陣營……"
"DCG_VO_storm_spirit_unique_04"	"怎麼會這樣！"
"DCG_VO_storm_spirit_unique_05"	"宙斯，你覺得自己很與眾不同嗎……"
"DCG_VO_storm_spirit_unique_06"	"宙斯，感覺如何啊？"
"DCG_VO_storm_spirit_unique_07"	"這一刻，我等得太久了……"
"DCG_VO_storm_spirit_unique_08"	"我們都認識這麼久了，宙斯，你還以為你有辦法贏過我嗎？"
"DCG_VO_storm_spirit_unique_09"	"興奮顯而易見，氛圍……就像放電！"
"DCG_VO_storm_spirit_unique_10"	"啊，一個覬覦我力量的冒牌貨！你能發出如此美妙的聲響嗎！"
"DCG_VO_storm_spirit_unique_11"	"好好學習，凡人之子，這樣將來你才能成為我……的弱化版本……"
"DCG_VO_storm_spirit_unique_12"	"我會折斷你的翅膀，凡人……"
"DCG_VO_storm_spirit_unique_13"	"你向我尋求幫助是明智的，普瑞蕾斯。"
"DCG_VO_storm_spirit_unique_14"	"我看得出來聖輝的品味非常好……"
"DCG_VO_storm_spirit_unique_15"	"哦，普瑞蕾斯……我是宙斯那樣的情場老手嗎？"
"DCG_VO_storm_spirit_unique_16"	"沒有遺跡能讓風屈服。"
"DCG_VO_storm_spirit_unique_17"	"普瑞蕾斯，準備好要大幹一場了嗎……"
"DCG_VO_storm_spirit_unique_18"	"聖輝和魔魘的聯合力量對我來說根本不算什麼！"
"DCG_VO_storm_spirit_unique_19"	"你真討人喜歡，冰晶聖女，殺了你有點可惜。"
"DCG_VO_storm_spirit_unique_20"	"沒人能找到更稱心如意的同伴了，即使神靈也不能！"
"DCG_VO_storm_spirit_healed_01"	"啊！"
"DCG_VO_storm_spirit_healed_02"	"我喜歡這一段！"
"DCG_VO_storm_spirit_healed_03"	"很好。"
"DCG_VO_storm_spirit_healed_04"	"明智的選擇……"
"DCG_VO_storm_spirit_healed_05"	"你無法殺死風暴……"
"DCG_VO_storm_spirit_taunt_generic_01"	"我來了，大家可以放心了。"
"DCG_VO_storm_spirit_taunt_generic_02"	"今天真是太適合大幹一場了！"
"DCG_VO_storm_spirit_taunt_generic_03"	"我們很快就會拿下這座塔……"
"DCG_VO_storm_spirit_taunt_generic_04"	"摧毀遺跡不費吹灰之力……"
"DCG_VO_storm_spirit_taunt_generic_05"	"面對大自然的力量，他們不可能擋得住！"
"DCG_VO_storm_spirit_taunt_generic_06"	"我降臨之時，電閃雷鳴……"
"DCG_VO_storm_spirit_taunt_generic_07"	"沒錯，這是戰爭，但從中找樂子也是很重要的……"
"DCG_VO_storm_spirit_taunt_generic_08"	"我們去大幹一場怎麼樣……"
"DCG_VO_storm_spirit_taunt_generic_09"	"喔，我最喜歡這樣了……"
"DCG_VO_storm_spirit_taunt_generic_10"	"期待顯而易見……"
"DCG_VO_storm_spirit_potential_kill_01"	"別心急，就快結束了……"
"DCG_VO_storm_spirit_potential_kill_02"	"你逃不出我的掌心……"
"DCG_VO_storm_spirit_potential_kill_03"	"你無處可躲了……"
"DCG_VO_storm_spirit_potential_kill_04"	"別再跑了……"
"DCG_VO_storm_spirit_potential_kill_05"	"你讓我費了不少力氣，我肯定你這一點。"
"DCG_VO_storm_spirit_potential_save_01"	"你居然覺得自己殺得了我，真可愛。"
"DCG_VO_storm_spirit_potential_save_02"	"很有意思，但徒勞無功。"
"DCG_VO_storm_spirit_potential_save_03"	"再加把勁……"
"DCG_VO_storm_spirit_potential_save_04"	"或許你應該去宙斯身上試試……"
"DCG_VO_storm_spirit_potential_save_05"	"想得美……"
"DCG_VO_storm_spirit_permanent_armor_01"	"風暴更猛烈了……"
"DCG_VO_storm_spirit_permanent_armor_02"	"真希望我兄弟能看到我現在的樣子……"
"DCG_VO_storm_spirit_permanent_armor_03"	"我越來越強……"
"DCG_VO_storm_spirit_permanent_armor_04"	"誰敢來與我對戰？"
"DCG_VO_storm_spirit_permanent_armor_05"	"我一直很喜歡這具不死之身。"
"DCG_VO_storm_spirit_permanent_attack_01"	"我感覺自己能擊碎群山……"
"DCG_VO_storm_spirit_permanent_attack_02"	"力量！"
"DCG_VO_storm_spirit_permanent_attack_03"	"哈哈！"
"DCG_VO_storm_spirit_permanent_attack_04"	"挑戰我是愚蠢的行為！"
"DCG_VO_storm_spirit_permanent_attack_05"	"啊，我多麼期待給人來個電療……"
"DCG_VO_storm_spirit_permanent_health_01"	"保持健康非常重要……"
"DCG_VO_storm_spirit_permanent_health_02"	"太贊了！我變強了！"
"DCG_VO_storm_spirit_permanent_health_03"	"我變得更堅韌……"
"DCG_VO_storm_spirit_permanent_health_04"	"我簡直控制不住我自己！"
"DCG_VO_storm_spirit_permanent_health_05"	"很久沒感覺這麼棒了……"
"DCG_VO_storm_spirit_cast_spell_01"	"遊戲時間到……"
"DCG_VO_storm_spirit_cast_spell_02"	"這是我最喜歡的部分……"
"DCG_VO_storm_spirit_cast_spell_03"	"哈哈哈哈哈哈。"
"DCG_VO_storm_spirit_cast_spell_04"	"嘻嘻！"
"DCG_VO_storm_spirit_cast_spell_05"	"噢，你即將見證奇跡……"
"DCG_VO_storm_spirit_cast_spell_06"	"神靈能做的事情很多……"
"DCG_VO_storm_spirit_cast_spell_07"	"仔細看好，錯過你會後悔的……"
"DCG_VO_storm_spirit_cast_spell_08"	"好戲開場！"
"DCG_VO_storm_spirit_cast_spell_09"	"等不及看好戲了……"
"DCG_VO_storm_spirit_cast_spell_10"	"簡直太棒了！"
"DCG_VO_storm_spirit_buff_ally_01"	"因為你值得……"
"DCG_VO_storm_spirit_buff_ally_02"	"一份大禮，我送你的！"
"DCG_VO_storm_spirit_buff_ally_03"	"我想給你留點小玩意。"
"DCG_VO_storm_spirit_buff_ally_04"	"資源是拿來共用的……"
"DCG_VO_storm_spirit_buff_ally_05"	"拿去玩吧，我的朋友……"
"DCG_VO_storm_spirit_buff_ally_06"	"我正在想你呢！"
"DCG_VO_storm_spirit_buff_ally_07"	"發禮物咯！人人有份！"
"DCG_VO_storm_spirit_buff_ally_08"	"我自戀不代表我自私……"
"DCG_VO_storm_spirit_buff_ally_09"	"千萬別說我都沒照顧你……"
"DCG_VO_storm_spirit_buff_ally_10"	"我對朋友一向很好的……"
"DCG_VO_storm_spirit_debuff_enemy_01"	"你今天會過得很不開心……"
"DCG_VO_storm_spirit_debuff_enemy_02"	"如果我告訴你，這才剛開始而已，你會相信嗎？"
"DCG_VO_storm_spirit_debuff_enemy_03"	"繼續努力，好嗎？"
"DCG_VO_storm_spirit_debuff_enemy_04"	"別擔心，你還沒錯過大結局。"
"DCG_VO_storm_spirit_debuff_enemy_05"	"很難熬，是吧？"
"DCG_VO_storm_spirit_debuff_enemy_06"	"你該不會厭煩了吧？"
"DCG_VO_storm_spirit_debuff_enemy_07"	"別傷心，你從一開始就不是我的對手……"
"DCG_VO_storm_spirit_debuff_enemy_08"	"你所感受到的就是絕望的沉重……"
"DCG_VO_storm_spirit_debuff_enemy_09"	"你明明毫無機會，但敢於嘗試，這很好……"
"DCG_VO_storm_spirit_debuff_enemy_10"	"我作起來輕鬆自如，不是嗎……"
"DCG_VO_storm_spirit_single_target_damage_01"	"你對我來說根本不是威脅。"
"DCG_VO_storm_spirit_single_target_damage_02"	"讓我來對付這個傢伙……"
"DCG_VO_storm_spirit_single_target_damage_03"	"我會優雅華麗地幹掉你……"
"DCG_VO_storm_spirit_single_target_damage_04"	"這會很愉快……"
"DCG_VO_storm_spirit_single_target_damage_05"	"殺死凡人總是那麼讓人精神一振……"
"DCG_VO_storm_spirit_single_target_damage_06"	"你不該惹怒我……"
"DCG_VO_storm_spirit_single_target_damage_07"	"你想要挑戰我？很好。"
"DCG_VO_storm_spirit_single_target_damage_08"	"太簡單了。"
"DCG_VO_storm_spirit_single_target_damage_09"	"請讓我來……"
"DCG_VO_storm_spirit_single_target_damage_10"	"我來搞定這傢伙。"
"DCG_VO_storm_spirit_multi_damage_small_01"	"看好了，我只需要輕輕揮手……"
"DCG_VO_storm_spirit_multi_damage_small_02"	"這些蟲子在我腳下……"
"DCG_VO_storm_spirit_multi_damage_small_03"	"我會猛擊這些臭蟲……"
"DCG_VO_storm_spirit_multi_damage_small_04"	"他們怎麼覺得自己會贏呢……"
"DCG_VO_storm_spirit_multi_damage_small_05"	"他們數量龐大，除此之外不足為懼……"
"DCG_VO_storm_spirit_multi_damage_small_06"	"用不了多久……"
"DCG_VO_storm_spirit_multi_damage_small_07"	"看來這裡需要我幫忙……"
"DCG_VO_storm_spirit_multi_damage_small_08"	"跳舞吧，木偶們，一起跳舞！"
"DCG_VO_storm_spirit_multi_damage_small_09"	"我還等著一場惡戰呢，可惜……"
"DCG_VO_storm_spirit_multi_damage_small_10"	"是時候結束遊戲了。"
"DCG_VO_storm_spirit_multi_damage_large_01"	"讓我來展示一下我的力量……"
"DCG_VO_storm_spirit_multi_damage_large_02"	"如果你想打架，我就奉陪。"
"DCG_VO_storm_spirit_multi_damage_large_03"	"都結束了。"
"DCG_VO_storm_spirit_multi_damage_large_04"	"你的死期到了。"
"DCG_VO_storm_spirit_multi_damage_large_05"	"大結局的時間到了。"
"DCG_VO_storm_spirit_multi_damage_large_06"	"末日將至……"
"DCG_VO_storm_spirit_multi_damage_large_07"	"我愛精彩的謝幕……"
"DCG_VO_storm_spirit_multi_damage_large_08"	"看！招！"
"DCG_VO_storm_spirit_multi_damage_large_09"	"天啊！我愛死這個了……"
"DCG_VO_storm_spirit_multi_damage_large_10"	"死亡對你是莫大的仁慈……"
"DCG_VO_storm_spirit_pleased_01"	"真開心！"
"DCG_VO_storm_spirit_pleased_02"	"真愉快！"
"DCG_VO_storm_spirit_pleased_03"	"太好了！"
"DCG_VO_storm_spirit_pleased_04"	"噢，極致的快樂！"
"DCG_VO_storm_spirit_pleased_05"	"太棒了！"
"DCG_VO_storm_spirit_pleased_06"	"這令我愉悅……"
"DCG_VO_storm_spirit_pleased_07"	"多麼令人驚喜……"
"DCG_VO_storm_spirit_pleased_08"	"令人滿意……"
"DCG_VO_storm_spirit_pleased_09"	"令人驚歎的好運！"
"DCG_VO_storm_spirit_pleased_10"	"真是個好日子……"
"DCG_VO_storm_spirit_concerned_01"	"噢，我的天哪……"
"DCG_VO_storm_spirit_concerned_02"	"嗯……"
"DCG_VO_storm_spirit_concerned_03"	"沒想到會這樣……"
"DCG_VO_storm_spirit_concerned_04"	"這是……有問題的……"
"DCG_VO_storm_spirit_concerned_05"	"這跟我之前想的不一樣……"
"DCG_VO_storm_spirit_concerned_06"	"逆境出教訓……"
"DCG_VO_storm_spirit_concerned_07"	"這可真意外。"
"DCG_VO_storm_spirit_concerned_08"	"不關我的事。"
"DCG_VO_storm_spirit_concerned_09"	"這比預期的還要糟……"
"DCG_VO_storm_spirit_concerned_10"	"恐懼使生命變得有價值……"
"DCG_VO_storm_spirit_angry_01"	"激怒我是個愚蠢的錯誤……"
"DCG_VO_storm_spirit_angry_02"	"你敢？"
"DCG_VO_storm_spirit_angry_03"	"你會付出代價的！"
"DCG_VO_storm_spirit_angry_04"	"你不會有好下場的。"
"DCG_VO_storm_spirit_angry_05"	"我會讓你嚐到苦頭！"
"DCG_VO_storm_spirit_angry_06"	"我要把你打倒在地……"
"DCG_VO_storm_spirit_angry_07"	"面對風暴的狂怒吧！"
"DCG_VO_storm_spirit_angry_08"	"我會讓你受苦！"
"DCG_VO_storm_spirit_angry_09"	"沒有誰能挑戰我！"
"DCG_VO_storm_spirit_angry_10"	"你竟敢挑戰我？"
"DCG_VO_storm_spirit_arrogant_01"	"真可悲……"
"DCG_VO_storm_spirit_arrogant_02"	"沒人比得上我……"
"DCG_VO_storm_spirit_arrogant_03"	"跑龍套的就別再來丟人了……"
"DCG_VO_storm_spirit_arrogant_04"	"你根本不知道站在你面前的是誰……"
"DCG_VO_storm_spirit_arrogant_05"	"至少你在死前可以供我消遣……"
"DCG_VO_storm_spirit_arrogant_06"	"你的驕傲決定了你的落敗。"
"DCG_VO_storm_spirit_arrogant_07"	"我能證實我的每個斷言……"
"DCG_VO_storm_spirit_arrogant_08"	"我做出的不是威脅，而是承諾……"
"DCG_VO_storm_spirit_arrogant_09"	"在我面前逃跑吧！"
"DCG_VO_storm_spirit_arrogant_10"	"沒人能逃出我的手掌心！"
"DCG_VO_storm_spirit_enigmatic_01"	"誰能知曉暴風的意志……"
"DCG_VO_storm_spirit_enigmatic_02"	"我的力量無窮無盡……"
"DCG_VO_storm_spirit_enigmatic_03"	"我禦風而行……"
"DCG_VO_storm_spirit_enigmatic_04"	"我帶來了輝煌的毀滅……"
"DCG_VO_storm_spirit_enigmatic_05"	"人類的玩具確實很奇妙……"
"DCG_VO_storm_spirit_enigmatic_06"	"你們當中誰敢奢望阻止我？"
"DCG_VO_storm_spirit_enigmatic_07"	"我的力量輝煌燃燒……"
"DCG_VO_storm_spirit_enigmatic_08"	"電光石火之間……你就死了。"
"DCG_VO_storm_spirit_enigmatic_09"	"我敢斷言，我們會玩得很愉快……"
"DCG_VO_storm_spirit_enigmatic_10"	"是時候來製造點小麻煩了……"
"DCG_VO_storm_spirit_death_01"	"<i>尖叫</i>"
"DCG_VO_ursa_intro"	"這本不是我的戰鬥，可是，如果我不與豺狼人並肩作戰，那麼古銅軍團遲早會找上我的族人。我們必須向他們傳遞一個消息……用鮮血寫就的消息。"
"DCG_VO_ursa_enrage"	"我的族人在戰鬥時，並不僅僅以自己的身軀戰鬥。先祖的靈魂與我們每個人在一起，是他們的力量讓我們鬥志昂揚。"
"DCG_VO_ursa_rend_armor"	"基恩人認為他們那些沒有靈魂的裝置可以在戰鬥中取得優勢，但我會讓他們知道，他們的「科血」根本不夠強大。"
"DCG_VO_ursa_equip_generic_weapon_01"	"我的敵人將會倒下……"
"DCG_VO_ursa_equip_generic_weapon_02"	"我會讓這玩意兒喝點血……"
"DCG_VO_ursa_equip_generic_weapon_03"	"準備戰鬥……"
"DCG_VO_ursa_equip_generic_weapon_04"	"我做好了戰爭的準備……"
"DCG_VO_ursa_equip_generic_weapon_05"	"我會將他們撕成碎片……"
"DCG_VO_ursa_equip_generic_armor_01"	"我不會倒下……"
"DCG_VO_ursa_equip_generic_armor_02"	"他們在追捕我……但他們殺不了我……"
"DCG_VO_ursa_equip_generic_armor_03"	"我將巋然不動……"
"DCG_VO_ursa_equip_generic_armor_04"	"我不會和族人遭遇同樣的命運。"
"DCG_VO_ursa_equip_generic_armor_05"	"我會保衛我的族人……"
"DCG_VO_ursa_equip_generic_accessory_01"	"有趣的小玩意……"
"DCG_VO_ursa_equip_generic_accessory_02"	"這會很有用……"
"DCG_VO_ursa_equip_generic_accessory_03"	"嗯，人類的小玩意……"
