"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Я во многом не согласна с Пьерпонтом, но он весьма прозорливо решил, что злить Безликого опасно. Класзуремское соглашение меня совсем не радует, ведь хрономантия — вещь хорошая. Но знаете, что ещё хорошо? Когда время в твоём мире никто не уничтожил."
"DCG_VO_legion_commander_unique_18"	"В атаку! Пока они не оправились!"
"DCG_VO_legion_commander_unique_19"	"Рада, что ты одумался, Рикс."
"DCG_VO_legion_commander_unique_20"	"Рикс... Возможно, после этой победы Галаний тебя помилует."
"DCG_VO_legion_commander_healed_01"	"Ах..."
"DCG_VO_legion_commander_healed_02"	"Благодарю."
"DCG_VO_legion_commander_healed_03"	"Готова к бою."
"DCG_VO_legion_commander_healed_04"	"Бой ещё не окончен."
"DCG_VO_legion_commander_healed_05"	"Я не покину поле боя."
"DCG_VO_legion_commander_taunt_generic_01"	"За славный Стоунхолл!"
"DCG_VO_legion_commander_taunt_generic_02"	"Преклонись или умри!"
"DCG_VO_legion_commander_taunt_generic_03"	"Победа близка!"
"DCG_VO_legion_commander_taunt_generic_04"	"Настал подходящий момент!"
"DCG_VO_legion_commander_taunt_generic_05"	"Пора закончить битву!"
"DCG_VO_legion_commander_taunt_generic_06"	"Победа у нас в кармане!"
"DCG_VO_legion_commander_taunt_generic_07"	"Не расслабляться, этот бой за нами!"
"DCG_VO_legion_commander_taunt_generic_08"	"Не отступать!"
"DCG_VO_legion_commander_taunt_generic_09"	"Отлично, но битва ещё не окончена!"
"DCG_VO_legion_commander_taunt_generic_10"	"Хорошая работа. Покончим с этим."
"DCG_VO_legion_commander_potential_kill_01"	"Ты умрёшь прямо здесь."
"DCG_VO_legion_commander_potential_kill_02"	"Тебе меня не одолеть."
"DCG_VO_legion_commander_potential_kill_03"	"Тебе не уйти."
"DCG_VO_legion_commander_potential_kill_04"	"Ну уж нет."
"DCG_VO_legion_commander_potential_kill_05"	"Я сделаю это быстро."
"DCG_VO_legion_commander_potential_save_01"	"Я так просто не сдамся."
"DCG_VO_legion_commander_potential_save_02"	"Жаль тебя разочаровывать."
"DCG_VO_legion_commander_potential_save_03"	"Сегодня я не умру."
"DCG_VO_legion_commander_potential_save_04"	"Меня так легко не убить."
"DCG_VO_legion_commander_potential_save_05"	"Мне не впервой смотреть смерти в глаза."
"DCG_VO_legion_commander_permanent_armor_01"	"Я поведу войско, поэтому мне нужно быть готовой ко всему."
"DCG_VO_legion_commander_permanent_armor_02"	"Пусть попробуют ранить меня."
"DCG_VO_legion_commander_permanent_armor_03"	"Я с гордостью ринусь в бой."
"DCG_VO_legion_commander_permanent_armor_04"	"Поднять знамя бычьей змеи!"
"DCG_VO_legion_commander_permanent_armor_05"	"Бронзовый легион всегда готов."
"DCG_VO_legion_commander_permanent_attack_01"	"Тренировка лишней не бывает."
"DCG_VO_legion_commander_permanent_attack_02"	"Моя сила растёт на глазах."
"DCG_VO_legion_commander_permanent_attack_03"	"Я покажу солдатам пример."
"DCG_VO_legion_commander_permanent_attack_04"	"Кто теперь бросит мне вызов?"
"DCG_VO_legion_commander_permanent_attack_05"	"Я использую любое преимущество."
"DCG_VO_legion_commander_permanent_health_01"	"Нужно подготовиться к битве."
"DCG_VO_legion_commander_permanent_health_02"	"Чем дольше я выстою, тем лучше."
"DCG_VO_legion_commander_permanent_health_03"	"Кто знает, сколько продлится бой... Я должна быть готова."
"DCG_VO_legion_commander_permanent_health_04"	"Я буду сражаться до последнего вздоха."
"DCG_VO_legion_commander_permanent_health_05"	"Эта битва за мной!"
"DCG_VO_legion_commander_cast_spell_01"	"Жаль, Беласанно этого не увидит..."
"DCG_VO_legion_commander_cast_spell_02"	"Вам не сломить Легион!"
"DCG_VO_legion_commander_cast_spell_03"	"Всё как я задумала."
"DCG_VO_legion_commander_cast_spell_04"	"Ничто не сравнится с Легионом!"
"DCG_VO_legion_commander_cast_spell_05"	"В атаку!"
"DCG_VO_legion_commander_cast_spell_06"	"Время нанести удар!"
"DCG_VO_legion_commander_cast_spell_07"	"Ощути гнев Легиона!"
"DCG_VO_legion_commander_cast_spell_08"	"Мы готовы ко всему..."
"DCG_VO_legion_commander_cast_spell_09"	"Нас не остановить!"
"DCG_VO_legion_commander_cast_spell_10"	"Нужно подготовиться..."
"DCG_VO_legion_commander_death_01"	"<i>кричит</i>"
"DCG_VO_dark_seer_intro"	"Красный туман медленно продвигается к Стоунхоллу. Бронзовый легион планирует засаду в Розолисте. Но жителям этого воулского города не по душе оккупация, и потому они подняли восстание. Три фракции. Одно поле боя. И ни одного настоящего стратега. Я сокрушу этих горе-воителей и тем самым подтвержу свою гениальность."
"DCG_VO_dark_seer_ion_shell_intro"	"Громила умеет только махать мечом и не думает о последствиях... А предсказуемость легко использовать."
"DCG_VO_dark_seer_foresight"	"Оракул утверждает, что предвидит все возможности. Коли так, он мог бы стать ценным союзником... или хотя бы достойным противником."
"DCG_VO_dark_seer_use_ability_01"	"Прилив энергии!"
"DCG_VO_dark_seer_use_ability_02"	"На позицию!"
"DCG_VO_dark_seer_use_ability_03"	"Они этого не ждут."
"DCG_VO_dark_seer_use_ability_04"	"Узрите мой гений!"
"DCG_VO_dark_seer_use_ability_05"	"Я на поле боя хозяин."
"DCG_VO_dark_seer_equip_generic_weapon_01"	"Я найду этому применение."
"DCG_VO_dark_seer_equip_generic_weapon_02"	"Мои враги падут."
"DCG_VO_dark_seer_equip_generic_weapon_03"	"Готов к войне."
"DCG_VO_dark_seer_equip_generic_weapon_04"	"Скоро мои враги потерпят поражение."
"DCG_VO_dark_seer_equip_generic_weapon_05"	"Это моё поле боя."
"DCG_VO_dark_seer_equip_generic_armor_01"	"Стратегу положена хорошая защита."
"DCG_VO_dark_seer_equip_generic_armor_02"	"Я всегда готов."
"DCG_VO_dark_seer_equip_generic_armor_03"	"Я переживу эту битву."
"DCG_VO_dark_seer_equip_generic_armor_04"	"Идеально."
"DCG_VO_dark_seer_equip_generic_armor_05"	"Как я и планировал."
"DCG_VO_dark_seer_equip_generic_accessory_01"	"Как раз то, что нужно."
"DCG_VO_dark_seer_equip_generic_accessory_02"	"Воспользуюсь с умом."
"DCG_VO_dark_seer_equip_generic_accessory_03"	"Я не собираюсь покидать бой."
"DCG_VO_dark_seer_equip_generic_accessory_04"	"Достойно моего гения."
"DCG_VO_dark_seer_equip_generic_accessory_05"	"Я готов ко всему."
"DCG_VO_dark_seer_kill_rival_01"	"Тебе не выжить."
"DCG_VO_dark_seer_kill_rival_02"	"Мой план идеален."
"DCG_VO_dark_seer_kill_rival_03"	"Зря ты надеешься выжить."
"DCG_VO_dark_seer_kill_rival_04"	"Это моё поле боя."
"DCG_VO_dark_seer_kill_rival_05"	"Все мои враги будут уничтожены."
"DCG_VO_dark_seer_kill_rival_06"	"Исход войны был ясен ещё в начале."
"DCG_VO_dark_seer_kill_rival_07"	"Никто не превзойдёт мой тактический гений."
"DCG_VO_dark_seer_kill_rival_08"	"Ты мне не ровня."
"DCG_VO_dark_seer_kill_rival_09"	"Я прикончу тебя быстро."
"DCG_VO_dark_seer_kill_rival_10"	"Я не боюсь запачкать руки..."
"DCG_VO_dark_seer_use_include_01"	"Кто осмелится напасть на нас, тот поплатится."
"DCG_VO_dark_seer_use_include_02"	"Ионный панцирь!"
"DCG_VO_dark_seer_use_include_03"	"Ну давай, нападай!"
"DCG_VO_dark_seer_unique_01"	"Думаешь, с твоим жалким умом получится взять Стоунхолл в осаду?"
"DCG_VO_dark_seer_unique_02"	"Ты просто дикарка, Сорла, вот и всё."
"DCG_VO_dark_seer_unique_03"	"Ваш бунт обречён на провал."
"DCG_VO_dark_seer_unique_04"	"Рикс, ты сражаешься страстно, но не умно."
"DCG_VO_dark_seer_unique_05"	"Твоя война бессмысленна, Тресдин."
"DCG_VO_dark_seer_unique_06"	"Я бы командовал Бронзовым легионом как надо."
"DCG_VO_dark_seer_unique_07"	"И ты называешь себя чемпионом?"
"DCG_VO_dark_seer_unique_08"	"Акс, зачем ты пытаешься писать историю, если не умеешь читать?"
"DCG_VO_dark_seer_unique_09"	"Твоя смерть обойдётся им очень дорого."
"DCG_VO_dark_seer_unique_10"	"Рикс, следуй моим приказам, и ты победишь."
"DCG_VO_dark_seer_unique_11"	"Наших врагов ждёт неприятный сюрприз."
"DCG_VO_dark_seer_unique_12"	"Поверь мне, Урса, так мы придём к победе."
"DCG_VO_dark_seer_unique_13"	"Ты мудро поступила, что попросила моей помощи."
"DCG_VO_dark_seer_unique_14"	"Я принесу вам победу."
"DCG_VO_dark_seer_unique_15"	"Все твои враги падут!"
"DCG_VO_dark_seer_unique_16"	"Смотри, как растёт твоя сила."
"DCG_VO_dark_seer_unique_17"	"Маззи, тебя все будут бояться."
"DCG_VO_dark_seer_unique_18"	"Никто не посмеет напасть на тебя."
"DCG_VO_dark_seer_unique_19"	"Позволь, я покажу, чего можно достичь с такой бронёй."
"DCG_VO_dark_seer_unique_20"	"Чем дольше они сопротивляются, тем больше об этом пожалеют."
"DCG_VO_dark_seer_healed_01"	"Ах..."
"DCG_VO_dark_seer_healed_02"	"Мудрый выбор."
"DCG_VO_dark_seer_healed_03"	"Разумное вложение."
"DCG_VO_dark_seer_healed_04"	"Мне лучше."
"DCG_VO_dark_seer_healed_05"	"Я готов к бою."
"DCG_VO_dark_seer_taunt_generic_01"	"Эта битва уже выиграна!"
"DCG_VO_dark_seer_taunt_generic_02"	"Моя хитрость исключительна."
"DCG_VO_dark_seer_taunt_generic_03"	"Наша победа близка."
"DCG_VO_dark_seer_taunt_generic_04"	"Я приведу нас к победе."
"DCG_VO_dark_seer_taunt_generic_05"	"Слушайтесь моих приказов, и никто нас не удержит."
"DCG_VO_dark_seer_taunt_generic_06"	"Я — величайший военный гений за многие века."
"DCG_VO_dark_seer_taunt_generic_07"	"Нашей армии нет равных."
"DCG_VO_dark_seer_taunt_generic_08"	"Мы победим в этом бою."
"DCG_VO_dark_seer_taunt_generic_09"	"Я готов к любому исходу."
"DCG_VO_dark_seer_taunt_generic_10"	"Победа в наших руках."
"DCG_VO_dark_seer_potential_kill_01"	"Меня не обхитрить."
"DCG_VO_dark_seer_potential_kill_02"	"От меня не скрыться."
"DCG_VO_dark_seer_potential_kill_03"	"Я давно замышлял твою смерть."
"DCG_VO_dark_seer_potential_kill_04"	"Ты в ловушке."
"DCG_VO_dark_seer_potential_kill_05"	"Меня не перемудрить!"
"DCG_VO_dark_seer_potential_save_01"	"У меня есть запасной план на все случаи."
"DCG_VO_dark_seer_potential_save_02"	"Я всегда планирую наперёд."
"DCG_VO_dark_seer_potential_save_03"	"Думаешь, я был не готов?"
"DCG_VO_dark_seer_potential_save_04"	"Думаешь, твой жалкий разум сообразит, как меня победить?"
"DCG_VO_dark_seer_potential_save_05"	"Твои старания примитивны."
"DCG_VO_dark_seer_permanent_armor_01"	"Пусть попробуют поразить меня."
"DCG_VO_dark_seer_permanent_armor_02"	"Выжить — вот что важнее всего."
"DCG_VO_dark_seer_permanent_armor_03"	"Я буду готов ко всему."
"DCG_VO_dark_seer_permanent_armor_04"	"Когда за мной придут, я буду готов."
"DCG_VO_dark_seer_permanent_armor_05"	"Всё это часть моего плана."
"DCG_VO_dark_seer_permanent_attack_01"	"Я стал сильнее."
"DCG_VO_dark_seer_permanent_attack_02"	"Мой гений всё сильнее!"
"DCG_VO_dark_seer_permanent_attack_03"	"Я стал ещё смертоноснее."
"DCG_VO_dark_seer_permanent_attack_04"	"Наши враги скоро погибнут."
"DCG_VO_dark_seer_permanent_attack_05"	"Как всегда, меня недооценили."
"DCG_VO_dark_seer_permanent_health_01"	"Я стал крепче."
"DCG_VO_dark_seer_permanent_health_02"	"Становлюсь крепче."
"DCG_VO_dark_seer_permanent_health_03"	"Смерть не найдёт меня."
"DCG_VO_dark_seer_permanent_health_04"	"Я буду сражаться, пока жив."
"DCG_VO_dark_seer_permanent_health_05"	"Чувствую прилив сил."
"DCG_VO_dark_seer_cast_spell_01"	"Я все продумал."
"DCG_VO_dark_seer_cast_spell_02"	"Посмотрим, к чему готовы враги."
"DCG_VO_dark_seer_cast_spell_03"	"Они к такому не готовы..."
"DCG_VO_dark_seer_cast_spell_04"	"Посмотрим, найдётся ли у них ответ!"
"DCG_VO_dark_seer_cast_spell_05"	"Ощути мою силу!"
"DCG_VO_dark_seer_cast_spell_06"	"Узрите!"
"DCG_VO_dark_seer_cast_spell_07"	"Мне нет равных!"
"DCG_VO_dark_seer_cast_spell_08"	"Поле битвы принадлежит мне!"
"DCG_VO_dark_seer_cast_spell_09"	"Трепещите!"
"DCG_VO_dark_seer_cast_spell_10"	"Я предвидел абсолютно всё!"
"DCG_VO_dark_seer_death_01"	"<i>(кричит)</i>"
"DCG_VO_magnus_intro"	"Я уже видел, на что способен завоеватель. Он видит народы — он видит наживу... Я не стану стоять в стороне, пока воулов порабощают. Мне уже не спасти свой народ, но им я смогу помочь."
"DCG_VO_magnus_bellow_intro"	"Закон природы гласит: всегда найдётся кто-то сильнее и опаснее тебя. Некоторым приходится напоминать об этом."
"DCG_VO_magnus_empower_intro"	"Во мне живёт сила моего народа... И она поможет найти тех, кто охотится за подобными мне."
"DCG_VO_magnus_protect_the_weak_intro"	"Илекса даже не представляет, насколько она будет важна. Её нужно защитить любой ценой."
"DCG_VO_magnus_equip_generic_weapon_01"	"Готов к бою."
"DCG_VO_magnus_equip_generic_weapon_02"	"То, что мне нужно."
"DCG_VO_magnus_equip_generic_weapon_03"	"Мне это пригодится."
"DCG_VO_magnus_equip_generic_weapon_04"	"Устроит."
"DCG_VO_magnus_equip_generic_weapon_05"	"Я одолею врагов."
"DCG_VO_magnus_equip_generic_armor_01"	"Пусть теперь браконьеры попробуют меня убить."
"DCG_VO_magnus_equip_generic_armor_02"	"Мёртвым я не помогу своему народу."
"DCG_VO_magnus_equip_generic_armor_03"	"Мне нужна защита."
"DCG_VO_magnus_equip_generic_armor_04"	"Я сделаю всё, чтобы выжить."
"DCG_VO_magnus_equip_generic_armor_05"	"Не ожидал, что будет впору..."
"DCG_VO_magnus_equip_generic_accessory_01"	"Пригодится."
"DCG_VO_magnus_equip_generic_accessory_02"	"Помощь не помешает."
"DCG_VO_magnus_equip_generic_accessory_03"	"Мне это нужно."
"DCG_VO_magnus_equip_generic_accessory_04"	"Поможет мне выжить."
"DCG_VO_magnus_equip_generic_accessory_05"	"Пусть враги попробуют убить меня."
"DCG_VO_magnus_kill_rival_01"	"Тебе не победить!"
"DCG_VO_magnus_kill_rival_02"	"Победа за мной."
"DCG_VO_magnus_kill_rival_03"	"Никто не превзойдёт Магнуса!"
"DCG_VO_magnus_kill_rival_04"	"Никто со мной не сравнится."
"DCG_VO_magnus_kill_rival_05"	"Я раздавлю всех на своём пути!"
"DCG_VO_magnus_kill_rival_06"	"Победа тебя не ждёт... Только смерть."
"DCG_VO_magnus_kill_rival_07"	"Пытаешься остановить великого Магнуса?"
"DCG_VO_magnus_kill_rival_08"	"Лучше беги."
"DCG_VO_magnus_kill_rival_09"	"Твои дни сочтены."
"DCG_VO_magnus_kill_rival_10"	"Тебе не жить."
"DCG_VO_magnus_use_include_01"	"Первобытная сила!"
"DCG_VO_magnus_use_include_02"	"Это сила моего народа."
"DCG_VO_magnus_use_include_03"	"<i>(рычит)</i>"
"DCG_VO_magnus_unique_01"	"Урса, пробейся сквозь ряды наших врагов!"
"DCG_VO_magnus_unique_02"	"Рви их броню в клочья!"
"DCG_VO_magnus_unique_03"	"Порви их армию на куски!"
"DCG_VO_magnus_unique_04"	"Проруби нам путь, Свен!"
"DCG_VO_magnus_unique_05"	"Стань сильнее, Свен!"
"DCG_VO_magnus_unique_06"	"Мы защитим жителей Розолиста."
"DCG_VO_magnus_unique_07"	"Энт, воулам нужна наша помощь."
"DCG_VO_magnus_unique_08"	"Рад сражаться бок о бок, друг мой."
"DCG_VO_magnus_unique_09"	"Рикс, твоя цель благородна."
"DCG_VO_magnus_unique_10"	"Для меня честь сражаться вместе с тобой, Рикс."
"DCG_VO_magnus_unique_11"	"Ты сделал правильный выбор, Рикс."
"DCG_VO_magnus_unique_12"	"Бронзовый легион за всё ответит."
"DCG_VO_magnus_unique_13"	"Покинь это место, Тресдин!"
"DCG_VO_magnus_unique_14"	"Тресдин, ты не разумеешь, во что превращается Бронзовый легион!"
"DCG_VO_magnus_unique_15"	"Готов помочь повстанцам."
"DCG_VO_magnus_unique_16"	"Цель вашего народа стала и моей."
"DCG_VO_magnus_unique_17"	"Я защищу вас от врагов."
"DCG_VO_magnus_unique_18"	"Оглоди, вам здесь не место!"
"DCG_VO_magnus_unique_19"	"Я не боюсь вас, варвары."
"DCG_VO_magnus_unique_20"	"Посмотрим, как Легион сразится с настоящим воином, а не с бедными фермерами."
"DCG_VO_magnus_healed_01"	"Ах..."
"DCG_VO_magnus_healed_02"	"Спасибо."
"DCG_VO_magnus_healed_03"	"Благодарю."
"DCG_VO_magnus_healed_04"	"Я готов к бою."
"DCG_VO_magnus_healed_05"	"Довольно отдыхать."
"DCG_VO_magnus_taunt_generic_01"	"Сокрушим врагов!"
"DCG_VO_magnus_taunt_generic_02"	"Мы вас растопчем!"
"DCG_VO_magnus_taunt_generic_03"	"Вместе мы едины!"
"DCG_VO_magnus_taunt_generic_04"	"Слышите гром моих копыт?"
"DCG_VO_magnus_taunt_generic_05"	"В атаку!"
"DCG_VO_magnus_taunt_generic_06"	"Сокрушить их!"
"DCG_VO_magnus_taunt_generic_07"	"Мы обратим их в бегство!"
"DCG_VO_magnus_taunt_generic_08"	"Пришёл час славы!"
"DCG_VO_magnus_taunt_generic_09"	"Пора нанести удар!"
"DCG_VO_magnus_taunt_generic_10"	"Я приведу вас к победе!"
"DCG_VO_magnus_potential_kill_01"	"Победу у меня не отнять."
"DCG_VO_magnus_potential_kill_02"	"От меня не спрячешься."
"DCG_VO_magnus_potential_kill_03"	"Тебе недолго осталось."
"DCG_VO_magnus_potential_kill_04"	"Куда тебе до меня."
"DCG_VO_magnus_potential_kill_05"	"Думаешь, я тебе по зубам?"
"DCG_VO_magnus_potential_save_01"	"Не думай, что я лёгкая добыча."
"DCG_VO_magnus_potential_save_02"	"Меня не убьёшь."
"DCG_VO_magnus_potential_save_03"	"Думаешь, меня так просто убить?"
"DCG_VO_magnus_potential_save_04"	"Переживу."
"DCG_VO_magnus_potential_save_05"	"Ха!"
"DCG_VO_magnus_permanent_armor_01"	"Я стал выносливее."
"DCG_VO_magnus_permanent_armor_02"	"Моя шкура так же крепка, как и воля."
"DCG_VO_magnus_permanent_armor_03"	"Рог защитит меня."
"DCG_VO_magnus_permanent_armor_04"	"Мою волю не сломить."
"DCG_VO_magnus_permanent_armor_05"	"Я чувствую силу своего народа."
"DCG_VO_magnus_permanent_attack_01"	"Я стал сильнее."
"DCG_VO_magnus_permanent_attack_02"	"Кто посмеет бросить мне вызов?"
"DCG_VO_magnus_permanent_attack_03"	"Дайте мне достойного соперника."
"DCG_VO_magnus_permanent_attack_04"	"Втопчу своих врагов в землю."
"DCG_VO_magnus_permanent_attack_05"	"Я сотру врагов в порошок."
"DCG_VO_magnus_permanent_health_01"	"Путь мой неблизкий... Нужно подготовиться."
"DCG_VO_magnus_permanent_health_02"	"Я выживу и отомщу за свой народ."
"DCG_VO_magnus_permanent_health_03"	"Браконьеры не получат мой рог."
"DCG_VO_magnus_permanent_health_04"	"Я не стану лёгкой добычей."
"DCG_VO_magnus_permanent_health_05"	"Я должен выжить."
"DCG_VO_magnus_cast_spell_01"	"Ощути силу моего народа!"
"DCG_VO_magnus_cast_spell_02"	"У моего народа сильная магия!"
"DCG_VO_magnus_cast_spell_03"	"Вы под моей защитой."
"DCG_VO_magnus_cast_spell_04"	"Нам ничто не навредит."
"DCG_VO_magnus_cast_spell_05"	"<i>(смеётся)</i>"
"DCG_VO_magnus_cast_spell_06"	"Попробуй не отставать."
"DCG_VO_magnus_cast_spell_07"	"Мне нет равных."
"DCG_VO_magnus_cast_spell_08"	"Мы изменим ход битвы."
"DCG_VO_magnus_cast_spell_09"	"Не теряйте надежду."
"DCG_VO_magnus_cast_spell_10"	"Это ещё не конец."
"DCG_VO_magnus_death_01"	"<i>(кричит)</i>"
"DCG_VO_zeus_intro"	"Меня не заботят дела смертных. Мне безразлична война меж Красным туманом и Бронзовым легионом. Судьба народа воулов едва ли меня тревожит. Но я не могу спать спокойно, ведь этот шарлатан, Дух шторма, присвоил мои молнии себе!.. Поэтому я отправился в Розолист. Настало время показать, кто здесь настоящий громовержец."
"DCG_VO_zeus_thundergods_wrath_intro"	"Мой праведный гнев ввергает смертных в ужас, но как же он прекрасен..."
"DCG_VO_zeus_lightning_strike_intro"	"Радуйтесь, смертные, что я лишь немного рассердился, иначе с вами случилось бы нечто более... интересное."
"DCG_VO_zeus_bolt_of_damocles_intro"	"Когда я принял на себя груз мирской жизни, некоторые увидели в этом слабость. Время от времени я с радостью напоминаю им, как они не правы. Жена сказала бы, что оставить кратер на месте города — это чересчур. Возможно, она права. Но я всегда любил делать широкие жесты."
"DCG_VO_zeus_equip_generic_weapon_01"	"Достойно бога."
"DCG_VO_zeus_equip_generic_weapon_02"	"Идеально."
"DCG_VO_zeus_equip_generic_weapon_03"	"Это мне пригодится."
"DCG_VO_zeus_equip_generic_weapon_04"	"То, что я искал."
"DCG_VO_zeus_equip_generic_weapon_05"	"Меня это вполне устроит..."
"DCG_VO_zeus_equip_generic_armor_01"	"Смертную плоть нужно беречь."
"DCG_VO_zeus_equip_generic_armor_02"	"Никто не навредит Зевсу."
"DCG_VO_zeus_equip_generic_armor_03"	"Пусть попробуют поразить меня."
"DCG_VO_zeus_equip_generic_armor_04"	"Готов сражаться."
"DCG_VO_zeus_equip_generic_armor_05"	"Превосходно."
"DCG_VO_zeus_equip_generic_accessory_01"	"Годная безделушка."
"DCG_VO_zeus_equip_generic_accessory_02"	"Смертные умеют делать любопытные вещицы."
"DCG_VO_zeus_equip_generic_accessory_03"	"Я найду этому применение."
"DCG_VO_zeus_equip_generic_accessory_04"	"Подношение богам."
"DCG_VO_zeus_equip_generic_accessory_05"	"Я принимаю подношение."
"DCG_VO_zeus_kill_rival_01"	"Преклонись перед мощью."
"DCG_VO_zeus_kill_rival_02"	"На колени перед Зевсом!"
"DCG_VO_zeus_kill_rival_03"	"Жалкие смертные."
"DCG_VO_zeus_kill_rival_04"	"Ха-ха-ха!"
"DCG_VO_zeus_kill_rival_05"	"Божья кара никому не повредит."
"DCG_VO_zeus_kill_rival_06"	"Слишком просто."
"DCG_VO_zeus_kill_rival_07"	"Я ведь почти ничего не сделал."
"DCG_VO_zeus_kill_rival_08"	"Думаешь, со мной можно справиться?"
"DCG_VO_zeus_kill_rival_09"	"Как ты смеешь поднять руку на Зевса?"
"DCG_VO_zeus_kill_rival_10"	"Смертные такие хрупкие..."
"DCG_VO_zeus_use_include_01"	"Ощути мной гнев!"
"DCG_VO_zeus_use_include_02"	"Трепещи перед силой Зевса!"
"DCG_VO_zeus_use_include_03"	"От гнева небес не скрыться!"
"DCG_VO_zeus_unique_01"	"Ты не знаешь, с кем имеешь дело, не так ли?"
"DCG_VO_zeus_unique_02"	"Не злите меня, смертные."
"DCG_VO_zeus_unique_03"	"Молнии подвластны мне!"
"DCG_VO_zeus_unique_04"	"Вы разгневали богов!"
"DCG_VO_zeus_unique_05"	"Трепещите!"
"DCG_VO_zeus_unique_06"	"Я превращу это место в руины!"
"DCG_VO_zeus_unique_07"	"Дева, вместе мы свершим великие дела."
"DCG_VO_zeus_unique_08"	"Дева, смотри и учись..."
"DCG_VO_zeus_unique_09"	"Люблю, когда ты на моей стороне, Рилай..."
"DCG_VO_zeus_unique_10"	"Думаешь, ты способна убить бога?!"
"DCG_VO_zeus_unique_11"	"Убийцы меня не пугают."
"DCG_VO_zeus_unique_12"	"С тобой было весело выпивать, Иглогрив... Жаль, что всё так сложилось."
"DCG_VO_zeus_unique_13"	"Значит, ты молишься лунной богине, но не мне? Интересно."
"DCG_VO_zeus_unique_14"	"Я бы потолковал с этой твоей Селемине."
"DCG_VO_zeus_unique_15"	"Да что дикарь сделает богу?"
"DCG_VO_zeus_unique_16"	"Броня тебя не спасёт, Акс."
"DCG_VO_zeus_unique_17"	"Ты привела целую орду, Сорла... но этого всё равно мало."
"DCG_VO_zeus_unique_18"	"Броня тебя не спасёт, Тресдин."
"DCG_VO_zeus_unique_19"	"Бронзовый легион падёт!"
"DCG_VO_zeus_unique_20"	"Вы посмотрите на этих двоих... Объединились, чтобы убить бога. Как мило."
"DCG_VO_zeus_healed_01"	"Ах..."
"DCG_VO_zeus_healed_02"	"Благодарю."
"DCG_VO_zeus_healed_03"	"Спасибо."
"DCG_VO_zeus_healed_04"	"Мудрый выбор."
"DCG_VO_zeus_healed_05"	"Мне уже лучше."
"DCG_VO_zeus_taunt_generic_01"	"Конец уже близок!"
"DCG_VO_zeus_taunt_generic_02"	"Пришёл наш час!"
"DCG_VO_zeus_taunt_generic_03"	"Покараем врагов!"
"DCG_VO_zeus_taunt_generic_04"	"Во славу всех богов!"
"DCG_VO_zeus_taunt_generic_05"	"Мы собьём с них спесь!"
"DCG_VO_zeus_taunt_generic_06"	"Уничтожим Древнего!"
"DCG_VO_zeus_taunt_generic_07"	"Вы оскорбили богов, и теперь вам придётся заплатить."
"DCG_VO_zeus_taunt_generic_08"	"Скоро всё будет кончено."
"DCG_VO_zeus_taunt_generic_09"	"Бросив вызов Зевсу, ты обрекаешь себя на печальную участь."
"DCG_VO_zeus_taunt_generic_10"	"В победе можно не сомневаться."
"DCG_VO_zeus_potential_kill_01"	"От меня не скрыться!"
"DCG_VO_zeus_potential_kill_02"	"От Зевса не спрячешься."
"DCG_VO_zeus_potential_kill_03"	"На всё моя воля."
"DCG_VO_zeus_potential_kill_04"	"Смертным впору погибать."
"DCG_VO_zeus_potential_kill_05"	"Считай, что твои молитвы были услышаны..."
"DCG_VO_zeus_potential_save_01"	"Надеешься победить?"
"DCG_VO_zeus_potential_save_02"	"Не обольщайся..."
"DCG_VO_zeus_potential_save_03"	"Я не впечатлён. Попробуй ещё."
"DCG_VO_zeus_potential_save_04"	"Думаешь, меня можно убить?"
"DCG_VO_zeus_potential_save_05"	"Ну уж нет..."
"DCG_VO_zeus_permanent_armor_01"	"Хорошо."
"DCG_VO_zeus_permanent_armor_02"	"Смертная слабость меня утомила."
"DCG_VO_zeus_permanent_armor_03"	"Шутки кончились."
"DCG_VO_zeus_permanent_armor_04"	"Попробуйте убить меня, смертные."
"DCG_VO_zeus_permanent_armor_05"	"Моя плоть — железо, мой голос — раскаты грома."
"DCG_VO_zeus_permanent_attack_01"	"Моя сила растёт..."
"DCG_VO_zeus_permanent_attack_02"	"Они увидят могущество Зевса."
"DCG_VO_zeus_permanent_attack_03"	"Я становлюсь сильнее..."
"DCG_VO_zeus_permanent_attack_04"	"Во мне словно зарождается новая молния."
"DCG_VO_zeus_permanent_attack_05"	"Они почувствуют мою силу."
"DCG_VO_zeus_permanent_health_01"	"Я не покину поле боя."
"DCG_VO_zeus_permanent_health_02"	"Я должен укрепить решимость."
"DCG_VO_zeus_permanent_health_03"	"Буду сражаться до победного конца."
"DCG_VO_zeus_permanent_health_04"	"Вот-вот грянет гром..."
"DCG_VO_zeus_permanent_health_05"	"Я готов к бою."
"DCG_VO_zeus_cast_spell_01"	"Узрите мою силу, смертные!"
"DCG_VO_zeus_cast_spell_02"	"ДА!"
"DCG_VO_zeus_cast_spell_03"	"Я всемогущ!"
"DCG_VO_zeus_cast_spell_04"	"Сила богов абсолютна..."
"DCG_VO_zeus_cast_spell_05"	"Мне нет равных!"
"DCG_VO_zeus_cast_spell_06"	"Я — повелитель небес!"
"DCG_VO_zeus_cast_spell_07"	"Мне под силу что угодно..."
