"dcg_missions"
{
	// Tutorials
	"dcg_campaign_tutorial_title"	"Samouczek"
	"DCG_a01m03_Intro_Rix_02" "Pociągnąłem za kilka sznurków. Kilka odciąłem. Trudno stwierdzić, czy się udało, dopóki tam nie wkroczymy."
	"DCG_a01m03_Intro_Tres_03" "Sama informacja była warta twojego czasu. Nawet jeżeli musimy to rozwiązać siłą."
	"DCG_a01m03_Intro_Marc_04" "O bogowie. Jestem w stanie sobie wyobrazić te zakrwawione mury w całym Filedo."
	"DCG_a01m03_Intro_Rix_05" "Denerwujesz się, Markusie?"
	"DCG_a01m03_Intro_Marc_06" "Sprawdź, kundlu."
	"DCG_a01m03_Intro_Tres_07" "A może skupcie się na walce, która faktycznie MA jakieś znaczenie."
	"DCG_a01m03_Intro_Marc_08" "..."
	"DCG_a01m03_Intro_Rix_09" "Oczywiście, dowódczyni."
	"DCG_a01m03_Intro_Tres_10" "Sam to powiedziałeś, Markusie. Popatrz na te mury. Nie trzeba być archiwistą, by dostrzec, że krew NARODÓW wsiąknęła w ziemię u ich podstaw. Jeżeli zaczną się kłopoty, cała nasza trójka – a w szczególności TY – może umrzeć ZE STAROŚCI, zanim Kamieniogród zdobędzie to miasto."
	"DCG_a01m03_Intro_Marc_11" "Cóż, Rix... Powiedz nam, z czym się będziemy mierzyć."
	
	//mission 04 intro
	
	"DCG_a01m04_Intro_Rix_01" "Zapędziliśmy ich w kozi róg, dowódczyni. Ale ich żądania to... szaleństwo. Nie sądzę, byśmy mogli negocjować z kimś ich pokroju."
	"DCG_a01m04_Intro_Marc_02" "Heh. Klasyczna metoda mi odpowiada. Na co jeszcze czekamy?"
	"DCG_a01m04_Intro_Tares_03" "Wycofajcie swoje siły, albo rozjemca zginie!"
	"DCG_a01m04_Intro_Legio_04" "Zabij mnie, a przyjdą tysiące innych."
	"DCG_a01m04_Intro_Tres_05" "Posłuchaj głosu rozsądku. Życie nie zmieni się aż tak bardzo pod rządami Kamieniogrodu. Będzie trochę lepsze w niektórych kwestiach, a trochę gorsze w innych. Ale to będzie JAKIEŚ życie. Twoja ścieżka wiedzie tylko do śmierci."
	"DCG_a01m04_Intro_Tares_06" "Masz rację, dowódczyni... Możemy równie dobrze zacząć od tej. Włócznią go, chłopcy!"
	"DCG_a01m04_Intro_Legio_07" "Moje życie... za Kamieniogród..."
	"DCG_a01m04_Intro_Tares_08" "Jesteśmy starymi rodami Taresu! Prędzej umrzemy, niż ugniemy się przed taką zgrają niewolników jak wy."
	"DCG_a01m04_Intro_Tres_09" "Markusie."
	"DCG_a01m04_Intro_Marc_10" "Tak jest, dowódczyni."
	"DCG_a01m04_Intro_Tres_11" "Pokaż im, że z chęcią im w tym pomożemy."
	"DCG_a01m04_Intro_Rix_12" "Tak, Markusie. Zrób to, co TY robisz najlepiej."
	"DCG_a01m04_Intro_Marc_13" "Widzisz, Rix... w przeciwieństwie do ciebie ja uważam to za komplement."
	"DCG_a01m04_Intro_Tares_14" "Dzisiaj przejmiemy nasze miasto od zapchlonego legionu Kamieniogrodu!"
	"DCG_a01m04_Intro_Tres_15" "Masz wolną rękę, Markusie."
	"DCG_a01m04_Intro_Marc_16" "Więc miecze w górę, chłopcy i dziewczęta! Stary Tares zginie tej nocy."
	
	//mission 04 in-game
	"DCG_a01m04_InGame_Rix_01"		"Pułapka... magazynowali zapasy i manę..."
	"DCG_a01m04_InGame_Marcus_02"	"Czyli wystarczy ich po prostu zagłodzić, nieprawdaż?"
	"DCG_a01m04_InGame_Tres_03"		"Zatem oblężenie."
	
	//mission 04 outro
	"DCG_a01m04_Outro_Rix_01" "Wygląda na to, że sprawa Taresu została załatwiona."
	"DCG_a01m04_Outro_Tres_02"  "Znowu. Miejmy nadzieję, że nie będziemy musieli tu wrócić."
	"DCG_a01m04_Outro_Marc_03"  "No nie wiem. Mógłbym się przyzwyczaić do robienia rozrób w tym miejscu."
	"DCG_a01m04_Outro_Tres_04"  "Czas powrócić do mojego legionu. Nie wszyscy w Crester byli tacy skorzy do kapitulacji. Kilku z nich opuściło miasto przed naszym przybyciem. Teraz uprzykrzają życie naszym siłom oraz ludności wiejskiej."
	"DCG_a01m04_Outro_Rix_05"  "Zabezpieczenie Kailens i sąsiadujących ziem z pewnością uspokoiłoby region."
	"DCG_a01m04_Outro_Marc_06"  "Heh. „Uspokoiłoby region”. Wchodzę w to."
	"DCG_a01m04_Outro_Tres_07"  "Wyślijcie wcześniej kruka pocztowego. Przekażcie głównym siłom, by spotkały się z nami na drodze do Kailens. Ominiemy Filedo i Crester, znajdziemy ich po drodze."
	"DCG_a01m04_Outro_Marc_08"  "Znasz jakiś skrót?"
	"DCG_a01m04_Outro_Rix_09"  "Stary trakt kupiecki. Omija góry. Rzadko uczęszczany. Powinniśmy dotrzeć na czas."
	
	//mission 05 in-game
	"DCG_a01m05_InGame_Rix_01"		"Ci zwiadowcy Czerwonej Mgły nie mogą donieść o naszych pozycjach!"
	"DCG_a01m05_InGame_Tres_02"		"Zabić tych zwiadowców, zanim uciekną!"
	
	//mission 10 in-game
	"DCG_a01m10_InGame_Tres_01"		"Na koronę... Coś ty uczynił, Rix? Gdzie jest Marcus?"
	"DCG_a01m10_InGame_Rix_02"		"Na Markusa już za późno. Ale wciąż możesz to naprawić, Tresdin."
	"DCG_a01m10_InGame_Rix_03"		"Wycofaj się z Różoliścia, dowódczyni. I ty też, Sorlo-chan."
	"DCG_a01m10_InGame_Tres_04"		"Rix..."
	"DCG_a01m10_InGame_Sorla_05"	"DO ATAKU!"
	"DCG_a01m10_InGame_Vhoul_06"	"Brońcie swego domu, vhule!"
	
	//ARC 3 - PURGE THE FIELDS

	"DCG_a03m01_title"				"Odwiedziny zwiastuna"
	
	"DCG_a03m01_desc"				"Przez pokolenia kapłani bitewni Rumusque bronili tych ziem przed wpływem Martwego Boga. Ale przez ostatnią dekadę jego plagi powoli się rozprzestrzeniały. Katedra Rumusque była bezpieczną przystanią dla chorych, ale teraz jest bezpośrednio narażona na zagrożenie ze strony armii Martwego Boga."
	
	"DCG_a03m01_outro_desc"				"..."
	
	"DCG_a03m01_Intro_AN_pl_01"	"Po 10 latach nieprzerwanego cierpienia plaga w końcu dotarła do nas – a jej posłańcem jest sam zwiastun Martwego Boga, Ożywieniec zwany Lamentem. Przygotowujemy się do obrony Katedry Rumusque, prawdopodobnie po raz ostatni."
	
	"DCG_a03m01_Outro_AN_pl_01" 	"To się nie skończy. Wrócą silniejsi. Nadszedł czas, by elita Rumusque odbyła pielgrzymkę na Pola Bezkresnej Rzezi."
	
	// mission 2
	"DCG_a03m02_title"				"Na skróty"
	"DCG_a03m02_desc"				"..."
	"DCG_a03m02_outro_desc"			"..."
	"DCG_a03m02_Intro_AN_pl_01"		"..."
	"DCG_a03m02_Outro_AN_pl_01" 	"..."
	
	// mission 3
	"DCG_a03m03_title"				"Rotund'jere?"
	"DCG_a03m03_desc"				"..."
	"DCG_a03m03_outro_desc"			"..."
	"DCG_a03m03_Intro_AN_pl_01"		"..."
	"DCG_a03m03_Outro_AN_pl_01" 	"..."
	
	// mission 4
	"DCG_a03m04_title"				"Wycieczka po Quoidge"
	"DCG_a03m04_desc"				"..."
	"DCG_a03m04_outro_desc"			"..."
	"DCG_a03m04_Intro_AN_pl_01"		"..."
	"DCG_a03m04_Outro_AN_pl_01" 	"..."
	
	// mission 5
	"DCG_a03m05_title"				"Pola Bezkresnej Rzezi"
	"DCG_a03m05_desc"				"..."
	"DCG_a03m05_outro_desc"			"..."
	"DCG_a03m05_Intro_AN_pl_01"		"..."
	"DCG_a03m05_Outro_AN_pl_01" 	"..."
	
	//arc 3 mission 01 in-game
	"DCG_a03m01_InGame_Omni_01"		"Lady Anshu! Martwi nadchodzą!"
	"DCG_a03m01_InGame_Undy_02"		"RUMUSKAŃSCY CIEPŁOKRĄŻCY"
	"DCG_a03m01_InGame_Anshu_03"	"...na Światłość..."
	"DCG_a03m01_InGame_Undy_04"		"MARTWY BÓG WITA WAS W SWEJ OWCZARNI"
	"DCG_a03m01_InGame_Ambq_05"		"Nieumarłe Miasto Quoidge nie aprobuje tego ataku."
	
	//arc 3 mission 04 in-game
	"DCG_a03m04_InGame_Quoidge_01a"		"Quoidge. Jak świetnie. Coś ci powiem na temat wielkości..."
	"DCG_a03m04_InGame_Quoidge_01b"		"Popatrz, popatrz na tę wieżę. Tę za mną. Widzisz ją?"
	"DCG_a03m04_InGame_Quoidge_01c"		"Została zbudowana przez najwyśmienitszych rzemieślników, ja..."
	"DCG_a03m04_InGame_Quoidge_01d"		"Słuchaj, zastanów się nad tym: ze wszystkich architektów, którzy kiedykolwiek żyli..."
	
	"DCG_a03m04_InGame_Quoidge_02a"		"2Quoidge. Jak świetnie. Coś ci powiem na temat wielkości..."
	"DCG_a03m04_InGame_Quoidge_02b"		"2Popatrz, popatrz na tę wieżę. Tę za mną. Widzisz ją?"
	"DCG_a03m04_InGame_Quoidge_02c"		"2Została zbudowana przez najwyśmienitszych rzemieślników, ja..."
	"DCG_a03m04_InGame_Quoidge_02d"		"2Słuchaj, zastanów się nad tym: ze wszystkich architektów, którzy kiedykolwiek żyli..."
	
	"DCG_a03m04_InGame_Quoidge_03a"		"3Quoidge. Jak świetnie. Coś ci powiem na temat wielkości..."
	"DCG_a03m04_InGame_Quoidge_03b"		"3Popatrz, popatrz na tę wieżę. Tę za mną. Widzisz ją?"
	"DCG_a03m04_InGame_Quoidge_03c"		"3Została zbudowana przez najwyśmienitszych rzemieślników, ja..."
	"DCG_a03m04_InGame_Quoidge_03d"		"3Słuchaj, zastanów się nad tym: ze wszystkich architektów, którzy kiedykolwiek żyli..."
}
