"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Io e Pierpont non siamo d'accordo su molte cose, ma è stato saggio ad ammettere quanto sia pericoloso scatenare l'ira del Vuoto senza Volto. Il Trattato di Claszureme non mi fa impazzire, la cronomanzia era molto divertente, ma sai che cos'altro c'è di divertente? Non vedere cancellata la propria linea temporale."
"DCG_VO_legion_commander_burning_oil_intro"	"Conosco le tattiche di Sorla. Quando i suoi uomini scaleranno queste mura, avranno una brutta sorpresa."
"DCG_VO_legion_commander_new_orders_intro"	"Gli eserciti perdono le battaglie quando i generali sono incapaci di adattarsi alla situazione."
"DCG_VO_legion_commander_routed_intro"	"Per porre fine a una battaglia una volta per tutte... è necessario essere spietati, anche quando il nemico è a terra."
"DCG_VO_legion_commander_tresdins_standards_intro"	"L'Imperatore Galanius si aspetta molto da me. E io mi aspetto altrettanto da coloro che comando.  "
"DCG_VO_legion_commander_bitter_enemies_part2"	"Sei molto sicura di te per essere una donna che sta per morire."
"DCG_VO_legion_commander_bitter_enemies_part4"	"No. Ne ho solo una pessima di te."
"DCG_VO_legion_commander_temple_of_war"	"I Vhoul pensano che la nostra dea sia strana. Lo capisco. Era strana anche per me, una volta. Ma col tempo impareranno ad amarla come abbiamo fatto noi."
"DCG_VO_legion_commander_equip_generic_weapon_01"	"Falcerò i nostri nemici."
"DCG_VO_legion_commander_equip_generic_weapon_02"	"Perfetto."
"DCG_VO_legion_commander_equip_generic_weapon_03"	"Non c'è arma che non sappia usare alla perfezione."
"DCG_VO_legion_commander_equip_generic_weapon_04"	"Sono un esempio per tutti."
"DCG_VO_legion_commander_equip_generic_weapon_05"	"Sono stato addestrato dai migliori."
"DCG_VO_legion_commander_equip_generic_armor_01"	"La Legione è sempre ben attrezzata."
"DCG_VO_legion_commander_equip_generic_armor_02"	"Sono pronta a tutto."
"DCG_VO_legion_commander_equip_generic_armor_03"	"Nessuno può fermare la Legione di Bronzo."
"DCG_VO_legion_commander_equip_generic_armor_04"	"Comando dalla prima linea."
"DCG_VO_legion_commander_equip_generic_armor_05"	"Vediamo se Rix sarà capace di fermarmi..."
"DCG_VO_legion_commander_equip_generic_accessory_01"	"È ora di combattere."
"DCG_VO_legion_commander_equip_generic_accessory_02"	"Le truppe mi aspettano."
"DCG_VO_legion_commander_equip_generic_accessory_03"	"Pronta alla guerra."
"DCG_VO_legion_commander_equip_generic_accessory_04"	"Combatterò a fianco dell'Avanguardia."
"DCG_VO_legion_commander_equip_generic_accessory_05"	"La Legione ne farà buon uso."
"DCG_VO_legion_commander_kill_rival_01"	"Non sei alla mia altezza!"
"DCG_VO_legion_commander_kill_rival_02"	"Non avevi alcuna possibilità."
"DCG_VO_legion_commander_kill_rival_03"	"Avresti dovuto arrenderti."
"DCG_VO_legion_commander_kill_rival_04"	"Chi si opporrà alla Legione verrà distrutto."
"DCG_VO_legion_commander_kill_rival_05"	"Non avresti mai potuto vincere."
"DCG_VO_legion_commander_kill_rival_06"	"Troppo facile."
"DCG_VO_legion_commander_kill_rival_07"	"Nessuno può battere la Legione di Bronzo."
"DCG_VO_legion_commander_kill_rival_08"	"Era finita ancora prima di cominciare."
"DCG_VO_legion_commander_kill_rival_09"	"Non puoi battere una forza superiore."
"DCG_VO_legion_commander_kill_rival_10"	"Ah!"
"DCG_VO_legion_commander_use_include_01"	"Ti sfido!"
"DCG_VO_legion_commander_use_include_02"	"Vediamo di che cosa sei capace."
"DCG_VO_legion_commander_use_include_03"	"Combatti!"
"DCG_VO_legion_commander_unique_01"	"Affrontami, traditore!"
"DCG_VO_legion_commander_unique_02"	"Questa storia finisce qui, Rix."
"DCG_VO_legion_commander_unique_03"	"La ribellione finisce adesso!"
"DCG_VO_legion_commander_unique_04"	"Era destino che arrivassimo a questo."
"DCG_VO_legion_commander_unique_05"	"Tutta questa strada per poi morire..."
"DCG_VO_legion_commander_unique_06"	"Avanti, Sorla, facciamola finita."
"DCG_VO_legion_commander_unique_07"	"Morirai da traditore quale sei, Rix."
"DCG_VO_legion_commander_unique_08"	"Borgolitio ti ha dato tutto, Rix... e tu ci hai traditi."
"DCG_VO_legion_commander_unique_09"	"Mi fidavo di te, Rix. Non rifarò lo stesso errore."
"DCG_VO_legion_commander_unique_10"	"Non ti lascerò distruggere questo posto!"
"DCG_VO_legion_commander_unique_11"	"L'Orda della Nebbia Rossa non andrà oltre!"
"DCG_VO_legion_commander_unique_12"	"È da tanto che aspetto questo momento, Sorla."
"DCG_VO_legion_commander_unique_13"	"In formazione sotto i miei stendardi!"
"DCG_VO_legion_commander_unique_14"	"Restate al mio fianco e non falliremo!"
"DCG_VO_legion_commander_unique_15"	"Condurrò le nostre forze alla vittoria!"
"DCG_VO_legion_commander_unique_16"	"Give them no quarter!"
"DCG_VO_legion_commander_unique_17"	"We've broken their line!"
"DCG_VO_legion_commander_unique_18"	"Now! While they're broken!"
"DCG_VO_legion_commander_unique_19"	"Good to see you've come back to your senses Rix."
"DCG_VO_legion_commander_unique_20"	"Rix... after we win, perhaps Galanius will grant you a pardon."
"DCG_VO_legion_commander_healed_01"	"Ahhh."
"DCG_VO_legion_commander_healed_02"	"Grazie."
"DCG_VO_legion_commander_healed_03"	"È ora di combattere."
"DCG_VO_legion_commander_healed_04"	"I'm not done fighting."
"DCG_VO_legion_commander_healed_05"	"I'm not leaving the battlefield."
"DCG_VO_legion_commander_taunt_generic_01"	"Per la gloria di Borgolitio!"
"DCG_VO_legion_commander_taunt_generic_02"	"Arrenditi o ti distruggerò!"
"DCG_VO_legion_commander_taunt_generic_03"	"Victory is at hand!"
"DCG_VO_legion_commander_taunt_generic_04"	"È il nostro momento!"
"DCG_VO_legion_commander_taunt_generic_05"	"È ora di porre fine a questa battaglia!"
"DCG_VO_legion_commander_taunt_generic_06"	"Victory is in our grasp!"
"DCG_VO_legion_commander_taunt_generic_07"	"Stay focused, this battle is ours to lose!"
"DCG_VO_legion_commander_taunt_generic_08"	"Don't let up!"
"DCG_VO_legion_commander_taunt_generic_09"	"Ben fatto, ma la battaglia non è ancora finita."
"DCG_VO_legion_commander_taunt_generic_10"	"Good work. Time to finish this."
"DCG_VO_legion_commander_potential_kill_01"	"Morirai qui."
"DCG_VO_legion_commander_potential_kill_02"	"Non crederai di sconfiggermi?"
"DCG_VO_legion_commander_potential_kill_03"	"You're not escaping."
"DCG_VO_legion_commander_potential_kill_04"	"Non credo proprio."
"DCG_VO_legion_commander_potential_kill_05"	"Ci metterò un attimo."
"DCG_VO_legion_commander_potential_save_01"	"Non sarà così facile."
"DCG_VO_legion_commander_potential_save_02"	"Mi dispiace deluderti."
"DCG_VO_legion_commander_potential_save_03"	"Non è ancora la mia ora."
"DCG_VO_legion_commander_potential_save_04"	"Non mi ucciderai così facilmente."
"DCG_VO_legion_commander_potential_save_05"	"Non sei la prima persona che cerca di uccidermi."
"DCG_VO_legion_commander_permanent_armor_01"	"I'm going to lead from the front, I need to be ready for anything."
"DCG_VO_legion_commander_permanent_armor_02"	"Let's see them try to hurt me now."
"DCG_VO_legion_commander_permanent_armor_03"	"I will stride through the battlefield."
"DCG_VO_legion_commander_permanent_armor_04"	"Raise the bullsnake high!"
"DCG_VO_legion_commander_permanent_armor_05"	"The Bronze Legion always comes prepared."
"DCG_VO_legion_commander_permanent_attack_01"	"More training never hurts."
"DCG_VO_legion_commander_permanent_attack_02"	"Ogni giorno divento più forte."
"DCG_VO_legion_commander_permanent_attack_03"	"I'll be an example to my men."
"DCG_VO_legion_commander_permanent_attack_04"	"Chi oserebbe affrontarmi?"
"DCG_VO_legion_commander_permanent_attack_05"	"I'll take any advantage I can get."
"DCG_VO_legion_commander_permanent_health_01"	"Devo prepararmi alla battaglia."
"DCG_VO_legion_commander_permanent_health_02"	"The longer I stay standing the better."
"DCG_VO_legion_commander_permanent_health_03"	"Who knows how long this battle will last... I need to be ready."
"DCG_VO_legion_commander_permanent_health_04"	"Combatterò fino all'ultimo respiro."
"DCG_VO_legion_commander_permanent_health_05"	"Questo campo di battaglia è mio!"
"DCG_VO_legion_commander_cast_spell_01"	"Wish Belasanno could see this..."
"DCG_VO_legion_commander_cast_spell_02"	"You can't break the Legion!"
"DCG_VO_legion_commander_cast_spell_03"	"I have you just where I want you."
"DCG_VO_legion_commander_cast_spell_04"	"No army is the Legion's match!"
"DCG_VO_legion_commander_cast_spell_05"	"Ora!"
"DCG_VO_legion_commander_cast_spell_06"	"È il momento di colpire!"
"DCG_VO_legion_commander_cast_spell_07"	"Feel the Legion's wrath!"
"DCG_VO_legion_commander_cast_spell_08"	"Siamo pronti a tutto..."
"DCG_VO_legion_commander_cast_spell_09"	"Nulla può fermarci!"
"DCG_VO_legion_commander_cast_spell_10"	"Dobbiamo prepararci..."
"DCG_VO_legion_commander_death_01"	"<i>Urla</i>"
"DCG_VO_dark_seer_intro"	"The Red Mist slowly marches to Stonehall. The Bronze Legion plans an ambush in Roseleaf. But the denizens of that Vhoul city do not take kindly to occupation and have sparked an insurrection. Three factions. One battlefield. And not a strategic mind between them. I will defeat these charlatans of war. And in doing so, prove my brilliance."
"DCG_VO_dark_seer_ion_shell_intro"	"A thug knows only how to swing a sword... he gives no thought into the consequences... this predictable behavior is easily exploited."
"DCG_VO_dark_seer_foresight"	"The Oracle claims to see every eventuality; if true such a man could be a powerful ally... or at the very least a foe worth testing myself against."
"DCG_VO_dark_seer_use_ability_01"	"Surge!"
"DCG_VO_dark_seer_use_ability_02"	"Move into position!"
"DCG_VO_dark_seer_use_ability_03"	"Non se l'aspettavano."
"DCG_VO_dark_seer_use_ability_04"	"Behold my brilliance!"
"DCG_VO_dark_seer_use_ability_05"	"I define the battlefield."
"DCG_VO_dark_seer_equip_generic_weapon_01"	"Ne farò buon uso."
"DCG_VO_dark_seer_equip_generic_weapon_02"	"I miei nemici cadranno."
"DCG_VO_dark_seer_equip_generic_weapon_03"	"Pronto alla guerra."
"DCG_VO_dark_seer_equip_generic_weapon_04"	"Soon my enemies will meet defeat."
"DCG_VO_dark_seer_equip_generic_weapon_05"	"Questo è il mio campo di battaglia."
"DCG_VO_dark_seer_equip_generic_armor_01"	"Un tattico deve sempre essere protetto."
"DCG_VO_dark_seer_equip_generic_armor_02"	"Sono arrivato preparato."
"DCG_VO_dark_seer_equip_generic_armor_03"	"I will survive this battle."
"DCG_VO_dark_seer_equip_generic_armor_04"	"Perfetto."
"DCG_VO_dark_seer_equip_generic_armor_05"	"Tutto secondo i piani."
"DCG_VO_dark_seer_equip_generic_accessory_01"	"Proprio quello che mi serviva."
"DCG_VO_dark_seer_equip_generic_accessory_02"	"Ne farò buon uso."
"DCG_VO_dark_seer_equip_generic_accessory_03"	"I won't be leaving the field anytime soon."
"DCG_VO_dark_seer_equip_generic_accessory_04"	"Befitting of my genius."
"DCG_VO_dark_seer_equip_generic_accessory_05"	"I'm ready for anything."
"DCG_VO_dark_seer_kill_rival_01"	"Non sopravviverai."
"DCG_VO_dark_seer_kill_rival_02"	"I planned this perfectly."
"DCG_VO_dark_seer_kill_rival_03"	"Non avevi alcuna possibilità."
"DCG_VO_dark_seer_kill_rival_04"	"This lane belongs to me."
"DCG_VO_dark_seer_kill_rival_05"	"Chiunque si opporrà a me verrà distrutto."
"DCG_VO_dark_seer_kill_rival_06"	"Questa guerra era finita prima ancora di cominciare."
"DCG_VO_dark_seer_kill_rival_07"	"No one can match my tactical brilliance."
"DCG_VO_dark_seer_kill_rival_08"	"Non sei alla mia altezza."
"DCG_VO_dark_seer_kill_rival_09"	"La tua morte sarà molto rapida."
"DCG_VO_dark_seer_kill_rival_10"	"I know how to get my hands dirty..."
"DCG_VO_dark_seer_use_include_01"	"Those with the audacity to strike us will pay."
"DCG_VO_dark_seer_use_include_02"	"Ion shell!"
"DCG_VO_dark_seer_use_include_03"	"I dare you to attack me!"
"DCG_VO_dark_seer_unique_01"	"You think your feeble mind could siege Stonehall?"
"DCG_VO_dark_seer_unique_02"	"You're a brute Sorla, nothing more."
"DCG_VO_dark_seer_unique_03"	"La tua ribellione è destinata a fallire."
"DCG_VO_dark_seer_unique_04"	"Combatti con passione ma senza intelligenza, Rix."
"DCG_VO_dark_seer_unique_05"	"La tua guerra è futile, Tresdin."
"DCG_VO_dark_seer_unique_06"	"I would be better suited to lead the Bronze Legion."
"DCG_VO_dark_seer_unique_07"	"E tu saresti un campione?"
"DCG_VO_dark_seer_unique_08"	"Axe you couldn't even spell victory, let alone achieve it."
"DCG_VO_dark_seer_unique_09"	"Your death will cost them a terrible price."
"DCG_VO_dark_seer_unique_10"	"Rix, segui i miei ordini e vincerai questa battaglia."
"DCG_VO_dark_seer_unique_11"	"I nostri nemici avranno una gran brutta sorpresa."
"DCG_VO_dark_seer_unique_12"	"Fidati di me, Ursa: questa è la via che porta alla vittoria."
"DCG_VO_dark_seer_unique_13"	"It was wise of you to seek my aid."
"DCG_VO_dark_seer_unique_14"	"I will deliver you victory."
"DCG_VO_dark_seer_unique_15"	"All who oppose you will die."
"DCG_VO_dark_seer_unique_16"	"See how your power grows."
"DCG_VO_dark_seer_unique_17"	"Mazzie, I will make you feared."
"DCG_VO_dark_seer_unique_18"	"Nessuno oserà attaccarti."
"DCG_VO_dark_seer_unique_19"	"Let me show you how to get the most out of your armor."
"DCG_VO_dark_seer_unique_20"	"The more they attack, the more they will regret it."
"DCG_VO_dark_seer_healed_01"	"Ahhh."
"DCG_VO_dark_seer_healed_02"	"Una saggia decisione."
"DCG_VO_dark_seer_healed_03"	"Un saggio investimento"
"DCG_VO_dark_seer_healed_04"	"Mi sento meglio."
"DCG_VO_dark_seer_healed_05"	"È ora di combattere."
"DCG_VO_dark_seer_taunt_generic_01"	"Questa battaglia è già vinta!"
"DCG_VO_dark_seer_taunt_generic_02"	"La mia furbizia non ha eguali."
"DCG_VO_dark_seer_taunt_generic_03"	"Victory is upon us."
"DCG_VO_dark_seer_taunt_generic_04"	"I will lead us to victory."
"DCG_VO_dark_seer_taunt_generic_05"	"Follow my plans, and no one can stop us."
"DCG_VO_dark_seer_taunt_generic_06"	"I'm the greatest military mind in generations."
"DCG_VO_dark_seer_taunt_generic_07"	"Our army is without equal."
"DCG_VO_dark_seer_taunt_generic_08"	"Vinceremo questa battaglia."
"DCG_VO_dark_seer_taunt_generic_09"	"I have planned for every outcome."
"DCG_VO_dark_seer_taunt_generic_10"	"Oggi vinceremo noi."
"DCG_VO_dark_seer_potential_kill_01"	"You can't outsmart me."
"DCG_VO_dark_seer_potential_kill_02"	"Non c'è modo di sfuggirmi."
"DCG_VO_dark_seer_potential_kill_03"	"I've plotted your death for a while."
"DCG_VO_dark_seer_potential_kill_04"	"You've fallen into my trap."
"DCG_VO_dark_seer_potential_kill_05"	"No one can outsmart me!"
"DCG_VO_dark_seer_potential_save_01"	"I have contingencies for everything."
"DCG_VO_dark_seer_potential_save_02"	"I always plan ahead."
"DCG_VO_dark_seer_potential_save_03"	"Pensavi che fossi impreparato?"
"DCG_VO_dark_seer_potential_save_04"	"Like your feeble mind could conceive a plot to defeat me."
"DCG_VO_dark_seer_potential_save_05"	"Your efforts are pedestrian."
"DCG_VO_dark_seer_permanent_armor_01"	"Let's see them try to harm me now."
"DCG_VO_dark_seer_permanent_armor_02"	"Survival is my first priority."
"DCG_VO_dark_seer_permanent_armor_03"	"I'll be ready for anything."
"DCG_VO_dark_seer_permanent_armor_04"	"They will come for me, but I will be ready."
"DCG_VO_dark_seer_permanent_armor_05"	"Fa tutto parte del mio piano."
"DCG_VO_dark_seer_permanent_attack_01"	"Ora sono più forte."
"DCG_VO_dark_seer_permanent_attack_02"	"My brilliance grows."
"DCG_VO_dark_seer_permanent_attack_03"	"I become even more lethal."
"DCG_VO_dark_seer_permanent_attack_04"	"I nostri nemici moriranno presto."
"DCG_VO_dark_seer_permanent_attack_05"	"They underestimated me, as always."
"DCG_VO_dark_seer_permanent_health_01"	"I grow tougher."
"DCG_VO_dark_seer_permanent_health_02"	"I'm more resilient by the day."
"DCG_VO_dark_seer_permanent_health_03"	"Non soccomberò alla morte."
"DCG_VO_dark_seer_permanent_health_04"	"I'll fight as long as I can."
"DCG_VO_dark_seer_permanent_health_05"	"I feel a surge of vitality."
"DCG_VO_dark_seer_cast_spell_01"	"Ho pensato a tutto."
"DCG_VO_dark_seer_cast_spell_02"	"Vediamo se l'hanno previsto."
"DCG_VO_dark_seer_cast_spell_03"	"Non sono pronti per questo..."
"DCG_VO_dark_seer_cast_spell_04"	"Let's see if they have an answer to this!"
"DCG_VO_dark_seer_cast_spell_05"	"Feel my power!"
"DCG_VO_dark_seer_cast_spell_06"	"Behold!"
"DCG_VO_dark_seer_cast_spell_07"	"Nessuno è alla mia altezza!"
"DCG_VO_dark_seer_cast_spell_08"	"I control this battlefield"
"DCG_VO_dark_seer_cast_spell_09"	"Comincia a pregare!"
"DCG_VO_dark_seer_cast_spell_10"	"There's nothing I haven't planned for!"
"DCG_VO_dark_seer_death_01"	"<i>Urla</i>"
"DCG_VO_magnus_intro"	"I'm no stranger to man's lust for conquest. To be seen not as a person but as a commodity... and I refuse to stand idly by while the Vhoul are subjugated. It's too late for my people... but it might not be too late for theirs."
"DCG_VO_magnus_bellow_intro"	"It is the rule of nature - there is always something stronger and deadlier than you. Some people need to be reminded of that truth."
"DCG_VO_magnus_empower_intro"	"The strength of my people lives in me... and I will use it to find those who hunt my kin."
"DCG_VO_magnus_protect_the_weak_intro"	"Ilexa has no idea how important she will be in the days to come. She must be protected at all costs."
"DCG_VO_magnus_equip_generic_weapon_01"	"È ora di combattere."
"DCG_VO_magnus_equip_generic_weapon_02"	"Mi servirà."
"DCG_VO_magnus_equip_generic_weapon_03"	"Può tornarmi utile."
"DCG_VO_magnus_equip_generic_weapon_04"	"This will work."
"DCG_VO_magnus_equip_generic_weapon_05"	"Sconfiggerò i miei nemici."
"DCG_VO_magnus_equip_generic_armor_01"	"Let's see the poachers try to kill me now."
"DCG_VO_magnus_equip_generic_armor_02"	"I'm no good to my kin dead."
"DCG_VO_magnus_equip_generic_armor_03"	"Devo proteggermi."
"DCG_VO_magnus_equip_generic_armor_04"	"I'll do what I must to survive."
"DCG_VO_magnus_equip_generic_armor_05"	"I'm surprised this fits..."
"DCG_VO_magnus_equip_generic_accessory_01"	"Ne farò uso."
"DCG_VO_magnus_equip_generic_accessory_02"	"Un po' di aiuto non fa mai male."
"DCG_VO_magnus_equip_generic_accessory_03"	"Mi serviva proprio."
"DCG_VO_magnus_equip_generic_accessory_04"	"Mi aiuterà a sopravvivere."
"DCG_VO_magnus_equip_generic_accessory_05"	"Let's see my enemies try to kill me now."
"DCG_VO_magnus_kill_rival_01"	"Hai già perso!"
"DCG_VO_magnus_kill_rival_02"	"This day is mine."
"DCG_VO_magnus_kill_rival_03"	"No one can stand against Magnus!"
"DCG_VO_magnus_kill_rival_04"	"Nessun guerriero è alla mia altezza. "
"DCG_VO_magnus_kill_rival_05"	"I'll trample anyone in my way!"
"DCG_VO_magnus_kill_rival_06"	"No victory for you...only death."
"DCG_VO_magnus_kill_rival_07"	"Pensi di poter fermare il grande Magnus?"
"DCG_VO_magnus_kill_rival_08"	"Dovresti scappare."
"DCG_VO_magnus_kill_rival_09"	"I tuoi giorni sono contati."
"DCG_VO_magnus_kill_rival_10"	"You’re a dead man."
"DCG_VO_magnus_use_include_01"	"Primal strength!"
"DCG_VO_magnus_use_include_02"	"This is the power of my people."
"DCG_VO_magnus_use_include_03"	"<i>Ruggisce</i>"
"DCG_VO_magnus_unique_01"	"Cleave your way through our enemies Ursa!"
"DCG_VO_magnus_unique_02"	"Tear their armor asunder!"
"DCG_VO_magnus_unique_03"	"Rip their army apart!"
"DCG_VO_magnus_unique_04"	"Cut a path Sven!"
"DCG_VO_magnus_unique_05"	"Grow stronger Sven!"
"DCG_VO_magnus_unique_06"	"Proteggeremo gli abitanti di Petalosa."
"DCG_VO_magnus_unique_07"	"I Vhoul hanno bisogno del nostro aiuto, Treant."
"DCG_VO_magnus_unique_08"	"It's good to fight by your side my friend."
"DCG_VO_magnus_unique_09"	"La tua causa è giusta, Rix."
"DCG_VO_magnus_unique_10"	"È un onore combattere al tuo fianco, Rix."
"DCG_VO_magnus_unique_11"	"Hai preso la decisione giusta, Rix."
"DCG_VO_magnus_unique_12"	"The Bronze Legion has much to answer for."
"DCG_VO_magnus_unique_13"	"Leave this place Tresdin!"
"DCG_VO_magnus_unique_14"	"You don't even see what the Bronze Legion is becoming Tresdin!"
"DCG_VO_magnus_unique_15"	"I lend my aid to the rebellion."
"DCG_VO_magnus_unique_16"	"Your people's cause has become my own."
"DCG_VO_magnus_unique_17"	"Ti proteggerò dai tuoi nemici."
"DCG_VO_magnus_unique_18"	"The Oglodi don't belong here!"
"DCG_VO_magnus_unique_19"	"Non ho paura di voi barbari."
"DCG_VO_magnus_unique_20"	"Lets see how the Legion fares against a warrior, and not some farmer."
"DCG_VO_magnus_healed_01"	"Ahhh."
"DCG_VO_magnus_healed_02"	"Grazie."
"DCG_VO_magnus_healed_03"	"Lo apprezzo molto."
"DCG_VO_magnus_healed_04"	"È ora di combattere."
"DCG_VO_magnus_healed_05"	"The time for resting is over."
"DCG_VO_magnus_taunt_generic_01"	"We will crush our enemies!"
"DCG_VO_magnus_taunt_generic_02"	"We'll run you down!"
"DCG_VO_magnus_taunt_generic_03"	"Restiamo uniti!"
"DCG_VO_magnus_taunt_generic_04"	"The thunder you hear is my hooves!"
"DCG_VO_magnus_taunt_generic_05"	"Attack!"
"DCG_VO_magnus_taunt_generic_06"	"Crush them!"
"DCG_VO_magnus_taunt_generic_07"	"They'll run before us!"
"DCG_VO_magnus_taunt_generic_08"	"This is the time for glory!"
"DCG_VO_magnus_taunt_generic_09"	"E ora attacchiamo!"
"DCG_VO_magnus_taunt_generic_10"	"I will lead you to victory!"
"DCG_VO_magnus_potential_kill_01"	"I won't be denied victory."
"DCG_VO_magnus_potential_kill_02"	"You can't hide from me."
"DCG_VO_magnus_potential_kill_03"	"You're on borrowed time."
"DCG_VO_magnus_potential_kill_04"	"You're no match for me."
"DCG_VO_magnus_potential_kill_05"	"You think you're my equal?"
"DCG_VO_magnus_potential_save_01"	"I'm not easy prey."
"DCG_VO_magnus_potential_save_02"	"You can't kill me."
"DCG_VO_magnus_potential_save_03"	"You thought you could kill me?"
"DCG_VO_magnus_potential_save_04"	"I will survive this."
"DCG_VO_magnus_potential_save_05"	"Ha!"
"DCG_VO_magnus_permanent_armor_01"	"Ora sono più forte."
"DCG_VO_magnus_permanent_armor_02"	"My skin is as strong as my will."
"DCG_VO_magnus_permanent_armor_03"	"Il corno mi protegge."
"DCG_VO_magnus_permanent_armor_04"	"My will is unbreakable."
"DCG_VO_magnus_permanent_armor_05"	"I feel the power of my kin."
"DCG_VO_magnus_permanent_attack_01"	"Ora sono più forte."
"DCG_VO_magnus_permanent_attack_02"	"Chi oserebbe opporsi a me?"
"DCG_VO_magnus_permanent_attack_03"	"Bring me a worthy enemy."
"DCG_VO_magnus_permanent_attack_04"	"I'll crush my rivals under hoof."
"DCG_VO_magnus_permanent_attack_05"	"I'll grind our foes to dust."
"DCG_VO_magnus_permanent_health_01"	"Il viaggio è lungo, devo prepararmi."
"DCG_VO_magnus_permanent_health_02"	"Sopravviverò per vendicare la mia gente."
"DCG_VO_magnus_permanent_health_03"	"Nessun bracconiere avrà il mio corno."
"DCG_VO_magnus_permanent_health_04"	"I will not be easy prey."
"DCG_VO_magnus_permanent_health_05"	"Devo sopravvivere."
"DCG_VO_magnus_cast_spell_01"	"Feel the power of my people!"
"DCG_VO_magnus_cast_spell_02"	"La magia della mia gente è potente!"
"DCG_VO_magnus_cast_spell_03"	"I will protect us."
"DCG_VO_magnus_cast_spell_04"	"Nessuno ci farà del male."
"DCG_VO_magnus_cast_spell_05"	"<i>ride</i>"
"DCG_VO_magnus_cast_spell_06"	"Try to keep up."
"DCG_VO_magnus_cast_spell_07"	"Nessuno è alla mia altezza."
"DCG_VO_magnus_cast_spell_08"	"We can turn the tide."
"DCG_VO_magnus_cast_spell_09"	"Non perdere la speranza."
"DCG_VO_magnus_cast_spell_10"	"Non è ancora finita."
"DCG_VO_magnus_death_01"	"<i>Urla</i>"
"DCG_VO_zeus_intro"	"I care little for the affairs of mortals. I have no stake in the war between Red Mist and the Bronze Legion. The plight of the Vhoul does little to stir my blood. What I DO care about however, is that charlatan Storm Spirit claiming my lighting as his own... and so I travel to Roseleaf; to prove that there is no god of lighting above me."
"DCG_VO_zeus_thundergods_wrath_intro"	"The full brunt of my fury is something beautiful and terrible to behold."
"DCG_VO_zeus_lightning_strike_intro"	"Be grateful you only annoyed me mortal, had you offended me the results would be far more... interesting."
"DCG_VO_zeus_bolt_of_damocles_intro"	"Some mistake my taking on the mortal coil as a sign that I have grown weaker. Every now and again I like to remind the world that that isn't the case. My wife would say that cratering a city is overkill. She's probably right. But I've always been a fan of grand gestures."
"DCG_VO_zeus_equip_generic_weapon_01"	"Befitting a god."
"DCG_VO_zeus_equip_generic_weapon_02"	"Perfetto."
"DCG_VO_zeus_equip_generic_weapon_03"	"This will come in handy."
"DCG_VO_zeus_equip_generic_weapon_04"	"Just what I was looking for."
"DCG_VO_zeus_equip_generic_weapon_05"	"This will do nicely..."
"DCG_VO_zeus_equip_generic_armor_01"	"The mortal flesh needs protection."
"DCG_VO_zeus_equip_generic_armor_02"	"None shall harm Zeus."
"DCG_VO_zeus_equip_generic_armor_03"	"Let's see them try to harm me now."
"DCG_VO_zeus_equip_generic_armor_04"	"Ready for battle."
"DCG_VO_zeus_equip_generic_armor_05"	"Exquisite."
"DCG_VO_zeus_equip_generic_accessory_01"	"A suitable trinket."
"DCG_VO_zeus_equip_generic_accessory_02"	"Mortals make the most intriguing things."
"DCG_VO_zeus_equip_generic_accessory_03"	"Ne farò buon uso."
"DCG_VO_zeus_equip_generic_accessory_04"	"È un tributo agli dei."
"DCG_VO_zeus_equip_generic_accessory_05"	"I accept this offering."
"DCG_VO_zeus_kill_rival_01"	"Bow before my might."
"DCG_VO_zeus_kill_rival_02"	"Kneel before Zeus."
"DCG_VO_zeus_kill_rival_03"	"You are beneath me."
"DCG_VO_zeus_kill_rival_04"	"Ahahahah."
"DCG_VO_zeus_kill_rival_05"	"Who doesn't love a good smiting."
"DCG_VO_zeus_kill_rival_06"	"Troppo facile."
"DCG_VO_zeus_kill_rival_07"	"Barely lifted a finger."
"DCG_VO_zeus_kill_rival_08"	"You thought you could stand against me?"
"DCG_VO_zeus_kill_rival_09"	"You dare raise a hand against Zeus?"
"DCG_VO_zeus_kill_rival_10"	"I mortali sono così fragili..."
"DCG_VO_zeus_use_include_01"	"Feel my wrath!"
"DCG_VO_zeus_use_include_02"	"Behold the power of Zeus!"
"DCG_VO_zeus_use_include_03"	"You can't run from the heavens!"
"DCG_VO_zeus_unique_01"	"You don't know who you're messing with do you?"
"DCG_VO_zeus_unique_02"	"Non mettermi alla prova, mortale."
"DCG_VO_zeus_unique_03"	"The lightning is mine to control!"
"DCG_VO_zeus_unique_04"	"Hai scatenato l'ira degli dei!"
"DCG_VO_zeus_unique_05"	"Comincia a pregare!"
"DCG_VO_zeus_unique_06"	"I will leave nothing behind but rubble!"
"DCG_VO_zeus_unique_07"	"Maiden, we're about to do great things together."
"DCG_VO_zeus_unique_08"	"Guarda e impara, Fanciulla..."
"DCG_VO_zeus_unique_09"	"Adoro lavorare con te, Rylai..."
"DCG_VO_zeus_unique_10"	"Pensi di poter uccidere un dio?!"
"DCG_VO_zeus_unique_11"	"Non temo alcun assassino."
"DCG_VO_zeus_unique_12"	"You were fun to drink with Bristleback...I'm sad it came to this."
"DCG_VO_zeus_unique_13"	"So you pray to the moon goddess but not to me? Interesting."
"DCG_VO_zeus_unique_14"	"I look forward to meeting this 'Selemene'."
