"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"W wielu sprawach nie zgadzam się z Pierpontem, ale był dość mądry, by przewidzieć konsekwencje drażnienia Bezlicej Pustki. Nie jestem wielką zwolenniczką układu z Claszureme, chronomancja była bardzo zabawna. Ale wiesz, co jest równie zabawne? Uchronienie swojej osi czasu od unicestwienia."
"DCG_VO_legion_commander_unique_11"	"Czerwona Mgła już stąd nie odejdzie!"
"DCG_VO_legion_commander_unique_12"	"Czekałam na ten moment, Sorla."
"DCG_VO_legion_commander_unique_13"	"Formować szyki pod moim sztandarem!"
"DCG_VO_legion_commander_unique_14"	"Trzymać się mnie, w grupie nas nie pokonają!"
"DCG_VO_legion_commander_unique_15"	"Powiodę nas ku zwycięstwu!"
"DCG_VO_legion_commander_unique_16"	"Nie okazywać łaski!"
"DCG_VO_legion_commander_unique_17"	"Udało nam się złamać ich szeregi!"
"DCG_VO_legion_commander_unique_18"	"Teraz! Gdy są w rozsypce!"
"DCG_VO_legion_commander_unique_19"	"Cieszę się, że wróciłeś po rozum do głowy, Rix."
"DCG_VO_legion_commander_unique_20"	"Rix... gdy już wygramy, być może Galaniusz cię ułaskawi."
"DCG_VO_legion_commander_healed_01"	"Aaach."
"DCG_VO_legion_commander_healed_02"	"Moje podziękowania."
"DCG_VO_legion_commander_healed_03"	"Gotowa do walki."
"DCG_VO_legion_commander_healed_04"	"Jeszcze nie skończyłam tej walki."
"DCG_VO_legion_commander_healed_05"	"Nie porzucę tej walki."
"DCG_VO_legion_commander_taunt_generic_01"	"Na chwałę Kamieniogrodu!"
"DCG_VO_legion_commander_taunt_generic_02"	"Poddajcie się lub gińcie!"
"DCG_VO_legion_commander_taunt_generic_03"	"Zwycięstwo jest w zasięgu ręki!"
"DCG_VO_legion_commander_taunt_generic_04"	"Nadeszła nasza chwila!"
"DCG_VO_legion_commander_taunt_generic_05"	"Czas kończyć tę bitwę!"
"DCG_VO_legion_commander_taunt_generic_06"	"Zwycięstwo jest już nasze!"
"DCG_VO_legion_commander_taunt_generic_07"	"Skoncentrować się, porażkę będziemy zawdzięczać tylko sobie!"
"DCG_VO_legion_commander_taunt_generic_08"	"Nie odpuszczać!"
"DCG_VO_legion_commander_taunt_generic_09"	"Dobra robota, ale walka jeszcze się nie skończyła."
"DCG_VO_legion_commander_taunt_generic_10"	"Dobrze walczycie. Czas z tym kończyć."
"DCG_VO_legion_commander_potential_kill_01"	"Umrzesz tutaj."
"DCG_VO_legion_commander_potential_kill_02"	"Nie łudź się, że mnie pokonasz."
"DCG_VO_legion_commander_potential_kill_03"	"Nigdzie nie uciekniesz."
"DCG_VO_legion_commander_potential_kill_04"	"Nie sądzę."
"DCG_VO_legion_commander_potential_kill_05"	"Zrobię to szybko."
"DCG_VO_legion_commander_potential_save_01"	"Nie będzie aż tak łatwo."
"DCG_VO_legion_commander_potential_save_02"	"Przepraszam, że cię rozczarowałam."
"DCG_VO_legion_commander_potential_save_03"	"Dzisiaj nie umrę."
"DCG_VO_legion_commander_potential_save_04"	"Nie tak łatwo mnie zabić."
"DCG_VO_legion_commander_potential_save_05"	"Nie jesteś pierwszą osobą, która próbowała mnie zabić."
"DCG_VO_legion_commander_permanent_armor_01"	"Będę dowodzić z pierwszej linii. Muszę być gotowa na wszystko."
"DCG_VO_legion_commander_permanent_armor_02"	"Niech teraz spróbują mnie zranić."
"DCG_VO_legion_commander_permanent_armor_03"	"Z marszu podbiję pole bitwy."
"DCG_VO_legion_commander_permanent_armor_04"	"Wznieście naszego bykowęża wysoko!"
"DCG_VO_legion_commander_permanent_armor_05"	"Brązowy Legion zawsze jest odpowiednio przygotowany do sytuacji."
"DCG_VO_legion_commander_permanent_attack_01"	"Dodatkowa musztra nigdy nie zaszkodzi."
"DCG_VO_legion_commander_permanent_attack_02"	"Z każdym dniem jestem silniejsza."
"DCG_VO_legion_commander_permanent_attack_03"	"Dam przykład swoim ludziom."
"DCG_VO_legion_commander_permanent_attack_04"	"Kto ośmieliłby się stawić mi opór?"
"DCG_VO_legion_commander_permanent_attack_05"	"Wykorzystam każdą możliwą przewagę."
"DCG_VO_legion_commander_permanent_health_01"	"Muszę się przygotować do walki."
"DCG_VO_legion_commander_permanent_health_02"	"Im dłużej utrzymam się na nogach, tym lepiej."
"DCG_VO_legion_commander_permanent_health_03"	"Kto wie, ile potrwa ta bitwa... muszę być przygotowana."
"DCG_VO_legion_commander_permanent_health_04"	"Będę walczyć do ostatniego tchu."
"DCG_VO_legion_commander_permanent_health_05"	"Ja dyktuję zasady tej walki!"
"DCG_VO_legion_commander_cast_spell_01"	"Gdyby Belasanno mógł to zobaczyć..."
"DCG_VO_legion_commander_cast_spell_02"	"Nie złamiesz Legionu!"
"DCG_VO_legion_commander_cast_spell_03"	"Jesteś dokładnie tam, gdzie chciałam cię mieć."
"DCG_VO_legion_commander_cast_spell_04"	"Żadna armia nie sprosta Legionowi!"
"DCG_VO_legion_commander_cast_spell_05"	"Teraz!"
"DCG_VO_legion_commander_cast_spell_06"	"Czas, by uderzyć!"
"DCG_VO_legion_commander_cast_spell_07"	"Poznaj wściekłość Legionu!"
"DCG_VO_legion_commander_cast_spell_08"	"Jesteśmy gotowi na wszystko..."
"DCG_VO_legion_commander_cast_spell_09"	"Nic nas nie powstrzyma!"
"DCG_VO_legion_commander_cast_spell_10"	"Musimy się przygotować..."
"DCG_VO_legion_commander_death_01"	"<i>krzyczy</i>"
"DCG_VO_dark_seer_intro"	"Czerwona Mgła powoli zbliża się do Kamieniogrodu. Brązowy Legion planuje zasadzkę w Różoliściu. Ale mieszkańcom miasta vhuli nie w smak jest okupacja, więc wzniecają powstanie. Trzy frakcje. Jedno pole bitwy. I żadnego na nim stratega. Pokonam tych szarlatanów wojny. I tym samym pokażę swój geniusz."
"DCG_VO_dark_seer_ion_shell_intro"	"Zbir wie tylko, jak machać mieczem... nie zastanawia się nad skutkami... łatwo wykorzystać tak przewidywalne zachowania."
"DCG_VO_dark_seer_foresight"	"Wyrocznia widzi podobno wszystkie możliwe rozwiązania. Jeśli to prawda, może być potężnym sojusznikiem... a w ostateczności wrogiem, na którym warto sprawdzić swoje umiejętności."
"DCG_VO_dark_seer_use_ability_01"	"Zryw!"
"DCG_VO_dark_seer_use_ability_02"	"Na pozycje!"
"DCG_VO_dark_seer_use_ability_03"	"Nie spodziewali się tego."
"DCG_VO_dark_seer_use_ability_04"	"Podziwiajcie mój geniusz!"
"DCG_VO_dark_seer_use_ability_05"	"Ja określam zasady tej walki."
"DCG_VO_dark_seer_equip_generic_weapon_01"	"Właściwie to wykorzystam."
"DCG_VO_dark_seer_equip_generic_weapon_02"	"Moi wrogowie przegrają."
"DCG_VO_dark_seer_equip_generic_weapon_03"	"Jestem gotów do wojny."
"DCG_VO_dark_seer_equip_generic_weapon_04"	"Wkrótce moich wrogów spotka klęska."
"DCG_VO_dark_seer_equip_generic_weapon_05"	"Ja ustalam zasady tej walki."
"DCG_VO_dark_seer_equip_generic_armor_01"	"Taktyk potrzebuje ochrony."
"DCG_VO_dark_seer_equip_generic_armor_02"	"Przybywam przygotowany."
"DCG_VO_dark_seer_equip_generic_armor_03"	"Przeżyję tę bitwę."
"DCG_VO_dark_seer_equip_generic_armor_04"	"Idealnie."
"DCG_VO_dark_seer_equip_generic_armor_05"	"Tak jak planowałem."
"DCG_VO_dark_seer_equip_generic_accessory_01"	"Właśnie tego potrzebowałem."
"DCG_VO_dark_seer_equip_generic_accessory_02"	"Będę z tego mądrze korzystać."
"DCG_VO_dark_seer_equip_generic_accessory_03"	"Nie zamierzam opuszczać pola bitwy w najbliższym czasie."
"DCG_VO_dark_seer_equip_generic_accessory_04"	"Stosowne dla kogoś o moim geniuszu."
"DCG_VO_dark_seer_equip_generic_accessory_05"	"Jestem odpowiednio przygotowany."
"DCG_VO_dark_seer_kill_rival_01"	"Nie przeżyjesz tego."
"DCG_VO_dark_seer_kill_rival_02"	"Idealnie to zaplanowałem."
"DCG_VO_dark_seer_kill_rival_03"	"Twoje szanse były zerowe."
"DCG_VO_dark_seer_kill_rival_04"	"Ta ścieżka należy do mnie."
"DCG_VO_dark_seer_kill_rival_05"	"Przepadnie każdy, kto mi się sprzeciwi."
"DCG_VO_dark_seer_kill_rival_06"	"Ta wojna była wygrana, nim się zaczęła."
"DCG_VO_dark_seer_kill_rival_07"	"Mój taktyczny geniusz nie ma sobie równych."
"DCG_VO_dark_seer_kill_rival_08"	"Jesteś gorszego sortu."
"DCG_VO_dark_seer_kill_rival_09"	"Szybko zadam ci śmierć."
"DCG_VO_dark_seer_kill_rival_10"	"Nie uchylam się, gdy trzeba pobrudzić sobie ręce..."
"DCG_VO_dark_seer_use_include_01"	"Ci, co ośmielili się w nas uderzyć, jeszcze pożałują."
"DCG_VO_dark_seer_use_include_02"	"Jonowa powłoka!"
"DCG_VO_dark_seer_use_include_03"	"Spróbuj tylko mnie zaatakować!"
"DCG_VO_dark_seer_unique_01"	"Ze swoim podrzędnym umysłem chciałaś oblegać Kamieniogród?"
"DCG_VO_dark_seer_unique_02"	"Jesteś zwyczajną brutalną prostaczką, Sorla. Nikim więcej."
"DCG_VO_dark_seer_unique_03"	"Wasza rebelia jest skazana na niepowodzenie."
"DCG_VO_dark_seer_unique_04"	"Walczysz z pasją, ale nie używasz rozumu, Rix."
"DCG_VO_dark_seer_unique_05"	"Wojujesz na próżno, Tresdin."
"DCG_VO_dark_seer_unique_06"	"To ja lepiej bym się nadawał na dowódcę Brązowego Legionu."
"DCG_VO_dark_seer_unique_07"	"Co z ciebie za czempion?"
"DCG_VO_dark_seer_unique_08"	"Nie wiesz nawet, jak napisać „zwycięstwo”, Kacie, a tym bardziej, jak je odnieść."
"DCG_VO_dark_seer_unique_09"	"Twoja śmierć będzie ich słono kosztować."
"DCG_VO_dark_seer_unique_10"	"Wykonuj moje rozkazy, Rix, a wygrasz tę bitwę."
"DCG_VO_dark_seer_unique_11"	"Naszych wrogów spotka mała, paskudna niespodzianka."
"DCG_VO_dark_seer_unique_12"	"Uwierz mi, Ursa, że to ta droga prowadzi do zwycięstwa."
"DCG_VO_dark_seer_unique_13"	"Mądrze robisz, prosząc mnie o wsparcie."
"DCG_VO_dark_seer_unique_14"	"Zapewnię ci zwycięstwo."
"DCG_VO_dark_seer_unique_15"	"Ci, którzy ci się sprzeciwią, poniosą śmierć."
"DCG_VO_dark_seer_unique_16"	"Sama widzisz, jak twoja moc rośnie."
"DCG_VO_dark_seer_unique_17"	"Wszyscy będą się ciebie bać, Mazzie."
"DCG_VO_dark_seer_unique_18"	"Nikt nie ośmieli się ciebie zaatakować."
"DCG_VO_dark_seer_unique_19"	"Pozwól, że zademonstruję ci, jak najlepiej wykorzystać twoją zbroję."
"DCG_VO_dark_seer_unique_20"	"Im zacieklej będą atakować, tym bardziej tego pożałują."
"DCG_VO_dark_seer_healed_01"	"Aaach."
"DCG_VO_dark_seer_healed_02"	"Mądra decyzja."
"DCG_VO_dark_seer_healed_03"	"Mądra inwestycja."
"DCG_VO_dark_seer_healed_04"	"Czuję się lepiej."
"DCG_VO_dark_seer_healed_05"	"Jestem gotowy do walki."
"DCG_VO_dark_seer_taunt_generic_01"	"Ta bitwa jest już wygrana!"
"DCG_VO_dark_seer_taunt_generic_02"	"Moja przebiegłość jest niezrównana."
"DCG_VO_dark_seer_taunt_generic_03"	"Zaraz zwyciężymy."
"DCG_VO_dark_seer_taunt_generic_04"	"Powiodę nas ku zwycięstwu."
"DCG_VO_dark_seer_taunt_generic_05"	"Nikt nas nie powstrzyma, gdy realizujemy mój plan."
"DCG_VO_dark_seer_taunt_generic_06"	"Jestem największym militarnym geniuszem od pokoleń."
"DCG_VO_dark_seer_taunt_generic_07"	"Nasza armia jest niezrównana."
"DCG_VO_dark_seer_taunt_generic_08"	"Wygramy tę bitwę."
"DCG_VO_dark_seer_taunt_generic_09"	"Mam plan na każdy wypadek."
"DCG_VO_dark_seer_taunt_generic_10"	"To będzie nasze zwycięstwo."
"DCG_VO_dark_seer_potential_kill_01"	"Nie oszukasz mnie."
"DCG_VO_dark_seer_potential_kill_02"	"Nie masz jak przede mną uciec."
"DCG_VO_dark_seer_potential_kill_03"	"Poświęciłem trochę czasu, by zaplanować twoją śmierć."
"DCG_VO_dark_seer_potential_kill_04"	"Ktoś wpadł w moją pułapkę."
"DCG_VO_dark_seer_potential_kill_05"	"Nikt nie potrafi mnie przechytrzyć!"
"DCG_VO_dark_seer_potential_save_01"	"Przewidziałem wszystkie możliwości."
"DCG_VO_dark_seer_potential_save_02"	"Zawsze planuję z wyprzedzeniem."
"DCG_VO_dark_seer_potential_save_03"	"Myślisz, że nie przygotowałem się na taką okoliczność?"
"DCG_VO_dark_seer_potential_save_04"	"Tak jakby twój niedorozwinięty umysł mógł uknuć intrygę, która mnie pokona."
"DCG_VO_dark_seer_potential_save_05"	"Twoje wysiłki są raczej mierne."
"DCG_VO_dark_seer_permanent_armor_01"	"Niech tylko spróbują mnie teraz zranić."
"DCG_VO_dark_seer_permanent_armor_02"	"Moim priorytetem jest przetrwanie."
"DCG_VO_dark_seer_permanent_armor_03"	"Będę przygotowany na wszystko."
"DCG_VO_dark_seer_permanent_armor_04"	"Spróbują mnie dopaść, ale ja będę na to gotowy."
"DCG_VO_dark_seer_permanent_armor_05"	"To wszystko jest częścią mojego planu."
"DCG_VO_dark_seer_permanent_attack_01"	"Teraz jestem silniejszy."
"DCG_VO_dark_seer_permanent_attack_02"	"Mój geniusz rozkwita."
"DCG_VO_dark_seer_permanent_attack_03"	"Stanę się jeszcze bardziej zabójczy."
"DCG_VO_dark_seer_permanent_attack_04"	"Nasi wrogowie wkrótce będą martwi."
"DCG_VO_dark_seer_permanent_attack_05"	"Jak zwykle mnie nie docenili."
"DCG_VO_dark_seer_permanent_health_01"	"Robię się silniejszy."
"DCG_VO_dark_seer_permanent_health_02"	"Z dnia na dzień jestem bardziej odporny."
"DCG_VO_dark_seer_permanent_health_03"	"Śmierć mnie nie znajdzie."
"DCG_VO_dark_seer_permanent_health_04"	"Będę walczyć, dopóki zdołam."
"DCG_VO_dark_seer_permanent_health_05"	"Czuję przypływ witalności."
"DCG_VO_dark_seer_cast_spell_01"	"Pomyślałem o wszystkim."
"DCG_VO_dark_seer_cast_spell_02"	"Sprawdźmy, czy się tego spodziewali."
"DCG_VO_dark_seer_cast_spell_03"	"Na to nie są gotowi..."
"DCG_VO_dark_seer_cast_spell_04"	"Sprawdźmy, czy mają odpowiedź na to!"
"DCG_VO_dark_seer_cast_spell_05"	"Poczuj moją moc!"
"DCG_VO_dark_seer_cast_spell_06"	"Podziwiajcie!"
"DCG_VO_dark_seer_cast_spell_07"	"Nikt mi nie dorównuje!"
"DCG_VO_dark_seer_cast_spell_08"	"Ja tu ustalam zasady."
"DCG_VO_dark_seer_cast_spell_09"	"Strzeżcie się mnie!"
"DCG_VO_dark_seer_cast_spell_10"	"Nie istnieje rzecz, której nie wziąłem pod uwagę."
"DCG_VO_dark_seer_death_01"	"<i>krzyczy</i>"
"DCG_VO_magnus_intro"	"Dobrze poznałem ludzką żądzę podbojów. Wiem, jak to jest, gdy mają cię za towar, a nie za inteligentną istotę... dlatego nie będę bezczynnie patrzeć na zaszczuwanie vhuli. Dla mojego ludu jest już za późno... ale dla nich wciąż jeszcze może istnieć nadzieja."
"DCG_VO_magnus_bellow_intro"	"To prawo natury – zawsze znajdzie się ktoś silniejszy i groźniejszy niż ty. Niektórym trzeba o tym co jakiś czas przypomnieć."
"DCG_VO_magnus_empower_intro"	"Siła mego ludu wciąż we mnie żyje... i wykorzystam ją, by znaleźć tych, co trzebią mój gatunek."
"DCG_VO_magnus_protect_the_weak_intro"	"Ilexa nie ma pojęcia, jak ważna wkrótce się stanie. Za wszelką cenę trzeba ją ochronić."
"DCG_VO_magnus_equip_generic_weapon_01"	"Gotów do walki."
"DCG_VO_magnus_equip_generic_weapon_02"	"Będzie mi dobrze służyć."
"DCG_VO_magnus_equip_generic_weapon_03"	"Może się przydać."
"DCG_VO_magnus_equip_generic_weapon_04"	"To się sprawdzi."
"DCG_VO_magnus_equip_generic_weapon_05"	"Pokonam moich wrogów."
"DCG_VO_magnus_equip_generic_armor_01"	"Niech teraz ci kłusownicy spróbują mnie zabić."
"DCG_VO_magnus_equip_generic_armor_02"	"Nie przydam się moim, jeśli będę martwy."
"DCG_VO_magnus_equip_generic_armor_03"	"Muszę zadbać o swoją ochronę."
"DCG_VO_magnus_equip_generic_armor_04"	"Zrobię to, co muszę, aby przetrwać."
"DCG_VO_magnus_equip_generic_armor_05"	"Zadziwiające, że pasuje..."
"DCG_VO_magnus_equip_generic_accessory_01"	"Wykorzystam to."
"DCG_VO_magnus_equip_generic_accessory_02"	"Drobna pomoc nigdy nie zaszkodzi."
"DCG_VO_magnus_equip_generic_accessory_03"	"Potrzebowałem tego."
"DCG_VO_magnus_equip_generic_accessory_04"	"Pomoże mi zachować życie."
"DCG_VO_magnus_equip_generic_accessory_05"	"Niech teraz wrogowie spróbują mnie zabić."
"DCG_VO_magnus_kill_rival_01"	"Już po tobie!"
"DCG_VO_magnus_kill_rival_02"	"To jest mój dzień."
"DCG_VO_magnus_kill_rival_03"	"Nikt nie pokona Magnusa!"
"DCG_VO_magnus_kill_rival_04"	"Żaden wojownik się ze mną nie równa."
"DCG_VO_magnus_kill_rival_05"	"Rozdepczę każdego, kto stanie mi na drodze!"
"DCG_VO_magnus_kill_rival_06"	"Nie znajdziesz tu zwycięstwa... tylko śmierć."
"DCG_VO_magnus_kill_rival_07"	"Sądzisz, że powstrzymasz wielkiego Magnusa?"
"DCG_VO_magnus_kill_rival_08"	"Lepiej uciekaj."
"DCG_VO_magnus_kill_rival_09"	"Twoje dni są policzone."
"DCG_VO_magnus_kill_rival_10"	"Jesteś już trupem."
"DCG_VO_magnus_use_include_01"	"Pierwotna siła!"
"DCG_VO_magnus_use_include_02"	"To siła mojego ludu."
"DCG_VO_magnus_use_include_03"	"<i>ryczy</i>"
"DCG_VO_magnus_unique_01"	"Rozpłataj wrogów, by utorować sobie drogę, Ursa!"
"DCG_VO_magnus_unique_02"	"Rozedrzyj ich pancerze!"
"DCG_VO_magnus_unique_03"	"Rozbij ich armię w perzynę!"
"DCG_VO_magnus_unique_04"	"Wyrąb nam przejście, Sven!"
"DCG_VO_magnus_unique_05"	"Rośnij w siłę, Sven!"
"DCG_VO_magnus_unique_06"	"Obronimy mieszkańców Różoliścia."
"DCG_VO_magnus_unique_07"	"Vhule potrzebują naszej pomocy, Drzewcu."
"DCG_VO_magnus_unique_08"	"Dobrze walczyć u twego boku, mój druhu."
"DCG_VO_magnus_unique_09"	"Walczysz o słuszną sprawę, Rix."
"DCG_VO_magnus_unique_10"	"To zaszczyt walczyć u twego boku, Rix."
"DCG_VO_magnus_unique_11"	"Podjąłeś właściwą decyzję, Rix."
"DCG_VO_magnus_unique_12"	"Brązowy Legion ma wiele na sumieniu."
"DCG_VO_magnus_unique_13"	"Opuść to miejsce, Tresdin!"
"DCG_VO_magnus_unique_14"	"Nie dostrzegasz, czym staje się Brązowy Legion, Tresdin!"
"DCG_VO_magnus_unique_15"	"Udzielę swojego wsparcia waszej rebelii."
"DCG_VO_magnus_unique_16"	"Walka waszego ludu stała się też moją."
"DCG_VO_magnus_unique_17"	"Będę was chronić przed waszymi wrogami."
"DCG_VO_magnus_unique_18"	"Oglodi są tu obcy!"
"DCG_VO_magnus_unique_19"	"Nie boję się was, barbarzyńcy."
"DCG_VO_magnus_unique_20"	"Zobaczmy, jak poradzi sobie Legion, gdy zamiast rolników spotka wojownika."
"DCG_VO_magnus_healed_01"	"Aaach."
"DCG_VO_magnus_healed_02"	"Dziękuję."
"DCG_VO_magnus_healed_03"	"Doceniam to."
"DCG_VO_magnus_healed_04"	"Jestem gotów do walki."
"DCG_VO_magnus_healed_05"	"Czas na odpoczynek już minął."
"DCG_VO_magnus_taunt_generic_01"	"Zmiażdżymy naszych wrogów!"
"DCG_VO_magnus_taunt_generic_02"	"Rozgonimy was!"
"DCG_VO_magnus_taunt_generic_03"	"Walczymy ramię w ramię!"
"DCG_VO_magnus_taunt_generic_04"	"Ten huk to tętent moich kopyt!"
"DCG_VO_magnus_taunt_generic_05"	"Do ataku!"
"DCG_VO_magnus_taunt_generic_06"	"Rozwalić ich!"
"DCG_VO_magnus_taunt_generic_07"	"Uciekną przed nami!"
"DCG_VO_magnus_taunt_generic_08"	"Nadszedł czas chwały!"
"DCG_VO_magnus_taunt_generic_09"	"Teraz uderzymy!"
"DCG_VO_magnus_taunt_generic_10"	"Powiodę was ku zwycięstwu!"
"DCG_VO_magnus_potential_kill_01"	"Nikt nie odbierze mi zwycięstwa."
"DCG_VO_magnus_potential_kill_02"	"Nie ukryjesz się przede mną."
"DCG_VO_magnus_potential_kill_03"	"Twój czas jest policzony."
"DCG_VO_magnus_potential_kill_04"	"Nie masz ze mną szans."
"DCG_VO_magnus_potential_kill_05"	"Wydaje ci się, że mi dorównujesz?"
"DCG_VO_magnus_potential_save_01"	"Nie jestem łatwą zdobyczą."
"DCG_VO_magnus_potential_save_02"	"Nie możesz mnie zabić."
"DCG_VO_magnus_potential_save_03"	"Wydawało ci się, że możesz mnie zabić?"
"DCG_VO_magnus_potential_save_04"	"Przeżyję to."
"DCG_VO_magnus_potential_save_05"	"Ha!"
"DCG_VO_magnus_permanent_armor_01"	"Teraz jestem odporniejszy."
"DCG_VO_magnus_permanent_armor_02"	"Moja skóra jest tak mocna jak moja wola."
"DCG_VO_magnus_permanent_armor_03"	"Mój róg mnie obroni."
"DCG_VO_magnus_permanent_armor_04"	"Moja wola jest niezłomna."
"DCG_VO_magnus_permanent_armor_05"	"Czuję siłę mojego ludu."
"DCG_VO_magnus_permanent_attack_01"	"Teraz jestem silniejszy."
"DCG_VO_magnus_permanent_attack_02"	"Kto ośmieliłby się mi sprzeciwić?"
"DCG_VO_magnus_permanent_attack_03"	"Dajcie mi godnego przeciwnika."
"DCG_VO_magnus_permanent_attack_04"	"Stratuję przeciwników pod kopytami."
"DCG_VO_magnus_permanent_attack_05"	"Zetrę naszych wrogów w proch."
"DCG_VO_magnus_permanent_health_01"	"Droga będzie długa... muszę być przygotowany."
"DCG_VO_magnus_permanent_health_02"	"Przeżyję, aby pomścić mych pobratymców."
"DCG_VO_magnus_permanent_health_03"	"Żaden kłusownik nie dostanie mojego rogu."
"DCG_VO_magnus_permanent_health_04"	"Nie będę łatwą zdobyczą."
"DCG_VO_magnus_permanent_health_05"	"Muszę przeżyć."
"DCG_VO_magnus_cast_spell_01"	"Poczuj siłę mojego ludu!"
"DCG_VO_magnus_cast_spell_02"	"Magia mojego ludu jest silna!"
"DCG_VO_magnus_cast_spell_03"	"Obronię nas."
"DCG_VO_magnus_cast_spell_04"	"Nie stanie się nam krzywda."
"DCG_VO_magnus_cast_spell_05"	"<i>śmieje się</i>"
"DCG_VO_magnus_cast_spell_06"	"Spróbuj to wytrzymać."
"DCG_VO_magnus_cast_spell_07"	"Nie mam sobie równych."
"DCG_VO_magnus_cast_spell_08"	"Możemy zmienić bieg wydarzeń."
"DCG_VO_magnus_cast_spell_09"	"Nie porzucajcie nadziei."
"DCG_VO_magnus_cast_spell_10"	"To jeszcze nie koniec."
"DCG_VO_magnus_death_01"	"<i>krzyczy</i>"
"DCG_VO_zeus_intro"	"Przepychanki śmiertelników niewiele mnie obchodzą. Wojna między Czerwoną Mgłą a Brązowym Legionem to nie moja sprawa. Niedola vhuli nie porusza mojego serca. Ale OBCHODZI mnie to, że ten szalbierz, Duch Burzy, przywłaszcza sobie moje pioruny... dlatego wybieram się do Różoliścia. By udowodnić, że nie ma potężniejszego ode mnie boga błyskawic."
"DCG_VO_zeus_thundergods_wrath_intro"	"Manifestacja pełnej potęgi mojego gniewu jest piękna i przerażająca."
"DCG_VO_zeus_lightning_strike_intro"	"Ciesz się, że tylko mnie zirytowałaś, śmiertelna istoto. Gdybyś mnie obraziła, skutki byłyby znacznie bardziej... interesujące."
"DCG_VO_zeus_bolt_of_damocles_intro"	"Niektórzy mylnie biorą moje wizyty w świecie śmiertelników za oznakę rosnącej słabości. Co jakiś czas chcę więc przypomnieć światu, że to nieprawda. Moja żona powiedziałaby, że robienie z miasta krateru to przesada. I pewnie miałaby rację. Ale ja zawsze lubowałem się w pompatycznych gestach."
"DCG_VO_zeus_equip_generic_weapon_01"	"Odpowiednie dla boga."
"DCG_VO_zeus_equip_generic_weapon_02"	"Idealnie."
"DCG_VO_zeus_equip_generic_weapon_03"	"To mi się przyda."
"DCG_VO_zeus_equip_generic_weapon_04"	"Właśnie tego szukałem."
"DCG_VO_zeus_equip_generic_weapon_05"	"Świetnie się sprawdzi..."
"DCG_VO_zeus_equip_generic_armor_01"	"Śmiertelne ciało potrzebuje ochrony."
"DCG_VO_zeus_equip_generic_armor_02"	"Nikt nie zrani Zeusa."
"DCG_VO_zeus_equip_generic_armor_03"	"Niech teraz spróbują mnie zranić."
"DCG_VO_zeus_equip_generic_armor_04"	"Jestem gotów do bitwy."
"DCG_VO_zeus_equip_generic_armor_05"	"Wyrafinowane."
"DCG_VO_zeus_equip_generic_accessory_01"	"Adekwatna błyskotka."
"DCG_VO_zeus_equip_generic_accessory_02"	"Śmiertelnicy wytwarzają zadziwiające przedmioty."
"DCG_VO_zeus_equip_generic_accessory_03"	"Właściwie to wykorzystam."
"DCG_VO_zeus_equip_generic_accessory_04"	"Ofiara dla bogów."
"DCG_VO_zeus_equip_generic_accessory_05"	"Przyjmuję tę ofiarę."
"DCG_VO_zeus_kill_rival_01"	"Pokłoń się przed moją potęgą."
"DCG_VO_zeus_kill_rival_02"	"Padnij na kolana przed Zeusem."
"DCG_VO_zeus_kill_rival_03"	"To ja jestem górą."
"DCG_VO_zeus_kill_rival_04"	"Hahaha."
"DCG_VO_zeus_kill_rival_05"	"Kto nie kocha porządnego uderzenia."
"DCG_VO_zeus_kill_rival_06"	"Łatwizna."
"DCG_VO_zeus_kill_rival_07"	"Ledwie ruszyłem palcem."
"DCG_VO_zeus_kill_rival_08"	"Wydawało ci się, że możesz mi dorównać?"
"DCG_VO_zeus_kill_rival_09"	"Śmiesz podnosić rękę na Zeusa?"
"DCG_VO_zeus_kill_rival_10"	"Śmiertelnicy są tacy cherlawi..."
"DCG_VO_zeus_use_include_01"	"Poczuj mój gniew!"
"DCG_VO_zeus_use_include_02"	"Podziwiaj potęgę Zeusa!"
"DCG_VO_zeus_use_include_03"	"Nie da się uciec przed niebiosami!"
"DCG_VO_zeus_unique_01"	"Nie wiesz, z kim zadzierasz, co?"
"DCG_VO_zeus_unique_02"	"Nie prowokuj mnie, śmiertelniku."
"DCG_VO_zeus_unique_03"	"To ja władam piorunem!"
"DCG_VO_zeus_unique_04"	"Wkurzasz bogów!"
"DCG_VO_zeus_unique_05"	"Strzeż się mnie!"
"DCG_VO_zeus_unique_06"	"Zostawię po sobie jedynie zgliszcza!"
"DCG_VO_zeus_unique_07"	"Panno, zaraz wspólnie dokonamy wielkich czynów."
"DCG_VO_zeus_unique_08"	"Patrz i ucz się, Panno..."
"DCG_VO_zeus_unique_09"	"Uwielbiam z tobą pracować, Rylai..."
"DCG_VO_zeus_unique_10"	"Sądzisz, że możesz zabić boga?"
"DCG_VO_zeus_unique_11"	"Nie boję się zabójców."
"DCG_VO_zeus_unique_12"	"Zabawnie się z tobą piło, Kolcogrzbiecie... szkoda, że tak to się kończy."
"DCG_VO_zeus_unique_13"	"Hmm, czyli modlisz się do bogini księżyca, a nie do mnie? Interesujące."
"DCG_VO_zeus_unique_14"	"Nie mogę się doczekać spotkania z tą „Selimeną”."
"DCG_VO_zeus_unique_15"	"Co bestia może zrobić bogu?"
