"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont y yo no estamos de acuerdo en muchas cosas, pero él fue sabio al reconocer lo peligroso que es hacer enfadar al Semblante del Vacío. No me emociona el Tratado de Claszureme, la verdad. La cronomancia era increíble. Pero, ¿sabes qué otra cosa es increíble? Que no te borren de la línea del tiempo."
"DCG_VO_ursa_multi_damage_small_05"	"I'm toying with you..."
"DCG_VO_ursa_multi_damage_small_06"	"No merece la pena el esfuerzo..."
"DCG_VO_ursa_multi_damage_small_07"	"Death will be a mercy."
"DCG_VO_ursa_multi_damage_small_08"	"What hope do you have against my strength?"
"DCG_VO_ursa_multi_damage_small_09"	"¡Jamás seremos derrotados!"
"DCG_VO_ursa_multi_damage_small_10"	"You think you can beat me?"
"DCG_VO_ursa_multi_damage_large_01"	"Te arrepentirás de haber venido aquí, idiota..."
"DCG_VO_ursa_multi_damage_large_02"	"La pasión no es suficiente..."
"DCG_VO_ursa_multi_damage_large_03"	"You will join your ancestors!"
"DCG_VO_ursa_multi_damage_large_04"	"No one will mourn you."
"DCG_VO_ursa_multi_damage_large_05"	"I'll leave you for the crows..."
"DCG_VO_ursa_multi_damage_large_06"	"Se acabaron los juegos..."
"DCG_VO_ursa_multi_damage_large_07"	"¡Esto termina ahora!"
"DCG_VO_ursa_multi_damage_large_08"	"Your kin won't recognize your body."
"DCG_VO_ursa_multi_damage_large_09"	"I'll break you down piece by piece."
"DCG_VO_ursa_multi_damage_large_10"	"¡Me enfrentaré a todos ustedes!"
"DCG_VO_ursa_pleased_01"	"Bien."
"DCG_VO_ursa_pleased_02"	"Tal como esperaba..."
"DCG_VO_ursa_pleased_03"	"Es un buen día para la guerra..."
"DCG_VO_ursa_pleased_04"	"<i>risas</i>"
"DCG_VO_ursa_pleased_05"	"No podría contar con mejores compañeros..."
"DCG_VO_ursa_pleased_06"	"Los espíritus están satisfechos..."
"DCG_VO_ursa_pleased_07"	"Hoy es un buen día."
"DCG_VO_ursa_pleased_08"	"Me enorgullece llamarte mi semejante."
"DCG_VO_ursa_pleased_09"	"¡Este es nuestro momento!"
"DCG_VO_ursa_pleased_10"	"¡La victoria es nuestra!"
"DCG_VO_ursa_concerned_01"	"¿Volveré a ver el Bosque Sombrío?"
"DCG_VO_ursa_concerned_02"	"¿Qué será de mis cachorros?"
"DCG_VO_ursa_concerned_03"	"¿Qué está pasando?"
"DCG_VO_ursa_concerned_04"	"No... No puede ser..."
"DCG_VO_ursa_concerned_05"	"Estoy... Estoy perdiendo..."
"DCG_VO_ursa_concerned_06"	"He avergonzado a mi pueblo..."
"DCG_VO_ursa_concerned_07"	"Sobrepasé mis límites..."
"DCG_VO_ursa_concerned_08"	"Mi orgullo ha sido mi perdición..."
"DCG_VO_ursa_concerned_09"	"¿Cómo pude subestimarlos?"
"DCG_VO_ursa_concerned_10"	"¿Cómo permití que pasara algo así?"
"DCG_VO_ursa_angry_01"	"¡Imposible!"
"DCG_VO_ursa_angry_02"	"¡Hacerme enfadar será el último error que cometas!"
"DCG_VO_ursa_angry_03"	"¡Lo pagarás!"
"DCG_VO_ursa_angry_04"	"¡¿Es que no sabes quién soy?!"
"DCG_VO_ursa_angry_05"	"¡No tienes honor!"
"DCG_VO_ursa_angry_06"	"Se me está acabando la paciencia..."
"DCG_VO_ursa_angry_07"	"¡Te comerán los cuervos!"
"DCG_VO_ursa_angry_08"	"¿Cómo te atreves?"
"DCG_VO_ursa_angry_09"	"¡¿Osas enfrentarte a mí?!"
"DCG_VO_ursa_angry_10"	"Me tomaré mi tiempo contigo..."
"DCG_VO_ursa_arrogant_01"	"¿Quién podrá estar a mi altura?"
"DCG_VO_ursa_arrogant_02"	"Es un honor morir por mis manos."
"DCG_VO_ursa_arrogant_03"	"No estabas listo para enfrentarte a mí."
"DCG_VO_ursa_arrogant_04"	"Esto va a ser rápido."
"DCG_VO_ursa_arrogant_05"	"Un cachorro como tú no debería estar en el campo de batalla."
"DCG_VO_ursa_arrogant_06"	"Debiste traer otro ejército."
"DCG_VO_ursa_arrogant_07"	"¡No tenías ninguna posibilidad contra alguien como yo!"
"DCG_VO_ursa_arrogant_08"	"Me he enfrentado a muchos como tú. Ninguno de ellos me impresionó."
"DCG_VO_ursa_arrogant_09"	"¿De verdad pensabas que ibas a salir con vida del bosque?"
"DCG_VO_ursa_arrogant_10"	"Lamentable."
"DCG_VO_ursa_enigmatic_01"	"Los ancestros no se olvidan de mí, y me dan fuerza..."
"DCG_VO_ursa_enigmatic_02"	"Los espíritus de mis ancestros me protegen..."
"DCG_VO_ursa_enigmatic_03"	"Lucharemos con honor..."
"DCG_VO_ursa_enigmatic_04"	"No nos da miedo morir, por eso la victoria será nuestra..."
"DCG_VO_ursa_enigmatic_05"	"El honor nos define y nos hace merecedores de la bendición de los espíritus."
"DCG_VO_ursa_enigmatic_06"	"No me olvido de los nombres de mis ancestros ni de la pasión que me han transmitido."
"DCG_VO_ursa_enigmatic_07"	"I will take my place in the legend of my people..."
"DCG_VO_ursa_enigmatic_08"	"El río nos proporciona comida, bebida y una manera de limpiarnos la sangre."
"DCG_VO_ursa_enigmatic_09"	"La batalla me llama."
"DCG_VO_ursa_enigmatic_10"	"Haré que el espíritu del primer oso brille con orgullo."
"DCG_VO_ursa_death_01"	"<i>gritos</i>"
"DCG_VO_legion_commander_intro"	"Sé que el pueblo piensa que soy un monstruo, y no los culpo. A nadie le gusta que ocupen su territorio. Pero es por su bien. Si la Legión de Bronce no estuviera aquí en Rosoideo, la Niebla Roja los habría asesinado a todos. Por mucho que ahora los Vhoul nos consideren villanos, en cuanto derrotemos a Sorla Khan se darán cuenta de que en realidad somos unos héroes."
"DCG_VO_legion_commander_duel_intro"	"¿Cuántos más tienen que morir? Acabemos con esto de una vez por todas."
"DCG_VO_legion_commander_burning_oil_intro"	"Conozco las tácticas de Sorla... Cuando sus hombres intenten escalar los muros, se van a llevar una sorpresa."
"DCG_VO_legion_commander_new_orders_intro"	"Los ejércitos pierden las batallas cuando sus generales no son capaces de adaptarse a la situación."
"DCG_VO_legion_commander_routed_intro"	"If you want a battle to truly end, you must be relentless... even when the enemy is broken."
"DCG_VO_legion_commander_tresdins_standards_intro"	"Emperor Galanius expects much from me. And I expect the same from those I command."
"DCG_VO_legion_commander_bitter_enemies_part2"	"Te veo muy segura de ti misma para estar a punto de morir."
"DCG_VO_legion_commander_bitter_enemies_part4"	"Otra persona que no sabe lo que hace..."
"DCG_VO_legion_commander_temple_of_war"	"Nuestra diosa es una desconocida para los Vhoul. Lo entiendo, una vez también lo fue para mí. Pero con el tiempo aprenderán a amarla tanto como nosotros."
"DCG_VO_legion_commander_equip_generic_weapon_01"	"Haré pedazos a nuestros enemigos."
"DCG_VO_legion_commander_equip_generic_weapon_02"	"Perfecto."
"DCG_VO_legion_commander_equip_generic_weapon_03"	"No existe ningún arma que no haya logrado dominar."
"DCG_VO_legion_commander_equip_generic_weapon_04"	"Yo doy el ejemplo."
"DCG_VO_legion_commander_equip_generic_weapon_05"	"Me adiestré con los mejores."
"DCG_VO_legion_commander_equip_generic_armor_01"	"La Legión siempre está bien preparada."
"DCG_VO_legion_commander_equip_generic_armor_02"	"I'm ready for anything."
"DCG_VO_legion_commander_equip_generic_armor_03"	"Nadie puede detener a la Legión de Bronce."
"DCG_VO_legion_commander_equip_generic_armor_04"	"Lidero desde la vanguardia."
"DCG_VO_legion_commander_equip_generic_armor_05"	"A ver si Rix es capaz de detenerme..."
"DCG_VO_legion_commander_equip_generic_accessory_01"	"Estoy listo para luchar."
"DCG_VO_legion_commander_equip_generic_accessory_02"	"Listo para liderar."
"DCG_VO_legion_commander_equip_generic_accessory_03"	"Listo para la guerra."
"DCG_VO_legion_commander_equip_generic_accessory_04"	"Listo para luchar con la Vanguardia."
"DCG_VO_legion_commander_equip_generic_accessory_05"	"A la Legión le servirá esto."
"DCG_VO_legion_commander_kill_rival_01"	"¡No estás a mi altura!"
"DCG_VO_legion_commander_kill_rival_02"	"No tenías ninguna posibilidad."
"DCG_VO_legion_commander_kill_rival_03"	"Debiste haberte rendido."
"DCG_VO_legion_commander_kill_rival_04"	"Todo el que se oponga a la Legión será destruido."
"DCG_VO_legion_commander_kill_rival_05"	"La victoria nunca estuvo a tu alcance."
"DCG_VO_legion_commander_kill_rival_06"	"Demasiado fácil."
"DCG_VO_legion_commander_kill_rival_07"	"Nadie puede superar a la Legión de Bronce."
"DCG_VO_legion_commander_kill_rival_08"	"Esto había terminado antes de empezar."
"DCG_VO_legion_commander_kill_rival_09"	"No se puede vencer a una fuerza superior."
"DCG_VO_legion_commander_kill_rival_10"	"¡Ja!"
"DCG_VO_legion_commander_use_include_01"	"¡Te reto!"
"DCG_VO_legion_commander_use_include_02"	"Veamos de lo que eres capaz."
"DCG_VO_legion_commander_use_include_03"	"¡Lucha conmigo!"
"DCG_VO_legion_commander_unique_01"	"¡Enfréntate a mí, traidor!"
"DCG_VO_legion_commander_unique_02"	"Esto termina aquí, Rix."
"DCG_VO_legion_commander_unique_03"	"¡La rebelión termina aquí!"
"DCG_VO_legion_commander_unique_04"	"Siempre iba a terminar así."
"DCG_VO_legion_commander_unique_05"	"You marched a long way to die..."
"DCG_VO_legion_commander_unique_06"	"Vamos, Sorla, acabemos con esto de una vez..."
"DCG_VO_legion_commander_unique_07"	"Morirás como un traidor, Rix."
"DCG_VO_legion_commander_unique_08"	"Stonehall te lo dio todo, Rix... y nos traicionaste."
"DCG_VO_legion_commander_unique_09"	"Confiaba en ti, Rix, pero no volveré a cometer el mismo error."
"DCG_VO_legion_commander_unique_10"	"¡No permitiré que destruyas este lugar!"
"DCG_VO_legion_commander_unique_11"	"¡Hasta aquí llega la Niebla Roja!"
"DCG_VO_legion_commander_unique_12"	"Llevaba mucho tiempo esperando este momento, Sorla."
"DCG_VO_legion_commander_unique_13"	"¡Formen filas junto a los estandartes!"
"DCG_VO_legion_commander_unique_14"	"¡Permanezcan a mi lado y no fracasaremos!"
"DCG_VO_legion_commander_unique_15"	"¡Nos llevaré a la victoria!"
"DCG_VO_legion_commander_unique_16"	"¡No les tengan piedad!"
"DCG_VO_legion_commander_unique_17"	"¡Hemos roto sus filas!"
"DCG_VO_legion_commander_unique_18"	"¡Vamos, chicos, ahora que están debilitados!"
"DCG_VO_legion_commander_unique_19"	"Me alegra ver que recuperaste el sentido común, Rix."
"DCG_VO_legion_commander_unique_20"	"Rix... after we win, perhaps Galanius will grant you a pardon."
"DCG_VO_legion_commander_healed_01"	"Ahhh."
"DCG_VO_legion_commander_healed_02"	"Gracias."
"DCG_VO_legion_commander_healed_03"	"¡Estoy listo para luchar!"
"DCG_VO_legion_commander_healed_04"	"Todavía no termino de luchar."
"DCG_VO_legion_commander_healed_05"	"No me marcharé del campo de batalla."
"DCG_VO_legion_commander_taunt_generic_01"	"¡Por la gloria de Stonehall!"
"DCG_VO_legion_commander_taunt_generic_02"	"¡Arrodíllate o prepárate para morir!"
"DCG_VO_legion_commander_taunt_generic_03"	"¡La victoria está cerca!"
"DCG_VO_legion_commander_taunt_generic_04"	"¡Llegó nuestro momento!"
"DCG_VO_legion_commander_taunt_generic_05"	"¡Acabemos con esta batalla!"
"DCG_VO_legion_commander_taunt_generic_06"	"¡Tenemos la victoria al alcance de la mano!"
"DCG_VO_legion_commander_taunt_generic_07"	"¡Concéntrense, no podemos perder la batalla!"
"DCG_VO_legion_commander_taunt_generic_08"	"¡No se rindan!"
"DCG_VO_legion_commander_taunt_generic_09"	"Muy bien, pero la batalla todavía no termina."
"DCG_VO_legion_commander_taunt_generic_10"	"Muy bien. ¡Acabemos con esto de una vez por todas!"
"DCG_VO_legion_commander_potential_kill_01"	"Morirás aquí."
"DCG_VO_legion_commander_potential_kill_02"	"Espero que no pienses que puedes vencerme."
"DCG_VO_legion_commander_potential_kill_03"	"No tienes escapatoria."
"DCG_VO_legion_commander_potential_kill_04"	"Me parece que no."
"DCG_VO_legion_commander_potential_kill_05"	"Acabemos rápido."
"DCG_VO_legion_commander_potential_save_01"	"No será tan fácil."
"DCG_VO_legion_commander_potential_save_02"	"Siento decepcionarte."
"DCG_VO_legion_commander_potential_save_03"	"No moriré hoy."
"DCG_VO_legion_commander_potential_save_04"	"No me matarás tan fácilmente."
"DCG_VO_legion_commander_potential_save_05"	"No eres la primera persona que intenta matarme."
"DCG_VO_legion_commander_permanent_armor_01"	"Lideraré desde la vanguardia. Tengo que estar preparado para todo."
"DCG_VO_legion_commander_permanent_armor_02"	"A ver si intentan hacerme daño ahora."
"DCG_VO_legion_commander_permanent_armor_03"	"I will stride through the battlefield."
"DCG_VO_legion_commander_permanent_armor_04"	"¡Alcen la serpiente toro, que se vea bien!"
"DCG_VO_legion_commander_permanent_armor_05"	"La Legión de Bronce siempre está preparada."
"DCG_VO_legion_commander_permanent_attack_01"	"Nunca está de más entrenar."
"DCG_VO_legion_commander_permanent_attack_02"	"Cada día me vuelvo más fuerte."
"DCG_VO_legion_commander_permanent_attack_03"	"Seré un ejemplo para mis hombres."
"DCG_VO_legion_commander_permanent_attack_04"	"Nadie osaría enfrentarse a mí."
"DCG_VO_legion_commander_permanent_attack_05"	"Aprovecharé cualquier ventaja que tenga."
"DCG_VO_legion_commander_permanent_health_01"	"Tengo que prepararme para la batalla."
"DCG_VO_legion_commander_permanent_health_02"	"Cuanto más tiempo aguante, mejor."
"DCG_VO_legion_commander_permanent_health_03"	"Quién sabe cuánto durará esta batalla... Tengo que estar preparado."
"DCG_VO_legion_commander_permanent_health_04"	"Lucharé hasta mi último aliento."
"DCG_VO_legion_commander_permanent_health_05"	"¡El campo de batalla es mío!"
"DCG_VO_legion_commander_cast_spell_01"	"Ojalá Belasanno pudiera verme..."
"DCG_VO_legion_commander_cast_spell_02"	"You can't break the Legion!"
"DCG_VO_legion_commander_cast_spell_03"	"Te tengo justo donde te quería."
"DCG_VO_legion_commander_cast_spell_04"	"¡Ningún ejército es capaz de igualar a la Legión!"
"DCG_VO_legion_commander_cast_spell_05"	"¡Ahora!"
"DCG_VO_legion_commander_cast_spell_06"	"Now's the time to strike!"
"DCG_VO_legion_commander_cast_spell_07"	"¡Sientan la ira de la Legión!"
"DCG_VO_legion_commander_cast_spell_08"	"Podemos con lo que nos pongan..."
"DCG_VO_legion_commander_cast_spell_09"	"¡Nada puede detenernos!"
"DCG_VO_legion_commander_cast_spell_10"	"Debemos prepararnos."
"DCG_VO_legion_commander_death_01"	"<i>gritos</i>"
"DCG_VO_dark_seer_intro"	"The Red Mist slowly marches to Stonehall. The Bronze Legion plans an ambush in Roseleaf. But the denizens of that Vhoul city do not take kindly to occupation and have sparked an insurrection. Three factions. One battlefield. And not a strategic mind between them. I will defeat these charlatans of war. And in doing so, prove my brilliance."
"DCG_VO_dark_seer_ion_shell_intro"	"Un matón sabe blandir una espada, pero ignora las consecuencias de sus acciones. Su comportamiento es predecible y eso es algo de lo que me puedo aprovechar."
"DCG_VO_dark_seer_foresight"	"El Oráculo asegura poder predecir cualquier eventualidad. Si es cierto, sería un aliado formidable. O al menos un enemigo digno con el que poner a prueba mis habilidades..."
"DCG_VO_dark_seer_use_ability_01"	"¡Adelante!"
"DCG_VO_dark_seer_use_ability_02"	"¡A sus posiciones!"
"DCG_VO_dark_seer_use_ability_03"	"No lo vieron venir."
"DCG_VO_dark_seer_use_ability_04"	"¡Admiren mi gloria!"
"DCG_VO_dark_seer_use_ability_05"	"¡Defino el campo de batalla!"
"DCG_VO_dark_seer_equip_generic_weapon_01"	"Le daré buen uso."
"DCG_VO_dark_seer_equip_generic_weapon_02"	"Mis enemigos caerán."
"DCG_VO_dark_seer_equip_generic_weapon_03"	"Listo para la guerra."
"DCG_VO_dark_seer_equip_generic_weapon_04"	"Pronto derrotaré a mis enemigos."
"DCG_VO_dark_seer_equip_generic_weapon_05"	"Este es mi campo de batalla."
"DCG_VO_dark_seer_equip_generic_armor_01"	"Un estratega debe estar protegido en todo momento."
"DCG_VO_dark_seer_equip_generic_armor_02"	"Vengo preparado."
"DCG_VO_dark_seer_equip_generic_armor_03"	"Sobreviviré a esta batalla."
"DCG_VO_dark_seer_equip_generic_armor_04"	"Perfecto."
"DCG_VO_dark_seer_equip_generic_armor_05"	"Tal como había planeado."
"DCG_VO_dark_seer_equip_generic_accessory_01"	"Justo lo que necesito."
"DCG_VO_dark_seer_equip_generic_accessory_02"	"Lo usaré con cuidado."
"DCG_VO_dark_seer_equip_generic_accessory_03"	"No pienso marcharme del campo de batalla todavía."
"DCG_VO_dark_seer_equip_generic_accessory_04"	"Esto es digno de mi genialidad."
"DCG_VO_dark_seer_equip_generic_accessory_05"	"Estoy listo para todo."
"DCG_VO_dark_seer_kill_rival_01"	"No vas a sobrevivir."
"DCG_VO_dark_seer_kill_rival_02"	"Lo he planificado todo a la perfección."
"DCG_VO_dark_seer_kill_rival_03"	"No tenías ninguna posibilidad."
"DCG_VO_dark_seer_kill_rival_04"	"Esta senda me pertenece."
"DCG_VO_dark_seer_kill_rival_05"	"Todo el que se oponga a mí será destruido."
"DCG_VO_dark_seer_kill_rival_06"	"Esta guerra había terminado antes de empezar."
"DCG_VO_dark_seer_kill_rival_07"	"Nadie puede igualar mis excelentes dotes tácticas..."
"DCG_VO_dark_seer_kill_rival_08"	"No estás a mi altura."
"DCG_VO_dark_seer_kill_rival_09"	"Te mataré en un abrir y cerrar de ojos."
"DCG_VO_dark_seer_kill_rival_10"	"No me importa ensuciarme las manos..."
"DCG_VO_dark_seer_use_include_01"	"Aquellos que osen atacarnos pagarán por ello."
"DCG_VO_dark_seer_use_include_02"	"¡Caparazón iónico!"
"DCG_VO_dark_seer_use_include_03"	"¡Te reto a que me ataques!"
"DCG_VO_dark_seer_unique_01"	"¿Piensas que alguien tan poco inteligente como tú podría asediar Stonehall?"
"DCG_VO_dark_seer_unique_02"	"Eres una matona, Sorla, nada más."
"DCG_VO_dark_seer_unique_03"	"Tu rebelión está destinada a fracasar."
"DCG_VO_dark_seer_unique_04"	"Luchas con pasión, no con inteligencia, Rix."
"DCG_VO_dark_seer_unique_05"	"Tus esfuerzos son inútiles, Tresdin."
"DCG_VO_dark_seer_unique_06"	"Yo sería más capaz de liderar la Legión de Bronce."
"DCG_VO_dark_seer_unique_07"	"¿De verdad te consideras un campeón?"
"DCG_VO_dark_seer_unique_08"	"No puedes ni escribir la palabra “victoria”, Ax, mucho menos conseguirla."
"DCG_VO_dark_seer_unique_09"	"Your death will cost them a terrible price."
"DCG_VO_dark_seer_unique_10"	"Rix, sigue mis órdenes y ganarás esta batalla."
"DCG_VO_dark_seer_unique_11"	"Nuestros enemigos se van a llevar una desagradable sorpresa."
"DCG_VO_dark_seer_unique_12"	"Confía en mí, Ursa, este es el camino hacia la victoria."
"DCG_VO_dark_seer_unique_13"	"Hiciste bien en pedirme ayuda."
"DCG_VO_dark_seer_unique_14"	"Te llevaré a la victoria."
"DCG_VO_dark_seer_unique_15"	"Quienes se opongan a mí morirán."
"DCG_VO_dark_seer_unique_16"	"Veamos cómo aumenta tu poder..."
"DCG_VO_dark_seer_unique_17"	"Mazi, haré que todos te teman."
"DCG_VO_dark_seer_unique_18"	"Nadie se atreverá a atacarte."
"DCG_VO_dark_seer_unique_19"	"Permíteme que te enseñe cómo sacar el mayor partido a la armadura."
"DCG_VO_dark_seer_unique_20"	"Cuanto más ataquen, más se arrepentirán."
"DCG_VO_dark_seer_healed_01"	"Aaah."
"DCG_VO_dark_seer_healed_02"	"Una sabia decisión."
"DCG_VO_dark_seer_healed_03"	"Una sabia inversión."
"DCG_VO_dark_seer_healed_04"	"Me siento mejor."
"DCG_VO_dark_seer_healed_05"	"Estoy listo para luchar."
"DCG_VO_dark_seer_taunt_generic_01"	"¡Esta batalla está ganada!"
"DCG_VO_dark_seer_taunt_generic_02"	"Mi astucia no tiene parangón."
"DCG_VO_dark_seer_taunt_generic_03"	"Estamos cerca de conseguir la victoria."
"DCG_VO_dark_seer_taunt_generic_04"	"Nos llevaré a la victoria."
"DCG_VO_dark_seer_taunt_generic_05"	"Sigan mis planes y nadie podrá pararnos."
"DCG_VO_dark_seer_taunt_generic_06"	"Soy el mejor cerebro militar que ha existido en generaciones."
"DCG_VO_dark_seer_taunt_generic_07"	"Nuestro ejército no tiene parangón."
"DCG_VO_dark_seer_taunt_generic_08"	"Ganaremos esta batalla."
"DCG_VO_dark_seer_taunt_generic_09"	"Planifiqué cualquier posible suceso."
"DCG_VO_dark_seer_taunt_generic_10"	"Vamos a ganar."
"DCG_VO_dark_seer_potential_kill_01"	"No puedes superar mi inteligencia."
"DCG_VO_dark_seer_potential_kill_02"	"No tienes escapatoria."
"DCG_VO_dark_seer_potential_kill_03"	"Llevo tiempo planificando tu muerte."
"DCG_VO_dark_seer_potential_kill_04"	"Caíste en mi trampa."
"DCG_VO_dark_seer_potential_kill_05"	"¡Nadie puede superar mi inteligencia!"
"DCG_VO_dark_seer_potential_save_01"	"Tengo un plan B para todo."
"DCG_VO_dark_seer_potential_save_02"	"Siempre lo planifico todo."
"DCG_VO_dark_seer_potential_save_03"	"¿Crees que no estaba preparado para esto?"
"DCG_VO_dark_seer_potential_save_04"	"Like your feeble mind could conceive a plot to defeat me."
"DCG_VO_dark_seer_potential_save_05"	"Tus esfuerzos son patéticos."
"DCG_VO_dark_seer_permanent_armor_01"	"A ver si intentan hacerme daño ahora."
"DCG_VO_dark_seer_permanent_armor_02"	"Sobrevivir es mi prioridad."
"DCG_VO_dark_seer_permanent_armor_03"	"Estoy listo para todo."
"DCG_VO_dark_seer_permanent_armor_04"	"Vendrán por mí, pero estaré preparado."
"DCG_VO_dark_seer_permanent_armor_05"	"Todo forma parte de mi plan."
"DCG_VO_dark_seer_permanent_attack_01"	"Ahora soy más fuerte..."
"DCG_VO_dark_seer_permanent_attack_02"	"Mi inteligencia es cada vez mayor."
"DCG_VO_dark_seer_permanent_attack_03"	"Me vuelvo todavía más letal."
"DCG_VO_dark_seer_permanent_attack_04"	"Nuestros enemigos morirán pronto."
"DCG_VO_dark_seer_permanent_attack_05"	"Me subestimaron, como siempre."
"DCG_VO_dark_seer_permanent_health_01"	"Sigo haciéndome más fuerte."
"DCG_VO_dark_seer_permanent_health_02"	"Cada día aguanto más."
"DCG_VO_dark_seer_permanent_health_03"	"La muerte no dará conmigo."
"DCG_VO_dark_seer_permanent_health_04"	"Lucharé todo el tiempo que pueda."
"DCG_VO_dark_seer_permanent_health_05"	"Me siento más vital."
"DCG_VO_dark_seer_cast_spell_01"	"Pensé en todo."
"DCG_VO_dark_seer_cast_spell_02"	"Let's see if they saw this coming."
"DCG_VO_dark_seer_cast_spell_03"	"No están preparados para esto..."
"DCG_VO_dark_seer_cast_spell_04"	"¡A ver si son capaces de responder ante esto!"
"DCG_VO_dark_seer_cast_spell_05"	"¡Siente mi poder!"
"DCG_VO_dark_seer_cast_spell_06"	"¡Contempla mi poder!"
"DCG_VO_dark_seer_cast_spell_07"	"¡Nadie está a mi altura!"
"DCG_VO_dark_seer_cast_spell_08"	"Controlo este campo de batalla."
"DCG_VO_dark_seer_cast_spell_09"	"¡Témeme!"
"DCG_VO_dark_seer_cast_spell_10"	"¡No hay nada que no tenga planificado!"
"DCG_VO_dark_seer_death_01"	"<i>gritos</i>"
"DCG_VO_magnus_intro"	"Conozco muy bien las ansias de conquista del hombre. Que vean a los demás como a objetos en lugar de personas... Por eso me niego a quedarme de brazos cruzados mientras subyugan a los Vhoul. Es demasiado tarde para mi pueblo, pero puede que no lo sea para el suyo."
"DCG_VO_magnus_bellow_intro"	"Siempre hay alguien más fuerte y letal que tú, así funciona la naturaleza. Y algunas personas necesitan que se lo recuerden."
"DCG_VO_magnus_empower_intro"	"La fuerza de mi pueblo corre por mis venas... y la usaré para destruir a aquellos que persigan a mis semejantes."
"DCG_VO_magnus_protect_the_weak_intro"	"Ilexa has no idea how important she will be in the days to come. She must be protected at all costs."
"DCG_VO_magnus_equip_generic_weapon_01"	"¡Estoy listo para luchar!"
"DCG_VO_magnus_equip_generic_weapon_02"	"Esto servirá."
"DCG_VO_magnus_equip_generic_weapon_03"	"Puedo usar esto."
"DCG_VO_magnus_equip_generic_weapon_04"	"Esto funcionará."
"DCG_VO_magnus_equip_generic_weapon_05"	"Derrotaré a mis enemigos."
"DCG_VO_magnus_equip_generic_armor_01"	"Veamos cómo intentan matarme ahora."
"DCG_VO_magnus_equip_generic_armor_02"	"Muerto no le sirvo de nada a mi pueblo."
"DCG_VO_magnus_equip_generic_armor_03"	"Tengo que protegerme."
"DCG_VO_magnus_equip_generic_armor_04"	"Haré lo que sea necesario para sobrevivir."
"DCG_VO_magnus_equip_generic_armor_05"	"I'm surprised this fits..."
"DCG_VO_magnus_equip_generic_accessory_01"	"Usaré esto."
"DCG_VO_magnus_equip_generic_accessory_02"	"Un poco de ayuda nunca viene mal."
"DCG_VO_magnus_equip_generic_accessory_03"	"Necesitaba esto."
"DCG_VO_magnus_equip_generic_accessory_04"	"Esto me ayudará a sobrevivir."
"DCG_VO_magnus_equip_generic_accessory_05"	"Veamos si mis enemigos intentan matarme ahora."
"DCG_VO_magnus_kill_rival_01"	"¡Ya perdiste!"
"DCG_VO_magnus_kill_rival_02"	"Hoy es mi día."
"DCG_VO_magnus_kill_rival_03"	"¡Nadie puede enfrentarse a Magnus!"
"DCG_VO_magnus_kill_rival_04"	"Ningún guerrero está a mi altura."
"DCG_VO_magnus_kill_rival_05"	"¡Pisotearé a cualquiera que se interponga en mi camino!"
"DCG_VO_magnus_kill_rival_06"	"No te espera la victoria... sino la muerte."
"DCG_VO_magnus_kill_rival_07"	"¿Crees que puedes detener al gran Magnus?"
"DCG_VO_magnus_kill_rival_08"	"Deberías huir."
"DCG_VO_magnus_kill_rival_09"	"Tienes los días contados."
"DCG_VO_magnus_kill_rival_10"	"Eres hombre muerto."
"DCG_VO_magnus_use_include_01"	"¡Fuerza primitiva!"
"DCG_VO_magnus_use_include_02"	"Este es el poder de mi pueblo."
"DCG_VO_magnus_use_include_03"	"<i>rugidos</i>"
"DCG_VO_magnus_unique_01"	"¡Destripa a nuestros enemigos, Ursa!"
"DCG_VO_magnus_unique_02"	"¡Haz pedazos su armadura!"
"DCG_VO_magnus_unique_03"	"¡Destroza su ejército!"
"DCG_VO_magnus_unique_04"	"Cut a path Sven!"
"DCG_VO_magnus_unique_05"	"¡Debes hacerte más fuerte, Sven!"
"DCG_VO_magnus_unique_06"	"Protegeremos a los habitantes de Rosoideo."
"DCG_VO_magnus_unique_07"	"Los Vhoul necesitan nuestra ayuda, Ent."
"DCG_VO_magnus_unique_08"	"Es un honor luchar a tu lado, mi amigo."
"DCG_VO_magnus_unique_09"	"Tu causa es justa, Rix."
"DCG_VO_magnus_unique_10"	"Es un honor luchar a tu lado, Rix."
"DCG_VO_magnus_unique_11"	"Tomaste la decisión correcta, Rix."
"DCG_VO_magnus_unique_12"	"La Legión de Bronce tiene mucho de lo que responder."
"DCG_VO_magnus_unique_13"	"¡Fuera de aquí, Tresdin!"
"DCG_VO_magnus_unique_14"	"¿No ves en lo que se está convirtiendo la Legión de Bronce, Tresdin?"
"DCG_VO_magnus_unique_15"	"I lend my aid to the rebellion."
"DCG_VO_magnus_unique_16"	"La causa de tu pueblo es mi causa."
"DCG_VO_magnus_unique_17"	"Te protegeré de tus enemigos."
"DCG_VO_magnus_unique_18"	"¡Este no es el sitio de los Oglodi!"
"DCG_VO_magnus_unique_19"	"No me dan miedo unos cuantos bárbaros."
"DCG_VO_magnus_unique_20"	"Veamos qué tal le va a la Legión contra un guerrero en lugar de un granjero."
"DCG_VO_magnus_healed_01"	"Aaah."
"DCG_VO_magnus_healed_02"	"Gracias."
"DCG_VO_magnus_healed_03"	"Te lo agradezco."
