"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"皮尔庞特与我时常意见相左，但是他很聪明，知道激怒虚空假面有多危险。我不是很喜欢超维视界条约，因为操纵时空很好玩。但你知道还有什么更好玩吗？就是不让自己的时间线被抹去。"
"DCG_VO_crystal_maiden_kill_rival_02"	"你的下场不会太好喔。"
"DCG_VO_crystal_maiden_kill_rival_03"	"赶快放弃吧！"
"DCG_VO_crystal_maiden_kill_rival_04"	"別想跑！"
"DCG_VO_crystal_maiden_kill_rival_05"	"我会消灭你！"
"DCG_VO_crystal_maiden_kill_rival_06"	"这场仗我赢定了！"
"DCG_VO_crystal_maiden_kill_rival_07"	"我不会再让你伤害任何人了！"
"DCG_VO_crystal_maiden_kill_rival_08"	"我会阻止你！"
"DCG_VO_crystal_maiden_kill_rival_09"	"啊呀，天哪，我真的要杀人了！"
"DCG_VO_crystal_maiden_kill_rival_10"	"如果你叫我坚守战线，我一定会做到。"
"DCG_VO_crystal_maiden_use_include_01"	"休想！"
"DCG_VO_crystal_maiden_use_include_02"	"我不准你再伤人了！"
"DCG_VO_crystal_maiden_use_include_03"	"等等，别急！"
"DCG_VO_crystal_maiden_unique_01"	"法术送你，不客气。"
"DCG_VO_crystal_maiden_unique_02"	"我要拉你陪葬！"
"DCG_VO_crystal_maiden_unique_03"	"一切都结束了！"
"DCG_VO_crystal_maiden_unique_04"	"别担心，你不会有感觉的。"
"DCG_VO_crystal_maiden_unique_06"	"还真是冤家路窄啊。"
"DCG_VO_crystal_maiden_unique_07"	"我懂的，我的家人也不喜欢我。"
"DCG_VO_crystal_maiden_unique_08"	"莉娜就算人不在这儿，还是有办法招惹到我。"
"DCG_VO_crystal_maiden_unique_09"	"不客气！"
"DCG_VO_crystal_maiden_unique_10"	"我们会赢的！"
"DCG_VO_crystal_maiden_unique_11"	"我们不能放弃！"
"DCG_VO_crystal_maiden_unique_12"	"还没结束呢！"
"DCG_VO_crystal_maiden_unique_13"	"最后一击了！"
"DCG_VO_crystal_maiden_unique_14"	"改天吧，斧王。"
"DCG_VO_crystal_maiden_unique_15"	"你们和好啦，真好。"
"DCG_VO_crystal_maiden_unique_16"	"我来请求支援！"
"DCG_VO_crystal_maiden_unique_17"	"援军来了！"
"DCG_VO_crystal_maiden_unique_18"	"哇，真糟糕。"
"DCG_VO_crystal_maiden_unique_19"	"我得赶快想个办法。"
"DCG_VO_crystal_maiden_unique_20"	"情况看起来不太妙……"
"DCG_VO_crystal_maiden_healed_01"	"啊……"
"DCG_VO_crystal_maiden_healed_02"	"谢啦！"
"DCG_VO_crystal_maiden_healed_03"	"真的很谢谢你！"
"DCG_VO_crystal_maiden_healed_04"	"我正好需要这个。"
"DCG_VO_crystal_maiden_healed_05"	"感觉好多了。"
"DCG_VO_crystal_maiden_taunt_generic_01"	"轮到我们上场了！"
"DCG_VO_crystal_maiden_taunt_generic_02"	"为胜利而战！"
"DCG_VO_crystal_maiden_taunt_generic_03"	"差不多该把他们送走了！"
"DCG_VO_crystal_maiden_taunt_generic_04"	"动手吧！"
"DCG_VO_crystal_maiden_taunt_generic_05"	"我不会让你赢的！"
"DCG_VO_crystal_maiden_taunt_generic_06"	"我就是来自冰川残骸的冰晶圣女！"
"DCG_VO_crystal_maiden_taunt_generic_07"	"你赢不了的！"
"DCG_VO_crystal_maiden_taunt_generic_08"	"我们绝不会放弃！"
"DCG_VO_crystal_maiden_taunt_generic_09"	"我们会战到最后！"
"DCG_VO_crystal_maiden_taunt_generic_10"	"你真是不自量力。"
"DCG_VO_crystal_maiden_potential_kill_01"	"抓到你了。"
"DCG_VO_crystal_maiden_potential_kill_02"	"喔，我还在热身呢。"
"DCG_VO_crystal_maiden_potential_kill_03"	"想跑？没这么容易。"
"DCG_VO_crystal_maiden_potential_kill_04"	"你以为我打不死你吗？"
"DCG_VO_crystal_maiden_potential_kill_05"	"你没料到这个吧。"
"DCG_VO_crystal_maiden_potential_save_01"	"抱歉啦，我还不想死。"
"DCG_VO_crystal_maiden_potential_save_02"	"嗯哼，才不要呢。"
"DCG_VO_crystal_maiden_potential_save_03"	"我不会今天死的。"
"DCG_VO_crystal_maiden_potential_save_04"	"哇，好险……"
"DCG_VO_crystal_maiden_potential_save_05"	"你刚刚以为自己赢定了，对吧？"
"DCG_VO_crystal_maiden_permanent_armor_01"	"该上装备啰。"
"DCG_VO_crystal_maiden_permanent_armor_02"	"我不喜欢被刺傷。"
"DCG_VO_crystal_maiden_permanent_armor_03"	"我需要再坚强些。"
"DCG_VO_crystal_maiden_permanent_armor_04"	"我得保护好自己。"
"DCG_VO_crystal_maiden_permanent_armor_05"	"感觉安全多了。"
"DCG_VO_crystal_maiden_permanent_attack_01"	"我得变得更强。"
"DCG_VO_crystal_maiden_permanent_attack_02"	"我现在打人更痛啰。"
"DCG_VO_crystal_maiden_permanent_attack_03"	"我觉得更强大了。"
"DCG_VO_crystal_maiden_permanent_attack_04"	"好吧……"
"DCG_VO_crystal_maiden_permanent_attack_05"	"再来烦我试试看啊。"
"DCG_VO_crystal_maiden_permanent_health_01"	"我觉得自己好健康喔。"
"DCG_VO_crystal_maiden_permanent_health_02"	"能坚持得越久越好。"
"DCG_VO_crystal_maiden_permanent_health_03"	"能不死真好。"
"DCG_VO_crystal_maiden_permanent_health_04"	"这就是健康生活的好处……"
"DCG_VO_crystal_maiden_permanent_health_05"	"只要有足够的把握，就能将空想化为现实。"
"DCG_VO_crystal_maiden_cast_spell_01"	"谁你瞧瞧我的本事。"
"DCG_VO_crystal_maiden_cast_spell_02"	"我还有很多招还没出呢。"
"DCG_VO_crystal_maiden_cast_spell_03"	"该使出我的看家本领了。"
"DCG_VO_crystal_maiden_cast_spell_04"	"就来让你看看我有多厉害吧。"
"DCG_VO_crystal_maiden_cast_spell_05"	"你比我差多了。"
"DCG_VO_crystal_maiden_cast_spell_06"	"这个你没办法啦。"
"DCG_VO_crystal_maiden_cast_spell_07"	"看我的。"
"DCG_VO_crystal_maiden_cast_spell_08"	"你觉得你打得赢我们吗？"
"DCG_VO_crystal_maiden_cast_spell_09"	"这种法术我还多的是呢。"
"DCG_VO_crystal_maiden_cast_spell_10"	"哈！"
"DCG_VO_crystal_maiden_death_01"	"<i>尖叫</i>"
"DCG_VO_skywrath_mage_intro"	"我能体会瑞克斯的心情。服从自己鄙夷的指挥官可不是件容易的事。但我可没有发起反抗这么奢侈的一个选择……风险太大了；因此，我要等待时机成熟……等待与我爱的人重逢。"
"DCG_VO_skywrath_mage_mystic_flare"	"我花了毕生的精力研习秘术……但在我埋首于书堆时，我心爱之人遭到陷害，被逐出了苍白之巢。在当时我无能为力……但是现在我已拥有足以拯救她的力量。"
"DCG_VO_skywrath_mage_strafing_run"	"空中翱翔不仅是种无拘无束的享受，也是了结敌人的有效方式。"
"DCG_VO_skywrath_mage_use_ability_01"	"巴拉什！"
"DCG_VO_skywrath_mage_use_ability_02"	"我会削弱敌人……"
"DCG_VO_skywrath_mage_use_ability_03"	"该出击了！"
"DCG_VO_skywrath_mage_use_ability_04"	"你必死无疑……"
"DCG_VO_skywrath_mage_use_ability_05"	"我的意志无人能敌……"
"DCG_VO_skywrath_mage_equip_generic_weapon_01"	"我十八般武艺样样精通……"
"DCG_VO_skywrath_mage_equip_generic_weapon_02"	"我会忠于职守。"
"DCG_VO_skywrath_mage_equip_generic_weapon_03"	"我为荆棘王座效力。"
"DCG_VO_skywrath_mage_equip_generic_weapon_04"	"我会摧毁我们的敌人……"
"DCG_VO_skywrath_mage_equip_generic_weapon_05"	"我们必胜。"
"DCG_VO_skywrath_mage_equip_generic_armor_01"	"我需要保护。"
"DCG_VO_skywrath_mage_equip_generic_armor_02"	"我不会贸然闯入战场。"
"DCG_VO_skywrath_mage_equip_generic_armor_03"	"必须做好万全的准备。"
"DCG_VO_skywrath_mage_equip_generic_armor_04"	"明智的选择。"
"DCG_VO_skywrath_mage_equip_generic_armor_05"	"好主意。"
"DCG_VO_skywrath_mage_equip_generic_accessory_01"	"我会善用它……"
"DCG_VO_skywrath_mage_equip_generic_accessory_02"	"能用上这个真让人兴奋。"
"DCG_VO_skywrath_mage_equip_generic_accessory_03"	"这正是我需要的。"
"DCG_VO_skywrath_mage_equip_generic_accessory_04"	"有这个就行了。"
"DCG_VO_skywrath_mage_equip_generic_accessory_05"	"这个应该有用。"
"DCG_VO_skywrath_mage_kill_rival_01"	"你不是我的对手！"
"DCG_VO_skywrath_mage_kill_rival_02"	"你根本没有机会。"
"DCG_VO_skywrath_mage_kill_rival_03"	"你觉得自己能战胜我？"
"DCG_VO_skywrath_mage_kill_rival_04"	"你让我别无选择！"
"DCG_VO_skywrath_mage_kill_rival_05"	"我不会对你手下留情！"
"DCG_VO_skywrath_mage_kill_rival_06"	"干得漂亮，但还不够……"
"DCG_VO_skywrath_mage_kill_rival_07"	"你怎么抵抗得了来自苍白之巢的法师？"
"DCG_VO_skywrath_mage_kill_rival_08"	"你是个值得尊敬的对手，我会对你手下留情。"
"DCG_VO_skywrath_mage_kill_rival_09"	"我的女王希望让你吃点苦头，但我并不喜欢折磨人……"
"DCG_VO_skywrath_mage_kill_rival_10"	"你会死得干净利落。"
"DCG_VO_skywrath_mage_use_include_01"	"分享这苦痛之光吧！"
"DCG_VO_skywrath_mage_use_include_02"	"我来拿下敌人！"
"DCG_VO_skywrath_mage_use_include_03"	"神秘之耀！"
"DCG_VO_skywrath_mage_unique_01"	"我会把你送回你的主人那里！"
"DCG_VO_skywrath_mage_unique_02"	"这里不归瑞斯托的王廷管！"
"DCG_VO_skywrath_mage_unique_03"	"我不怕奈文摩尔的小喽啰……"
"DCG_VO_skywrath_mage_unique_04"	"我感觉到邪恶魔法正在作祟……"
"DCG_VO_skywrath_mage_unique_05"	"必须阻止瑞斯托的王廷。"
"DCG_VO_skywrath_mage_unique_06"	"谁会心甘情愿将灵魂出卖给瑞斯托的王廷……"
"DCG_VO_skywrath_mage_unique_07"	"米波，你真的需要洗心革面了。"
"DCG_VO_skywrath_mage_unique_08"	"米波，你为什么一定要靠坑蒙拐骗过日子？"
"DCG_VO_skywrath_mage_unique_09"	"米波，很多人有充分的理由恨你……但是我却觉得你有种奇异的魅力。"
"DCG_VO_skywrath_mage_unique_10"	"你早晚会玩火自焚的，米波。小心点。"
"DCG_VO_skywrath_mage_unique_11"	"普瑞蕾斯，你的女儿不是无可救药……"
"DCG_VO_skywrath_mage_unique_12"	"这场仗打赢之后，你一定要多告诉我一点天辉的事……"
"DCG_VO_skywrath_mage_unique_13"	"能够用上阿哈利姆的研究成果算得上是美梦成真……"
"DCG_VO_skywrath_mage_unique_14"	"我手中汇聚了如此威力……"
"DCG_VO_skywrath_mage_unique_15"	"年轻的萨特，你很有希望……跟着我吧，我会继续训练你的。"
"DCG_VO_skywrath_mage_unique_16"	"孩子，我们合作能成就大业……"
"DCG_VO_skywrath_mage_unique_17"	"你只是个不懂自己在玩什么的孩子……"
"DCG_VO_skywrath_mage_unique_18"	"别再为夜魇效力了，卡娜……它在利用你。"
"DCG_VO_skywrath_mage_unique_19"	"你的母亲是爱你的，卡娜。现在还不算太晚。"
"DCG_VO_skywrath_mage_unique_20"	"追寻力量只会为你带来苦难……"
"DCG_VO_skywrath_mage_healed_01"	"啊……"
"DCG_VO_skywrath_mage_healed_02"	"非常感谢。"
"DCG_VO_skywrath_mage_healed_03"	"谢谢你。"
"DCG_VO_skywrath_mage_healed_04"	"我欠你一个人情。"
"DCG_VO_skywrath_mage_healed_05"	"我不会忘记你的大恩大德。"
"DCG_VO_skywrath_mage_taunt_generic_01"	"立即进攻！"
"DCG_VO_skywrath_mage_taunt_generic_02"	"我们会带来胜利与荣光！"
"DCG_VO_skywrath_mage_taunt_generic_03"	"为了苍白之巢！"
"DCG_VO_skywrath_mage_taunt_generic_04"	"我们会摧毁他们的遗迹！"
"DCG_VO_skywrath_mage_taunt_generic_05"	"为女王而战……"
"DCG_VO_skywrath_mage_taunt_generic_06"	"苍白之巢将我派来这里，我不会失手。"
"DCG_VO_skywrath_mage_taunt_generic_07"	"胜利唾手可得。"
"DCG_VO_skywrath_mage_taunt_generic_08"	"我们不能放弃希望！"
"DCG_VO_skywrath_mage_taunt_generic_09"	"没有我赢不了的战争！"
"DCG_VO_skywrath_mage_taunt_generic_10"	"我们终将胜利，只是迟早的问题……"
"DCG_VO_skywrath_mage_potential_kill_01"	"不管你耍什么花样，我都能见招拆招……"
"DCG_VO_skywrath_mage_potential_kill_02"	"这场决斗你毫无胜算……"
"DCG_VO_skywrath_mage_potential_kill_03"	"得了吧，你的防御对我来说形同虚设……"
"DCG_VO_skywrath_mage_potential_kill_04"	"只要我愿意，随时都可以将你大卸八块。"
"DCG_VO_skywrath_mage_potential_kill_05"	"一句话，你不是我的对手……"
"DCG_VO_skywrath_mage_potential_save_01"	"哈！"
"DCG_VO_skywrath_mage_potential_save_02"	"你会发现，我没那么好对付。"
"DCG_VO_skywrath_mage_potential_save_03"	"我在名门谋叛中都存活了下来，怎么会死在你这种人手上……"
"DCG_VO_skywrath_mage_potential_save_04"	"值得一试，但只是徒劳"
"DCG_VO_skywrath_mage_potential_save_05"	"你还要再加把劲。"
"DCG_VO_skywrath_mage_permanent_armor_01"	"我的魔法会保护我……"
"DCG_VO_skywrath_mage_permanent_armor_02"	"没有人能伤害我……"
"DCG_VO_skywrath_mage_permanent_armor_03"	"我要准备周全。"
"DCG_VO_skywrath_mage_permanent_armor_04"	"我树敌太多，必须做好准备。"
"DCG_VO_skywrath_mage_permanent_armor_05"	"准备好战斗了。"
"DCG_VO_skywrath_mage_permanent_attack_01"	"我是荆棘王座的铁拳……"
"DCG_VO_skywrath_mage_permanent_attack_02"	"我的威力大增……"
"DCG_VO_skywrath_mage_permanent_attack_03"	"我的力量与日俱增。"
"DCG_VO_skywrath_mage_permanent_attack_04"	"我的头脑与利爪从未如此敏锐……"
"DCG_VO_skywrath_mage_permanent_attack_05"	"我感受到力量在体内涌动……"
"DCG_VO_skywrath_mage_permanent_health_01"	"我现在精神抖擞，准备好上场了。"
"DCG_VO_skywrath_mage_permanent_health_02"	"身强体壮才能头脑清楚。"
"DCG_VO_skywrath_mage_permanent_health_03"	"我会在战场上翱翔……"
"DCG_VO_skywrath_mage_permanent_health_04"	"我会成为士兵们的榜样……"
"DCG_VO_skywrath_mage_permanent_health_05"	"让他们来杀我试试看啊……"
"DCG_VO_skywrath_mage_cast_spell_01"	"在有的人看来，这是异想天开，但对我来说，只不过是小把戏……"
"DCG_VO_skywrath_mage_cast_spell_02"	"我的威力无穷无尽……"
"DCG_VO_skywrath_mage_cast_spell_03"	"来看看结局究竟如何……"
"DCG_VO_skywrath_mage_cast_spell_04"	"丝奎奥克的力量不容小觑……"
"DCG_VO_skywrath_mage_cast_spell_05"	"一个简单但有效的咒语……"
"DCG_VO_skywrath_mage_cast_spell_06"	"我现在还只是小试牛刀……"
"DCG_VO_skywrath_mage_cast_spell_07"	"没有魔法办不到的事……"
"DCG_VO_skywrath_mage_cast_spell_08"	"容我向你介绍一下你的对手是谁……"
"DCG_VO_skywrath_mage_cast_spell_09"	"看来需要提醒你一下我的实力……"
"DCG_VO_skywrath_mage_cast_spell_10"	"你会后悔选择与我们作对的……"
"DCG_VO_skywrath_mage_buff_ally_01"	"坚强点，朋友……"
"DCG_VO_skywrath_mage_buff_ally_02"	"让我们并肩作战……"
"DCG_VO_skywrath_mage_buff_ally_03"	"我们必须互相照应……"
"DCG_VO_skywrath_mage_buff_ally_04"	"我会助你一臂之力……"
"DCG_VO_skywrath_mage_buff_ally_05"	"让我来帮你……"
"DCG_VO_skywrath_mage_buff_ally_06"	"朋友不就是要互相帮忙嘛……"
"DCG_VO_skywrath_mage_buff_ally_07"	"为了胜利我们必须同心协力……"
"DCG_VO_skywrath_mage_buff_ally_08"	"你需要的力量，我会给你的。"
"DCG_VO_skywrath_mage_buff_ally_09"	"你该庆幸我是站在你这一边的……"
"DCG_VO_skywrath_mage_buff_ally_10"	"你很明智，选择我作盟友……"
"DCG_VO_skywrath_mage_debuff_enemy_01"	"我是你的克星！"
"DCG_VO_skywrath_mage_debuff_enemy_02"	"你以为能吓到我吗？"
"DCG_VO_skywrath_mage_debuff_enemy_03"	"你不是我的对手……"
"DCG_VO_skywrath_mage_debuff_enemy_04"	"我来解决吧！"
"DCG_VO_skywrath_mage_debuff_enemy_05"	"这个归我解决！"
"DCG_VO_skywrath_mage_debuff_enemy_06"	"你没有自己想象的那么强大……"
"DCG_VO_skywrath_mage_debuff_enemy_07"	"不知道你从哪里来的自信……"
"DCG_VO_skywrath_mage_debuff_enemy_08"	"牛皮吹得挺大，但你有那个本事吗……"
"DCG_VO_skywrath_mage_debuff_enemy_09"	"虚张声势对我没用……"
"DCG_VO_skywrath_mage_debuff_enemy_10"	"你吓不倒我……"
"DCG_VO_skywrath_mage_single_target_damage_01"	"收拾这家伙只是小菜一碟……"
"DCG_VO_skywrath_mage_single_target_damage_02"	"你不会想与我为敌的……"
"DCG_VO_skywrath_mage_single_target_damage_03"	"我会奋战到底！"
"DCG_VO_skywrath_mage_single_target_damage_04"	"别躲着我！"
"DCG_VO_skywrath_mage_single_target_damage_05"	"我们来战一场！"
"DCG_VO_skywrath_mage_single_target_damage_06"	"我们单挑……"
"DCG_VO_skywrath_mage_single_target_damage_07"	"你永远打不过我……"
"DCG_VO_skywrath_mage_single_target_damage_08"	"战局由我主宰……"
"DCG_VO_skywrath_mage_single_target_damage_09"	"战斗要按我的规矩来！"
"DCG_VO_skywrath_mage_single_target_damage_10"	"看看你怎么对付这个……"
"DCG_VO_skywrath_mage_multi_damage_small_01"	"我会把敌人杀个片甲不留……"
"DCG_VO_skywrath_mage_multi_damage_small_02"	"无需担心这些喽啰……"
"DCG_VO_skywrath_mage_multi_damage_small_03"	"把这批喽啰交给我……"
"DCG_VO_skywrath_mage_multi_damage_small_04"	"敌人再多我也无所谓……"
"DCG_VO_skywrath_mage_multi_damage_small_05"	"敌众我寡，但敌弱我强……"
"DCG_VO_skywrath_mage_multi_damage_small_06"	"你觉得我怕了吗？"
"DCG_VO_skywrath_mage_multi_damage_small_07"	"我来收拾他们！"
"DCG_VO_skywrath_mage_multi_damage_small_08"	"该让翅膀活动一下了……"
"DCG_VO_skywrath_mage_multi_damage_small_09"	"我会尽力而为。"
"DCG_VO_skywrath_mage_multi_damage_small_10"	"我会削弱他们的力量。"
"DCG_VO_skywrath_mage_multi_damage_large_01"	"感受我的怒火！"
"DCG_VO_skywrath_mage_multi_damage_large_02"	"我要毁了你们所有人！"
"DCG_VO_skywrath_mage_multi_damage_large_03"	"丝奎奥克，赐予我摧毁敌人的力量吧！"
"DCG_VO_skywrath_mage_multi_damage_large_04"	"见识我的力量！"
"DCG_VO_skywrath_mage_multi_damage_large_05"	"这就是苍白之巢的威力！"
"DCG_VO_skywrath_mage_multi_damage_large_06"	"我会杀光他们。"
"DCG_VO_skywrath_mage_multi_damage_large_07"	"不管一个还是一千个，对我来说都一样……"
"DCG_VO_skywrath_mage_multi_damage_large_08"	"我会干掉他们。"
"DCG_VO_skywrath_mage_multi_damage_large_09"	"我坚守阵地！"
"DCG_VO_skywrath_mage_multi_damage_large_10"	"你根本就不该挑战我的！"
"DCG_VO_skywrath_mage_pleased_01"	"很好。"
"DCG_VO_skywrath_mage_pleased_02"	"还行。"
"DCG_VO_skywrath_mage_pleased_03"	"绝妙。"
"DCG_VO_skywrath_mage_pleased_04"	"真开心！"
"DCG_VO_skywrath_mage_pleased_05"	"太棒了！"
"DCG_VO_skywrath_mage_pleased_06"	"正该如此。"
"DCG_VO_skywrath_mage_pleased_07"	"一切按计划进行。"
"DCG_VO_skywrath_mage_pleased_08"	"一切理所当然地按着计划顺利进行。"
"DCG_VO_skywrath_mage_pleased_09"	"顺利得不能再顺利了。"
"DCG_VO_skywrath_mage_pleased_10"	"噢，我喜欢这样……"
"DCG_VO_skywrath_mage_concerned_01"	"噢，天哪……"
"DCG_VO_skywrath_mage_concerned_02"	"这让人……有点心烦……"
"DCG_VO_skywrath_mage_concerned_03"	"现在的情况不太妙。"
"DCG_VO_skywrath_mage_concerned_04"	"我居然没为这种情况做准备？"
"DCG_VO_skywrath_mage_concerned_05"	"这一定是女王的阴谋……"
"DCG_VO_skywrath_mage_concerned_06"	"我怎么没预料到……"
"DCG_VO_skywrath_mage_concerned_07"	"这有点不大对劲……我会弄清楚是哪出了问题……"
"DCG_VO_skywrath_mage_concerned_08"	"我知道我是被派来当炮灰的，但我不会不战而亡。"
"DCG_VO_skywrath_mage_concerned_09"	"事情进展不太顺利。"
"DCG_VO_skywrath_mage_concerned_10"	"如果我们不赶快改变策略，就死定了！"
"DCG_VO_skywrath_mage_angry_01"	"你好大的胆子！"
"DCG_VO_skywrath_mage_angry_02"	"你会见识到丝奎奥克的盛怒！"
"DCG_VO_skywrath_mage_angry_03"	"你不会再有犯错的机会！"
"DCG_VO_skywrath_mage_angry_04"	"你敢？！"
"DCG_VO_skywrath_mage_angry_05"	"你会为傲慢付出代价！"
"DCG_VO_skywrath_mage_angry_06"	"你要学会尊重荆棘王座！"
"DCG_VO_skywrath_mage_angry_07"	"我会让你尊严扫地！"
"DCG_VO_skywrath_mage_angry_08"	"我不会再忍受你的傲慢无礼！"
"DCG_VO_skywrath_mage_angry_09"	"你会付出沉重的代价！"
"DCG_VO_skywrath_mage_angry_10"	"这可是你自找的！"
"DCG_VO_skywrath_mage_arrogant_01"	"我凭一己之力，就能扭转战局……"
"DCG_VO_skywrath_mage_arrogant_02"	"如果我不拯救大家，还能有谁？"
"DCG_VO_skywrath_mage_arrogant_03"	"我是这一代最伟大的魔法师！"
"DCG_VO_skywrath_mage_arrogant_04"	"阿哈利姆也不见得能做的比我更好……"
"DCG_VO_skywrath_mage_arrogant_05"	"总有一天我会找到一个旗鼓相当的对手……"
"DCG_VO_skywrath_mage_arrogant_06"	"我用不着告诉你我有多厉害……你已经知道了。"
"DCG_VO_skywrath_mage_arrogant_07"	"天怒法师大驾光临，你们应该深感荣幸。"
"DCG_VO_skywrath_mage_arrogant_08"	"小娃儿的把戏……"
"DCG_VO_skywrath_mage_arrogant_09"	"意志软弱的人太好骗了……"
"DCG_VO_skywrath_mage_arrogant_10"	"我还想着找个旗鼓相当的对手……"
"DCG_VO_skywrath_mage_enigmatic_01"	"我必须等待时机……"
"DCG_VO_skywrath_mage_enigmatic_02"	"想与我心爱的人重逢，我就必须耐心等待……"
"DCG_VO_skywrath_mage_enigmatic_03"	"现在还不是开战的时候……"
"DCG_VO_skywrath_mage_enigmatic_04"	"日后会需要使用武力，现在我们必须做好准备……"
"DCG_VO_skywrath_mage_enigmatic_05"	"只有蠢货才会贸然闯进战场……"
"DCG_VO_skywrath_mage_enigmatic_06"	"谋定而后动。"
"DCG_VO_skywrath_mage_enigmatic_07"	"害怕未知是懦夫的表现。"
"DCG_VO_skywrath_mage_enigmatic_08"	"苍白之巢让我带个信……"
"DCG_VO_skywrath_mage_enigmatic_09"	"必须为即将到来的一切做好准备。"
"DCG_VO_skywrath_mage_enigmatic_10"	"荆棘王座不容顶撞……"
"DCG_VO_skywrath_mage_death_01"	"<i>尖叫</i>"
"DCG_VO_lion_intro"	"我一直遭人追捕。瑞斯托王廷想要我的手，敌法师想取我的头。现在我打算去悲玫城寻求庇护，不过首先必须找到评议团密使。"
"DCG_VO_mana_drain_intro"	"恶魔之手让我不仅获得了夺走生命的能力，同时还能够抽光他们的精华。"
"DCG_VO_pick_off_intro"	"如果想活着到达悲玫城，我必须保持警惕……在任何人能威胁到我之前，先把他们干掉。"
"DCG_VO_lion_use_ability_01"	"去死吧！"
"DCG_VO_lion_use_ability_02"	"感受我的怒火！"
"DCG_VO_lion_use_ability_03"	"护甲也救不了你。"
"DCG_VO_lion_use_ability_04"	"<i>狂笑</i>"
"DCG_VO_lion_use_ability_05"	"你觉得能逃过此劫？"
"DCG_VO_lion_equip_generic_weapon_01"	"准备大开杀戒。"
"DCG_VO_lion_equip_generic_weapon_02"	"来一个，杀一个。"
"DCG_VO_lion_equip_generic_weapon_03"	"我的敌人们，你们等死吧。"
"DCG_VO_lion_equip_generic_weapon_04"	"挡我者，死。"
"DCG_VO_lion_equip_generic_weapon_05"	"开战吧！"
"DCG_VO_lion_equip_generic_armor_01"	"我用得上它。"
"DCG_VO_lion_equip_generic_armor_02"	"我要确保万无一失。"
"DCG_VO_lion_equip_generic_armor_03"	"无数人会冲我而来……但我已经准备周全。"
"DCG_VO_lion_equip_generic_armor_04"	"我需要这层保护。"
"DCG_VO_lion_equip_generic_armor_05"	"我应备受保护。"
"DCG_VO_lion_equip_generic_accessory_01"	"我要做好打持久战的准备。"
"DCG_VO_lion_equip_generic_accessory_02"	"我用起来得心应手。"
"DCG_VO_lion_equip_generic_accessory_03"	"只有我配用它。"
"DCG_VO_lion_equip_generic_accessory_04"	"这个会帮助我渡过难关。"
"DCG_VO_lion_equip_generic_accessory_05"	"我会挺过这场恶斗。"
"DCG_VO_lion_kill_rival_01"	"你准备好受死了吗？"
"DCG_VO_lion_kill_rival_02"	"向恶魔巫师屈服吧。"
"DCG_VO_lion_kill_rival_03"	"你就不要痴心妄想了。"
"DCG_VO_lion_kill_rival_04"	"不会拖很久，只不是你得遭点罪。"
"DCG_VO_lion_kill_rival_05"	"给你放点血。"
"DCG_VO_lion_kill_rival_06"	"逆我者亡。"
"DCG_VO_lion_kill_rival_07"	"你会血染这片土地。"
"DCG_VO_lion_kill_rival_08"	"你从没遇到这我这样的高手。"
"DCG_VO_lion_kill_rival_09"	"我会把你碎尸万段。"
"DCG_VO_lion_kill_rival_10"	"我天下无敌。"
"DCG_VO_lion_use_include_01"	"你的灵魂属于我了。"
"DCG_VO_lion_use_include_02"	"我会抽干你的精华。"
"DCG_VO_lion_use_include_03"	"你越来越不行啦。"
"DCG_VO_lion_unique_01"	"密使，我需要评议团的帮助。"
"DCG_VO_lion_unique_02"	"如果评议团能给予我庇护，我会和你们分享我的秘密。"
"DCG_VO_lion_unique_03"	"我需要悲玫城的帮助。"
"DCG_VO_lion_unique_04"	"今天是谁的死期到了。"
"DCG_VO_lion_unique_05"	"你的小命归我了。"
"DCG_VO_lion_unique_06"	"我掌握生杀大权。"
"DCG_VO_lion_unique_07"	"我可以成为泰勒庄园的好朋友。"
"DCG_VO_lion_unique_08"	"沉默术士明白我的用处。"
"DCG_VO_lion_unique_09"	"护送我到悲玫城，你将获得奖赏。"
"DCG_VO_lion_unique_10"	"我们将摧毁他们的魔法。"
"DCG_VO_lion_unique_11"	"法师将在我们面前哀嚎。"
"DCG_VO_lion_unique_12"	"如果和泰勒庄园合作能获得自由的话，我很愿意这样做。"
"DCG_VO_lion_unique_13"	"你根本就不该追杀我的，敌法师。"
"DCG_VO_lion_unique_14"	"敌法师，今天就做个了断吧。"
"DCG_VO_lion_unique_15"	"这只手永远不会属于瑞斯托王廷！"
"DCG_VO_lion_unique_16"	"我会把你送回瑞斯托王廷！"
"DCG_VO_lion_unique_17"	"你将一无所有。"
"DCG_VO_lion_unique_18"	"你再也没有魔法了。"
"DCG_VO_lion_unique_19"	"我会夺走你的胜利。"
"DCG_VO_lion_unique_20"	"神也救不了你……"
"DCG_VO_lion_healed_01"	"啊……"
"DCG_VO_lion_healed_02"	"获得我的欢心是明智之举。"
"DCG_VO_lion_healed_03"	"我有恩必报。"
"DCG_VO_lion_healed_04"	"感谢帮助。"
"DCG_VO_lion_healed_05"	"很好。有更多的时间杀戮了。"
"DCG_VO_lion_taunt_generic_01"	"你妄想阻止恶魔巫师？"
"DCG_VO_lion_taunt_generic_02"	"我的魔法无人能比。"
"DCG_VO_lion_taunt_generic_03"	"你的军队必败无疑。"
