"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont et moi ne sommes pas d’accord sur beaucoup de choses, mais je dois admettre qu’il a raison de craindre la colère du Sans-visage. Le traité de Claszureme ne m'enchante guère... la chronomancie c’est bien, mais vous savez ce qui est encore mieux ? Ne pas voir son existence entièrement effacée."
"DCG_VO_treant_protector_pleased_05"	"Ça me plaît..."
"DCG_VO_treant_protector_pleased_06"	"Je ne me lasse jamais de ces moments..."
"DCG_VO_treant_protector_pleased_07"	"Fascinant..."
"DCG_VO_treant_protector_pleased_08"	"Puisse cet instant ne jamais terminer..."
"DCG_VO_treant_protector_pleased_09"	"Un tel délice est si rare..."
"DCG_VO_treant_protector_pleased_10"	"C'est une belle journée..."
"DCG_VO_treant_protector_concerned_01"	"Je ne peux pas céder au désespoir."
"DCG_VO_treant_protector_concerned_02"	"Ce n'est pas le futur dont je rêvais."
"DCG_VO_treant_protector_concerned_03"	"Je suis envahi par les regrets."
"DCG_VO_treant_protector_concerned_04"	"Comment en sommes-nous arrivés à ce stade ?"
"DCG_VO_treant_protector_concerned_05"	"Ma mort était peut-être inévitable..."
"DCG_VO_treant_protector_concerned_06"	"Je ne compte pas mourir en vain."
"DCG_VO_treant_protector_concerned_07"	"Comment se fait-il que nous perdions ?"
"DCG_VO_treant_protector_concerned_08"	"Si je meurs, qui protégera la forêt ?"
"DCG_VO_treant_protector_concerned_09"	"Tout ce que j'aime est réduit en cendre."
"DCG_VO_treant_protector_concerned_10"	"Si c'est la fin, je laisse un meilleur monde derrière moi."
"DCG_VO_treant_protector_angry_01"	"Nous ne pouvons pas céder !"
"DCG_VO_treant_protector_angry_02"	"Qu'ils souffrent !"
"DCG_VO_treant_protector_angry_03"	"Tu vas mourir !"
"DCG_VO_treant_protector_angry_04"	"Tu n'as pas idée de ce que tu as fait..."
"DCG_VO_treant_protector_angry_05"	"Teste ta force contre moi et découvre tes limites."
"DCG_VO_treant_protector_angry_06"	"Quand un Protecteur part à la guerre, le monde entier tremble..."
"DCG_VO_treant_protector_angry_07"	"Je vais te réduire en poussière..."
"DCG_VO_treant_protector_angry_08"	"Tous tes espoirs vont s'évanouir aujourd'hui. "
"DCG_VO_treant_protector_angry_09"	"Tu ne peux pas résister à la puissance de la nature !"
"DCG_VO_treant_protector_angry_10"	"Tes manigances durent depuis trop longtemps ! "
"DCG_VO_treant_protector_arrogant_01"	"Je suis bien meilleur que toi."
"DCG_VO_treant_protector_arrogant_02"	"Tu t'immisces dans les histoires insondables des Anciens, mon enfant."
"DCG_VO_treant_protector_arrogant_03"	"Tu peux me remercier d'être là..."
"DCG_VO_treant_protector_arrogant_04"	"Une créature inférieure comme toi n'a aucune chance contre moi..."
"DCG_VO_treant_protector_arrogant_05"	"Ton acier et tes sorts sont inutiles contre moi..."
"DCG_VO_treant_protector_arrogant_06"	"Tes talents ne valent rien."
"DCG_VO_treant_protector_arrogant_07"	"Tu es presque indigne de mon intérêt."
"DCG_VO_treant_protector_arrogant_08"	"M'affronter sera ta dernière erreur."
"DCG_VO_treant_protector_arrogant_09"	"À l'abri dans leurs villes, les humains idéalisent les régions boisées. Ils oublient ma violence."
"DCG_VO_treant_protector_arrogant_10"	"L'ignorance est ton manteau ; la bêtise, ta lame. "
"DCG_VO_treant_protector_enigmatic_01"	"Nos actes sauveront cette forêt."
"DCG_VO_treant_protector_enigmatic_02"	"Sens le vent dans les hautes branches, le tonnerre dans les racines."
"DCG_VO_treant_protector_enigmatic_03"	"La forêt appelle ses enfants... ses Protecteurs."
"DCG_VO_treant_protector_enigmatic_04"	"Un grand pouvoir se tient ici..."
"DCG_VO_treant_protector_enigmatic_05"	"J'apporte la sagesse de celui qui connaît le futur..."
"DCG_VO_treant_protector_enigmatic_06"	"Ce lieu est sanctifié...."
"DCG_VO_treant_protector_enigmatic_07"	"Les empires n'ont pas leur place dans la forêt..."
"DCG_VO_treant_protector_enigmatic_08"	"Quel est le prix de mon pèlerinage ?"
"DCG_VO_treant_protector_enigmatic_09"	"Après le va-et-vient des glaciers, quels souvenirs cet endroit me laissera-t-il ?"
"DCG_VO_treant_protector_enigmatic_10"	"Parfois, même un Protecteur a besoin de quelqu'un pour veiller sur lui..."
"DCG_VO_treant_protector_death_01"	"<i>Cris</i>"
"DCG_VO_sven_intro"	"J'ai rejoint les chevaliers de la Vigie. Je vais m'entraîner avec eux, apprendre leurs méthodes, devenir le meilleur et enfin, les détruire de l'intérieur."
"DCG_VO_sven_gods_strength"	"Je ne suis pas encore assez fort pour venger l'exécution de mon père. Mais un jour... je serai prêt."
"DCG_VO_sven_equip_generic_weapon_01"	"J'ai été formé au maniement de cette arme."
"DCG_VO_sven_equip_generic_weapon_02"	"Je suis prêt à me battre."
"DCG_VO_sven_equip_generic_weapon_03"	"Je peux utiliser n'importe quelle arme."
"DCG_VO_sven_equip_generic_weapon_04"	"Je connais toutes les formes de combat."
"DCG_VO_sven_equip_generic_weapon_05"	"Je vais vaincre nos ennemis."
"DCG_VO_sven_equip_generic_armor_01"	"Je ne tomberai pas au combat."
"DCG_VO_sven_equip_generic_armor_02"	"Je suis protégé..."
"DCG_VO_sven_equip_generic_armor_03"	"Voici ce qu'il me fallait."
"DCG_VO_sven_equip_generic_armor_04"	"Je dois me tenir prêt pour le combat."
"DCG_VO_sven_equip_generic_armor_05"	"Je ne me lancerai pas au combat sans préparation."
"DCG_VO_sven_equip_generic_accessory_01"	"Ça me sera utile."
"DCG_VO_sven_equip_generic_accessory_02"	"J'en ferai bon usage."
"DCG_VO_sven_equip_generic_accessory_03"	"Merci."
"DCG_VO_sven_equip_generic_accessory_04"	"Les chevaliers de la Vigie sont bien parés."
"DCG_VO_sven_equip_generic_accessory_05"	"Tu as toute ma reconnaissance."
"DCG_VO_sven_kill_rival_01"	"Tu viens de tomber sur plus fort que toi."
"DCG_VO_sven_kill_rival_02"	"Tu ne pouvais pas espérer me vaincre."
"DCG_VO_sven_kill_rival_03"	"Tu n'avais aucune chance."
"DCG_VO_sven_kill_rival_04"	"Ta fin est proche !"
"DCG_VO_sven_kill_rival_05"	"Tu as bien combattu."
"DCG_VO_sven_kill_rival_06"	"Je t'offre une mort noble."
"DCG_VO_sven_kill_rival_07"	"Ce fut un honneur de me battre contre toi."
"DCG_VO_sven_kill_rival_08"	"Ton heure est venue."
"DCG_VO_sven_kill_rival_09"	"Tu m'as donné du fil à retordre."
"DCG_VO_sven_kill_rival_10"	"Je n'oublierai pas ce combat."
"DCG_VO_sven_use_include_01"	"<i>Rugissements</i>"
"DCG_VO_sven_use_include_02"	"Je sens la puissance couler dans mes veines !"
"DCG_VO_sven_use_include_03"	"Ma force est sans égale !"
"DCG_VO_sven_unique_01"	"Je vais tous vous découper."
"DCG_VO_sven_unique_02"	"Tu vas te coucher comme le blé devant moi..."
"DCG_VO_sven_unique_03"	"On dirait que ma lame va faire un peu d'exercice."
"DCG_VO_sven_unique_04"	"Bonjour à toi."
"DCG_VO_sven_unique_05"	"Je vais te montrer comment bien l'utiliser."
"DCG_VO_sven_unique_06"	"Merci à toi."
"DCG_VO_sven_unique_07"	"Les chevaliers de la Vigie auraient dû inclure ça dans leur entraînement..."
"DCG_VO_sven_unique_08"	"Mort à l'Obscur !"
"DCG_VO_sven_unique_09"	"Je vais affronter tous tes sbires !"
"DCG_VO_sven_unique_10"	"Je ne te crains pas, Kanna."
"DCG_VO_sven_unique_11"	"Même tous tes fidèles ne pourront pas te secourir."
"DCG_VO_sven_unique_12"	"C'est fini, Prellex."
"DCG_VO_sven_unique_13"	"Tu peux aligner autant de troupes que tu veux, je les éliminerai toutes."
"DCG_VO_sven_unique_14"	"Je vais débarrasser ce lieu de tes enfants."
"DCG_VO_sven_unique_15"	"Tes filles ne grandiront pas ici."
"DCG_VO_sven_unique_16"	"Tu peux répandre tout ton venin, cela ne te sauvera pas."
"DCG_VO_sven_unique_17"	"Je vais affronter la Brume rouge."
"DCG_VO_sven_unique_18"	"Je stopperai ces envahisseurs."
"DCG_VO_sven_unique_19"	"Je vais mater cette rébellion."
"DCG_VO_sven_unique_20"	"Ceux qui sèment la terreur ne survivront pas."
"DCG_VO_sven_healed_01"	"Aaah"
"DCG_VO_sven_healed_02"	"Merci."
"DCG_VO_sven_healed_03"	"Merci bien."
"DCG_VO_sven_healed_04"	"De retour au combat."
"DCG_VO_sven_healed_05"	"J'apprécie ton geste."
"DCG_VO_sven_taunt_generic_01"	"Je suis là pour protéger."
"DCG_VO_sven_taunt_generic_02"	"Nous ouvrirons la voie jusqu'à leur tour !"
"DCG_VO_sven_taunt_generic_03"	"Leur Ancien ne tiendra pas longtemps !"
"DCG_VO_sven_taunt_generic_04"	"Pas de quartier !"
"DCG_VO_sven_taunt_generic_05"	"Luttez avec honneur !"
"DCG_VO_sven_taunt_generic_06"	"Combattez bien, mes amis !"
"DCG_VO_sven_taunt_generic_07"	"On peut en finir avec tout ça, ici et maintenant !"
"DCG_VO_sven_taunt_generic_08"	"Suivez-moi au combat !"
"DCG_VO_sven_taunt_generic_09"	"La victoire est proche !"
"DCG_VO_sven_taunt_generic_10"	"Qui oserait nous défier ?"
"DCG_VO_sven_potential_kill_01"	"C'est comme ça que ça devait se finir pour toi."
"DCG_VO_sven_potential_kill_02"	"Tu ne trouveras ton salut nulle part."
"DCG_VO_sven_potential_kill_03"	"Nul ne peut échapper à ma lame."
"DCG_VO_sven_potential_kill_04"	"Pensais-tu vraiment avoir une chance contre un chevalier de la Vigie ?"
"DCG_VO_sven_potential_kill_05"	"Ah !"
"DCG_VO_sven_potential_save_01"	"Pas aujourd'hui."
"DCG_VO_sven_potential_save_02"	"Je suis plein de ressources."
"DCG_VO_sven_potential_save_03"	"J'ai bien appris ma leçon."
"DCG_VO_sven_potential_save_04"	"Je m'y étais préparé."
"DCG_VO_sven_potential_save_05"	"Je ne panique jamais sous pression."
"DCG_VO_sven_permanent_armor_01"	"Je serai le dernier debout."
"DCG_VO_sven_permanent_armor_02"	"J'affronterai nos ennemis sans flancher."
"DCG_VO_sven_permanent_armor_03"	"Que la bataille commence, je ne mourrai pas aujourd'hui !"
"DCG_VO_sven_permanent_armor_04"	"Rien ne transpercera mon armure."
"DCG_VO_sven_permanent_armor_05"	"Qu'ils essaient de me tuer maintenant."
"DCG_VO_sven_permanent_attack_01"	"Ma lame est aiguisée."
"DCG_VO_sven_permanent_attack_02"	"Je m'entraîne tous les jours."
"DCG_VO_sven_permanent_attack_03"	"Je suis plus fort à présent..."
"DCG_VO_sven_permanent_attack_04"	"Ma force est sans égale."
"DCG_VO_sven_permanent_attack_05"	"Prêt pour le combat."
"DCG_VO_sven_permanent_health_01"	"Je suis un survivant."
"DCG_VO_sven_permanent_health_02"	"Je tiendrai le coup."
"DCG_VO_sven_permanent_health_03"	"Je ne tomberai pas si facilement."
"DCG_VO_sven_permanent_health_04"	"Je ne me laisserai pas faire."
"DCG_VO_sven_permanent_health_05"	"Il faudra me passer sur le corps."
"DCG_VO_sven_cast_spell_01"	"Mon expertise est sans limites."
"DCG_VO_sven_cast_spell_02"	"Un chevalier sait s'adapter."
"DCG_VO_sven_cast_spell_03"	"Un chevalier réévalue en permanence le champ de bataille."
"DCG_VO_sven_cast_spell_04"	"Je sais quand demander de l'aide..."
"DCG_VO_sven_cast_spell_05"	"J'ai été formé à la maîtrise de nombreuses techniques..."
"DCG_VO_sven_cast_spell_06"	"L'entraînement des chevaliers de la Vigie est... poussé."
"DCG_VO_sven_cast_spell_07"	"J'ai quelques tours dans mon sac..."
"DCG_VO_sven_cast_spell_08"	"Fini les tours de passe-passe."
"DCG_VO_sven_cast_spell_09"	"Détruisez leurs défenses !"
"DCG_VO_sven_cast_spell_10"	"Je me charge de leurs renforts."
"DCG_VO_sven_cast_spell_11"	"Observe l'éclat des étoiles dans leurs yeux !"
"DCG_VO_sven_cast_spell_12"	"Tu ne pourras pas dire que je ne t'ai jamais rien donné."
"DCG_VO_sven_buff_ally_01"	"Voilà pour toi."
"DCG_VO_sven_buff_ally_02"	"Je vais te montrer les voies de la Vigie."
"DCG_VO_sven_buff_ally_03"	"Je peux faire de toi un meilleur guerrier."
"DCG_VO_sven_buff_ally_04"	"J'ai encore beaucoup à t'apprendre sur le combat."
"DCG_VO_sven_buff_ally_05"	"Laisse-moi t'enseigner."
"DCG_VO_sven_buff_ally_06"	"Nous nous battrons côte à côte."
"DCG_VO_sven_buff_ally_07"	"Si nous voulons l'emporter, nous devons nous aider."
"DCG_VO_sven_buff_ally_08"	"Seul un idiot se lancerait au combat sans appui."
"DCG_VO_sven_buff_ally_09"	"Nous sommes alliés. Tu peux me faire confiance."
"DCG_VO_sven_buff_ally_10"	"Tu es sous ma protection."
"DCG_VO_sven_debuff_enemy_01"	"Je peux faire ça toute la journée."
"DCG_VO_sven_debuff_enemy_02"	"Tu manques de technique."
"DCG_VO_sven_debuff_enemy_03"	"Tu t'exposes imprudemment."
"DCG_VO_sven_debuff_enemy_04"	"Ta préparation était vraiment insuffisante pour ce combat."
"DCG_VO_sven_debuff_enemy_05"	"Tu ne survivras pas à ce combat."
"DCG_VO_sven_debuff_enemy_06"	"Je vais faire ça aussi vite que possible."
"DCG_VO_sven_debuff_enemy_07"	"On ne fait pas partie de la même catégorie."
"DCG_VO_sven_debuff_enemy_08"	"Tu n'as aucune chance de survivre à ce combat."
"DCG_VO_sven_debuff_enemy_09"	"Tu finiras bien par tomber."
"DCG_VO_sven_debuff_enemy_10"	"Tu n'as aucune chance de gagner."
"DCG_VO_sven_single_target_damage_01"	"Affronte-moi avec courage."
"DCG_VO_sven_single_target_damage_02"	"Combattons avec honneur."
"DCG_VO_sven_single_target_damage_03"	"C'est l'heure de voir qui est le meilleur."
"DCG_VO_sven_single_target_damage_04"	"Mets-moi à l'épreuve."
"DCG_VO_sven_single_target_damage_05"	"C'est la fin pour l'un de nous."
"DCG_VO_sven_single_target_damage_06"	"Laisse-moi celui-là."
"DCG_VO_sven_single_target_damage_07"	"Je vais m'occuper de toi."
"DCG_VO_sven_single_target_damage_08"	"Bats-toi !"
"DCG_VO_sven_single_target_damage_09"	"Montre-moi ce que tu vaux."
"DCG_VO_sven_single_target_damage_10"	"Tu ne survivras pas."
"DCG_VO_sven_multi_damage_small_01"	"Laisse-les-moi."
"DCG_VO_sven_multi_damage_small_02"	"C'est ce que vous appelez combattre ?"
"DCG_VO_sven_multi_damage_small_03"	"Tu ne survivras pas..."
"DCG_VO_sven_multi_damage_small_04"	"Ton armée n'est pas assez entraînée."
"DCG_VO_sven_multi_damage_small_05"	"Ton armée ne survivra pas."
"DCG_VO_sven_multi_damage_small_06"	"Tes forces sont insuffisantes pour me vaincre."
"DCG_VO_sven_multi_damage_small_07"	"Je vais décimer cette armée."
"DCG_VO_sven_multi_damage_small_08"	"J'ai quelques conseils à te donner sur l'art de la guerre."
"DCG_VO_sven_multi_damage_small_09"	"La leçon du jour sera sanglante."
"DCG_VO_sven_multi_damage_small_10"	"Laisse-moi te montrer ce qui attend nos ennemis..."
"DCG_VO_sven_multi_damage_large_01"	"Je vais faire une percée sanglante..."
"DCG_VO_sven_multi_damage_large_02"	"Je peux affronter n'importe qui !"
"DCG_VO_sven_multi_damage_large_03"	"Tous à la fois !"
"DCG_VO_sven_multi_damage_large_04"	"Je suis prêt à tous vous défier !"
"DCG_VO_sven_multi_damage_large_05"	"Fini de discuter !"
"DCG_VO_sven_multi_damage_large_06"	"Viens te battre si tu l’oses !"
"DCG_VO_sven_multi_damage_large_07"	"Ma lame va se teindre de ton sang..."
"DCG_VO_sven_multi_damage_large_08"	"Je vais tous vous tuer ! "
"DCG_VO_sven_multi_damage_large_09"	"Que la bataille commence !"
"DCG_VO_sven_multi_damage_large_10"	"Je serai le dernier debout !"
"DCG_VO_sven_pleased_01"	"Voilà qui est agréable."
"DCG_VO_sven_pleased_02"	"Ça tombe bien..."
"DCG_VO_sven_pleased_03"	"Fabuleux..."
"DCG_VO_sven_pleased_04"	"Je n'aurais pas pu imaginer mieux."
"DCG_VO_sven_pleased_05"	"Comme il se doit."
"DCG_VO_sven_pleased_06"	"Ha ha ha ha ha"
"DCG_VO_sven_pleased_07"	"C'est fantastique."
"DCG_VO_sven_pleased_08"	"Voilà qui est pratique..."
"DCG_VO_sven_pleased_09"	"Tout est sous contrôle..."
"DCG_VO_sven_pleased_10"	"On dirait qu'on a la situation sous contrôle..."
"DCG_VO_sven_concerned_01"	"Oh là là..."
"DCG_VO_sven_concerned_02"	"Voilà qui est problématique..."
"DCG_VO_sven_concerned_03"	"Nous devons réévaluer nos options."
"DCG_VO_sven_concerned_04"	"Je mourrai avec honneur."
"DCG_VO_sven_concerned_05"	"Je ne reculerai devant rien, peu importe les risques."
"DCG_VO_sven_concerned_06"	"Je ne me rendrai pas."
"DCG_VO_sven_concerned_07"	"Seul contre une armée..."
"DCG_VO_sven_concerned_08"	"Si je dois mourir, je le ferai avec courage."
"DCG_VO_sven_concerned_09"	"Crois-moi, on peut encore gagner."
"DCG_VO_sven_concerned_10"	"Ce n'est qu'un simple contretemps..."
"DCG_VO_sven_angry_01"	"Comment oses-tu ?"
"DCG_VO_sven_angry_02"	"Tu oses !"
"DCG_VO_sven_angry_03"	"Tu vas payer pour ton insolence..."
"DCG_VO_sven_angry_04"	"Je ne vais pas te laisser gagner !"
"DCG_VO_sven_angry_05"	"Je ne l'oublierai pas !"
"DCG_VO_sven_angry_06"	"Tu penses que tu vaux mieux que moi ?"
"DCG_VO_sven_angry_07"	"Tu affrontes un chevalier de la Vigie !"
"DCG_VO_sven_angry_08"	"Tu vas regretter d'être venu..."
"DCG_VO_sven_angry_09"	"C'était ta dernière erreur."
"DCG_VO_sven_angry_10"	"Tu ne vivras pas assez longtemps pour regretter tes choix..."
"DCG_VO_sven_arrogant_01"	"Personne n'a étudié l'art de la guerre mieux que moi."
"DCG_VO_sven_arrogant_02"	"Je peux venir à bout de la Brume rouge avec une seule main..."
"DCG_VO_sven_arrogant_03"	"Je peux vaincre les Vhouls d'un simple coup d'épée..."
"DCG_VO_sven_arrogant_04"	"Si je rejoignais la Légion de bronze, j'en serais le Commandant avant un an..."
"DCG_VO_sven_arrogant_05"	"J'ai accompli à la perfection tout ce que les chevaliers m'ont demandé..."
"DCG_VO_sven_arrogant_06"	"Les chevaliers de la Vigie sont sans égal..."
"DCG_VO_sven_arrogant_07"	"Un ennemi ? J'en affronte 3 normalement."
"DCG_VO_sven_arrogant_08"	"Quel sombre idiot souhaite perdre la vie contre Sven ?"
"DCG_VO_sven_arrogant_09"	"Personne n'est immunisé contre ma lame."
"DCG_VO_sven_arrogant_10"	"Ma puissance est sans précédent."
"DCG_VO_sven_enigmatic_01"	"Je vivrais assez pour me venger..."
"DCG_VO_sven_enigmatic_02"	"Je sais comment utiliser mon temps."
"DCG_VO_sven_enigmatic_03"	"Je serai patient avant de frapper."
"DCG_VO_sven_enigmatic_04"	"Je sais comment ne pas me précipiter."
"DCG_VO_sven_enigmatic_05"	"Chaque chose en son temps."
"DCG_VO_sven_enigmatic_06"	"J'ai anticipé chaque étape de ma victoire..."
"DCG_VO_sven_enigmatic_07"	"Je dois faire attention à mes actes..."
"DCG_VO_sven_enigmatic_08"	"Ta préparation est insuffisante pour ce que j'ai en réserve..."
"DCG_VO_sven_enigmatic_09"	"Je perçois un énorme potentiel..."
"DCG_VO_sven_enigmatic_10"	"Je vais m'en charger..."
"DCG_VO_sven_death_01"	"<i>Cris</i>"
"DCG_VO_prellex_intro"	"Mes frères et sœurs, l'Ancien approche. Chaque jour qui passe, mes visions se renforcent : un ciel violet, une lune scindée et la voix d'un Ancien qui murmure « préparez-vous à ma venue ». Se préparer....Un mot si simple qui traduit mal l'énormité de la tâche qui nous attend. Nous devons être des hérauts, des témoins de la bienveillance de l'Ancien. Nous devons partager l'annonce de sa venue, que ce message soit reçu avec joie ou mépris. Nous devons être des architectes et bâtir, non seulement ce monastère pour tous ceux qui croient en ce que j'ai vu, mais aussi un monde digne de la grandeur de l'Ancien. Nous devons montrer notre ferveur et être prêts à sacrifier notre vie pour défendre ce lieu sacré, car, soyez-en sûrs, nous sommes en guerre. Kanna et ses hérétiques ne reculeront devant rien pour défaire notre œuvre, et nous devons être prêts à rendre coup pour coup. "
"DCG_VO_prellex_barracks_intro"	"Toujours plus de fidèles arrivent chaque jour... et il va bien falloir les héberger."
"DCG_VO_prellex_watchtower_intro"	"Les forces de Kanna sont toujours une menace... Nous devons faire preuve de vigilance."
"DCG_VO_prellex_tower_barrage_intro"	"Nos défenses sont solides mais pas impénétrables... Heureusement, nos tours arrivent à repousser tout le monde à part les plus obstinés."
"DCG_VO_prellex_dimensional_portal_intro"	"Peu importe où la bataille est livrée... l'Éclat se dressera toujours contre les horreurs de l'Obscur."
"DCG_VO_prellex_equip_generic_weapon_01"	"Je ne suis pas une combattante, mais je ferai tout ce que je peux."
"DCG_VO_prellex_equip_generic_weapon_02"	"Parfois, le berger doit repousser les loups."
"DCG_VO_prellex_equip_generic_weapon_03"	"Je suis prête pour la bataille."
"DCG_VO_prellex_equip_generic_weapon_04"	"Je ferai tout ce que je peux."
"DCG_VO_prellex_equip_generic_weapon_05"	"Je me battrai aux côtés de mon peuple."
"DCG_VO_prellex_equip_generic_armor_01"	"La mort ne m'atteindra pas si facilement."
"DCG_VO_prellex_equip_generic_armor_02"	"Merci pour ta protection."
"DCG_VO_prellex_equip_generic_armor_03"	"Je me sens déjà mieux protégée."
"DCG_VO_prellex_equip_generic_armor_04"	"Plus je tiendrai longtemps, plus je pourrai soutenir les fidèles."
"DCG_VO_prellex_equip_generic_armor_05"	"Je resterai aussi longtemps que possible."
"DCG_VO_prellex_equip_generic_accessory_01"	"Je suis indigne de ce cadeau."
"DCG_VO_prellex_equip_generic_accessory_02"	"Merci pour ta bonté."
"DCG_VO_prellex_equip_generic_accessory_03"	"Je servirai d'exemple pour les autres."
"DCG_VO_prellex_equip_generic_accessory_04"	"Ça va m'aider à tenir le coup."
"DCG_VO_prellex_equip_generic_accessory_05"	"Je porte cela avec fierté."
"DCG_VO_prellex_kill_rival_01"	"La voie que tu as choisie est ce qui nous a menés ici."
"DCG_VO_prellex_kill_rival_02"	"Il n'était pas nécessaire d'en arriver là."
"DCG_VO_prellex_kill_rival_03"	"Repens-toi et dévoue-toi à notre Ancien."
"DCG_VO_prellex_kill_rival_04"	"La mort va frapper ceux qui viennent souiller ces lieux !"
"DCG_VO_prellex_kill_rival_05"	"Je ne te laisserai pas blesser l'Ancien."
"DCG_VO_prellex_kill_rival_06"	"Mon peuple défendra l'Ancien jusqu'à sa mort."
"DCG_VO_prellex_kill_rival_07"	"Je ne prends aucun plaisir à te tuer."
"DCG_VO_prellex_kill_rival_08"	"Si seulement il existait une autre voie."
"DCG_VO_prellex_kill_rival_09"	"Tu es du mauvais côté de l'histoire."
"DCG_VO_prellex_kill_rival_10"	"Je suis prête à tout pour protéger l'Ancien."
"DCG_VO_prellex_use_include_01"	"Les fidèles viendront en nombre... et il faudra bien les héberger."
"DCG_VO_prellex_use_include_02"	"Approchez, mes frères et sœurs !"
"DCG_VO_prellex_use_include_03"	"Nous ne cesserons pas tant que notre victoire ne sera pas assurée !"
"DCG_VO_prellex_unique_01"	"Regardez mes frères... nous sommes légion."
"DCG_VO_prellex_unique_02"	"L'union fait la force, mes frères et sœurs !"
"DCG_VO_prellex_unique_03"	"Pardonne-moi, Kanna."
"DCG_VO_prellex_unique_04"	"Tu avais un tel potentiel."
"DCG_VO_prellex_unique_05"	"Tu as gâché ton futur, Kanna. Et tout ça pour quoi ? Pour me contrarier ?"
"DCG_VO_prellex_unique_06"	"Approche !"
"DCG_VO_prellex_unique_07"	"Les fidèles s'imposeront !"
"DCG_VO_prellex_unique_08"	"Mes frères, j'ai besoin de votre aide !"
"DCG_VO_prellex_unique_09"	"J'en appelle à tous ceux qui servent l'Ancien !"
"DCG_VO_prellex_unique_10"	"Bienvenue chez toi, Kanna."
"DCG_VO_prellex_unique_11"	"J'ai attendu ce moment pendant si longtemps."
"DCG_VO_prellex_unique_12"	"Quel genre de mère n'accorde pas le pardon à son enfant ?"
"DCG_VO_prellex_unique_13"	"Le Quorum vient de se faire une puissante amie aujourd'hui."
"DCG_VO_prellex_unique_14"	"J'accepte les cadeaux du Quorum."
"DCG_VO_prellex_unique_15"	"Nous déferlerons sur nos ennemis comme une vague de chair."
"DCG_VO_prellex_unique_16"	"Subis le courroux des Anciens !"
"DCG_VO_prellex_unique_17"	"Incline-toi face à la puissance de l'Ancien !"
"DCG_VO_prellex_unique_18"	"Tu oserais frapper ta propre mère ?"
"DCG_VO_prellex_unique_19"	"Nos forces augmentent par la prière et la méditation."
"DCG_VO_prellex_unique_20"	"Ce lieu est sacré pour mon peuple et nous le défendrons jusqu'à notre dernier souffle."
"DCG_VO_prellex_healed_01"	"Aaah"
"DCG_VO_prellex_healed_02"	"Tu as toute ma gratitude."
"DCG_VO_prellex_healed_03"	"Je te suis reconnaissante."
"DCG_VO_prellex_healed_04"	"Merci."
"DCG_VO_prellex_healed_05"	"Je n'oublierai pas ta bienveillance."
"DCG_VO_prellex_taunt_generic_01"	"Nous nous battrons jusqu'au bout !"
"DCG_VO_prellex_taunt_generic_02"	"Nous protégerons l'Ancien coûte que coûte !"
"DCG_VO_prellex_taunt_generic_03"	"Je suis au service de l'Éclat."
"DCG_VO_prellex_taunt_generic_04"	"Nous offrirons la gloire à l'Ancien."
"DCG_VO_prellex_taunt_generic_05"	"Nous devons lutter, mes frères !"
"DCG_VO_prellex_taunt_generic_06"	"L'union est le seul moyen de l'emporter !"
"DCG_VO_prellex_taunt_generic_07"	"Ensemble, on peut gagner ce combat !"
"DCG_VO_prellex_taunt_generic_08"	"Nous ne craignons pas la mort... seulement l'échec."
"DCG_VO_prellex_taunt_generic_09"	"Nous sommes là pour défendre notre Ancien !"
"DCG_VO_prellex_taunt_generic_10"	"Nous n'abandonnerons jamais !"
"DCG_VO_prellex_potential_kill_01"	"L'Éclat guidera ma main."
"DCG_VO_prellex_potential_kill_02"	"Je ferai le nécessaire."
"DCG_VO_prellex_potential_kill_03"	"Ta fin est proche !"
"DCG_VO_prellex_potential_kill_04"	"Je ferai tout pour t'arrêter !"
"DCG_VO_prellex_potential_kill_05"	"La volonté de l'Ancien s'imposera !"
"DCG_VO_prellex_potential_save_01"	"Loué soit l'Éclat."
"DCG_VO_prellex_potential_save_02"	"La mort ne m'emportera pas aujourd'hui."
"DCG_VO_prellex_potential_save_03"	"L'Éclat me protégera."
"DCG_VO_prellex_potential_save_04"	"Un nouveau miracle de l'Ancien."
"DCG_VO_prellex_potential_save_05"	"Ce n'est pas passé loin."
"DCG_VO_prellex_permanent_armor_01"	"L'Ancien me protège..."
"DCG_VO_prellex_permanent_armor_02"	"Je résisterai autant que possible."
"DCG_VO_prellex_permanent_armor_03"	"Loué soit l'Ancien !"
"DCG_VO_prellex_permanent_armor_04"	"Gloire à l'Éclat !"
"DCG_VO_prellex_permanent_armor_05"	"Je suis plus déterminée que jamais."
"DCG_VO_prellex_permanent_attack_01"	"Ma force ne cesse de grandir."
"DCG_VO_prellex_permanent_attack_02"	"Je n'étais pas faite pour la guerre... mais j'ai dû apprendre à me battre."
"DCG_VO_prellex_permanent_attack_03"	"Je n'hésiterai pas à prendre les armes."
"DCG_VO_prellex_permanent_attack_04"	"Ma puissance augmente."
"DCG_VO_prellex_permanent_attack_05"	"Je dois me préparer pour la bataille."
"DCG_VO_prellex_permanent_health_01"	"Je tiendrai bon tant que l'Ancien le voudra."
"DCG_VO_prellex_permanent_health_02"	"J'ai été bénie !"
"DCG_VO_prellex_permanent_health_03"	"Je ne compte pas céder à la peur."
