"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont and I don’t agree on a lot of things, but he was wise to recognize the dangers of angering The Faceless Void. I'm not super wild about the Claszureme Treaty, Chronomancy was a lot of fun. But you know what's also fun? Not having your timeline obliterated."
"DCG_VO_treant_protector_arrogant_07"	"You're barely worth my attention."
"DCG_VO_treant_protector_arrogant_08"	"Facing me is the last mistake you'll make."
"DCG_VO_treant_protector_arrogant_09"	"Safe in their cities, humans romanticize the woodland. They forget my terror."
"DCG_VO_treant_protector_arrogant_10"	"Ignorance is your cloak; foolishness, your blade. "
"DCG_VO_treant_protector_enigmatic_01"	"By our deeds, this forest shall not fall."
"DCG_VO_treant_protector_enigmatic_02"	"Feel the wind in the high branches, the thunder in the roots below."
"DCG_VO_treant_protector_enigmatic_03"	"The forest calls to her children... her protectors."
"DCG_VO_treant_protector_enigmatic_04"	"There is great power here..."
"DCG_VO_treant_protector_enigmatic_05"	"I bring wisdom of what is to come..."
"DCG_VO_treant_protector_enigmatic_06"	"This is a hallowed place...."
"DCG_VO_treant_protector_enigmatic_07"	"The forest is no place for empires..."
"DCG_VO_treant_protector_enigmatic_08"	"At what cost comes my pilgrimage"
"DCG_VO_treant_protector_enigmatic_09"	"When the glaciers rise and recede again, what will I remember of this place?"
"DCG_VO_treant_protector_enigmatic_10"	"Sometimes even a protector needs someone to watch over them..."
"DCG_VO_treant_protector_death_01"	"<i>Screams</i>"
"DCG_VO_sven_intro"	"I've given myself to the Vigil Knights. I will train with them. learn their ways.  Become the best... and ultimately: destroy them from within."
"DCG_VO_sven_gods_strength"	"I am not yet strong enough to avenge my father's execution. But in time... I will be."
"DCG_VO_sven_equip_generic_weapon_01"	"I was trained to use this."
"DCG_VO_sven_equip_generic_weapon_02"	"I'm ready to fight."
"DCG_VO_sven_equip_generic_weapon_03"	"There's no weapon I can't wield."
"DCG_VO_sven_equip_generic_weapon_04"	"I'm trained in all forms of combat."
"DCG_VO_sven_equip_generic_weapon_05"	"I will defeat our enemies."
"DCG_VO_sven_equip_generic_armor_01"	"I will not fall in battle."
"DCG_VO_sven_equip_generic_armor_02"	"I am protected."
"DCG_VO_sven_equip_generic_armor_03"	"This is what I needed."
"DCG_VO_sven_equip_generic_armor_04"	"I must be ready for combat."
"DCG_VO_sven_equip_generic_armor_05"	"I will not wade into battle unprepared."
"DCG_VO_sven_equip_generic_accessory_01"	"This will help."
"DCG_VO_sven_equip_generic_accessory_02"	"I can use this."
"DCG_VO_sven_equip_generic_accessory_03"	"Thank you."
"DCG_VO_sven_equip_generic_accessory_04"	"The knights of the Vigil are well adorned."
"DCG_VO_sven_equip_generic_accessory_05"	"I'm grateful."
"DCG_VO_sven_kill_rival_01"	"You were outmatched."
"DCG_VO_sven_kill_rival_02"	"You couldn't hope to defeat me."
"DCG_VO_sven_kill_rival_03"	"You never had a chance."
"DCG_VO_sven_kill_rival_04"	"You will fall!"
"DCG_VO_sven_kill_rival_05"	"You fought well."
"DCG_VO_sven_kill_rival_06"	"I give you a noble death."
"DCG_VO_sven_kill_rival_07"	"You were a worthy adversary."
"DCG_VO_sven_kill_rival_08"	"Your time has come."
"DCG_VO_sven_kill_rival_09"	"You made me work for this."
"DCG_VO_sven_kill_rival_10"	"I will remember this battle."
"DCG_VO_sven_use_include_01"	"<i>Roars</i>"
"DCG_VO_sven_use_include_02"	"I feel the power flow through me!"
"DCG_VO_sven_use_include_03"	"No one can match my strength!"
"DCG_VO_sven_unique_01"	"I'll cut you all down."
"DCG_VO_sven_unique_02"	"You will fall like wheat before me..."
"DCG_VO_sven_unique_03"	"It looks like my blade will get a workout."
"DCG_VO_sven_unique_04"	"Hello old friend."
"DCG_VO_sven_unique_05"	"I will show you how to properly wield this."
"DCG_VO_sven_unique_06"	"Thank you friend."
"DCG_VO_sven_unique_07"	"The knights of the Vigil should have included this in their training..."
"DCG_VO_sven_unique_08"	"Death to the dire!"
"DCG_VO_sven_unique_09"	"I will face all your minions!"
"DCG_VO_sven_unique_10"	"I don't fear you Kanna."
"DCG_VO_sven_unique_11"	"Bring all of your worshippers you want. It will not save you."
"DCG_VO_sven_unique_12"	"It's over Prellex."
"DCG_VO_sven_unique_13"	"Set up all the barracks you want, I will cut your people down."
"DCG_VO_sven_unique_14"	"I'll rid this place of your children."
"DCG_VO_sven_unique_15"	"Your daughters will not grow here."
"DCG_VO_sven_unique_16"	"Sow all the venom you wish, it won't save you."
"DCG_VO_sven_unique_17"	"I'll face the Red Mist head on."
"DCG_VO_sven_unique_18"	"I'll stop these invaders."
"DCG_VO_sven_unique_19"	"I'll quell this rebellion."
"DCG_VO_sven_unique_20"	"These terrorists won't last long."
"DCG_VO_sven_healed_01"	"Ahhh"
"DCG_VO_sven_healed_02"	"Thank you."
"DCG_VO_sven_healed_03"	"My thanks."
"DCG_VO_sven_healed_04"	"Back to battle."
"DCG_VO_sven_healed_05"	"Your mercy is appreciated."
"DCG_VO_sven_taunt_generic_01"	"I'm here to protect."
"DCG_VO_sven_taunt_generic_02"	"We will cut a path to their tower!"
"DCG_VO_sven_taunt_generic_03"	"Their Ancient won't stand for long!"
"DCG_VO_sven_taunt_generic_04"	"Give no quarter!"
"DCG_VO_sven_taunt_generic_05"	"Fight with honor!"
"DCG_VO_sven_taunt_generic_06"	"Fight well my friends!"
"DCG_VO_sven_taunt_generic_07"	"We can end this here!"
"DCG_VO_sven_taunt_generic_08"	"Follow me to battle!"
"DCG_VO_sven_taunt_generic_09"	"Victory is nigh!"
"DCG_VO_sven_taunt_generic_10"	"Who would dare stand against us!"
"DCG_VO_sven_potential_kill_01"	"This was always going to be the end for you."
"DCG_VO_sven_potential_kill_02"	"You won't find salvation."
"DCG_VO_sven_potential_kill_03"	"No one can evade my blade."
"DCG_VO_sven_potential_kill_04"	"What chance did you have against a knight of the Vigil."
"DCG_VO_sven_potential_kill_05"	"Ha!"
"DCG_VO_sven_potential_save_01"	"Not today."
"DCG_VO_sven_potential_save_02"	"I'm more resourceful than you thought."
"DCG_VO_sven_potential_save_03"	"I have learned my lessons well."
"DCG_VO_sven_potential_save_04"	"I was prepared for this."
"DCG_VO_sven_potential_save_05"	"I never panic under pressure."
"DCG_VO_sven_permanent_armor_01"	"I will be the last one standing."
"DCG_VO_sven_permanent_armor_02"	"I will face our enemies head on."
"DCG_VO_sven_permanent_armor_03"	"Let the battle rage, I will not fall."
"DCG_VO_sven_permanent_armor_04"	"My armor won't be pierced."
"DCG_VO_sven_permanent_armor_05"	"Let's see them try to kill me."
"DCG_VO_sven_permanent_attack_01"	"My blade is honed."
"DCG_VO_sven_permanent_attack_02"	"Everyday I train."
"DCG_VO_sven_permanent_attack_03"	"I'm stronger now..."
"DCG_VO_sven_permanent_attack_04"	"My strength is unmatched."
"DCG_VO_sven_permanent_attack_05"	"Ready to fight."
"DCG_VO_sven_permanent_health_01"	"I'm a survivor."
"DCG_VO_sven_permanent_health_02"	"I'll go the distance."
"DCG_VO_sven_permanent_health_03"	"I won't fall so easily."
"DCG_VO_sven_permanent_health_04"	"I won't be easy prey."
"DCG_VO_sven_permanent_health_05"	"I won't be killed without a fight."
"DCG_VO_sven_cast_spell_01"	"I am trained in all manner of things..."
"DCG_VO_sven_cast_spell_02"	"A knight knows how to adapt."
"DCG_VO_sven_cast_spell_03"	"A knight constantly reevaluates the battlefield."
"DCG_VO_sven_cast_spell_04"	"I know when to ask for help..."
"DCG_VO_sven_cast_spell_05"	"I was trained in many things..."
"DCG_VO_sven_cast_spell_06"	"A Vigil Knights training is....extensive"
"DCG_VO_sven_cast_spell_07"	"I have a few tricks up my sleeve..."
"DCG_VO_sven_cast_spell_08"	"No more tricks."
"DCG_VO_sven_cast_spell_09"	"Destroy their defenses!"
"DCG_VO_sven_cast_spell_10"	"I'll take care of their support!"
"DCG_VO_sven_cast_spell_11"	"See the starbursts before their very eyes!"
"DCG_VO_sven_cast_spell_12"	"Don't say I never gave you anything"
"DCG_VO_sven_buff_ally_01"	"Here friend."
"DCG_VO_sven_buff_ally_02"	"Let me show you the ways of the Vigil."
"DCG_VO_sven_buff_ally_03"	"I can make you into a better warrior."
"DCG_VO_sven_buff_ally_04"	"There is much I can show you about combat."
"DCG_VO_sven_buff_ally_05"	"Let me be your teacher."
"DCG_VO_sven_buff_ally_06"	"We will stand together and fight."
"DCG_VO_sven_buff_ally_07"	"If we are to win, we must aid each other."
"DCG_VO_sven_buff_ally_08"	"Only a fool goes into battle alone."
"DCG_VO_sven_buff_ally_09"	"We are allies, you can trust in me"
"DCG_VO_sven_buff_ally_10"	"You are under my protection, friend."
"DCG_VO_sven_debuff_enemy_01"	"I can do this all day."
"DCG_VO_sven_debuff_enemy_02"	"Your technique is lacking."
"DCG_VO_sven_debuff_enemy_03"	"You expose yourself to easily."
"DCG_VO_sven_debuff_enemy_04"	"You were never properly trained how to fight."
"DCG_VO_sven_debuff_enemy_05"	"You won't survive this fight."
"DCG_VO_sven_debuff_enemy_06"	"I'll make this as quick as possible."
"DCG_VO_sven_debuff_enemy_07"	"You're outclassed."
"DCG_VO_sven_debuff_enemy_08"	"There's no way you can survive this battle."
"DCG_VO_sven_debuff_enemy_09"	"You'll fall in time."
"DCG_VO_sven_debuff_enemy_10"	"There's no way you're going to win."
"DCG_VO_sven_single_target_damage_01"	"Face me with courage."
"DCG_VO_sven_single_target_damage_02"	"Let's fight as honorable men."
"DCG_VO_sven_single_target_damage_03"	"Time to find out who's the best."
"DCG_VO_sven_single_target_damage_04"	"Test my skill."
"DCG_VO_sven_single_target_damage_05"	"One of us will fall."
"DCG_VO_sven_single_target_damage_06"	"Leave this one to me."
"DCG_VO_sven_single_target_damage_07"	"I'll take you on."
"DCG_VO_sven_single_target_damage_08"	"Face me!"
"DCG_VO_sven_single_target_damage_09"	"Show me your mettle."
"DCG_VO_sven_single_target_damage_10"	"You won't survive."
"DCG_VO_sven_multi_damage_small_01"	"Leave this lot to me."
"DCG_VO_sven_multi_damage_small_02"	"This is what passes for warriors?"
"DCG_VO_sven_multi_damage_small_03"	"You don't have what it takes to survive..."
"DCG_VO_sven_multi_damage_small_04"	"Your army is ill trained."
"DCG_VO_sven_multi_damage_small_05"	"Your army won't survive."
"DCG_VO_sven_multi_damage_small_06"	"Your forces aren't strong enough to defeat me."
"DCG_VO_sven_multi_damage_small_07"	"I will decimate your army."
"DCG_VO_sven_multi_damage_small_08"	"Let me teach you a thing or two about war."
"DCG_VO_sven_multi_damage_small_09"	"You will learn a bloody lesson."
"DCG_VO_sven_multi_damage_small_10"	"Let me show you what awaits our enemies..."
"DCG_VO_sven_multi_damage_large_01"	"I'll cut a bloody swath..."
"DCG_VO_sven_multi_damage_large_02"	"There's no one I won't face!"
"DCG_VO_sven_multi_damage_large_03"	"I'll take you all on!"
"DCG_VO_sven_multi_damage_large_04"	"I challenge all of you!"
"DCG_VO_sven_multi_damage_large_05"	"The time for talking is done!"
"DCG_VO_sven_multi_damage_large_06"	"Face me if you can!"
"DCG_VO_sven_multi_damage_large_07"	"My blade will run crimson..."
"DCG_VO_sven_multi_damage_large_08"	"I'll kill you all! "
"DCG_VO_sven_multi_damage_large_09"	"Let the battle begin!"
"DCG_VO_sven_multi_damage_large_10"	"I alone will be left standing!"
"DCG_VO_sven_pleased_01"	"This is good."
"DCG_VO_sven_pleased_02"	"How fortuitous..."
"DCG_VO_sven_pleased_03"	"Delightful..."
"DCG_VO_sven_pleased_04"	"I could not have planned it better."
"DCG_VO_sven_pleased_05"	"This is as it should be."
"DCG_VO_sven_pleased_06"	"Hahahahaha"
"DCG_VO_sven_pleased_07"	"How wonderful."
"DCG_VO_sven_pleased_08"	"Well isn't this convenient..."
"DCG_VO_sven_pleased_09"	"We're doing well..."
"DCG_VO_sven_pleased_10"	"Things seem to be going our way..."
"DCG_VO_sven_concerned_01"	"Oh dear..."
"DCG_VO_sven_concerned_02"	"This is a problem..."
"DCG_VO_sven_concerned_03"	"We need to reevaluate our options."
"DCG_VO_sven_concerned_04"	"I will meet my death with honor."
"DCG_VO_sven_concerned_05"	"I will not back down, no matter the odds."
"DCG_VO_sven_concerned_06"	"I will not surrender."
"DCG_VO_sven_concerned_07"	"One will stand against many..."
"DCG_VO_sven_concerned_08"	"If death must come, I will have courage."
"DCG_VO_sven_concerned_09"	"Have faith, we can still win."
"DCG_VO_sven_concerned_10"	"This is but a temporary setback...."
"DCG_VO_sven_angry_01"	"How dare you!"
"DCG_VO_sven_angry_02"	"You dare!"
"DCG_VO_sven_angry_03"	"You will pay for your insolence..."
"DCG_VO_sven_angry_04"	"I wont let you win!"
"DCG_VO_sven_angry_05"	"This will not be forgotten!"
"DCG_VO_sven_angry_06"	"You think you're better than me?"
"DCG_VO_sven_angry_07"	"You face a knight of the Vigil!"
"DCG_VO_sven_angry_08"	"You will regret coming here..."
"DCG_VO_sven_angry_09"	"That was your last mistake."
"DCG_VO_sven_angry_10"	"You won't live long enough to regret your choices..."
"DCG_VO_sven_arrogant_01"	"No one is a better student of warfare."
"DCG_VO_sven_arrogant_02"	"I could take on the Red Mist single handedly..."
"DCG_VO_sven_arrogant_03"	"I could vanquish the Vhoul with a swing of my sword..."
"DCG_VO_sven_arrogant_04"	"If I joined the Bronze Legion, I would be Legion Commander within a year..."
"DCG_VO_sven_arrogant_05"	"I have mastered everything the Knights have asked of me..."
"DCG_VO_sven_arrogant_06"	"The Vigil Knights are without equal..."
"DCG_VO_sven_arrogant_07"	"One enemy? I usually face 3."
"DCG_VO_sven_arrogant_08"	"What idiot wishes to lose their life to Sven."
"DCG_VO_sven_arrogant_09"	"There is no one immune to my blade."
"DCG_VO_sven_arrogant_10"	"My might is unparalleled."
"DCG_VO_sven_enigmatic_01"	"I will live to get revenge..."
"DCG_VO_sven_enigmatic_02"	"I know how to bide my time...."
"DCG_VO_sven_enigmatic_03"	"I'll be patient, and then I will strike."
"DCG_VO_sven_enigmatic_04"	"I know how to not rush into things...."
"DCG_VO_sven_enigmatic_05"	"All will happen in do time."
"DCG_VO_sven_enigmatic_06"	"I have planned each step of my victory...."
"DCG_VO_sven_enigmatic_07"	"I must be careful in how I proceed."
"DCG_VO_sven_enigmatic_08"	"You aren't ready for what I have in store for you..."
"DCG_VO_sven_enigmatic_09"	"There's much potential here..."
"DCG_VO_sven_enigmatic_10"	"I'll handle this..."
"DCG_VO_sven_death_01"	"<i>Screams</i>"
"DCG_VO_prellex_intro"	"Brothers and sisters, The Ancient is coming. With every passing day my visions grow stronger: A violet sky. A sundered moon. And an Ancient voice that whispers 'Prepare for my arrival.' Prepare. Such a simple word that does no justice to the work that lies before us... We must be heralds; walking testimonies to the benevolence of The Ancient. Spreading the word of its glorious arrival, no matter if that message is received with joy or scorn. We must be architects; building not just this monastery for those who believe what I have seen, but an entire world that is worthy of the Ancient's splendor. We must be zealots; willing to lay down our lives in defense of this sacred space, because rest assured we are at war. Kanna and her heretics will stop at nothing to undo the work that we've accomplished, and that is why we must return in kind. "
"DCG_VO_prellex_barracks_intro"	"More of the faithful come by the day... and they will need a home to house them."
"DCG_VO_prellex_watchtower_intro"	"Kanna's forces are always a threat... we must remain vigilant."
"DCG_VO_prellex_tower_barrage_intro"	"Our defenses are strong, but not impenetrable... Fortunately our towers tend to ward off all but the most determined."
"DCG_VO_prellex_dimensional_portal_intro"	"It doesn't matter where the battle rages... the Radiant will always stand up to the horrors the Dire bring."
"DCG_VO_prellex_equip_generic_weapon_01"	"I'm not a fighter, but I'll do what I can."
"DCG_VO_prellex_equip_generic_weapon_02"	"Sometimes the shepherd must fend off the wolves"
"DCG_VO_prellex_equip_generic_weapon_03"	"I'm prepared for battle."
"DCG_VO_prellex_equip_generic_weapon_04"	"I'll do what I can."
"DCG_VO_prellex_equip_generic_weapon_05"	"I stand with my people."
"DCG_VO_prellex_equip_generic_armor_01"	"Death will not come so easy."
"DCG_VO_prellex_equip_generic_armor_02"	"Thank you for the protection."
"DCG_VO_prellex_equip_generic_armor_03"	"I feel safer already."
"DCG_VO_prellex_equip_generic_armor_04"	"The longer I stand, the longer I can bring the faithful."
"DCG_VO_prellex_equip_generic_armor_05"	"I'll stay as long as I can."
"DCG_VO_prellex_equip_generic_accessory_01"	"I am unworthy of this gift."
"DCG_VO_prellex_equip_generic_accessory_02"	"Thank you for your kindness."
"DCG_VO_prellex_equip_generic_accessory_03"	"I will stand as an example for others."
"DCG_VO_prellex_equip_generic_accessory_04"	"This will help me stay on the front"
"DCG_VO_prellex_equip_generic_accessory_05"	"I don this with pride."
"DCG_VO_prellex_kill_rival_01"	"Your path is what brought us here."
"DCG_VO_prellex_kill_rival_02"	"It didn't have to be this way."
"DCG_VO_prellex_kill_rival_03"	"Repent and serve our Ancient"
"DCG_VO_prellex_kill_rival_04"	"Death comes to those who would despoil this place!"
"DCG_VO_prellex_kill_rival_05"	"I won't let you harm the Ancient"
"DCG_VO_prellex_kill_rival_06"	"My people will defend the Ancient till our dying breath."
"DCG_VO_prellex_kill_rival_07"	"I take no pleasure in killing you."
"DCG_VO_prellex_kill_rival_08"	"I wish there was another way."
"DCG_VO_prellex_kill_rival_09"	"You are on the wrong side of history."
"DCG_VO_prellex_kill_rival_10"	"I will do anything to protect the Ancient."
"DCG_VO_prellex_use_include_01"	"The faithful will come in droves... and they will need a place to stay."
"DCG_VO_prellex_use_include_02"	"Come forth my brothers and sisters!"
"DCG_VO_prellex_use_include_03"	"We will not stop until our victory is secured!"
"DCG_VO_prellex_unique_01"	"Look around my brothers... we are legion."
"DCG_VO_prellex_unique_02"	"Stand strong together my brothers and sisters!"
"DCG_VO_prellex_unique_03"	"Forgive me Kanna."
"DCG_VO_prellex_unique_04"	"You had so much potential."
"DCG_VO_prellex_unique_05"	"You threw away your future Kanna, and for what? To spite me?"
"DCG_VO_prellex_unique_06"	"Come forth!"
"DCG_VO_prellex_unique_07"	"The faithful will not be denied!"
"DCG_VO_prellex_unique_08"	"My brothers, I need your aid!"
"DCG_VO_prellex_unique_09"	"I call on those who serve the Ancient!"
"DCG_VO_prellex_unique_10"	"Welcome home Kanna."
"DCG_VO_prellex_unique_11"	"I have waited for this moment for so long."
"DCG_VO_prellex_unique_12"	"What mother denies her child forgiveness?"
"DCG_VO_prellex_unique_13"	"The Quorum has made a powerful friend today."
"DCG_VO_prellex_unique_14"	"We accept the gifts of the Quorum."
"DCG_VO_prellex_unique_15"	"We will crash down on our enemies like a tide of flesh."
"DCG_VO_prellex_unique_16"	"Feel the Ancients wrath!"
"DCG_VO_prellex_unique_17"	"Bow before the might of The Ancient!"
"DCG_VO_prellex_unique_18"	"You would strike down your own mother?"
"DCG_VO_prellex_unique_19"	"Through prayer and meditation we grow stronger."
"DCG_VO_prellex_unique_20"	"This is a sacred place to my people... and we will defend it with our last breath."
"DCG_VO_prellex_healed_01"	"Ahhh"
"DCG_VO_prellex_healed_02"	"Please accept my gratitude."
"DCG_VO_prellex_healed_03"	"I am in your debt."
"DCG_VO_prellex_healed_04"	"Thank you."
"DCG_VO_prellex_healed_05"	"Your mercy will not be forgotten."
"DCG_VO_prellex_taunt_generic_01"	"We won't stop fighting!"
"DCG_VO_prellex_taunt_generic_02"	"We will protect the ancient at all costs!"
"DCG_VO_prellex_taunt_generic_03"	"I serve at the Radiant's will."
"DCG_VO_prellex_taunt_generic_04"	"We will bring glory to the Ancient."
"DCG_VO_prellex_taunt_generic_05"	"We must fight, brothers!"
"DCG_VO_prellex_taunt_generic_06"	"Only through unity will we succeed!"
"DCG_VO_prellex_taunt_generic_07"	"Together we can win this battle!"
"DCG_VO_prellex_taunt_generic_08"	"We don't fear death - only failure."
"DCG_VO_prellex_taunt_generic_09"	"We rise to defend our Ancient!"
"DCG_VO_prellex_taunt_generic_10"	"We will never give up!"
"DCG_VO_prellex_potential_kill_01"	"The Radiant will guide my hand."
"DCG_VO_prellex_potential_kill_02"	"I will do what I must."
"DCG_VO_prellex_potential_kill_03"	"You will fall!"
"DCG_VO_prellex_potential_kill_04"	"I'll stop you, no matter what!"
"DCG_VO_prellex_potential_kill_05"	"The Ancient's will shall not be denied!"
"DCG_VO_prellex_potential_save_01"	"Praise be the Radiant."
"DCG_VO_prellex_potential_save_02"	"Death will not come for me today."
"DCG_VO_prellex_potential_save_03"	"The Radiant will protect me."
"DCG_VO_prellex_potential_save_04"	"Another miracle from the Ancient"
"DCG_VO_prellex_potential_save_05"	"That was close."
"DCG_VO_prellex_permanent_armor_01"	"The Ancient protects me..."
"DCG_VO_prellex_permanent_armor_02"	"I will endure what I can."
"DCG_VO_prellex_permanent_armor_03"	"Praise be the Ancient!"
"DCG_VO_prellex_permanent_armor_04"	"All glory to the Radiant!"
"DCG_VO_prellex_permanent_armor_05"	"My resolve is stronger now."
"DCG_VO_prellex_permanent_attack_01"	"My strength continues to grow."
"DCG_VO_prellex_permanent_attack_02"	"I was not born to be a fighter... but it would appear I must become one."
"DCG_VO_prellex_permanent_attack_03"	"I will take up arms if I have to."
"DCG_VO_prellex_permanent_attack_04"	"My power grows."
"DCG_VO_prellex_permanent_attack_05"	"I must prepare for battle."
"DCG_VO_prellex_permanent_health_01"	"I will stand as long as the Ancient wills it."
"DCG_VO_prellex_permanent_health_02"	"I have been blessed!"
"DCG_VO_prellex_permanent_health_03"	"I will not give in to fear."
"DCG_VO_prellex_permanent_health_04"	"The longer I stay, the more my people will come."
"DCG_VO_prellex_permanent_health_05"	"The gifts of the Ancient are numerous, indeed!"
"DCG_VO_prellex_cast_spell_01"	"Feel the Ancient's power!"
"DCG_VO_prellex_cast_spell_02"	"Through the Ancient all things are possible!"
"DCG_VO_prellex_cast_spell_03"	"Death to the charlatans!"
"DCG_VO_prellex_cast_spell_04"	"Behold my power!"
"DCG_VO_prellex_cast_spell_05"	"Bask in the light of the Radiant! "
"DCG_VO_prellex_cast_spell_06"	"I am but a servant of the Ancient."
"DCG_VO_prellex_cast_spell_07"	"We will make the wicked kneel."
"DCG_VO_prellex_cast_spell_08"	"Hear my words, and feel the power of the Radiant"
"DCG_VO_prellex_cast_spell_09"	"There are many false prophets... I am not one of them."
"DCG_VO_prellex_cast_spell_10"	"I'm a woman of many talents..."
"DCG_VO_prellex_death_01"	"<i>Screams</i>"
"DCG_VO_sniper_intro"	"For too long the Keenfolk have been fractured. Little colonies spread across the world each coveting their own research... But as we kept to our workshops the world around us changed. Stonehall rose to power. The nation of Revtel was born. The Quorum of Weeping Rose grew bolder... and what did we do? We toiled and tinkered. We built wondrous machines and used them for petty tasks. This cannot continue.  The Keenfolk clans need to unite, and show the world what we're capable of."
"DCG_VO_sniper_assassinate"	"Don't get me wrong I'm impressed with what these young Keen are able to dream up, but lasers and robots take away the artistry of killing a man. In my day you had to have skill and patience to assassinate someone at range. Now they just set off an explosion."
"DCG_VO_sniper_hip_fire"	"I may be old, but my reflexes are as sharp as ever. Unless I skipped my nap, in which case my reflexes are significantly less sharp."
"DCG_VO_sniper_keenfolk_turret"	"They're not particularly mobile, but they do the job when it comes to defending your workshop."
"DCG_VO_sniper_remote_detonation"	"The purist in me hates how much Techies rely on explosives... But you can't deny they're effective."
"DCG_VO_sniper_use_ability_01"	"Peekaboo."
"DCG_VO_sniper_use_ability_02"	"Bye-bye."
"DCG_VO_sniper_use_ability_03"	"You won't feel a thing."
"DCG_VO_sniper_use_ability_04"	"They're in my sights."
"DCG_VO_sniper_use_ability_05"	"Leave this to me..."
"DCG_VO_sniper_equip_generic_weapon_01"	"Good."
"DCG_VO_sniper_equip_generic_weapon_02"	"They're not ready for me."
"DCG_VO_sniper_equip_generic_weapon_03"	"I'll take on anyone!"
"DCG_VO_sniper_equip_generic_weapon_04"	"No one messes with the Keen."
"DCG_VO_sniper_equip_generic_weapon_05"	"Just what I was looking for."
"DCG_VO_sniper_equip_generic_armor_01"	"Good... I don't like getting killed."
"DCG_VO_sniper_equip_generic_armor_02"	"Safety first."
"DCG_VO_sniper_equip_generic_armor_03"	"I need to be ready for anything."
"DCG_VO_sniper_equip_generic_armor_04"	"I'm no good to us dead."
"DCG_VO_sniper_equip_generic_armor_05"	"The less I get hurt the better."
"DCG_VO_sniper_equip_generic_accessory_01"	"This will come in handy."
"DCG_VO_sniper_equip_generic_accessory_02"	"Oh I like this..."
"DCG_VO_sniper_equip_generic_accessory_03"	"Perfect for the Keen."
"DCG_VO_sniper_equip_generic_accessory_04"	"What will they think of next..."
"DCG_VO_sniper_equip_generic_accessory_05"	"Exactly what I wanted..."
"DCG_VO_sniper_kill_rival_01"	"You're in my sights."
"DCG_VO_sniper_kill_rival_02"	"Nothing can save you..."
"DCG_VO_sniper_kill_rival_03"	"No target escapes me."
"DCG_VO_sniper_kill_rival_04"	"I never miss."
"DCG_VO_sniper_kill_rival_05"	"You never had a chance against me..."
"DCG_VO_sniper_kill_rival_06"	"I seeeeee youuuu...."
"DCG_VO_sniper_kill_rival_07"	"You're dead."
"DCG_VO_sniper_kill_rival_08"	"Ha!"
"DCG_VO_sniper_kill_rival_09"	"I'm the greatest marksman of all time..."
"DCG_VO_sniper_kill_rival_10"	"At least it was quick."
"DCG_VO_sniper_use_include_01"	"No one is beyond my reach."
"DCG_VO_sniper_use_include_02"	"There's no one I can't kill."
"DCG_VO_sniper_use_include_03"	"They never saw it coming."
"DCG_VO_sniper_unique_01"	"Alright Timbersaw, let's get to work."
"DCG_VO_sniper_unique_02"	"Build me a laser Tinker."
"DCG_VO_sniper_unique_03"	"Build me a robot Mazzie."
"DCG_VO_sniper_unique_04"	"No one can stand against the ingenuity of the Keen!"
"DCG_VO_sniper_unique_05"	"You're ruining the Keen's reputation, Rizzrack!"
"DCG_VO_sniper_unique_06"	"I want, that laser."
"DCG_VO_sniper_unique_07"	"Ahhh I see how it is, you're all jealous of my genius!"
"DCG_VO_sniper_unique_08"	"Hello old friend..."
"DCG_VO_sniper_unique_09"	"You're not half the marksman I am."
"DCG_VO_sniper_unique_10"	"Your antiquated weapon won't save you Traxex..."
"DCG_VO_sniper_unique_11"	"Timbersaw was right to cut your people down..."
"DCG_VO_sniper_unique_12"	"Come Timbersaw... let's show them what progress feels like..."
"DCG_VO_sniper_unique_13"	"We're sorry Mazzie, you should have fell in line."
"DCG_VO_sniper_unique_14"	"You could have joined us, Mazzie..."
"DCG_VO_sniper_unique_15"	"This almost feels like cheating. Not enough not to use it, but close."
"DCG_VO_sniper_unique_16"	"Oh I'm going to have fun with this..."
"DCG_VO_sniper_unique_17"	"Perfect...more guns..."
"DCG_VO_sniper_unique_18"	"Giddy laughter"
"DCG_VO_sniper_unique_19"	"Think you could get the drop on me?"
"DCG_VO_sniper_unique_20"	"I always strike first..."
"DCG_VO_sniper_healed_01"	"Ahhh"
"DCG_VO_sniper_healed_02"	"Thanks."
"DCG_VO_sniper_healed_03"	"Just what I need."
"DCG_VO_sniper_healed_04"	"Back in the fight."
"DCG_VO_sniper_healed_05"	"I was getting worried..."
"DCG_VO_sniper_taunt_generic_01"	"They won't last long."
"DCG_VO_sniper_taunt_generic_02"	"Victory is assured."
"DCG_VO_sniper_taunt_generic_03"	"How can they stop us now?"
"DCG_VO_sniper_taunt_generic_04"	"If we stay focused we'll win this."
"DCG_VO_sniper_taunt_generic_05"	"Give me something else to shoot..."
"DCG_VO_sniper_taunt_generic_06"	"No one is a match for the Keen."
"DCG_VO_sniper_taunt_generic_07"	"This is our fight to lose."
"DCG_VO_sniper_taunt_generic_08"	"Oh look, they brought swords to a gun fight."
"DCG_VO_sniper_taunt_generic_09"	"I'll prove I'm the best."
"DCG_VO_sniper_taunt_generic_10"	"Destroy the Ancient!"
"DCG_VO_sniper_potential_kill_01"	"You're mine."
"DCG_VO_sniper_potential_kill_02"	"Start begging whenever you want..."
"DCG_VO_sniper_potential_kill_03"	"It's almost over."
