"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont e eu discordamos em muitas coisas, mas ele teve a sabedoria de reconhecer os perigos de enfurecer o Vazio Sem Rosto. O Tratado de Claszureme não me anima muito, a cronomancia era bem divertida. Mas sabe o que também é legal? Não destruírem a sua linha temporal."
"DCG_VO_dark_seer_taunt_generic_01"	"Esta batalha já está ganha!"
"DCG_VO_dark_seer_taunt_generic_02"	"A minha astúcia é inigualável."
"DCG_VO_dark_seer_taunt_generic_03"	"A vitória é iminente."
"DCG_VO_dark_seer_taunt_generic_04"	"Eu nos levarei à vitória."
"DCG_VO_dark_seer_taunt_generic_05"	"Basta seguirem os meus planos que ninguém poderá nos deter."
"DCG_VO_dark_seer_taunt_generic_06"	"Eu sou o melhor estrategista em gerações."
"DCG_VO_dark_seer_taunt_generic_07"	"O nosso exército é inigualável."
"DCG_VO_dark_seer_taunt_generic_08"	"Venceremos esta batalha."
"DCG_VO_dark_seer_taunt_generic_09"	"Eu me preparei para qualquer situação."
"DCG_VO_dark_seer_taunt_generic_10"	"A vitória é nossa."
"DCG_VO_dark_seer_potential_kill_01"	"Você não pode me enganar."
"DCG_VO_dark_seer_potential_kill_02"	"Não há como fugir de mim."
"DCG_VO_dark_seer_potential_kill_03"	"A sua morte já estava planejada há um tempo."
"DCG_VO_dark_seer_potential_kill_04"	"Você caiu na minha armadilha."
"DCG_VO_dark_seer_potential_kill_05"	"Ninguém pode me enganar!"
"DCG_VO_dark_seer_potential_save_01"	"Eu tenho um plano B para qualquer situação."
"DCG_VO_dark_seer_potential_save_02"	"Eu sempre planejo com antecedência."
"DCG_VO_dark_seer_potential_save_03"	"Você acha que eu não estava preparado para uma dessas?"
"DCG_VO_dark_seer_potential_save_04"	"A sua mente inferior jamais conceberia um plano capaz de me derrotar."
"DCG_VO_dark_seer_potential_save_05"	"Os seus esforços são medíocres."
"DCG_VO_dark_seer_permanent_armor_01"	"Quero ver tentarem me ferir agora."
"DCG_VO_dark_seer_permanent_armor_02"	"Sobreviver é a minha prioridade."
"DCG_VO_dark_seer_permanent_armor_03"	"Estou pronto para qualquer coisa."
"DCG_VO_dark_seer_permanent_armor_04"	"Eles virão atrás de mim, mas eu estarei pronto."
"DCG_VO_dark_seer_permanent_armor_05"	"É tudo parte do plano."
"DCG_VO_dark_seer_permanent_attack_01"	"Estou mais forte."
"DCG_VO_dark_seer_permanent_attack_02"	"O meu esplendor cresce."
"DCG_VO_dark_seer_permanent_attack_03"	"Eu fiquei ainda mais letal."
"DCG_VO_dark_seer_permanent_attack_04"	"Os nossos inimigos logo estarão mortos."
"DCG_VO_dark_seer_permanent_attack_05"	"Eles me subestimam, como sempre."
"DCG_VO_dark_seer_permanent_health_01"	"Estou mais resistente."
"DCG_VO_dark_seer_permanent_health_02"	"Eu fico cada vez mais resistente."
"DCG_VO_dark_seer_permanent_health_03"	"A morte não me encontrará."
"DCG_VO_dark_seer_permanent_health_04"	"Lutarei enquanto puder."
"DCG_VO_dark_seer_permanent_health_05"	"Sinto um surto de vitalidade."
"DCG_VO_dark_seer_cast_spell_01"	"Eu pensei em tudo."
"DCG_VO_dark_seer_cast_spell_02"	"Duvido que tenham previsto essa."
"DCG_VO_dark_seer_cast_spell_03"	"Eles não estão prontos para essa..."
"DCG_VO_dark_seer_cast_spell_04"	"Vejamos se eles conseguem reagir!"
"DCG_VO_dark_seer_cast_spell_05"	"Sinta o meu poder!"
"DCG_VO_dark_seer_cast_spell_06"	"Observe!"
"DCG_VO_dark_seer_cast_spell_07"	"Ninguém é páreo para mim!"
"DCG_VO_dark_seer_cast_spell_08"	"Eu controlo este campo de batalha."
"DCG_VO_dark_seer_cast_spell_09"	"Trema!"
"DCG_VO_dark_seer_cast_spell_10"	"Não há nada que eu não tenha planejado!"
"DCG_VO_dark_seer_death_01"	"<i>Grito</i>"
"DCG_VO_magnus_intro"	"Eu entendo bem o desejo por conquista dos homens. Não somos vistos como indivíduos, mas como mercadorias... E eu me recuso a ficar de braços cruzados enquanto os vhoul são subjugados. É muito tarde para o meu povo... Mas talvez não seja tão tarde para eles."
"DCG_VO_magnus_bellow_intro"	"É a lei da natureza: tem sempre alguma coisa mais forte e mais letal que você. Algumas pessoas precisam se lembrar dessa verdade."
"DCG_VO_magnus_empower_intro"	"A força do meu povo vive dentro de mim... E eu vou usá-la para encontrar quem caça os meus irmãos."
"DCG_VO_magnus_protect_the_weak_intro"	"Ilexa não tem ideia da importância dela nos dias que estão por vir. Precisamos protegê-la a todo custo."
"DCG_VO_magnus_equip_generic_weapon_01"	"Pronto para lutar."
"DCG_VO_magnus_equip_generic_weapon_02"	"Isto me servirá bem."
"DCG_VO_magnus_equip_generic_weapon_03"	"Isso vai ser útil."
"DCG_VO_magnus_equip_generic_weapon_04"	"Vai me servir."
"DCG_VO_magnus_equip_generic_weapon_05"	"Vou derrotar os meus inimigos."
"DCG_VO_magnus_equip_generic_armor_01"	"Quero ver os caçadores tentarem me matar agora."
"DCG_VO_magnus_equip_generic_armor_02"	"Não sirvo de nada para o meu povo se estiver morto."
"DCG_VO_magnus_equip_generic_armor_03"	"Preciso me proteger."
"DCG_VO_magnus_equip_generic_armor_04"	"Farei o que for preciso para sobreviver."
"DCG_VO_magnus_equip_generic_armor_05"	"Fico surpreso que coube em mim..."
"DCG_VO_magnus_equip_generic_accessory_01"	"Farei bom proveito."
"DCG_VO_magnus_equip_generic_accessory_02"	"Uma ajudinha nunca faz mal."
"DCG_VO_magnus_equip_generic_accessory_03"	"Eu estava precisando."
"DCG_VO_magnus_equip_generic_accessory_04"	"Vai me ajudar a sobreviver."
"DCG_VO_magnus_equip_generic_accessory_05"	"Quero ver os meus inimigos tentarem me matar agora."
"DCG_VO_magnus_kill_rival_01"	"Você já perdeu!"
"DCG_VO_magnus_kill_rival_02"	"Hoje é o meu dia."
"DCG_VO_magnus_kill_rival_03"	"Ninguém pode se opor ao Magnus!"
"DCG_VO_magnus_kill_rival_04"	"Nenhum guerreiro é páreo para mim."
"DCG_VO_magnus_kill_rival_05"	"Esmagarei qualquer um que se puser no meu caminho!"
"DCG_VO_magnus_kill_rival_06"	"Você não verá a vitória... apenas a morte."
"DCG_VO_magnus_kill_rival_07"	"Você pensa que pode deter o grande Magnus?"
"DCG_VO_magnus_kill_rival_08"	"É melhor correr."
"DCG_VO_magnus_kill_rival_09"	"Os seus dias estão contados."
"DCG_VO_magnus_kill_rival_10"	"Você é um homem morto."
"DCG_VO_magnus_use_include_01"	"Força primitiva!"
"DCG_VO_magnus_use_include_02"	"Este é o poder do meu povo."
"DCG_VO_magnus_use_include_03"	"<i>Rugido</i>"
"DCG_VO_magnus_unique_01"	"Abra caminho pelos nossos inimigos, Urso!"
"DCG_VO_magnus_unique_02"	"Despedace a armadura deles!"
"DCG_VO_magnus_unique_03"	"Faça do exército deles pedacinhos!"
"DCG_VO_magnus_unique_04"	"Abra um caminho, Sven!"
"DCG_VO_magnus_unique_05"	"Fique mais forte, Sven!"
"DCG_VO_magnus_unique_06"	"Protegeremos os habitantes de Petalosa."
"DCG_VO_magnus_unique_07"	"Os vhoul precisam da nossa ajuda, Arvoroso."
"DCG_VO_magnus_unique_08"	"É bom lutar ao seu lado, meu amigo."
"DCG_VO_magnus_unique_09"	"A sua causa é justa, Rix."
"DCG_VO_magnus_unique_10"	"É uma honra lutar ao seu lado, Rix."
"DCG_VO_magnus_unique_11"	"Você tomou a decisão correta, Rix."
"DCG_VO_magnus_unique_12"	"A Legião de Bronze tem muito pelo que responder."
"DCG_VO_magnus_unique_13"	"Vá embora daqui, Tresdin!"
"DCG_VO_magnus_unique_14"	"Você não vê no que a Legião de Bronze está se transformando, Tresdin!"
"DCG_VO_magnus_unique_15"	"Eu dou o meu apoio à rebelião."
"DCG_VO_magnus_unique_16"	"A causa do seu povo passou a ser minha também."
"DCG_VO_magnus_unique_17"	"Vou proteger você dos seus inimigos."
"DCG_VO_magnus_unique_18"	"Os oglodi não têm lugar aqui!"
"DCG_VO_magnus_unique_19"	"Não tenho medo de bárbaros como você."
"DCG_VO_magnus_unique_20"	"Vejamos como a Legião se sai contra um guerreiro, em vez de um fazendeiro."
"DCG_VO_magnus_healed_01"	"Ahhh."
"DCG_VO_magnus_healed_02"	"Valeu."
"DCG_VO_magnus_healed_03"	"Agradeço."
"DCG_VO_magnus_healed_04"	"Estou pronto para lutar."
"DCG_VO_magnus_healed_05"	"Acabou a pausa para o descanso."
"DCG_VO_magnus_taunt_generic_01"	"Vamos esmagar os inimigos!"
"DCG_VO_magnus_taunt_generic_02"	"Vamos acabar com vocês!"
"DCG_VO_magnus_taunt_generic_03"	"Lutamos lado a lado!"
"DCG_VO_magnus_taunt_generic_04"	"O trovão que você ouve são os meus cascos!"
"DCG_VO_magnus_taunt_generic_05"	"Atacar!"
"DCG_VO_magnus_taunt_generic_06"	"Acabem com eles!"
"DCG_VO_magnus_taunt_generic_07"	"Eles vão é fugir!"
"DCG_VO_magnus_taunt_generic_08"	"Este é o momento da nossa glória!"
"DCG_VO_magnus_taunt_generic_09"	"Vamos atacar agora!"
"DCG_VO_magnus_taunt_generic_10"	"Eu os levarei à vitória!"
"DCG_VO_magnus_potential_kill_01"	"Nada impedirá a minha vitória."
"DCG_VO_magnus_potential_kill_02"	"Você não pode se esconder de mim."
"DCG_VO_magnus_potential_kill_03"	"Você só prolonga o inevitável."
"DCG_VO_magnus_potential_kill_04"	"Você não é páreo para mim."
"DCG_VO_magnus_potential_kill_05"	"Você acha que se compara a mim?"
"DCG_VO_magnus_potential_save_01"	"Não serei uma presa fácil."
"DCG_VO_magnus_potential_save_02"	"Você não pode me matar."
"DCG_VO_magnus_potential_save_03"	"Você achou que conseguiria me matar?"
"DCG_VO_magnus_potential_save_04"	"Eu vou sobreviver."
"DCG_VO_magnus_potential_save_05"	"Rá!"
"DCG_VO_magnus_permanent_armor_01"	"Estou mais forte agora."
"DCG_VO_magnus_permanent_armor_02"	"A minha pele é tão forte quanto a minha determinação."
"DCG_VO_magnus_permanent_armor_03"	"O chifre me protege."
"DCG_VO_magnus_permanent_armor_04"	"A minha determinação é irrefreável."
"DCG_VO_magnus_permanent_armor_05"	"Estou sentindo o poder do meu povo."
"DCG_VO_magnus_permanent_attack_01"	"Agora eu fiquei mais forte."
"DCG_VO_magnus_permanent_attack_02"	"Quem ousaria se opor a mim?"
"DCG_VO_magnus_permanent_attack_03"	"Tragam um inimigo digno."
"DCG_VO_magnus_permanent_attack_04"	"Vou esmagar os meus adversários com os cascos."
"DCG_VO_magnus_permanent_attack_05"	"Vou transformar os meus inimigos em pó."
"DCG_VO_magnus_permanent_health_01"	"A jornada é longa... Preciso estar preparado."
"DCG_VO_magnus_permanent_health_02"	"Vou viver para vingar o meu povo."
"DCG_VO_magnus_permanent_health_03"	"Nenhum caçador tomará o meu chifre."
"DCG_VO_magnus_permanent_health_04"	"Não serei uma presa fácil."
"DCG_VO_magnus_permanent_health_05"	"Preciso sobreviver."
"DCG_VO_magnus_cast_spell_01"	"Sinta o poder do meu povo!"
"DCG_VO_magnus_cast_spell_02"	"A magia do meu povo é forte!"
"DCG_VO_magnus_cast_spell_03"	"Vou proteger todos nós."
"DCG_VO_magnus_cast_spell_04"	"Nenhum mal nos atingirá."
"DCG_VO_magnus_cast_spell_05"	"<i>Risada</i>"
"DCG_VO_magnus_cast_spell_06"	"Tente me acompanhar."
"DCG_VO_magnus_cast_spell_07"	"Ninguém é páreo para mim."
"DCG_VO_magnus_cast_spell_08"	"Podemos virar o jogo."
"DCG_VO_magnus_cast_spell_09"	"Não perca a esperança."
"DCG_VO_magnus_cast_spell_10"	"Ainda não acabou."
"DCG_VO_magnus_death_01"	"<i>Grito</i>"
"DCG_VO_zeus_intro"	"Pouco me importa os assuntos dos mortais. Não me interesso pela guerra entre a Névoa Vermelha e a Legião de Bronze. O dilema dos vhoul não tira o meu sossego. Eu me importo, na verdade, é com aquele charlatão do Espírito da Tempestade, dizendo que o meu raio pertence a ele... Então estou indo a Petalosa para provar que não há nenhum deus do relâmpago acima de mim."
"DCG_VO_zeus_thundergods_wrath_intro"	"O peso da minha fúria é bonito e terrível de admirar."
"DCG_VO_zeus_lightning_strike_intro"	"Agradeça por ter apenas me irritado, mortal. Se tivesse me ofendido, os resultados seriam muito mais... interessantes."
"DCG_VO_zeus_bolt_of_damocles_intro"	"Há quem tome o meu interesse pela sina dos mortais como um sinal de fraqueza. De vez em quando, eu gosto de lembrar ao mundo que não é bem assim. Minha esposa diria que encher uma cidade de crateras é exagero. Ela deve ter razão. Mas eu sempre tive uma quedinha por extravagâncias."
"DCG_VO_zeus_equip_generic_weapon_01"	"Digno de um deus."
"DCG_VO_zeus_equip_generic_weapon_02"	"Perfeito."
"DCG_VO_zeus_equip_generic_weapon_03"	"Isto vai me dar uma mãozinha."
"DCG_VO_zeus_equip_generic_weapon_04"	"Justo o que eu procurava."
"DCG_VO_zeus_equip_generic_weapon_05"	"Vai me servir muito bem..."
"DCG_VO_zeus_equip_generic_armor_01"	"A carne mortal precisa de proteção."
"DCG_VO_zeus_equip_generic_armor_02"	"Ninguém causará mal a Zeus."
"DCG_VO_zeus_equip_generic_armor_03"	"Quero ver tentarem me ferir agora."
"DCG_VO_zeus_equip_generic_armor_04"	"Pronto para a batalha."
"DCG_VO_zeus_equip_generic_armor_05"	"Incrível."
"DCG_VO_zeus_equip_generic_accessory_01"	"Um ornamento adequado."
"DCG_VO_zeus_equip_generic_accessory_02"	"Os mortais criam objetos bastante intrigantes."
"DCG_VO_zeus_equip_generic_accessory_03"	"Farei bom proveito."
"DCG_VO_zeus_equip_generic_accessory_04"	"Um tributo aos deuses."
"DCG_VO_zeus_equip_generic_accessory_05"	"Eu aceito a oferenda."
"DCG_VO_zeus_kill_rival_01"	"Curve-se ao meu poder."
"DCG_VO_zeus_kill_rival_02"	"Ajoelhe-se perante Zeus."
"DCG_VO_zeus_kill_rival_03"	"Você é desprezível."
"DCG_VO_zeus_kill_rival_04"	"Hahaha."
"DCG_VO_zeus_kill_rival_05"	"Quem não gosta de um bom duelo?"
"DCG_VO_zeus_kill_rival_06"	"Fácil demais."
"DCG_VO_zeus_kill_rival_07"	"Nem cheguei a suar."
"DCG_VO_zeus_kill_rival_08"	"Você pensou que poderia ficar contra mim?"
"DCG_VO_zeus_kill_rival_09"	"Como ousa levantar a mão contra Zeus?"
"DCG_VO_zeus_kill_rival_10"	"Os mortais são tão frágeis..."
"DCG_VO_zeus_use_include_01"	"Sintam a minha ira!"
"DCG_VO_zeus_use_include_02"	"Contemple o poder de Zeus!"
"DCG_VO_zeus_use_include_03"	"Você não pode escapar dos céus!"
"DCG_VO_zeus_unique_01"	"Você não sabe com quem está se metendo, sabe?"
"DCG_VO_zeus_unique_02"	"Não me provoque, mortal."
"DCG_VO_zeus_unique_03"	"Os relâmpagos estão sob o meu controle!"
"DCG_VO_zeus_unique_04"	"Você enfureceu os deuses!"
"DCG_VO_zeus_unique_05"	"Trema!"
"DCG_VO_zeus_unique_06"	"Restarão apenas destroços!"
"DCG_VO_zeus_unique_07"	"Estamos prestes a realizar grandes façanhas juntos, Donzela."
"DCG_VO_zeus_unique_08"	"Veja e aprenda, Donzela..."
"DCG_VO_zeus_unique_09"	"Adoro trabalhar com você, Rylai..."
"DCG_VO_zeus_unique_10"	"Você pensa que pode matar um deus?!"
"DCG_VO_zeus_unique_11"	"Não temo assassina nenhuma."
"DCG_VO_zeus_unique_12"	"Gosto de beber com você, Espinhoso... Pena que tenha chegado a esse ponto."
"DCG_VO_zeus_unique_13"	"Então você ora à deusa da lua, mas não a mim? Interessante."
"DCG_VO_zeus_unique_14"	"Mal posso esperar para conhecer essa tal de \"Selemene\"."
"DCG_VO_zeus_unique_15"	"O que um selvagem pode fazer contra um deus?"
"DCG_VO_zeus_unique_16"	"A sua armadura não o salvará, Machado."
"DCG_VO_zeus_unique_17"	"Você trouxe uma horda e tanto, Sorla... Mas não será suficiente."
"DCG_VO_zeus_unique_18"	"A sua armadura não a salvará, Tresdin."
"DCG_VO_zeus_unique_19"	"A Legião de Bronze cairá!"
"DCG_VO_zeus_unique_20"	"Olhem só vocês... Lado a lado contra um deus. Que meigo."
"DCG_VO_zeus_healed_01"	"Ahhh."
"DCG_VO_zeus_healed_02"	"Agradeço."
"DCG_VO_zeus_healed_03"	"Obrigado."
"DCG_VO_zeus_healed_04"	"Sábia decisão."
"DCG_VO_zeus_healed_05"	"Estou me sentindo melhor."
"DCG_VO_zeus_taunt_generic_01"	"O fim está próximo!"
"DCG_VO_zeus_taunt_generic_02"	"É a nossa hora!"
"DCG_VO_zeus_taunt_generic_03"	"Que o castigo chegue aos inimigos!"
"DCG_VO_zeus_taunt_generic_04"	"Traga a glória aos deuses!"
"DCG_VO_zeus_taunt_generic_05"	"Nós vamos derrubá-los!"
"DCG_VO_zeus_taunt_generic_06"	"Destruam o Ancestral!"
"DCG_VO_zeus_taunt_generic_07"	"Você ofendeu os deuses, e agora pagará o preço."
"DCG_VO_zeus_taunt_generic_08"	"Vai acabar logo."
"DCG_VO_zeus_taunt_generic_09"	"O último erro que você cometeu foi desafiar Zeus."
"DCG_VO_zeus_taunt_generic_10"	"A nossa vitória está praticamente garantida."
"DCG_VO_zeus_potential_kill_01"	"Você não vai fugir de mim!"
"DCG_VO_zeus_potential_kill_02"	"Você não pode se esconder de Zeus."
"DCG_VO_zeus_potential_kill_03"	"A minha vontade não será negada."
"DCG_VO_zeus_potential_kill_04"	"Morra, mortal."
"DCG_VO_zeus_potential_kill_05"	"Você queria a minha atenção? Agora você conseguiu..."
"DCG_VO_zeus_potential_save_01"	"Você acha que pode vencer?"
"DCG_VO_zeus_potential_save_02"	"Não será tão fácil..."
"DCG_VO_zeus_potential_save_03"	"Você vai ter que se esforçar mais."
"DCG_VO_zeus_potential_save_04"	"Você pensou que me mataria?"
"DCG_VO_zeus_potential_save_05"	"Não, não, não, não..."
"DCG_VO_zeus_permanent_armor_01"	"Ótimo."
"DCG_VO_zeus_permanent_armor_02"	"A fraqueza mortal me cansa."
"DCG_VO_zeus_permanent_armor_03"	"Chega de brincadeira."
"DCG_VO_zeus_permanent_armor_04"	"Tente me matar agora, mortal."
"DCG_VO_zeus_permanent_armor_05"	"A minha carne é de ferro, a minha voz é trovejante."
"DCG_VO_zeus_permanent_attack_01"	"A minha força aumenta..."
"DCG_VO_zeus_permanent_attack_02"	"Eu lhe mostrarei o poder de Zeus."
"DCG_VO_zeus_permanent_attack_03"	"Fiquei mais forte..."
"DCG_VO_zeus_permanent_attack_04"	"Sinto o relâmpago nascer aqui dentro."
"DCG_VO_zeus_permanent_attack_05"	"Eles vão provar do meu poder."
"DCG_VO_zeus_permanent_health_01"	"Não abandonarei este campo de batalha."
"DCG_VO_zeus_permanent_health_02"	"Preciso fortalecer a minha determinação."
"DCG_VO_zeus_permanent_health_03"	"Não vou parar de lutar até a batalha estar vencida."
"DCG_VO_zeus_permanent_health_04"	"A tempestade está se formando."
"DCG_VO_zeus_permanent_health_05"	"Estou pronto para a luta."
"DCG_VO_zeus_cast_spell_01"	"Vejam o meu poder, mortais!"
"DCG_VO_zeus_cast_spell_02"	"ISSO!"
"DCG_VO_zeus_cast_spell_03"	"O meu poder é absoluto!"
"DCG_VO_zeus_cast_spell_04"	"O poder dos deuses é inegável."
"DCG_VO_zeus_cast_spell_05"	"Ninguém é páreo para mim!"
"DCG_VO_zeus_cast_spell_06"	"Eu governo os céus!"
"DCG_VO_zeus_cast_spell_07"	"Não há nada que eu não possa fazer..."
"DCG_VO_zeus_cast_spell_08"	"Podem ficar impressionados, mortais..."
"DCG_VO_zeus_cast_spell_09"	"Veja como um deus age..."
"DCG_VO_zeus_cast_spell_10"	"Acabou a brincadeira."
"DCG_VO_zeus_death_01"	"<i>screams</i>"
"DCG_VO_zeus_buff_ally_01"	"Eu sou um deus benevolente."
"DCG_VO_zeus_buff_ally_02"	"Dividirei as minhas recompensas..."
"DCG_VO_zeus_buff_ally_03"	"Viu? Zeus é um deus do amor."
"DCG_VO_zeus_buff_ally_04"	"Você pode me adorar se quiser."
"DCG_VO_zeus_buff_ally_05"	"Pode mostrar a sua gratidão depois."
"DCG_VO_zeus_buff_ally_06"	"Pode começar a me adorar quando quiser."
"DCG_VO_zeus_buff_ally_07"	"Lembre-se do dia em que recebeu a bênção de Zeus..."
"DCG_VO_zeus_buff_ally_08"	"Eu sempre cuido dos meus amigos..."
"DCG_VO_zeus_buff_ally_09"	"Há benefícios em me adorar..."
"DCG_VO_zeus_buff_ally_10"	"Aceite e aproveite."
"DCG_VO_zeus_debuff_enemy_01"	"Encolha-se diante do meu poder."
"DCG_VO_zeus_debuff_enemy_02"	"Você não é nada comparado a um deus."
"DCG_VO_zeus_debuff_enemy_03"	"Que chance você tem contra mim?"
"DCG_VO_zeus_debuff_enemy_04"	"Eu posso te destruir quando bem entender."
"DCG_VO_zeus_debuff_enemy_05"	"Você ousa se opor a mim?"
"DCG_VO_zeus_debuff_enemy_06"	"Fazer frente a mim é um despropósito."
"DCG_VO_zeus_debuff_enemy_07"	"Você vai pagar por tamanha arrogância."
"DCG_VO_zeus_debuff_enemy_08"	"Você há de pagar caro."
"DCG_VO_zeus_debuff_enemy_09"	"Estou vendo que vou me divertir com você..."
"DCG_VO_zeus_debuff_enemy_10"	"Ver você se contorcer é um deleite."
"DCG_VO_zeus_single_target_damage_01"	"Suma!"
"DCG_VO_zeus_single_target_damage_02"	"Aff!"
"DCG_VO_zeus_single_target_damage_03"	"Você mal vale o esforço."
"DCG_VO_zeus_single_target_damage_04"	"Eu comando os raios!"
"DCG_VO_zeus_single_target_damage_05"	"Os raios obedecem tão somente a mim."
"DCG_VO_zeus_single_target_damage_06"	"Era desejo seu confrontar Zeus. Assim seja."
"DCG_VO_zeus_single_target_damage_07"	"A minha fúria é inigualável."
"DCG_VO_zeus_single_target_damage_08"	"Ah, você não queria me enfurecer..."
"DCG_VO_zeus_single_target_damage_09"	"Desejava lutar comigo? Pois bem."
"DCG_VO_zeus_single_target_damage_10"	"A sua arrogância me diverte..."
"DCG_VO_zeus_multi_damage_small_01"	"Para trás, mortais..."
"DCG_VO_zeus_multi_damage_small_02"	"Um mero estalar de dedos trará o seu fim..."
"DCG_VO_zeus_multi_damage_small_03"	"Uma pequena prova da minha grandeza..."
"DCG_VO_zeus_multi_damage_small_04"	"É com isso que vocês pretendem deter Zeus?"
"DCG_VO_zeus_multi_damage_small_05"	"Esse exército não significa nada para mim..."
"DCG_VO_zeus_multi_damage_small_06"	"Vocês estão me cansando..."
"DCG_VO_zeus_multi_damage_small_07"	"Fora daqui..."
"DCG_VO_zeus_multi_damage_small_08"	"Cansei de vocês..."
"DCG_VO_zeus_multi_damage_small_09"	"Vocês estão abusando da minha cordialidade."
"DCG_VO_zeus_multi_damage_small_10"	"Vocês não me divertem mais."
"DCG_VO_zeus_multi_damage_large_01"	"EU HEI DE CASTIGÁ-LOS!"
"DCG_VO_zeus_multi_damage_large_02"	"Se atrevem a enfurecer um deus?!"
"DCG_VO_zeus_multi_damage_large_03"	"A minha ira é divina!"
"DCG_VO_zeus_multi_damage_large_04"	"TODOS VOCÊS MORRERÃO!"
"DCG_VO_zeus_multi_damage_large_05"	"Custe o que custar..."
"DCG_VO_zeus_multi_damage_large_06"	"Eu arrasarei esta terra!"
"DCG_VO_zeus_multi_damage_large_07"	"Um deus em fúria é o que querem?!"
"DCG_VO_zeus_multi_damage_large_08"	"Sabem quem eu sou?"
"DCG_VO_zeus_multi_damage_large_09"	"Mortais, os seus dias estão contados!"
"DCG_VO_zeus_multi_damage_large_10"	"Sintam a fúria de Zeus!"
"DCG_VO_zeus_pleased_01"	"Eu diria que as coisas vão deveras bem..."
"DCG_VO_zeus_pleased_02"	"Como eu queria que Medusa visse isso..."
"DCG_VO_zeus_pleased_03"	"Parece que o meu trabalho aqui está quase terminado..."
"DCG_VO_zeus_pleased_04"	"Foi um dia gratificante..."
"DCG_VO_zeus_pleased_05"	"Isso é bom."
"DCG_VO_zeus_pleased_06"	"Gostei."
"DCG_VO_zeus_pleased_07"	"Isso muito me agrada."
"DCG_VO_zeus_pleased_08"	"Não é fácil entreter um deus, e veja, eu estou sorrindo..."
"DCG_VO_zeus_pleased_09"	"Uma agradável distração..."
"DCG_VO_zeus_pleased_10"	"Um belo dia."
"DCG_VO_zeus_concerned_01"	"Hmmm..."
"DCG_VO_zeus_concerned_02"	"Um tanto quanto inesperado."
"DCG_VO_zeus_concerned_03"	"O que está havendo aqui...?"
"DCG_VO_zeus_concerned_04"	"Eu... eu estou perdendo?"
"DCG_VO_zeus_concerned_05"	"Como posso perder para mortais?"
"DCG_VO_zeus_concerned_06"	"Talvez a minha confiança fosse um pouco excessiva..."
"DCG_VO_zeus_concerned_07"	"Hm, parece que eu subestimei você..."
"DCG_VO_zeus_concerned_08"	"Ora, você está dando tudo de si, não está?"
"DCG_VO_zeus_concerned_09"	"Eu não esperava por isso..."
"DCG_VO_zeus_concerned_10"	"Recuso-me a dar essa satisfação a Hera..."
"DCG_VO_zeus_angry_01"	"Mortais não podem subjugar Zeus!"
"DCG_VO_zeus_angry_02"	"Você tenta afrontar Zeus?"
"DCG_VO_zeus_angry_03"	"Você cometeu o seu último erro!"
"DCG_VO_zeus_angry_04"	"Há de haver repercussões..."
"DCG_VO_zeus_angry_05"	"Eu hei de calcinar a terra!"
"DCG_VO_zeus_angry_06"	"Este é o seu último dia."
"DCG_VO_zeus_angry_07"	"Você enfureceu o rei dos deuses..."
"DCG_VO_zeus_angry_08"	"Eu livrarei o mundo da sua presença."
"DCG_VO_zeus_angry_09"	"Não restará nada de você além de restos fumegantes..."
"DCG_VO_zeus_angry_10"	"No fim, você se tornará apenas cinzas."
"DCG_VO_zeus_arrogant_01"	"Você afronta o rei dos deuses!"
"DCG_VO_zeus_arrogant_02"	"Ninguém é tão poderoso quanto Zeus!"
"DCG_VO_zeus_arrogant_03"	"Você jamais teve condições de enfrentar um deus!"
"DCG_VO_zeus_arrogant_04"	"Você não merece morrer pelas minhas mãos."
"DCG_VO_zeus_arrogant_05"	"Alegre-se. Hoje é o dia em que Zeus dará cabo de você."
"DCG_VO_zeus_arrogant_06"	"É uma honra receber a minha punição."
"DCG_VO_zeus_arrogant_07"	"Se implorar de forma satisfatória, talvez eu poupe a sua terra natal."
"DCG_VO_zeus_arrogant_08"	"Você nem vale o esforço..."
"DCG_VO_zeus_arrogant_09"	"Como você esperava sobreviver a essa batalha?"
"DCG_VO_zeus_arrogant_10"	"Ah, o otimismo estúpido dos mortais..."
"DCG_VO_zeus_enigmatic_01"	"Quem pode compreender os desígnios de um deus?"
"DCG_VO_zeus_enigmatic_02"	"Eu faço o que quero, quando quero..."
"DCG_VO_zeus_enigmatic_03"	"Há muito poder no divino..."
"DCG_VO_zeus_enigmatic_04"	"Há mistérios que só um deus pode compreender..."
"DCG_VO_zeus_enigmatic_05"	"O meu conhecimento é vasto..."
"DCG_VO_zeus_enigmatic_06"	"O meu poder é infinito..."
"DCG_VO_zeus_enigmatic_07"	"A minha determinação é irrefreável..."
"DCG_VO_zeus_enigmatic_08"	"Divirtam-me, mortais..."
"DCG_VO_zeus_enigmatic_09"	"Zeus veio preparado..."
"DCG_VO_zeus_enigmatic_10"	"Nada mais será o mesmo..."
"DCG_VO_zeus_death_01"	"<i>Grito</i>"
