"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"ピアポントとは意見が合わない点も多いけど、フェイスレスヴォイドを怒らせるのは危険だと気づいた彼は賢明だった。私はクラスズリーム協定はあまり好きじゃない。時間魔術は楽しかったからね。でも、世界の時系列がムチャクチャになるよりはましさ。"
"DCG_VO_sorla_khan_healed_03"	"これが必要だった。"
"DCG_VO_sorla_khan_healed_04"	"助力、感謝する。"
"DCG_VO_sorla_khan_healed_05"	"借りができたようだ。"
"DCG_VO_sorla_khan_taunt_generic_01"	"突撃！"
"DCG_VO_sorla_khan_taunt_generic_02"	"敵のタワーを破壊しろ！"
"DCG_VO_sorla_khan_taunt_generic_03"	"敵を粉砕しろ！"
"DCG_VO_sorla_khan_taunt_generic_04"	"レッドミストに栄光を！"
"DCG_VO_sorla_khan_taunt_generic_05"	"私たちが勝つ！"
"DCG_VO_sorla_khan_taunt_generic_06"	"誰にも邪魔はできない！"
"DCG_VO_sorla_khan_taunt_generic_07"	"皆殺しにせよ！"
"DCG_VO_sorla_khan_taunt_generic_08"	"敵を皆殺しにするまでやめるな。"
"DCG_VO_sorla_khan_taunt_generic_09"	"殲滅せよ！"
"DCG_VO_sorla_khan_taunt_generic_10"	"私の軍に刃向かう気か？"
"DCG_VO_sorla_khan_potential_kill_01"	"お前は死ぬのだ。"
"DCG_VO_sorla_khan_potential_kill_02"	"私の勝利の邪魔はさせん。"
"DCG_VO_sorla_khan_potential_kill_03"	"お前は生き残れない。"
"DCG_VO_sorla_khan_potential_kill_04"	"打ち倒してくれる。"
"DCG_VO_sorla_khan_potential_kill_05"	"私から逃れることはできない！"
"DCG_VO_sorla_khan_potential_save_01"	"その程度ではやられないぞ。"
"DCG_VO_sorla_khan_potential_save_02"	"私を出し抜けると思ったか？"
"DCG_VO_sorla_khan_potential_save_03"	"まだ終わってはいない。"
"DCG_VO_sorla_khan_potential_save_04"	"お前の知恵はその程度か。"
"DCG_VO_sorla_khan_potential_save_05"	"私が一枚上だったな。"
"DCG_VO_sorla_khan_permanent_armor_01"	"どんな猛攻でも凌いでやる。"
"DCG_VO_sorla_khan_permanent_armor_02"	"痛みなど感じない。"
"DCG_VO_sorla_khan_permanent_armor_03"	"もう奴らは私を殺せまい。"
"DCG_VO_sorla_khan_permanent_armor_04"	"青銅軍との戦いに備えなくては…"
"DCG_VO_sorla_khan_permanent_armor_05"	"私の意思は鋼鉄。"
"DCG_VO_sorla_khan_permanent_attack_01"	"訓練を続けなくては。"
"DCG_VO_sorla_khan_permanent_attack_02"	"力があふれる。"
"DCG_VO_sorla_khan_permanent_attack_03"	"誰でも相手になってやろう。"
"DCG_VO_sorla_khan_permanent_attack_04"	"精神と同様、体も強くなくてはならぬ。"
"DCG_VO_sorla_khan_permanent_attack_05"	"アックスより強いことを証明しよう。"
"DCG_VO_sorla_khan_permanent_health_01"	"私は生き残る。"
"DCG_VO_sorla_khan_permanent_health_02"	"この戦いを乗り切る。"
"DCG_VO_sorla_khan_permanent_health_03"	"最後まで戦場に踏みとどまってみせる。"
"DCG_VO_sorla_khan_permanent_health_04"	"生き返った気分だ。"
"DCG_VO_sorla_khan_permanent_health_05"	"これなら数発食らっても大丈夫だ。"
"DCG_VO_sorla_khan_cast_spell_01"	"オグローディの力を知れ！"
"DCG_VO_sorla_khan_cast_spell_02"	"レッドミストを恐れよ！"
"DCG_VO_sorla_khan_cast_spell_03"	"私の命令に従え。"
"DCG_VO_sorla_khan_cast_spell_04"	"作戦がある。"
"DCG_VO_sorla_khan_cast_spell_05"	"私は手段を選ばない。"
"DCG_VO_sorla_khan_cast_spell_06"	"笑い声"
"DCG_VO_sorla_khan_cast_spell_07"	"罠にかかったな。"
"DCG_VO_sorla_khan_cast_spell_08"	"常に作戦を用意してあるのだ。"
"DCG_VO_sorla_khan_cast_spell_09"	"私がカーンたる所以を見せてやろう。"
"DCG_VO_sorla_khan_cast_spell_10"	"死ぬ覚悟はできたか？"
"DCG_VO_sorla_khan_buff_ally_01"	"私は民を守る。"
"DCG_VO_sorla_khan_buff_ally_02"	"堂々と戦え。"
"DCG_VO_sorla_khan_buff_ally_03"	"誇りを持て。"
"DCG_VO_sorla_khan_buff_ally_04"	"私はカーン。お前たちの面倒は見る。"
"DCG_VO_sorla_khan_buff_ally_05"	"勝利に導いてやる。"
"DCG_VO_sorla_khan_buff_ally_06"	"力を合わせるんだ。"
"DCG_VO_sorla_khan_buff_ally_07"	"お前は良き味方だ。"
"DCG_VO_sorla_khan_buff_ally_08"	"いい戦いぶりだ。"
"DCG_VO_sorla_khan_buff_ally_09"	"戦いに備えろ。"
"DCG_VO_sorla_khan_buff_ally_10"	"力を合わせ、奴らを抹殺しよう。"
"DCG_VO_sorla_khan_debuff_enemy_01"	"お前は弱い。"
"DCG_VO_sorla_khan_debuff_enemy_02"	"哀れな。"
"DCG_VO_sorla_khan_debuff_enemy_03"	"打ち倒してくれる。"
"DCG_VO_sorla_khan_debuff_enemy_04"	"赤子の手を捻るようだ。"
"DCG_VO_sorla_khan_debuff_enemy_05"	"その程度で戦士と？"
"DCG_VO_sorla_khan_debuff_enemy_06"	"貧弱な…"
"DCG_VO_sorla_khan_debuff_enemy_07"	"じわじわとなぶってやろう。"
"DCG_VO_sorla_khan_debuff_enemy_08"	"破壊者の前にひざまずけ。"
"DCG_VO_sorla_khan_debuff_enemy_09"	"私に太刀打ちできるかな..."
"DCG_VO_sorla_khan_debuff_enemy_10"	"どうした、怖じ気づいたか？"
"DCG_VO_sorla_khan_single_target_damage_01"	"こいつは私が始末しよう。"
"DCG_VO_sorla_khan_single_target_damage_02"	"こいつは私がやる。"
"DCG_VO_sorla_khan_single_target_damage_03"	"私と戦え！"
"DCG_VO_sorla_khan_single_target_damage_04"	"くだらん。"
"DCG_VO_sorla_khan_single_target_damage_05"	"本気を出すまでもない。"
"DCG_VO_sorla_khan_single_target_damage_06"	"もう終わりだ。"
"DCG_VO_sorla_khan_single_target_damage_07"	"一瞬で終わらせる。"
"DCG_VO_sorla_khan_single_target_damage_08"	"お前は倒れる。"
"DCG_VO_sorla_khan_single_target_damage_09"	"オグローディのために！"
"DCG_VO_sorla_khan_single_target_damage_10"	"進め！レッドミスト！"
"DCG_VO_sorla_khan_multi_damage_small_01"	"誰でも相手になろう…"
"DCG_VO_sorla_khan_multi_damage_small_02"	"その程度の兵しかないのか？"
"DCG_VO_sorla_khan_multi_damage_small_03"	"軍隊が相手かと思っていたが…"
"DCG_VO_sorla_khan_multi_damage_small_04"	"お前らの屍が戦場を覆う…"
"DCG_VO_sorla_khan_multi_damage_small_05"	"生き延びられるかな…"
"DCG_VO_sorla_khan_multi_damage_small_06"	"カーンの戦いぶりを見せてやる。"
"DCG_VO_sorla_khan_multi_damage_small_07"	"血が流れるだろう。"
"DCG_VO_sorla_khan_multi_damage_small_08"	"お前など恐れるに足りぬ。"
"DCG_VO_sorla_khan_multi_damage_small_09"	"ハッ！"
"DCG_VO_sorla_khan_multi_damage_small_10"	"そんなので軍隊のつもりか？"
"DCG_VO_sorla_khan_multi_damage_large_01"	"殺戮開始！"
"DCG_VO_sorla_khan_multi_damage_large_02"	"一人残らず打ち倒せ！"
"DCG_VO_sorla_khan_multi_damage_large_03"	"押し潰すのだ！"
"DCG_VO_sorla_khan_multi_damage_large_04"	"苦しめ。"
"DCG_VO_sorla_khan_multi_damage_large_05"	"警告としてお前の屍をさらそう…"
"DCG_VO_sorla_khan_multi_damage_large_06"	"戦いの雄叫び"
"DCG_VO_sorla_khan_multi_damage_large_07"	"お前たちは決して勝てない！"
"DCG_VO_sorla_khan_multi_damage_large_08"	"あきらめるものか！"
"DCG_VO_sorla_khan_multi_damage_large_09"	"我らに失敗の二文字はない！"
"DCG_VO_sorla_khan_multi_damage_large_10"	"すべて破壊せよ！"
"DCG_VO_sorla_khan_pleased_01"	"いいだろう。"
"DCG_VO_sorla_khan_pleased_02"	"作戦通りだ。"
"DCG_VO_sorla_khan_pleased_03"	"完璧だ。"
"DCG_VO_sorla_khan_pleased_04"	"順調だ。"
"DCG_VO_sorla_khan_pleased_05"	"予想通りだ。"
"DCG_VO_sorla_khan_pleased_06"	"すべて計画どおりだ…"
"DCG_VO_sorla_khan_pleased_07"	"オグローディはまた栄える…"
"DCG_VO_sorla_khan_pleased_08"	"勝利は確実…"
"DCG_VO_sorla_khan_pleased_09"	"この日は後世まで語り継がれるだろう…"
"DCG_VO_sorla_khan_pleased_10"	"簡単すぎて話にならんな…"
"DCG_VO_sorla_khan_concerned_01"	"これは問題だ…"
"DCG_VO_sorla_khan_concerned_02"	"民を失望させるわけにはいかぬ…"
"DCG_VO_sorla_khan_concerned_03"	"まだ勝てるはず…"
"DCG_VO_sorla_khan_concerned_04"	"堂々と死を迎えよう。"
"DCG_VO_sorla_khan_concerned_05"	"お前に頭など下げん。"
"DCG_VO_sorla_khan_concerned_06"	"強者は跪かない。"
"DCG_VO_sorla_khan_concerned_07"	"やれるならやってみろ…"
"DCG_VO_sorla_khan_concerned_08"	"なんということだ…"
"DCG_VO_sorla_khan_concerned_09"	"なぜこんなことに？"
"DCG_VO_sorla_khan_concerned_10"	"奴ら、どうやって？"
"DCG_VO_sorla_khan_angry_01"	"よくも！"
"DCG_VO_sorla_khan_angry_02"	"私が誰だか知らないのか？"
"DCG_VO_sorla_khan_angry_03"	"そんなバカな！"
"DCG_VO_sorla_khan_angry_04"	"まさかこんなことが…"
"DCG_VO_sorla_khan_angry_05"	"必ず償わせてやる！"
"DCG_VO_sorla_khan_angry_06"	"痛めつけてやる…"
"DCG_VO_sorla_khan_angry_07"	"後悔することになるぞ！"
"DCG_VO_sorla_khan_angry_08"	"容赦はしない！"
"DCG_VO_sorla_khan_angry_09"	"逃げるなら今のうちだぞ！"
"DCG_VO_sorla_khan_angry_10"	"逃げ場はないぞ！"
"DCG_VO_sorla_khan_arrogant_01"	"長くは持つまい…"
"DCG_VO_sorla_khan_arrogant_02"	"お前ごときにレッドミストのカーンを倒せるか？"
"DCG_VO_sorla_khan_arrogant_03"	"私を誰だと思っているのだ？"
"DCG_VO_sorla_khan_arrogant_04"	"相手が分かってないようだな。"
"DCG_VO_sorla_khan_arrogant_05"	"お前は勇敢ではなく、バカだ…"
"DCG_VO_sorla_khan_arrogant_06"	"私を恐れろ。"
"DCG_VO_sorla_khan_arrogant_07"	"私はオグローディの救世主だ。"
"DCG_VO_sorla_khan_arrogant_08"	"私に従えば、勝利は確実だ。"
"DCG_VO_sorla_khan_arrogant_09"	"私は失敗を許さない…"
"DCG_VO_sorla_khan_arrogant_10"	"冗談だろう…"
"DCG_VO_sorla_khan_enigmatic_01"	"生き延びるためなら手段は選ばない。"
"DCG_VO_sorla_khan_enigmatic_02"	"我らは栄える。"
"DCG_VO_sorla_khan_enigmatic_03"	"よく考えなくては…"
"DCG_VO_sorla_khan_enigmatic_04"	"協定を結ぶのもひとつだろう…"
"DCG_VO_sorla_khan_enigmatic_05"	"もっと味方が必要だ。"
"DCG_VO_sorla_khan_enigmatic_06"	"準備をせねば。"
"DCG_VO_sorla_khan_enigmatic_07"	"こうなると予想していた…"
"DCG_VO_sorla_khan_enigmatic_08"	"長期的に考える必要がある。"
"DCG_VO_sorla_khan_enigmatic_09"	"今日は足がかりを作るだけだ…"
"DCG_VO_sorla_khan_enigmatic_10"	"攻城戦とは、一種の長期投資だ…"
"DCG_VO_sorla_khan_death_01"	"<i>叫び声</i>"

"DCG_VO_treant_protector_intro"	"ローズリーフの戦いについては…複雑な気持ちだ。青銅軍団とレッドミストはどちらも、私の種族を脅かしているわけではない。だが私の親族はヴールに手を貸そうとする。なぜあんなか弱い種族に構うのか不思議だが、助けを求められては、私も応えるしかない。"
"DCG_VO_treant_protector_iron_branch_protection"	"ヴールがローズリーフに住み着いたときのことを覚えているよ。その頃はトレアントが目もくれないような、小さな野獣でしかなかった。だが何世代もかけて文明を発展させる彼らに、私の親類は興味を持ち始めた。やがてヴールが私の親類に敬意を示し、自分たちの町にトレアントにちなんだ名を付けると、興味は愛情に変わった。だからローズリーフのトレアントは、ヴールの動きに直接干渉することはなくとも、遠くから見守り、助けようとするのだ。"
"DCG_VO_treant_protector_equip_generic_weapon_01"	"残酷な時代だ。"
"DCG_VO_treant_protector_equip_generic_weapon_02"	"お前のために戦おう。"
"DCG_VO_treant_protector_equip_generic_weapon_03"	"望まぬことだが仕方ない…"
"DCG_VO_treant_protector_equip_generic_weapon_04"	"必要であれば、その業を背負おう。"
"DCG_VO_treant_protector_equip_generic_weapon_05"	"必要なことをするまで。"
"DCG_VO_treant_protector_equip_generic_armor_01"	"戦の支度はできた。"
"DCG_VO_treant_protector_equip_generic_armor_02"	"私に防具を取り付けてくれ。"
"DCG_VO_treant_protector_equip_generic_armor_03"	"これで十分だといいが。"
"DCG_VO_treant_protector_equip_generic_armor_04"	"戦闘に臨む。"
"DCG_VO_treant_protector_equip_generic_armor_05"	"私が歩めば、森が揺れる。"
"DCG_VO_treant_protector_equip_generic_accessory_01"	"人間は工夫が尽きないな。"
"DCG_VO_treant_protector_equip_generic_accessory_02"	"興味深い道具だ。"
"DCG_VO_treant_protector_equip_generic_accessory_03"	"使い方を覚えるとしよう…"
"DCG_VO_treant_protector_equip_generic_accessory_04"	"素晴らしい。"
"DCG_VO_treant_protector_equip_generic_accessory_05"	"面白い…"
"DCG_VO_treant_protector_kill_rival_01"	"土に帰れ。"
"DCG_VO_treant_protector_kill_rival_02"	"自分を守れない者は、私が守る。"
"DCG_VO_treant_protector_kill_rival_03"	"大地にこの骨を捧げる…"
"DCG_VO_treant_protector_kill_rival_04"	"これでいい。"
"DCG_VO_treant_protector_kill_rival_05"	"自然とは厳しいもの。 "
"DCG_VO_treant_protector_kill_rival_06"	"お前の愚かさが招いたことだ。"
"DCG_VO_treant_protector_kill_rival_07"	"なぜ逃げなかった…"
"DCG_VO_treant_protector_kill_rival_08"	"こうなる必要はなかった…"
"DCG_VO_treant_protector_kill_rival_09"	"仕掛けたのはお前だ…"
"DCG_VO_treant_protector_kill_rival_10"	"お前の選んだことだ。 "
"DCG_VO_treant_protector_unique_01"	"トラクセクス、いつもながら嬉しいよ。"
"DCG_VO_treant_protector_unique_02"	"レンジャーよ、仲間はよく選べ。誰もがお前のためを思っているわけではない。"
"DCG_VO_treant_protector_unique_03"	"アイウシタ、光栄だ。二人がそろえば無敵だ。"
"DCG_VO_treant_protector_unique_04"	"エンチャントレス、私は世話を受けることに慣れていない… 奇妙な気持ちだな。"
"DCG_VO_treant_protector_unique_05"	"キーンの存在は自然への冒涜だ！"
"DCG_VO_treant_protector_unique_06"	"小さな親族よ、オーギュリーの谷の向こうから知恵と力を届けに来たぞ。"
"DCG_VO_treant_protector_unique_07"	"アンブリーの若君よ、むごいことをされたな。"
"DCG_VO_treant_protector_unique_08"	"小さな王よ、お前の勇気は見上げたものだ… 立派になったな。"
"DCG_VO_treant_protector_unique_09"	"選ばれし勇者たちが集結した。森の夢がかなったのだ。"
"DCG_VO_treant_protector_unique_10"	"カンナ。この騒乱の原因はお前だ。"
"DCG_VO_treant_protector_unique_11"	"カンナよ、平穏を取り戻すため、お前を倒す。"
"DCG_VO_treant_protector_unique_12"	"私の仲間さえ狙わなければ、お前ともうまくやっていける…"
"DCG_VO_treant_protector_unique_13"	"プレレックス、お前とこんな形で会うとは残念だ。"
"DCG_VO_treant_protector_unique_14"	"なぜだ、プレレックス？道理を見失ったのか？"
"DCG_VO_treant_protector_unique_15"	"お前とは早く手を切りたい…"
"DCG_VO_treant_protector_unique_16"	"仲間は切り倒させん！"
"DCG_VO_treant_protector_unique_17"	"青銅軍団はローズリーフから立ち去れ！"
"DCG_VO_treant_protector_unique_18"	"オグローディのカーンよ、お前の狂った野望はここで果てる。"
"DCG_VO_treant_protector_unique_19"	"レッドミストはここで滅び、お前は大地の肥やしとなるのだ。"
"DCG_VO_treant_protector_unique_20"	"お前を守ろう… お前の使命を、私も担おう。"
"DCG_VO_treant_protector_healed_01"	"おおお"
"DCG_VO_treant_protector_healed_02"	"花咲くような心持ちだ！"
"DCG_VO_treant_protector_healed_03"	"これはよい。"
"DCG_VO_treant_protector_healed_04"	"いい気分だ。"
"DCG_VO_treant_protector_healed_05"	"生まれ変わったようだ。"
"DCG_VO_treant_protector_taunt_generic_01"	"お前たちのエンシェントはそのうち滅びる…"
"DCG_VO_treant_protector_taunt_generic_02"	"幼子よ、すべては自然の環に帰るのだ。"
"DCG_VO_treant_protector_taunt_generic_03"	"私が勝利をもたらす…"
"DCG_VO_treant_protector_taunt_generic_04"	"お前たちはみんな私が守る…"
"DCG_VO_treant_protector_taunt_generic_05"	"失敗は許されない！"
"DCG_VO_treant_protector_taunt_generic_06"	"この地を脅かすのは誰だ？"
"DCG_VO_treant_protector_taunt_generic_07"	"お前にはとうてい理解できないことが起きているのだ…"
"DCG_VO_treant_protector_taunt_generic_08"	"私のそばにいれば安全だ..."
"DCG_VO_treant_protector_taunt_generic_09"	"この場所は私が守る！"
"DCG_VO_treant_protector_taunt_generic_10"	"お前たちなど恐れるものか…"
"DCG_VO_treant_protector_potential_kill_01"	"お前の死は、大いなる目的のため。"
"DCG_VO_treant_protector_potential_kill_02"	"お前の死に場所から命が芽生えるだろう。"
"DCG_VO_treant_protector_potential_kill_03"	"大地の糧となるがいい。"
"DCG_VO_treant_protector_potential_kill_04"	"この程度で倒れるとは。"
"DCG_VO_treant_protector_potential_kill_05"	"こんなことには何の楽しみもないが…"
"DCG_VO_treant_protector_potential_save_01"	"私は守られている。"
"DCG_VO_treant_protector_potential_save_02"	"私は耐え忍ぶ。"
"DCG_VO_treant_protector_potential_save_03"	"私は恐れぬ。"
"DCG_VO_treant_protector_potential_save_04"	"伊達に長生きはしておらん。"
"DCG_VO_treant_protector_potential_save_05"	"森は常に止まることなく変化しているのだ。"
"DCG_VO_treant_protector_permanent_armor_01"	"敵の波は私の前で砕け散る。森は滅びない。"
"DCG_VO_treant_protector_permanent_armor_02"	"どこからでもかかってくるがよい。"
"DCG_VO_treant_protector_permanent_armor_03"	"アイアンブランチは折れぬ。"
"DCG_VO_treant_protector_permanent_armor_04"	"ティンバーソーでも私を切り倒せまい。"
"DCG_VO_treant_protector_permanent_armor_05"	"私を侮らん方がいいぞ。"
"DCG_VO_treant_protector_permanent_attack_01"	"森の力に震えるがいい。"
"DCG_VO_treant_protector_permanent_attack_02"	"敵はすべて叩き潰す。"
"DCG_VO_treant_protector_permanent_attack_03"	"お前は私に助けを求めた… 私はそれに応えるまで…"
"DCG_VO_treant_protector_permanent_attack_04"	"敵軍を蹴散らしてやろう。"
"DCG_VO_treant_protector_permanent_attack_05"	"私は日々強くなる…"
"DCG_VO_treant_protector_permanent_health_01"	"耐え続けてみせよう。"
"DCG_VO_treant_protector_permanent_health_02"	"私はこの戦火を耐え抜き、死者を見渡そう。"
"DCG_VO_treant_protector_permanent_health_03"	"私を倒そうとした者は多いが、皆失敗した。"
"DCG_VO_treant_protector_permanent_health_04"	"この戦争が忘れ去られた後も、私は残る。"
"DCG_VO_treant_protector_permanent_health_05"	"この時代が過ぎても、私の命は続く。"
"DCG_VO_treant_protector_cast_spell_01"	"私の力を貸そう。"
"DCG_VO_treant_protector_cast_spell_02"	"森は耐えて育つ。"
"DCG_VO_treant_protector_cast_spell_03"	"力が根から天へと流れる。"
"DCG_VO_treant_protector_cast_spell_04"	"私の仲間、そして代々のプロテクターの誓いを私は守る。"
"DCG_VO_treant_protector_cast_spell_05"	"オーギュリーの谷の向こうから、私は恵みを運んできた…"
"DCG_VO_treant_protector_cast_spell_06"	"私の力は森のごとく広大。"
"DCG_VO_treant_protector_cast_spell_07"	"自然が守ってくれる。"
"DCG_VO_treant_protector_cast_spell_08"	"世界が力に満ちて行く。"
"DCG_VO_treant_protector_cast_spell_09"	"無数の種が芽を伸ばし、森となる。"
"DCG_VO_treant_protector_cast_spell_10"	"私の腕に世界を抱きしめよう。"
"DCG_VO_treant_protector_buff_ally_01"	"私の加護を与えよう。"
"DCG_VO_treant_protector_buff_ally_02"	"共に希望を抱こう。"
"DCG_VO_treant_protector_buff_ally_03"	"私の力を分け与えよう…"
"DCG_VO_treant_protector_buff_ally_04"	"お前の力に自然界も喜んでいる。"
"DCG_VO_treant_protector_buff_ally_05"	"自然の恵みを共に分かち合おう。"
"DCG_VO_treant_protector_buff_ally_06"	"お前の忠誠への褒美だ。"
"DCG_VO_treant_protector_buff_ally_07"	"礼には及ばぬぞ。"
"DCG_VO_treant_protector_buff_ally_08"	"これで少しは持ちこたえられる。"
"DCG_VO_treant_protector_buff_ally_09"	"乗り越えられない苦難はない。"
"DCG_VO_treant_protector_buff_ally_10"	"お前の力は私の力。"
"DCG_VO_treant_protector_debuff_enemy_01"	"萎縮するがいい。"
"DCG_VO_treant_protector_debuff_enemy_02"	"これが最後の警告だ。"
"DCG_VO_treant_protector_debuff_enemy_03"	"お前を殺したくはないが、仕方がない…"
"DCG_VO_treant_protector_debuff_enemy_04"	"よく考えろ。この先、もう逃げるチャンスはないぞ。"
"DCG_VO_treant_protector_debuff_enemy_05"	"お前の行く先にあるのは闇だ。引き返せ。"
"DCG_VO_treant_protector_debuff_enemy_06"	"お前から全軍へ弱さが広まるのだ。"
"DCG_VO_treant_protector_debuff_enemy_07"	"お前は愚かな道を歩んでいる。私に正してほしいのか。"
"DCG_VO_treant_protector_debuff_enemy_08"	"お前が奪おうとしている命は私の庇護のもとにある。"
"DCG_VO_treant_protector_debuff_enemy_09"	"私と戦うとは、狂った思い上がりだ。 "
"DCG_VO_treant_protector_debuff_enemy_10"	"よく考えろ。このまま行けば悲劇が待っているぞ。"
"DCG_VO_treant_protector_single_target_damage_01"	"本当の戦いはこれからだ。"
"DCG_VO_treant_protector_single_target_damage_02"	"守護者は時に破壊者にならねばならぬ。"
"DCG_VO_treant_protector_single_target_damage_03"	"生き残りをかけた戦いだ…"
"DCG_VO_treant_protector_single_target_damage_04"	"どうしてもというなら、お前らの命を奪うまでだ。"
"DCG_VO_treant_protector_single_target_damage_05"	"ここはお前の来る場所ではない。"
"DCG_VO_treant_protector_single_target_damage_06"	"体がボロボロになるぞ。"
"DCG_VO_treant_protector_single_target_damage_07"	"まだ分からないようだな。"
"DCG_VO_treant_protector_single_target_damage_08"	"これ以上続けると、この程度ではすまぬぞ。"
"DCG_VO_treant_protector_single_target_damage_09"	"お前の愚かさには感心しない。"
"DCG_VO_treant_protector_single_target_damage_10"	"私は決して引き下がらない。"
"DCG_VO_treant_protector_multi_damage_small_01"	"私を怒らせるとこうなるのだ。"
"DCG_VO_treant_protector_multi_damage_small_02"	"ここに来たのが愚かだったのだ…"
"DCG_VO_treant_protector_multi_damage_small_03"	"お前は寄生虫だ。"
"DCG_VO_treant_protector_multi_damage_small_04"	"消え失せよ！"
"DCG_VO_treant_protector_multi_damage_small_05"	"数などものではない…"
"DCG_VO_treant_protector_multi_damage_small_06"	"まとめて相手しよう…"
"DCG_VO_treant_protector_multi_damage_small_07"	"痛みは最大の教師だ。学ぶがいい。"
"DCG_VO_treant_protector_multi_damage_small_08"	"私が楽な相手だと思ったのか？"
"DCG_VO_treant_protector_multi_damage_small_09"	"戦争は醜い。だがそれもまもなく終わる。"
"DCG_VO_treant_protector_multi_damage_small_10"	"こうなる必要はなかったのだ。"
"DCG_VO_treant_protector_multi_damage_large_01"	"これはお前たちが自ら選んだことだ。"
"DCG_VO_treant_protector_multi_damage_large_02"	"お前たちの倒れた地に新たな森が生まれる。"
"DCG_VO_treant_protector_multi_damage_large_03"	"森がこの戦場が覆った後も、お前たちのことは覚えておこう。"
"DCG_VO_treant_protector_multi_damage_large_04"	"出て行け！"
"DCG_VO_treant_protector_multi_damage_large_05"	"お前たちは負ける側についてしまったのだ。"
"DCG_VO_treant_protector_multi_damage_large_06"	"そろそろ自らの選択を後悔している頃だろう…"
"DCG_VO_treant_protector_multi_damage_large_07"	"こうなる必要はなかったのだ。"
"DCG_VO_treant_protector_multi_damage_large_08"	"死んだ仲間を見て知るのだ。お前たちの狂気の代償を。"
"DCG_VO_treant_protector_multi_damage_large_09"	"命を投げ捨ておって…"
"DCG_VO_treant_protector_multi_damage_large_10"	"お前たちが消えても世界は続く。むしろ豊かになろう。"
"DCG_VO_treant_protector_pleased_01"	"季節と共に、私も移り変わる。"
"DCG_VO_treant_protector_pleased_02"	"おお！何と素晴らしい。"
"DCG_VO_treant_protector_pleased_03"	"なんといい日だろう…"
"DCG_VO_treant_protector_pleased_04"	"滅多に驚かない私に、こんなに愉快な驚きがあろうとは。"
"DCG_VO_treant_protector_pleased_05"	"これは嬉しい…"
"DCG_VO_treant_protector_pleased_06"	"至福の瞬間だ…"
"DCG_VO_treant_protector_pleased_07"	"面白い…"
"DCG_VO_treant_protector_pleased_08"	"この時がずっと続いて欲しいものだ…"
"DCG_VO_treant_protector_pleased_09"	"こんなに喜ばしいことは滅多にない…"
"DCG_VO_treant_protector_pleased_10"	"いい日だ…"
"DCG_VO_treant_protector_concerned_01"	"絶望に陥ってはならない。"
"DCG_VO_treant_protector_concerned_02"	"望んでいた夢とは違うぞ。"
"DCG_VO_treant_protector_concerned_03"	"後悔でいっぱいだ。"
"DCG_VO_treant_protector_concerned_04"	"なぜこうなった。"
"DCG_VO_treant_protector_concerned_05"	"私の死は避けられなかったようだ…"
"DCG_VO_treant_protector_concerned_06"	"無駄死にはしない。"
"DCG_VO_treant_protector_concerned_07"	"なぜ負けているのだ？"
"DCG_VO_treant_protector_concerned_08"	"私が倒れたら誰が森を守る？"
"DCG_VO_treant_protector_concerned_09"	"愛するものがすべて灰になる…"
"DCG_VO_treant_protector_concerned_10"	"ここで死ぬのなら、せめて世界を良くして死のう。"
"DCG_VO_treant_protector_angry_01"	"負けるものか！"
"DCG_VO_treant_protector_angry_02"	"奴らに報いを！"
"DCG_VO_treant_protector_angry_03"	"死ぬのだ！"
"DCG_VO_treant_protector_angry_04"	"自分のしたことが分かっているのか…"
"DCG_VO_treant_protector_angry_05"	"私と力比べをして、自分の限界を知るがよい。"
"DCG_VO_treant_protector_angry_06"	"プロテクターが戦いに向かうと、大地が震える…"
"DCG_VO_treant_protector_angry_07"	"捻り潰してやろう…"
"DCG_VO_treant_protector_angry_08"	"お前の野望もここまでだ。 "
"DCG_VO_treant_protector_angry_09"	"自然の猛威には対抗できまい！"
"DCG_VO_treant_protector_angry_10"	"お前の邪魔も、ここまでだ！ "
"DCG_VO_treant_protector_arrogant_01"	"相手が悪かったな。"
"DCG_VO_treant_protector_arrogant_02"	"幼子よ、深遠な古人の問題に首を突っ込むでない。"
"DCG_VO_treant_protector_arrogant_03"	"私がいることに感謝するのだな…"
"DCG_VO_treant_protector_arrogant_04"	"お前のような下等な生き物は私に太刀打ちできまい。"
"DCG_VO_treant_protector_arrogant_05"	"そんな武器や呪文は通用しない…"
"DCG_VO_treant_protector_arrogant_06"	"お前の才能は中途半端だ。"
"DCG_VO_treant_protector_arrogant_07"	"お前など取るに足らん相手だ。"
"DCG_VO_treant_protector_arrogant_08"	"私に挑んだことがお前の最後の過ちだ。"
"DCG_VO_treant_protector_arrogant_09"	"町で暮らす人間は、森を美化する。その恐ろしさを忘れて。"
"DCG_VO_treant_protector_arrogant_10"	"お前が手にしているのは無知という衣と、愚かさという武器だ。 "
"DCG_VO_treant_protector_enigmatic_01"	"我々の活躍で、森は救われる。"
"DCG_VO_treant_protector_enigmatic_02"	"高枝は風を呼び、根は大地を轟かす。"
"DCG_VO_treant_protector_enigmatic_03"	"森が呼んでいる… その子供であるプロテクターを。"
"DCG_VO_treant_protector_enigmatic_04"	"ここには偉大な力が宿る…"
"DCG_VO_treant_protector_enigmatic_05"	"私は未来の知恵を伝えに来た…"
