"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont y yo no estamos de acuerdo en muchas cosas, pero él fue sabio al reconocer lo peligroso que es hacer enfadar al Semblante del Vacío. No me emociona el Tratado de Claszureme, la verdad. La cronomancia era increíble. Pero, ¿sabes qué otra cosa es increíble? Que no te borren de la línea del tiempo."
"DCG_VO_dark_seer_unique_09"	"El precio de tu muerte es muy alto para ellos."
"DCG_VO_dark_seer_unique_10"	"Rix, sigue mis órdenes y ganarás esta batalla."
"DCG_VO_dark_seer_unique_11"	"Nuestros enemigos se van a llevar una desagradable sorpresa."
"DCG_VO_dark_seer_unique_12"	"Confía en mí, Ursa, este es el camino hacia la victoria."
"DCG_VO_dark_seer_unique_13"	"Has hecho bien en pedirme ayuda."
"DCG_VO_dark_seer_unique_14"	"Te llevaré a la victoria."
"DCG_VO_dark_seer_unique_15"	"Quienes se opongan a mí morirán."
"DCG_VO_dark_seer_unique_16"	"Veamos cómo aumenta tu poder."
"DCG_VO_dark_seer_unique_17"	"Mazi, haré que todos te teman."
"DCG_VO_dark_seer_unique_18"	"Nadie se atreverá a atacarte."
"DCG_VO_dark_seer_unique_19"	"Permíteme que te enseñe cómo sacar el mayor partido a la armadura."
"DCG_VO_dark_seer_unique_20"	"Cuanto más ataquen, más se arrepentirán."
"DCG_VO_dark_seer_healed_01"	"Aaah."
"DCG_VO_dark_seer_healed_02"	"Una sabia decisión."
"DCG_VO_dark_seer_healed_03"	"Una inversión inteligente"
"DCG_VO_dark_seer_healed_04"	"Me siento mejor."
"DCG_VO_dark_seer_healed_05"	"Estoy listo para luchar."
"DCG_VO_dark_seer_taunt_generic_01"	"¡Esta batalla está ganada!"
"DCG_VO_dark_seer_taunt_generic_02"	"Mi astucia no tiene parangón."
"DCG_VO_dark_seer_taunt_generic_03"	"Estamos cerca de conseguir la victoria."
"DCG_VO_dark_seer_taunt_generic_04"	"Os llevaré conmigo a la victoria."
"DCG_VO_dark_seer_taunt_generic_05"	"Seguid mis planes y nadie podrá pararnos."
"DCG_VO_dark_seer_taunt_generic_06"	"Soy el mejor cerebro militar que ha existido en generaciones."
"DCG_VO_dark_seer_taunt_generic_07"	"Nuestro ejército no tiene parangón."
"DCG_VO_dark_seer_taunt_generic_08"	"Ganaremos esta batalla."
"DCG_VO_dark_seer_taunt_generic_09"	"He planificado cualquier posible suceso."
"DCG_VO_dark_seer_taunt_generic_10"	"Vamos a ganar."
"DCG_VO_dark_seer_potential_kill_01"	"No puedes superar mi inteligencia."
"DCG_VO_dark_seer_potential_kill_02"	"No tienes escapatoria."
"DCG_VO_dark_seer_potential_kill_03"	"Llevo tiempo planificando tu muerte."
"DCG_VO_dark_seer_potential_kill_04"	"Has caído en mi trampa."
"DCG_VO_dark_seer_potential_kill_05"	"¡Nadie puede superar mi inteligencia!"
"DCG_VO_dark_seer_potential_save_01"	"Tengo un plan B para todo."
"DCG_VO_dark_seer_potential_save_02"	"Siempre planifico de antemano."
"DCG_VO_dark_seer_potential_save_03"	"¿Crees que no estaba preparado para esto?"
"DCG_VO_dark_seer_potential_save_04"	"Una mente como la tuya jamás podría concebir una estratagema para derrotarme."
"DCG_VO_dark_seer_potential_save_05"	"Tus esfuerzos son patéticos."
"DCG_VO_dark_seer_permanent_armor_01"	"A ver si intentan hacerme daño ahora."
"DCG_VO_dark_seer_permanent_armor_02"	"Sobrevivir es mi prioridad."
"DCG_VO_dark_seer_permanent_armor_03"	"Estaré listo para todo."
"DCG_VO_dark_seer_permanent_armor_04"	"Vendrán a por mí, pero estaré preparado."
"DCG_VO_dark_seer_permanent_armor_05"	"Todo forma parte de mi plan."
"DCG_VO_dark_seer_permanent_attack_01"	"Ahora soy más fuerte..."
"DCG_VO_dark_seer_permanent_attack_02"	"Mi inteligencia es cada vez mayor."
"DCG_VO_dark_seer_permanent_attack_03"	"Me vuelvo todavía más letal."
"DCG_VO_dark_seer_permanent_attack_04"	"Nuestros enemigos morirán pronto."
"DCG_VO_dark_seer_permanent_attack_05"	"Me han subestimado, como siempre."
"DCG_VO_dark_seer_permanent_health_01"	"Sigo haciéndome más fuerte."
"DCG_VO_dark_seer_permanent_health_02"	"Cada día aguanto más."
"DCG_VO_dark_seer_permanent_health_03"	"La muerte no dará conmigo."
"DCG_VO_dark_seer_permanent_health_04"	"Lucharé todo el tiempo que pueda."
"DCG_VO_dark_seer_permanent_health_05"	"Me siento rebosante de vitalidad."
"DCG_VO_dark_seer_cast_spell_01"	"He pensado en todo."
"DCG_VO_dark_seer_cast_spell_02"	"A ver si esta la ven venir."
"DCG_VO_dark_seer_cast_spell_03"	"No están preparados para esto..."
"DCG_VO_dark_seer_cast_spell_04"	"¡A ver si son capaces de responder ante esto!"
"DCG_VO_dark_seer_cast_spell_05"	"¡Siente mi poder!"
"DCG_VO_dark_seer_cast_spell_06"	"¡Contempla mi poder!"
"DCG_VO_dark_seer_cast_spell_07"	"¡Nadie está a mi altura!"
"DCG_VO_dark_seer_cast_spell_08"	"Controlo este campo de batalla."
"DCG_VO_dark_seer_cast_spell_09"	"¡Témeme!"
"DCG_VO_dark_seer_cast_spell_10"	"¡No hay nada que no tenga planificado!"
"DCG_VO_dark_seer_death_01"	"<i>gritos</i>"
"DCG_VO_magnus_intro"	"Conozco muy bien las ansias de conquista del hombre. Que vean a los demás como a objetos en lugar de personas... Por eso me niego a quedarme de brazos cruzados mientras subyugan a los Vhoul. Es demasiado tarde para mi gente, pero puede que no lo sea para las suyas."
"DCG_VO_magnus_bellow_intro"	"Siempre hay alguien más fuerte y letal que tú, así funciona la naturaleza. Y algunas personas necesitan que se lo recuerden."
"DCG_VO_magnus_empower_intro"	"La fuerza de mi gente corre por mis venas... y la usaré para destruir a aquellos que persigan a mis semejantes."
"DCG_VO_magnus_protect_the_weak_intro"	"Ilexa no sabe el importante papel que desempeñará más adelante. Hay que protegerla cueste lo que cueste."
"DCG_VO_magnus_equip_generic_weapon_01"	"Estoy Listo para luchar."
"DCG_VO_magnus_equip_generic_weapon_02"	"Esto servirá."
"DCG_VO_magnus_equip_generic_weapon_03"	"Puedo usar esto."
"DCG_VO_magnus_equip_generic_weapon_04"	"Esto funcionará."
"DCG_VO_magnus_equip_generic_weapon_05"	"Derrotaré a mis enemigos."
"DCG_VO_magnus_equip_generic_armor_01"	"Veamos cómo intentan matarme ahora."
"DCG_VO_magnus_equip_generic_armor_02"	"Muerto no le sirvo de nada a mi gente."
"DCG_VO_magnus_equip_generic_armor_03"	"Tengo que protegerme."
"DCG_VO_magnus_equip_generic_armor_04"	"Haré lo que sea necesario para sobrevivir."
"DCG_VO_magnus_equip_generic_armor_05"	"Qué sorpresa, es mi talla..."
"DCG_VO_magnus_equip_generic_accessory_01"	"Usaré esto."
"DCG_VO_magnus_equip_generic_accessory_02"	"Un poco de ayuda nunca viene mal."
"DCG_VO_magnus_equip_generic_accessory_03"	"Necesitaba esto."
"DCG_VO_magnus_equip_generic_accessory_04"	"Esto me ayudará a sobrevivir."
"DCG_VO_magnus_equip_generic_accessory_05"	"Veamos si mis enemigos intentan matarme ahora."
"DCG_VO_magnus_kill_rival_01"	"¡Ya has perdido!"
"DCG_VO_magnus_kill_rival_02"	"Este es mi día."
"DCG_VO_magnus_kill_rival_03"	"¡Nadie puede enfrentarse a Magnus!"
"DCG_VO_magnus_kill_rival_04"	"Ningún guerrero está a mi altura."
"DCG_VO_magnus_kill_rival_05"	"¡Pisotearé a cualquiera que se interponga en mi camino!"
"DCG_VO_magnus_kill_rival_06"	"No te espera la victoria... sino la muerte."
"DCG_VO_magnus_kill_rival_07"	"¿Crees que puedes detener al gran Magnus?"
"DCG_VO_magnus_kill_rival_08"	"Deberías huir."
"DCG_VO_magnus_kill_rival_09"	"Tienes los días contados."
"DCG_VO_magnus_kill_rival_10"	"Eres hombre muerto."
"DCG_VO_magnus_use_include_01"	"¡Fuerza primitiva!"
"DCG_VO_magnus_use_include_02"	"Este es el poder de mi pueblo."
"DCG_VO_magnus_use_include_03"	"<i>rugidos</i>"
"DCG_VO_magnus_unique_01"	"¡Destripa a nuestros enemigos, Ursa!"
"DCG_VO_magnus_unique_02"	"¡Haz pedazos su armadura!"
"DCG_VO_magnus_unique_03"	"¡Destroza su ejército!"
"DCG_VO_magnus_unique_04"	"¡Abre camino, Sven!"
"DCG_VO_magnus_unique_05"	"¡Debes hacerte más fuerte, Sven!"
"DCG_VO_magnus_unique_06"	"Protegeremos a los habitantes de Rosoideo."
"DCG_VO_magnus_unique_07"	"Los Vhoul necesitan nuestra ayuda, Ent."
"DCG_VO_magnus_unique_08"	"Es un honor luchar a tu lado, mi amigo."
"DCG_VO_magnus_unique_09"	"Tu causa es justa, Rix."
"DCG_VO_magnus_unique_10"	"Es un honor luchar a tu lado, Rix."
"DCG_VO_magnus_unique_11"	"Has tomado la decisión correcta, Rix."
"DCG_VO_magnus_unique_12"	"La Legión de Bronce tiene mucho de lo que responder."
"DCG_VO_magnus_unique_13"	"¡Fuera de aquí, Tresdin!"
"DCG_VO_magnus_unique_14"	"¡Ni siquiera ves en qué se está convirtiendo la Legión de Bronce, Tresdin!"
"DCG_VO_magnus_unique_15"	"Echaré una mano a la rebelión."
"DCG_VO_magnus_unique_16"	"La causa de tu pueblo es mi causa."
"DCG_VO_magnus_unique_17"	"Te protegeré de tus enemigos."
"DCG_VO_magnus_unique_18"	"¡Este no es el sitio de los Oglodi!"
"DCG_VO_magnus_unique_19"	"No me dan miedo unos cuantos bárbaros."
"DCG_VO_magnus_unique_20"	"Veamos cómo le va a la Legión contra guerreros, en lugar de contra granjeros."
"DCG_VO_magnus_healed_01"	"Ahhhh."
"DCG_VO_magnus_healed_02"	"Gracias."
"DCG_VO_magnus_healed_03"	"Te lo agradezco."
"DCG_VO_magnus_healed_04"	"Estoy Listo para luchar."
"DCG_VO_magnus_healed_05"	"Se acabó el descanso."
"DCG_VO_magnus_taunt_generic_01"	"¡Aplastaremos a nuestros enemigos!"
"DCG_VO_magnus_taunt_generic_02"	"¡Acabaremos con vosotros!"
"DCG_VO_magnus_taunt_generic_03"	"¡Juntos resistiremos!"
"DCG_VO_magnus_taunt_generic_04"	"¡El estruendo que se oye son mis cascos!"
"DCG_VO_magnus_taunt_generic_05"	"¡Atacad!"
"DCG_VO_magnus_taunt_generic_06"	"¡Aplastadlos!"
"DCG_VO_magnus_taunt_generic_07"	"¡Haremos que huyan!"
"DCG_VO_magnus_taunt_generic_08"	"¡La gloria será nuestra!"
"DCG_VO_magnus_taunt_generic_09"	"¡Ahora atacamos!"
"DCG_VO_magnus_taunt_generic_10"	"¡Os conduciré a la victoria!"
"DCG_VO_magnus_potential_kill_01"	"No me negarán la victoria."
"DCG_VO_magnus_potential_kill_02"	"No puedes esconderte de mí."
"DCG_VO_magnus_potential_kill_03"	"Tienes los días contados."
"DCG_VO_magnus_potential_kill_04"	"No estás a mi altura."
"DCG_VO_magnus_potential_kill_05"	"¿Crees que estás a mi altura?"
"DCG_VO_magnus_potential_save_01"	"No soy presa fácil."
"DCG_VO_magnus_potential_save_02"	"No puedes matarme."
"DCG_VO_magnus_potential_save_03"	"¿Pensabas que podías matarme?"
"DCG_VO_magnus_potential_save_04"	"Sobreviviré."
"DCG_VO_magnus_potential_save_05"	"¡Ja!"
"DCG_VO_magnus_permanent_armor_01"	"Ahora soy más fuerte."
"DCG_VO_magnus_permanent_armor_02"	"Mi piel es tan firme como mi voluntad."
"DCG_VO_magnus_permanent_armor_03"	"El cuerno me protege."
"DCG_VO_magnus_permanent_armor_04"	"Mi voluntad es inquebrantable."
"DCG_VO_magnus_permanent_armor_05"	"Siento el poder de mis semejantes."
"DCG_VO_magnus_permanent_attack_01"	"Esto me hace más fuerte."
"DCG_VO_magnus_permanent_attack_02"	"Nadie osaría oponerse a mí."
"DCG_VO_magnus_permanent_attack_03"	"Traedme un rival digno."
"DCG_VO_magnus_permanent_attack_04"	"Aplastaré a mis rivales con mis pezuñas."
"DCG_VO_magnus_permanent_attack_05"	"Haré polvo a nuestros enemigos."
"DCG_VO_magnus_permanent_health_01"	"El viaje es largo... Debo estar preparado."
"DCG_VO_magnus_permanent_health_02"	"Sobreviviré y vengaré a mi gente."
"DCG_VO_magnus_permanent_health_03"	"Nadie podrá arrebatarme el cuerno."
"DCG_VO_magnus_permanent_health_04"	"No seré presa fácil."
"DCG_VO_magnus_permanent_health_05"	"Debo sobrevivir."
"DCG_VO_magnus_cast_spell_01"	"¡Siente el poder de mi pueblo!"
"DCG_VO_magnus_cast_spell_02"	"¡La magia de mi pueblo es poderosa!"
"DCG_VO_magnus_cast_spell_03"	"Os cubriré con mi protección."
"DCG_VO_magnus_cast_spell_04"	"Nadie nos hará daño."
"DCG_VO_magnus_cast_spell_05"	"<i>risas</i>"
"DCG_VO_magnus_cast_spell_06"	"Intenta mantener el ritmo."
"DCG_VO_magnus_cast_spell_07"	"Nadie está a mi altura."
"DCG_VO_magnus_cast_spell_08"	"Podemos cambiar las tornas del combate."
"DCG_VO_magnus_cast_spell_09"	"No perdáis la esperanza."
"DCG_VO_magnus_cast_spell_10"	"Esto todavía no ha acabado."
"DCG_VO_magnus_death_01"	"<i>gritos</i>"
"DCG_VO_zeus_intro"	"No me interesan mucho los asuntos de los mortales. La guerra entre la Niebla Roja y la Legión de Bronce no va conmigo. El sufrimiento de los Vhoul me da igual. Sin embargo, si algo me preocupa es que ese charlatán del Espíritu de la Tormenta vaya por ahí diciendo que mi rayo es suyo... Por eso he ido a Rosoideo, con la intención de demostrar que ningún dios del rayo está por encima de mí."
"DCG_VO_zeus_thundergods_wrath_intro"	"Verme desatar toda mi furia es algo tan hermoso como terrible."
"DCG_VO_zeus_lightning_strike_intro"	"Puedes dar gracias porque solo me has molestado, mortal, si me hubieras ofendido habría pasado algo más... interesante."
"DCG_VO_zeus_bolt_of_damocles_intro"	"Hay quien se piensa que, por adoptar una vida de mortal, me he vuelto más débil. Así que de vez en cuando me gusta recordarle al mundo que no es así. Mi mujer opina que arrasar una ciudad entera es un poco excesivo, y seguramente tenga razón, pero siempre me han gustado los grandes gestos."
"DCG_VO_zeus_equip_generic_weapon_01"	"Digno de un dios."
"DCG_VO_zeus_equip_generic_weapon_02"	"Perfecto."
"DCG_VO_zeus_equip_generic_weapon_03"	"Esto me vendrá de perlas."
"DCG_VO_zeus_equip_generic_weapon_04"	"Justo lo que estaba buscando."
"DCG_VO_zeus_equip_generic_weapon_05"	"Esto me vendrá bien."
"DCG_VO_zeus_equip_generic_armor_01"	"La carne mortal necesita protección."
"DCG_VO_zeus_equip_generic_armor_02"	"Nadie hará daño a Zeus."
"DCG_VO_zeus_equip_generic_armor_03"	"A ver si intentan hacerme daño ahora."
"DCG_VO_zeus_equip_generic_armor_04"	"Listo para la batalla."
"DCG_VO_zeus_equip_generic_armor_05"	"Exquisito."
"DCG_VO_zeus_equip_generic_accessory_01"	"Este cachivache me vendrá bien."
"DCG_VO_zeus_equip_generic_accessory_02"	"Los mortales fabrican objetos de lo más intrigantes."
"DCG_VO_zeus_equip_generic_accessory_03"	"Le daré buen uso."
"DCG_VO_zeus_equip_generic_accessory_04"	"Un tributo a los dioses."
"DCG_VO_zeus_equip_generic_accessory_05"	"Acepto esta oferta."
"DCG_VO_zeus_kill_rival_01"	"Inclínate ante mi poder."
"DCG_VO_zeus_kill_rival_02"	"Arrodíllate ante Zeus."
"DCG_VO_zeus_kill_rival_03"	"Eres inferior a mí."
"DCG_VO_zeus_kill_rival_04"	"¡Ja, ja, ja!"
"DCG_VO_zeus_kill_rival_05"	"A todo el mundo le gusta una buena paliza."
"DCG_VO_zeus_kill_rival_06"	"Demasiado fácil."
"DCG_VO_zeus_kill_rival_07"	"Apenas he movido un dedo."
"DCG_VO_zeus_kill_rival_08"	"¿Pensabas que podías enfrentarte a mí?"
"DCG_VO_zeus_kill_rival_09"	"¿Cómo te atreves a levantarle la mano a Zeus?"
"DCG_VO_zeus_kill_rival_10"	"Los mortales son tan débiles..."
"DCG_VO_zeus_use_include_01"	"¡Siente mi ira!"
"DCG_VO_zeus_use_include_02"	"¡Contempla el poder de Zeus!"
"DCG_VO_zeus_use_include_03"	"¡No puedes escapar de los cielos!"
"DCG_VO_zeus_unique_01"	"No sabes con quién te estás metiendo, ¿verdad?"
"DCG_VO_zeus_unique_02"	"No me pongas a prueba, mortal."
"DCG_VO_zeus_unique_03"	"¡Soy yo quien controla el rayo!"
"DCG_VO_zeus_unique_04"	"¡Has enfurecido a los dioses!"
"DCG_VO_zeus_unique_05"	"¡Témeme!"
"DCG_VO_zeus_unique_06"	"¡No voy a dejar más que escombros!"
"DCG_VO_zeus_unique_07"	"Doncella, vamos a lograr grandes cosas juntos."
"DCG_VO_zeus_unique_08"	"Mira y aprende, Doncella..."
"DCG_VO_zeus_unique_09"	"Me encanta trabajar contigo, Rylai..."
"DCG_VO_zeus_unique_10"	"¡¿De verdad piensas que puedes matar a un dios?!"
"DCG_VO_zeus_unique_11"	"No temo a ningún asesino."
"DCG_VO_zeus_unique_12"	"Ha sido divertido beber contigo, Lanzapúas. Lástima que vaya a terminar así."
"DCG_VO_zeus_unique_13"	"¿Rezas a la diosa de la luna, pero no a mí? Interesante."
"DCG_VO_zeus_unique_14"	"Estoy deseando conocer a la tal «Selemene»."
"DCG_VO_zeus_unique_15"	"¿Qué puede hacerle un matón a un dios?"
"DCG_VO_zeus_unique_16"	"Tu armadura no te salvará, Ax."
"DCG_VO_zeus_unique_17"	"Tienes muchos hombres a tu disposición, Sorla, pero no va a ser suficiente."
"DCG_VO_zeus_unique_18"	"Tu armadura no te salvará, Tresdin."
"DCG_VO_zeus_unique_19"	"¡La Legión de Bronce caerá!"
"DCG_VO_zeus_unique_20"	"Míralos ahí juntos, intentando derrotar a un dios. Qué adorable."
"DCG_VO_zeus_healed_01"	"Ahhhh."
"DCG_VO_zeus_healed_02"	"Te lo agradezco."
"DCG_VO_zeus_healed_03"	"Gracias."
"DCG_VO_zeus_healed_04"	"Una sabia decisión."
"DCG_VO_zeus_healed_05"	"Me siento mejor."
"DCG_VO_zeus_taunt_generic_01"	"¡Se acerca el fin!"
"DCG_VO_zeus_taunt_generic_02"	"¡Este es nuestro momento!"
"DCG_VO_zeus_taunt_generic_03"	"¡Derrotad a nuestros enemigos!"
"DCG_VO_zeus_taunt_generic_04"	"¡Traed gloria para los dioses!"
"DCG_VO_zeus_taunt_generic_05"	"¡Acabaremos con ellos!"
"DCG_VO_zeus_taunt_generic_06"	"¡Destruid la Torre Ancestral!"
"DCG_VO_zeus_taunt_generic_07"	"Has ofendido a los dioses y vas a pagar el precio."
"DCG_VO_zeus_taunt_generic_08"	"Pronto todo habrá terminado."
"DCG_VO_zeus_taunt_generic_09"	"Desafiar a Zeus será el último error que cometas."
"DCG_VO_zeus_taunt_generic_10"	"Nuestra victoria está prácticamente garantizada."
"DCG_VO_zeus_potential_kill_01"	"¡No podrás huir de mí!"
"DCG_VO_zeus_potential_kill_02"	"No puedes esconderte de Zeus."
"DCG_VO_zeus_potential_kill_03"	"No se negará mi voluntad."
"DCG_VO_zeus_potential_kill_04"	"¡Muere, mortal!"
"DCG_VO_zeus_potential_kill_05"	"Querías que te prestara atención... Misión cumplida."
"DCG_VO_zeus_potential_save_01"	"¿De verdad pensáis que podéis ganar?"
"DCG_VO_zeus_potential_save_02"	"No va a ser tan fácil."
"DCG_VO_zeus_potential_save_03"	"Vas a tener que esforzarte más."
"DCG_VO_zeus_potential_save_04"	"¿Pensabas que podías matarme?"
"DCG_VO_zeus_potential_save_05"	"No, no, no..."
"DCG_VO_zeus_permanent_armor_01"	"Bien."
"DCG_VO_zeus_permanent_armor_02"	"Me aburro, los humanos son tan débiles..."
"DCG_VO_zeus_permanent_armor_03"	"Se acabaron los juegos."
"DCG_VO_zeus_permanent_armor_04"	"Intenta matarme ahora, mortal."
"DCG_VO_zeus_permanent_armor_05"	"Mi carne es de hierro y mi voz un trueno."
"DCG_VO_zeus_permanent_attack_01"	"Mi fuerza aumenta..."
"DCG_VO_zeus_permanent_attack_02"	"Les voy a demostrar el poder de Zeus."
"DCG_VO_zeus_permanent_attack_03"	"Me vuelvo más fuerte..."
"DCG_VO_zeus_permanent_attack_04"	"Siento cómo el trueno resurge en mi interior."
"DCG_VO_zeus_permanent_attack_05"	"Sentirán mi poder"
"DCG_VO_zeus_permanent_health_01"	"No pienso abandonar este campo de batalla."
"DCG_VO_zeus_permanent_health_02"	"Debo fortalecer mi determinación."
"DCG_VO_zeus_permanent_health_03"	"No voy a dejar de luchar hasta alcanzar la victoria."
"DCG_VO_zeus_permanent_health_04"	"Se está formando una tormenta."
"DCG_VO_zeus_permanent_health_05"	"Estoy Listo para luchar."
"DCG_VO_zeus_cast_spell_01"	"¡Contemplad mi poder, mortales!"
"DCG_VO_zeus_cast_spell_02"	"¡SÍ!"
"DCG_VO_zeus_cast_spell_03"	"¡Mi poder es absoluto!"
"DCG_VO_zeus_cast_spell_04"	"El poder de los dioses es innegable."
"DCG_VO_zeus_cast_spell_05"	"¡Nadie está a mi altura!"
"DCG_VO_zeus_cast_spell_06"	"¡Soy el soberano de los cielos!"
"DCG_VO_zeus_cast_spell_07"	"No hay nada que no pueda hacer..."
"DCG_VO_zeus_cast_spell_08"	"Es natural que os impresione, mortales..."
"DCG_VO_zeus_cast_spell_09"	"Mirad cómo trabaja un dios..."
"DCG_VO_zeus_cast_spell_10"	"Se acabaron los juegos."
"DCG_VO_zeus_death_01"	"<i>screams</i>"
"DCG_VO_zeus_buff_ally_01"	"Soy un dios benevolente."
"DCG_VO_zeus_buff_ally_02"	"Compartiré mi botín..."
"DCG_VO_zeus_buff_ally_03"	"¿Lo ves? Zeus es un dios bondadoso."
"DCG_VO_zeus_buff_ally_04"	"Puedes adorarme si quieres."
"DCG_VO_zeus_buff_ally_05"	"Ya me darás las gracias más adelante."
"DCG_VO_zeus_buff_ally_06"	"Puedes empezar a adorarme cuando quieras."
"DCG_VO_zeus_buff_ally_07"	"Recuerda el día en que Zeus te bendijo."
"DCG_VO_zeus_buff_ally_08"	"Siempre cuido de mis amigos..."
"DCG_VO_zeus_buff_ally_09"	"Adorarme tiene sus ventajas..."
"DCG_VO_zeus_buff_ally_10"	"Toma, que lo disfrutes."
"DCG_VO_zeus_debuff_enemy_01"	"Acobárdate ante mi poder."
"DCG_VO_zeus_debuff_enemy_02"	"No eres nada comparado con un dios."
"DCG_VO_zeus_debuff_enemy_03"	"¡No tienes ninguna posibilidad contra mí!"
"DCG_VO_zeus_debuff_enemy_04"	"Puedo acabar contigo en cuanto me plazca."
"DCG_VO_zeus_debuff_enemy_05"	"¿Cómo te atreves a oponerte a mí?"
"DCG_VO_zeus_debuff_enemy_06"	"Oponerte a mí es una insensatez."
"DCG_VO_zeus_debuff_enemy_07"	"Pagarás por tu atrevimiento."
"DCG_VO_zeus_debuff_enemy_08"	"Vas a pagarlo caro."
"DCG_VO_zeus_debuff_enemy_09"	"Creo que me voy a divertir contigo..."
"DCG_VO_zeus_debuff_enemy_10"	"Disfruto viendo cómo te retuerces."
"DCG_VO_zeus_single_target_damage_01"	"¡Fuera!"
"DCG_VO_zeus_single_target_damage_02"	"¡Bah!"
"DCG_VO_zeus_single_target_damage_03"	"No mereces la pena de mi esfuerzo."
"DCG_VO_zeus_single_target_damage_04"	"¡Controlo los rayos!"
"DCG_VO_zeus_single_target_damage_05"	"El rayo me obedece solo a mí."
"DCG_VO_zeus_single_target_damage_06"	"Querías enfrentarte a Zeus... Deseo concedido."
"DCG_VO_zeus_single_target_damage_07"	"¡Mi furia no tiene parangón!"
"DCG_VO_zeus_single_target_damage_08"	"No deberías haberme hecho enfadar..."
"DCG_VO_zeus_single_target_damage_09"	"¿Insistes en luchar conmigo? Pues vale."
"DCG_VO_zeus_single_target_damage_10"	"Tu arrogancia me divierte..."
"DCG_VO_zeus_multi_damage_small_01"	"¡Largo, mortales!"
"DCG_VO_zeus_multi_damage_small_02"	"Os eliminaré con tan solo agitar la mano..."
"DCG_VO_zeus_multi_damage_small_03"	"Esta es solo una pequeña muestra de mi grandeza..."
"DCG_VO_zeus_multi_damage_small_04"	"¿Con esto pensáis detener a Zeus?"
"DCG_VO_zeus_multi_damage_small_05"	"Vuestro ejército no significa nada para mí..."
"DCG_VO_zeus_multi_damage_small_06"	"Me aburrís..."
"DCG_VO_zeus_multi_damage_small_07"	"¡Largo!..."
"DCG_VO_zeus_multi_damage_small_08"	"Me estoy hartando de esto..."
"DCG_VO_zeus_multi_damage_small_09"	"Estáis abusando de mi hospitalidad."
"DCG_VO_zeus_multi_damage_small_10"	"Ya no me hacéis tanta gracia."
"DCG_VO_zeus_multi_damage_large_01"	"¡VOY A ACABAR CON VOSOTROS!"
"DCG_VO_zeus_multi_damage_large_02"	"¡¿Osáis hacer enfadar a un dios?!"
"DCG_VO_zeus_multi_damage_large_03"	"¡Mi ira es divina!"
"DCG_VO_zeus_multi_damage_large_04"	"¡MORIRÉIS TODOS!"
"DCG_VO_zeus_multi_damage_large_05"	"Pagaré el precio que haga falta..."
"DCG_VO_zeus_multi_damage_large_06"	"¡Arrasaré la tierra!"
"DCG_VO_zeus_multi_damage_large_07"	"¡¿Os atrevéis a enfurecer a un dios?!"
"DCG_VO_zeus_multi_damage_large_08"	"¿Sabes quién soy?"
"DCG_VO_zeus_multi_damage_large_09"	"¡Mortales, tenéis los días contados!"
"DCG_VO_zeus_multi_damage_large_10"	"¡Sentid la ira de Zeus!"
"DCG_VO_zeus_pleased_01"	"Creo que las cosas van bastante bien..."
"DCG_VO_zeus_pleased_02"	"Ojalá Medusa pudiera verlo..."
"DCG_VO_zeus_pleased_03"	"Creo que ya casi he terminado..."
"DCG_VO_zeus_pleased_04"	"Ha sido un día gratificante..."
"DCG_VO_zeus_pleased_05"	"Esto va bien."
"DCG_VO_zeus_pleased_06"	"Estoy satisfecho."
"DCG_VO_zeus_pleased_07"	"Esto me complace."
"DCG_VO_zeus_pleased_08"	"No es fácil divertir a un dios, pero estoy sonriendo..."
"DCG_VO_zeus_pleased_09"	"Ha sido una buena distracción..."
"DCG_VO_zeus_pleased_10"	"Hoy es un buen día."
"DCG_VO_zeus_concerned_01"	"Mmm..."
"DCG_VO_zeus_concerned_02"	"No me esperaba algo así."
"DCG_VO_zeus_concerned_03"	"¿Qué está pasando?..."
"DCG_VO_zeus_concerned_04"	"¿Estoy... Estoy perdiendo?"
"DCG_VO_zeus_concerned_05"	"¿Cómo puedo perder contra unos mortales?"
"DCG_VO_zeus_concerned_06"	"Quizás me haya confiado demasiado..."
"DCG_VO_zeus_concerned_07"	"Parece que te he subestimado..."
"DCG_VO_zeus_concerned_08"	"La verdad es que no se te da mal..."
"DCG_VO_zeus_concerned_09"	"Esto no me lo esperaba..."
"DCG_VO_zeus_concerned_10"	"No pienso darle la satisfacción a Hera..."
"DCG_VO_zeus_angry_01"	"¡Zeus no pierde contra mortales!"
"DCG_VO_zeus_angry_02"	"¿Intentas batirte contra Zeus?"
"DCG_VO_zeus_angry_03"	"¡Será el último error que cometas!"
"DCG_VO_zeus_angry_04"	"Vas a pagar por lo que has hecho..."
"DCG_VO_zeus_angry_05"	"¡Abrasaré la tierra!"
"DCG_VO_zeus_angry_06"	"Hoy es tu último día."
"DCG_VO_zeus_angry_07"	"Has enfurecido al rey de los dioses..."
"DCG_VO_zeus_angry_08"	"Limpiaré el mundo de tu presencia."
"DCG_VO_zeus_angry_09"	"Cuando acabe contigo, no quedarán más que cenizas..."
"DCG_VO_zeus_angry_10"	"Tu cuerpo quedará reducido a cenizas."
"DCG_VO_zeus_arrogant_01"	"¡Te enfrentas al rey de los dioses!"
"DCG_VO_zeus_arrogant_02"	"¡Nadie es más poderoso que Zeus!"
